
[00:00:00.000 --> 00:00:15.480]   Hello, everyone.
[00:00:15.480 --> 00:00:21.200]   And welcome to this workshop I like to call the A to Z of building AI agents.
[00:00:21.200 --> 00:00:25.780]   So during the workshop today, we'll spend about 20 to 30 minutes talking about the basic
[00:00:25.780 --> 00:00:31.600]   concepts of what AI agents are, when to use them, the different components of agents and
[00:00:31.600 --> 00:00:37.240]   concepts that you'll find helpful during the hands-on portions of the workshop.
[00:00:37.240 --> 00:00:42.440]   And then you will spend the rest of the time building an AI agent of your own with help
[00:00:42.440 --> 00:00:46.340]   and assistance from me, and I have my awesome team back there.
[00:00:46.340 --> 00:00:48.900]   There's Tom, Ben, and Fabian.
[00:00:48.900 --> 00:00:53.660]   So if you run into issues, call upon one of us and we'll figure it out.
[00:00:53.660 --> 00:00:56.080]   Here's a little bit about me.
[00:00:56.080 --> 00:01:00.420]   I'm Apoorva, and I'll be your lead instructor for today.
[00:01:00.420 --> 00:01:05.860]   Five months ago, I stepped into my first ever developer advocacy role at MongoDB, and prior
[00:01:05.860 --> 00:01:11.400]   to that, I spent about six years as a data scientist in the cybersecurity space, applying machine
[00:01:11.400 --> 00:01:15.380]   learning to problems like phishing detection, malware and ransomware detection, that kind
[00:01:15.380 --> 00:01:16.380]   of stuff.
[00:01:16.380 --> 00:01:22.580]   Outside of work, I read a lot, try to do yoga kind of regularly, and I'm always on a mission
[00:01:22.580 --> 00:01:27.340]   to hit as many local coffee shops as I can.
[00:01:27.340 --> 00:01:29.440]   A few ground rules before we begin.
[00:01:29.440 --> 00:01:30.800]   No stupid questions here today.
[00:01:30.800 --> 00:01:35.300]   We are all here to learn, so ask as many questions as you'd like.
[00:01:35.300 --> 00:01:40.720]   We'll go over key concepts before getting into the hands-on labs, so during these exercises,
[00:01:40.720 --> 00:01:47.340]   we definitely encourage you to form groups and work together where you can.
[00:01:47.340 --> 00:01:52.440]   Here's a link to the slides and also the hands-on lab that you'll be working through today, and
[00:01:52.440 --> 00:01:56.400]   I'll leave this here for a few minutes for you all to scan.
[00:01:56.400 --> 00:02:01.220]   So link and QR code should also be on these, like, postcards that were just handed out,
[00:02:01.220 --> 00:02:07.180]   and if you didn't receive one, then raise your hand and we'll get you one.
[00:02:07.180 --> 00:02:08.640]   Anyone need a postcard?
[00:02:08.640 --> 00:02:15.400]   Okay, you see some hands there, here.
[00:02:15.400 --> 00:02:16.400]   Tom?
[00:02:16.400 --> 00:02:18.400]   Right here.
[00:02:18.400 --> 00:02:34.760]   All right, moving on.
[00:02:34.760 --> 00:02:40.160]   So the goal of the workshop is to introduce you to the basic concepts of AI agents and also
[00:02:40.160 --> 00:02:43.680]   get hands-on experience with building an agent end-to-end.
[00:02:43.680 --> 00:02:48.840]   So, yeah, I'm going to start off by talking about what agents are, what are the AI agent
[00:02:48.840 --> 00:02:54.800]   use cases, components of an agent, and then we'll build an AI research agent together, and
[00:02:54.800 --> 00:03:00.020]   depending on how long it takes us, we may or may not have time for Q&A, but I'll be around
[00:03:00.020 --> 00:03:03.580]   to answer questions later.
[00:03:03.580 --> 00:03:09.060]   So let's start with talking about what are AI agents.
[00:03:09.060 --> 00:03:16.000]   So an AI agent is a system that uses a large language model or LLM to reason through a problem,
[00:03:16.000 --> 00:03:20.560]   create a plan to solve the problem, and also execute the plan with the help of a set of
[00:03:20.560 --> 00:03:22.720]   tools.
[00:03:22.720 --> 00:03:28.340]   So let's see how agents are different from other techniques for interacting with LLMs, because
