
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.400]   - We love books at Desiring God, obviously.
[00:00:07.400 --> 00:00:09.360]   We love to read them and write them
[00:00:09.360 --> 00:00:11.560]   and publish them and promote them.
[00:00:11.560 --> 00:00:15.800]   And Pastor John, you've authored over 60 titles by yourself.
[00:00:15.800 --> 00:00:17.720]   In light of all those books, though,
[00:00:17.720 --> 00:00:19.160]   Steve writes in to ask this,
[00:00:19.160 --> 00:00:22.160]   Pastor John, as I view the wonderful books
[00:00:22.160 --> 00:00:25.360]   at DesiringGod.org, which books would you recommend
[00:00:25.360 --> 00:00:28.160]   reading first as a new believer?
[00:00:28.160 --> 00:00:32.320]   - Well, when I read that question,
[00:00:32.320 --> 00:00:34.880]   I went to the website just to see,
[00:00:34.880 --> 00:00:37.320]   'cause I haven't done this for a long time,
[00:00:37.320 --> 00:00:39.600]   just to click on the Books tab.
[00:00:39.600 --> 00:00:44.600]   And I thought, oh my goodness, I counted almost 80 titles.
[00:00:44.600 --> 00:00:47.240]   And I thought, oh, that is overwhelming.
[00:00:47.240 --> 00:00:49.480]   What would you do if somebody said,
[00:00:49.480 --> 00:00:51.000]   yeah, go check out Desiring God
[00:00:51.000 --> 00:00:52.220]   and read one of those books?
[00:00:52.220 --> 00:00:53.480]   You'd stare at those 80 titles and say,
[00:00:53.480 --> 00:00:54.580]   what in the world?
[00:00:54.580 --> 00:00:58.300]   How am I supposed to make any headway in this at all?
[00:00:58.300 --> 00:01:00.320]   So that's a good question.
[00:01:00.320 --> 00:01:03.060]   And I hadn't been thinking about it at all.
[00:01:03.060 --> 00:01:05.280]   What an overwhelming thing that would be
[00:01:05.280 --> 00:01:06.620]   to look at all those.
[00:01:06.620 --> 00:01:09.180]   So let me give two answers.
[00:01:09.180 --> 00:01:11.560]   One for the ordinary person,
[00:01:11.560 --> 00:01:15.580]   and I mean a really good, happy, normal, ordinary person
[00:01:15.580 --> 00:01:18.860]   who wants to grow in his faith,
[00:01:18.860 --> 00:01:21.460]   new faith, not knowing much about the Bible.
[00:01:21.460 --> 00:01:23.020]   And the other answer I'm gonna give,
[00:01:23.020 --> 00:01:26.200]   just real briefly, is for a non-ordinary person,
[00:01:26.200 --> 00:01:29.940]   like a really deep, critical, thinker type
[00:01:29.940 --> 00:01:31.380]   who asks a lot of questions
[00:01:31.380 --> 00:01:34.060]   and likes a lot of systematization and all that stuff.
[00:01:34.060 --> 00:01:36.180]   So the first answer,
[00:01:36.180 --> 00:01:38.340]   which I think is probably the more important one,
[00:01:38.340 --> 00:01:42.400]   is what about the ordinary, new believer?
[00:01:42.400 --> 00:01:44.860]   Doesn't have a lot of Bible knowledge,
[00:01:44.860 --> 00:01:47.720]   has recently been converted
