
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:07.880]   What distinguishes my life from the life of a non-Christian?
[00:00:07.880 --> 00:00:11.640]   What makes the Christian life distinct in this world?
[00:00:11.640 --> 00:00:17.800]   It's one of the most important topics that we can address and we're going to today on this Monday.
[00:00:17.800 --> 00:00:24.760]   Welcome back to the podcast and we're gonna get there through another question. How do I serve in God's strength?
[00:00:24.760 --> 00:00:32.160]   That's the question that is sparked by 1 Peter chapter 4 verses 10 to 11. It was sent to us by a listener named Jacob in
[00:00:32.160 --> 00:00:41.160]   Minneapolis. Dear Pastor John, thank you for looking at my question. 1 Peter 4 10 to 11 says, "As each has received a gift,
[00:00:41.160 --> 00:00:45.480]   use it to serve one another as good stewards of God's very grace.
[00:00:45.480 --> 00:00:49.160]   Whoever speaks is one who speaks oracles of God.
[00:00:49.240 --> 00:00:57.240]   Whoever serves is one who serves by the strength that God supplies in order that in everything God may be glorified through Jesus Christ."
[00:00:57.240 --> 00:01:03.840]   In my fight for faith and love and holiness, I want to glorify God.
[00:01:03.840 --> 00:01:10.600]   I don't want my work to be in vain. So my question is this, what does serving by the strength of God mean?
[00:01:10.600 --> 00:01:17.640]   How do I do it and how am I to work in such a way that it is God's strength working in me?
[00:01:17.640 --> 00:01:25.320]   I think this is just about the most fundamental question you can ask about how to live the
[00:01:25.320 --> 00:01:27.680]   distinctively Christian life.
[00:01:27.680 --> 00:01:34.760]   How do you live so that it is not you who live but Christ who lives in you?
[00:01:34.760 --> 00:01:41.160]   How do you exert yourself and make resolutions in such a way
[00:01:41.160 --> 00:01:47.160]   that you are not relying on your exertions and your resolutions,
[00:01:47.160 --> 00:01:50.800]   but on the supernatural work of the Spirit of God in you?
[00:01:50.800 --> 00:01:58.720]   The text that Jacob is focusing on, one of my favorites for ministry, is verse 11 of 1 Peter 4.
[00:01:58.720 --> 00:02:05.840]   "Whoever serves, let him serve in or by the strength that God supplies."
[00:02:05.840 --> 00:02:13.440]   There's the command and he's just saying, "Please help." How do you do that? What a mystery, what a miracle that is.
[00:02:13.440 --> 00:02:15.680]   We serve,
[00:02:15.680 --> 00:02:22.600]   but we serve by the supply of the strength of another. How, he says. And of course,
[00:02:22.600 --> 00:02:29.960]   this is not the only text that presses this huge issue upon us.
[00:02:29.960 --> 00:02:32.400]   Romans 8 13,
[00:02:32.400 --> 00:02:36.880]   "By the Spirit put to death the deeds of the body."
[00:02:36.880 --> 00:02:41.120]   So we are to do the sin-killing,
[00:02:41.120 --> 00:02:45.000]   but we are to do it by the Spirit. How?
[00:02:45.680 --> 00:02:49.560]   Philippians 2 12, "Work out your own salvation,
[00:02:49.560 --> 00:02:57.000]   because it is God who works in you to will and to work for his good pleasure."
[00:02:57.000 --> 00:02:58.880]   So we are to work,
[00:02:58.880 --> 00:03:04.320]   but the willing and the working is God's willing and working. How? How do we experience that?
[00:03:04.320 --> 00:03:09.800]   1 Corinthians 15 10, "I worked harder than any of them, though it was not I,
[00:03:09.800 --> 00:03:14.520]   but the grace of God that was with me." So Paul did work hard,
[00:03:15.240 --> 00:03:17.600]   but his effort was in some way not his.
[00:03:17.600 --> 00:03:19.960]   How do you do that?
[00:03:19.960 --> 00:03:22.280]   Colossians 1 29, "I toil,
[00:03:22.280 --> 00:03:30.600]   struggling with all his energy that he powerfully works in me." Wow.
[00:03:30.600 --> 00:03:35.240]   We toil, we struggle, we expend effort and energy,
[00:03:35.240 --> 00:03:40.600]   but there is a way to do it so that it's God's energy, God's doing. How?
[00:03:41.120 --> 00:03:44.800]   Okay, so there it is. It's a pervasive issue.
[00:03:44.800 --> 00:03:48.800]   It's fundamental. It's right at the heart of what it means to be a Christian.
[00:03:48.800 --> 00:03:51.640]   I wish everybody were asking this question.
[00:03:51.640 --> 00:03:57.800]   In 1984, J.I. Packer, who's going to be with the Lord now,
[00:03:57.800 --> 00:04:02.440]   published his book, "Keep in Step with the Spirit."
[00:04:02.440 --> 00:04:05.720]   I really enjoyed it. I remember reading it the year it came out.
[00:04:05.720 --> 00:04:06.200]   Yeah.
[00:04:06.400 --> 00:04:09.760]   In it, on page 125,
[00:04:09.760 --> 00:04:12.600]   he gives his answer to this question.
[00:04:12.600 --> 00:04:16.920]   And I'm going to read you his quote, just one paragraph.
[00:04:16.920 --> 00:04:19.600]   Quote, "First,
[00:04:19.600 --> 00:04:24.040]   as one who wants to do all the good you can,
[00:04:24.040 --> 00:04:30.200]   you observe what tasks, opportunities, and responsibilities face you.
[00:04:30.200 --> 00:04:31.920]   Second,
[00:04:32.200 --> 00:04:35.640]   you pray for help in these,
[00:04:35.640 --> 00:04:40.640]   acknowledging that without Christ, you can do nothing.
[00:04:40.640 --> 00:04:43.520]   Nothing fruitful that is," John 15, 5.
[00:04:43.520 --> 00:04:44.800]   Third,
[00:04:44.800 --> 00:04:49.600]   you go to work with a goodwill and a high
[00:04:49.600 --> 00:04:54.160]   heart expecting to be helped as you
[00:04:54.160 --> 00:04:56.640]   asked to be. Fourth,
[00:04:56.640 --> 00:05:01.520]   you thank God for help given.
[00:05:02.520 --> 00:05:07.520]   Ask pardon for your own failures and rout and request
[00:05:07.520 --> 00:05:11.240]   more help for the next task." End quote.
[00:05:11.240 --> 00:05:14.640]   Well, I was 38 years old when I read that.
[00:05:14.640 --> 00:05:18.440]   I had been a pastor for four years.
[00:05:18.440 --> 00:05:23.680]   And what thrilled me about that answer to,
[00:05:23.680 --> 00:05:25.680]   "How do you do this, Packer?
[00:05:25.680 --> 00:05:29.760]   Tell us, how do you live this life in the strength of another?"
[00:05:29.920 --> 00:05:34.920]   What thrilled me is that he spelled out exactly
[00:05:34.920 --> 00:05:37.560]   what I had preached the year before. You can go to,
[00:05:37.560 --> 00:05:42.600]   you can go to Desiring God, March 13, 1983, not four, three.
[00:05:42.600 --> 00:05:46.840]   And I called it APTAT, A-P-T-A-T, the acronym.
[00:05:46.840 --> 00:05:51.240]   A, admit you can do nothing. P, pray for supernatural help.
[00:05:51.240 --> 00:05:55.000]   T, trust a specific promise about your situation.
[00:05:55.000 --> 00:05:58.760]   A, act, use your will, move. T,
[00:05:58.840 --> 00:06:00.160]   thank God.
[00:06:00.160 --> 00:06:04.520]   I was just blown away that the year after I wrote APTAT,
[00:06:04.520 --> 00:06:08.160]   I found in my favorite theologian, just about,
[00:06:08.160 --> 00:06:11.240]   a duplicate of what I was thinking. I thought, this is not,
[00:06:11.240 --> 00:06:14.200]   I'm not quirky here at all. This is just old fashioned.
[00:06:14.200 --> 00:06:17.720]   He calls it Augustinian sanctification or something like that.
[00:06:17.720 --> 00:06:22.880]   The difference between my APTAT and Packer's paragraph is,
