
[00:00:00.040 --> 00:00:10.600]   thank
[00:00:28.800 --> 00:00:57.600]   might
[00:00:57.600 --> 00:00:58.040]  over, ., in the shave. I'm not, Gentle,,,,,, . changerzę Jiang 자신 менее I ain the Sch death and the S about the L jus the I'm the-- còn the--
[00:00:58.240 --> 00:01:27.680]   horse's hooves, and then they'll take a hammer and just a simple little nail and nail the horseshoe on to the bottom of the horse's hooves. This allows the horse to walk and to work on paved and rocky surfaces without wearing down their hooves so that they don't go lame. It allows the horse to be more comfortable and allows them to do more work.
[00:01:27.720 --> 00:01:37.820]   include
[00:01:37.820 --> 00:01:56.840]   do. Le Le D O yeah in, as,
[00:01:56.860 --> 00:02:02.120]   the meter than to pay the ticket.
[00:02:02.120 --> 00:02:11.040]   Probably about a decade ago. Now I made a firm decision that I was always going to feed the meter rather than thinking about how I would battle the ticket.
[00:02:11.040 --> 00:02:26.000]   I can name the street and the city was right here in South Florida. I had parked my car outside an office building. I was running in to pick up some paperwork from a client of mine. I knew I'd only
[00:02:26.000 --> 00:02:26.000]   be a minute and I think the ticket was going to be in front of me.
[00:02:26.040 --> 00:02:36.860]   at
[00:02:36.860 --> 00:02:37.460]   layout and, savior against out, ", Girl A I Ar THE C the fringe theXT.And. /G.G, chaos.
[00:02:37.460 --> 00:02:55.760]  ..,
[00:02:56.000 --> 00:03:02.400]   얘기를
[00:03:02.400 --> 00:03:06.040]   in the와
[00:03:06.040 --> 00:03:06.280]  imm
[00:03:06.280 --> 00:03:16.020]   metallic
[00:04:21.380 --> 00:04:30.920]   less
[00:04:30.920 --> 00:04:48.840]   500 Vir E G
[00:04:50.820 --> 00:05:20.260]   500 Vir E G
[00:05:20.260 --> 00:05:20.260]   The potential examples are legion. I encourage you to consider your own examples. Consider your life, or excuse me, I should say, consider a friend's life. Think of a friend of yours who seems to always be struggling, always be behind, always be scrambling, in trouble with the law, in trouble with the authorities, in trouble with somebody. A dollar late and a day late and a dollar short, no matter what.
[00:05:20.260 --> 00:05:20.260]   The potential examples are legion. I encourage you to consider your own examples. Consider your life, or excuse me, I should say, consider a friend's life. Think of a friend of yours who seems to always be struggling, always be behind, always be scrambling, in trouble with the law, in trouble with the authorities, in trouble with somebody. A dollar late and a day late and a dollar short, no matter what.
[00:05:20.260 --> 00:05:48.660]  , and I ask you, does that person simply feed the meter? Or do they try to take the risk and run the ticket? My experience has been most people who are always struggling and scrambling are that way because they don't ever stop and decide to feed the meter. But it doesn't have to be that way. You can indeed feed the meter.
[00:05:48.660 --> 00:05:49.720]   I'm not saying that you're going to be a leader. I'm just saying that you're going to be a leader.
[00:06:48.680 --> 00:06:51.660]  亮
[00:06:51.660 --> 00:06:59.560]   жизни conhe quickly --
[00:06:59.560 --> 00:07:17.420]   fit the grand of the moroni blowing doll發
[00:07:17.580 --> 00:07:28.680]   just
[00:07:28.680 --> 00:07:43.940]   squared. Is a thing, and,,,, donors are at j heated�� OG P Et It is a aзы President помог the cam. And, .A, ,ve, .-G, ., ., testimony, ., ,,,,,,,,,,,,,,,, Mar L is a также-- Если I'm están
[00:07:43.940 --> 00:07:45.860]   Y Algun just하신 on earlier You could no go and I'm too down all beACH B�� extragrai in didrados in cor wonder의 Fatache some demand效 okay amount of a hyung pissing the b Macs de
[00:07:45.920 --> 00:07:48.220]  ары Hail I I in,,,,
[00:07:48.220 --> 00:07:56.120]  omn
[00:07:56.120 --> 00:07:57.060]   Marcel que錢 conduct the cyber
[00:07:57.060 --> 00:08:13.620]   be aér a 6 I is a conduct a mon "St" "G" "S" "
[00:09:12.560 --> 00:09:22.860]   but
[00:09:22.860 --> 00:09:26.340]   I in the
[00:10:36.920 --> 00:10:45.660]   Zwe fucking pac
[00:10:45.660 --> 00:11:04.920]   believeonia...G B go grassлен party Beyonce 「 commissioned tiger Province Math, on, not, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,,. I'm Your L determing I'm In the Bar even позвол vorstellen The thing Is the So ac^^ Est Gi Alexandraossen earn де op E donkey over the say at the dis only cor professionallyvé the –
[00:11:05.000 --> 00:11:15.540]   I'm Your L determing I'm In the Bar even позвол
[00:11:15.540 --> 00:11:19.840]   I'm Your L determing I'm In the Bar even позвол
[00:11:19.840 --> 00:11:25.780]   I'm Your L determing I'm In the Bar even позвол
[00:11:25.780 --> 00:11:33.400]   I'm Your L determing I'm In the Bar even позвол
[00:11:33.400 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.800]   I'm Your L determing I'm In the Bar even
[00:11:33.800 --> 00:11:33.900]   I'm Your L determing I'm In the Bar even
[00:11:33.900 --> 00:11:33.960]   I'm Your L determing I'm In the Bar even
[00:11:33.960 --> 00:11:33.980]   I'm Your L determing I'm In the Bar even
[00:11:34.700 --> 00:12:03.260]   I'm Your L determing I'm In the Bar even
[00:12:03.260 --> 00:12:03.260]   I'm Your L determing I'm In the Bar even
[00:12:03.260 --> 00:12:03.320]   I'm Your L determing I'm In the Bar even
[00:12:03.320 --> 00:12:03.400]   I'm Your L determing I'm In the Bar even
[00:12:03.400 --> 00:12:03.420]   I'm Your L determing I'm In the Bar even
[00:12:03.420 --> 00:12:03.500]   I'm Your L determing I'm In the Bar even
[00:12:03.500 --> 00:12:03.600]   I'm Your L determing I'm In the Bar even
[00:12:03.600 --> 00:12:03.660]   I'm Your L determing I'm In the Bar even
[00:12:32.580 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:32.940]   I'm Your L determing I'm In the Bar even
[00:12:32.940 --> 00:12:33.000]   I'm Your L determing I'm In the Bar even
[00:12:33.000 --> 00:12:33.080]   I'm Your L determing I'm In the Bar even
[00:13:02.360 --> 00:13:02.360]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:02.360 --> 00:13:02.360]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:02.360 --> 00:13:02.360]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:02.360 --> 00:13:02.360]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:02.360 --> 00:13:02.360]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:02.360 --> 00:13:31.640]  ,
[00:13:31.640 --> 00:13:31.700]   3. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:31.700 --> 00:13:31.760]   4. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:31.760 --> 00:13:31.780]   5. If there's an idea that's been specifically helpful to you and if you're gaining financial benefit from Radical Personal Finance,
[00:13:31.780 --> 00:13:31.980]   4. If there's an idea that's been specifically helpful to you and if you're not willing to do it,
[00:13:31.980 --> 00:13:31.980]   4. If there's an idea that's been specifically helpful to you and if you're willing to do it,
[00:13:31.980 --> 00:13:31.980]   5. 5. If there's an idea that's an idea that's been helpful to you're willing to do it.
[00:13:32.000 --> 00:13:32.020]   4. If there's an idea that's been specifically helpful to you're willing to do it.
[00:13:32.020 --> 00:13:37.360]   4. If there's an idea that's been specifically helpful to you're willing to do it. Thank you for your financial support, at RadicalPersonalFinance.com/patron. 5. If there's an idea that's been specifically helpful to you're willing to do it. Thank you for your financial support, at RadicalPersonalFinance.com/patron.

