
[00:00:00.000 --> 00:00:03.440]   [MUSIC PLAYING]
[00:00:03.440 --> 00:00:05.920]   Hi, Cal.
[00:00:05.920 --> 00:00:07.880]   This is Drake here.
[00:00:07.880 --> 00:00:10.120]   First, I'd like to say I'm a big fan of your work
[00:00:10.120 --> 00:00:12.520]   and your books have helped me greatly.
[00:00:12.520 --> 00:00:16.200]   I wanted to ask a question regarding career capital.
[00:00:16.200 --> 00:00:18.280]   I've just finished my undergraduate studies
[00:00:18.280 --> 00:00:20.800]   and I'm looking to start my career.
[00:00:20.800 --> 00:00:23.760]   I've graduated with two degrees with a strong GPA
[00:00:23.760 --> 00:00:27.320]   and have done several research opportunities.
[00:00:27.320 --> 00:00:29.560]   In other words, I believe I have accrued
[00:00:29.560 --> 00:00:32.480]   a lot of career capital.
[00:00:32.480 --> 00:00:35.600]   How can I leverage what I've done in my studies
[00:00:35.600 --> 00:00:39.200]   as a student as career capital in order
[00:00:39.200 --> 00:00:40.680]   to start a satisfying career?
[00:00:40.680 --> 00:00:49.680]   Well, at your current age, the career capital that you have
[00:00:49.680 --> 00:00:56.000]   is basically relevant to unlocking particular jobs.
[00:00:56.000 --> 00:00:58.280]   So you have where you went to school, what you studied,
[00:00:58.280 --> 00:00:59.920]   what your grades are.
[00:00:59.920 --> 00:01:02.520]   For a lot of jobs, that's an important piece
[00:01:02.520 --> 00:01:05.320]   of career capital required to unlock that job,
[00:01:05.320 --> 00:01:08.200]   that you need good enough grades and a good enough program
[00:01:08.200 --> 00:01:10.600]   at a good enough school to even be interviewed for the job.
[00:01:10.600 --> 00:01:12.140]   This is basically the main investment
[00:01:12.140 --> 00:01:17.160]   you can do with capital you have acquired as a student, which
[00:01:17.160 --> 00:01:19.960]   is to say there's not a ton you can do with it yet.
[00:01:19.960 --> 00:01:21.680]   So it opens up more opportunities.
[00:01:21.680 --> 00:01:22.600]   That's great.
[00:01:22.600 --> 00:01:23.720]   So pick one.
[00:01:23.720 --> 00:01:26.040]   And it should be an opportunity, as we talk about a lot
[00:01:26.040 --> 00:01:29.440]   on the show, that is of interest to you.
[00:01:29.440 --> 00:01:31.680]   And more importantly, you see that as you--
[00:01:31.680 --> 00:01:34.240]   if and when you get better at this particular position,
[00:01:34.240 --> 00:01:37.640]   it will open up options in the future that really appeal to
[00:01:37.640 --> 00:01:41.200]   you, that you will have good opportunities in the future
[00:01:41.200 --> 00:01:44.880]   if and when you acquire career capital ongoing to make
[00:01:44.880 --> 00:01:45.880]   interesting investments.
