
[00:00:00.000 --> 00:00:05.000]   Now, I'm delighted today to have Karina who is a director of CS25.
[00:00:05.000 --> 00:00:10.000]   Welcome to the second lecture of our current offering of CS25, Transformers United.
[00:00:10.000 --> 00:00:13.000]   So this will be the first lecture featuring an external speaker.
[00:00:13.000 --> 00:00:18.000]   So the rest of the course, we'll have folks come in and talk about, you know,
[00:00:18.000 --> 00:00:21.000]   the state of the art and cool research they're doing as part of their work.
[00:00:21.000 --> 00:00:26.000]   So we have an exciting lineup of speakers for you guys for the rest of the quarter.
[00:00:26.000 --> 00:00:31.000]   So I'm delighted today to have Karina from OpenAI.
[00:00:31.000 --> 00:00:36.000]   So she works on both product and research there and also previously worked at Anthropic.
[00:00:36.000 --> 00:00:38.000]   So I'll let her take it from here.
[00:00:38.000 --> 00:00:47.000]   Can everybody hear? Cool. Let's see.
[00:00:47.000 --> 00:00:57.000]   So before I start the stock, I would love to set a tone for I'm not here to lecture you,
[00:00:57.000 --> 00:01:02.000]   but I would love to have much more collaborative and interactive session.
[00:01:02.000 --> 00:01:11.000]   And I do hear I've heard a lot of, you know, people kind of concerning about AI and the future of AI.
[00:01:11.000 --> 00:01:18.000]   And I understand that the development of a GI is both scary and exhilarating.
[00:01:18.000 --> 00:01:30.000]   And if anything, I would love to get for you to get out from the stock is the fact that I think everybody can have like very meaningful future
[00:01:30.000 --> 00:01:37.000]   and everybody can like build something really, really cool with an AI and as a part of this journey.
[00:01:37.000 --> 00:01:48.000]   Cool. So before I started with a talk, there'll be all about how ARAO is a co-design of product and research.
[00:01:48.000 --> 00:01:55.000]   And, you know, we are shifting both in the labs, we're shifting the focus towards more of a frontier product research,
[00:01:55.000 --> 00:02:01.000]   where the tasks that we teach the models are becoming much more real world tasks.
[00:02:01.000 --> 00:02:10.000]   So and before we get started, I'll just like share some of the vignettes of like what I'm really, really excited about the future of AI
[00:02:10.000 --> 00:02:17.000]   and what the AI is capable of right now that can inspire everybody.
[00:02:17.000 --> 00:02:20.000]   So the first one is actually education.
[00:02:20.000 --> 00:02:27.000]   I'm actually really, really excited about the fact that AI can democratize education.
[00:02:27.000 --> 00:02:33.000]   So here's an example of me asking ChatGPT to explain the Gaussian distribution.
[00:02:33.000 --> 00:02:41.000]   And then with, and in Canvas, it creates, you know, the code itself in order to visualize for me.
[00:02:41.000 --> 00:02:48.000]   So it explains in text, and then I ask it to write in code, and then you can render the code in order to visualize it.
[00:02:48.000 --> 00:02:52.000]   So in a way, it becomes much more, a little bit personalized.
[00:02:54.000 --> 00:03:00.000]   The second demo is also something that a lot of people might want to use it.
[00:03:00.000 --> 00:03:05.000]   So let's, let's see if you take a screenshot from the paper and you want to understand what's going on.
[00:03:05.000 --> 00:03:14.000]   And the model can go and explain in a separate canvas, that's like another feature in ChatGPT.
[00:03:14.000 --> 00:03:21.000]   And then, then you can start to have much more interactive conversation with the model by selecting very,
[00:03:21.000 --> 00:03:28.000]   certain like things and try to like ask more questions, you know, follow up questions.
[00:03:28.000 --> 00:03:35.000]   So in a way, when ChatGPT came out to be first in 2022, it was purely conversational UI.
[00:03:35.000 --> 00:03:36.000]   It was mostly chat.
[00:03:36.000 --> 00:03:45.000]   And as the use cases kind of grown from the product itself, you know, there was no expectation of how people would use ChatGPT at that time.
[00:03:45.000 --> 00:03:51.000]   But over time, you've seen a lot of people started using it for code generation, for writing and long form writing.
[00:03:51.000 --> 00:03:56.000]   It became very obvious that the interface of Chat was kind of very limited.
[00:03:56.000 --> 00:03:57.000]   very limited.
[00:03:57.000 --> 00:04:11.000]   So, um, canvas is kind of like the first attempt, uh, of, um, of our team to break out from the cycle in order to allow people to have much more fine-grained collaboration with AI.
[00:04:11.000 --> 00:04:25.000]   So, um, and actually today, uh, Antarctic published a small report, uh, around the education and how people use, uh, Claude for education.
[00:04:25.000 --> 00:04:33.000]   And it's very interesting to see the correlation between the U.S. bachelor's use and the way people use, um, um, yeah, use cases.
[00:04:33.000 --> 00:04:36.000]   So you can see there's a huge difference between, like, computer science there.
[00:04:36.000 --> 00:04:50.000]   Um, another thing that I'm really, really excited about the AIs is that anyone can create their own tools for themselves, for their friends, for their family, or even run their business.
[00:04:50.000 --> 00:05:02.000]   And, um, you know, the models now can generate a lot of front-end code, and then you can render that code inside the canvas and then iterate on that and have much more visual representation of things.
[00:05:02.000 --> 00:05:13.000]   Um, you know, on Twitter, I've seen a lot of people creating, like, very, very personalized and customized tools that they really, really want, even, like, games like chess.
[00:05:13.000 --> 00:05:37.000]   And with recent image and, uh, image generation model from, um, open AI, you can literally sketch anything, um, on, with your own hands and then recreate or kind of realize what you're dreaming of, uh, in, within, in image and in the style that you really, really want.
[00:05:37.000 --> 00:05:51.000]   So, um, I do really hope that the creativity, the human creativity, and how AI tools can help anyone to become creatives or be an artist, um, in a way that was not possible before.
[00:05:51.000 --> 00:06:01.000]   Another thing that I've tried actually on the mobile is to create a mini game, um, and you can easily do that in Canvas.
[00:06:01.000 --> 00:06:09.000]   So, I asked to just, like, generate me, you know, a React app of an interesting game because I'm the plane, and then the model does that.
[00:06:09.000 --> 00:06:24.000]   And I do hope that in the future, instead of me prompting it to generate a game, it will kind of, like, be more proactive and have this kind of personalization, um, as AI become more of a companion to humans.
[00:06:24.000 --> 00:06:34.000]   Um, and, uh, an exciting thing, um, about CHPT is that the compositionality of different capabilities that can allow you to augment, like, human creativity.
[00:06:34.000 --> 00:06:47.000]   So, here I can, I asked, um, to generate an image of the UI and then, uh, sorry, um, generate an image of the UI and then ask the model to kind of implement this.
[00:06:47.000 --> 00:06:56.000]   And you can do that literally in Canvas right now and, like, it can render, it's not, um, it's just a front-end, it doesn't have full kind of stack engineering.
[00:06:56.000 --> 00:07:06.000]   Um, but, you know, you can do some of the things like this, you can compose different tools and compose in a way that was never possible before.
[00:07:06.000 --> 00:07:15.000]   So, I do hope that ideas like this will be very, very powerful and everybody in this room can play with those things.
[00:07:15.000 --> 00:07:18.000]   Um, and actually, how did we get there?
[00:07:18.000 --> 00:07:22.000]   And I think there are, like, two main scaling paradigms that helped us to get there.
[00:07:22.000 --> 00:07:36.000]   The first one is next token prediction, obviously, if we use a pre-training scaling paradigm, um, where the model kind of becomes, like, a world-building machine understanding the world in a much better scale.
[00:07:36.000 --> 00:07:46.000]   Um, you know, but it becomes, the next token prediction, uh, works really, really good at certain tasks, but it becomes harder at tasks like writing.
[00:07:46.000 --> 00:07:54.000]   If the model predicts a wrong next token, it can kind of, the coherence of the plot will just be lost in the pertaining stage.
[00:07:54.000 --> 00:07:58.000]   And maybe you kind of want to recover this in reinforcement learning.
[00:07:58.000 --> 00:08:08.000]   And the next second paradigm that has happened, um, is, um, RL on a chain of thought for more complex, uh, tasks.
[00:08:08.000 --> 00:08:15.000]   And this is the reasoning work from OpenAI, and now it's being adopted by a lot of different labs.
[00:08:15.000 --> 00:08:28.000]   And, um, I do think this is scaling RL in itself is another paradigm that we can train the models on the axis, um, to, and especially for the real world's tasks that was never possible before.
[00:08:28.000 --> 00:08:41.000]   So, all the agentic work, um, agents like Operator, Deep Research, um, other agents are kind of, like, trained on this kind of new paradigm overall on the chain of thoughts.
[00:08:41.000 --> 00:08:49.000]   Um, so, yeah, I, I, I want to, like, uh, finish this section of, like, vignette of, like, yeah, build, create, build, and make something wonderful in this world.
[00:08:49.000 --> 00:08:57.000]   And I hope, like, people be more inspired rather than scared that AI is going to take their jobs or kind of remove their creativity.
[00:08:57.000 --> 00:09:03.000]   Instead, I feel like people can become more powerful with, with their imaginations with these tools.
[00:09:03.000 --> 00:09:14.000]   So, I currently work at OpenAI, before that I worked at Anthropic, and, um, I was kind of, like, at the intersection of product and research.
[00:09:14.000 --> 00:09:20.000]   When I first came to Anthropic, I was a product engineer.
[00:09:20.000 --> 00:09:23.000]   And then, over time, I switched to research engineering.
[00:09:23.000 --> 00:09:27.000]   So, my background is mostly both in product and research now.
[00:09:27.000 --> 00:09:36.000]   And what I've learned over and over across different projects is that there are two kind of main ways of building research-driven products.
