
[00:00:00.000 --> 00:00:05.280]   [MUSIC PLAYING]
[00:00:05.280 --> 00:00:05.880]   Hi, Cal.
[00:00:05.880 --> 00:00:08.720]   I think your reading habits are super inspiring.
[00:00:08.720 --> 00:00:11.760]   And I'm glad to say I've been able to adopt them
[00:00:11.760 --> 00:00:12.680]   in my own life.
[00:00:12.680 --> 00:00:15.280]   I am currently on my fifth book of the month, which
[00:00:15.280 --> 00:00:16.880]   is really satisfying.
[00:00:16.880 --> 00:00:19.560]   But one practical health-related question--
[00:00:19.560 --> 00:00:21.160]   I went to the eye doctor recently.
[00:00:21.160 --> 00:00:27.600]   And the first thing the doctor said was, oh, do you read a lot?
[00:00:27.600 --> 00:00:31.280]   Because it was apparent in the physiology of my eyeballs
[00:00:31.280 --> 00:00:33.880]   that my eyes are pretty strained.
[00:00:33.880 --> 00:00:36.640]   And so I know that you like to read during your breaks
[00:00:36.640 --> 00:00:39.480]   from work, which suggests that you spend a lot of time
[00:00:39.480 --> 00:00:44.400]   reading, both for work and then for pleasure or otherwise.
[00:00:44.400 --> 00:00:48.280]   So how do you keep your eyes healthy while still reading
[00:00:48.280 --> 00:00:49.520]   at such a great clip?
[00:00:49.520 --> 00:00:51.040]   Thanks.
[00:00:51.040 --> 00:00:53.720]   Well, here's the thing.
[00:00:53.720 --> 00:00:56.080]   Even if you're reading five books a month,
[00:00:56.080 --> 00:00:58.480]   the amount of time you're looking at a book
[00:00:58.480 --> 00:01:01.000]   compared to the amount of time you're looking at a computer
[00:01:01.000 --> 00:01:03.000]   screen for your normal job, assuming you're a knowledge
[00:01:03.000 --> 00:01:06.680]   worker type, it's still minuscule.
[00:01:06.680 --> 00:01:09.960]   And the strain of looking at a computer monitor or a phone
[00:01:09.960 --> 00:01:14.080]   is much greater than the strain of looking at a matte-printed
[00:01:14.080 --> 00:01:16.680]   ink on paper.
[00:01:16.680 --> 00:01:20.640]   So partially, I'm going to say, don't worry about reading
[00:01:20.640 --> 00:01:23.060]   is going to be the thing that is going to cause the issues,
[00:01:23.060 --> 00:01:25.900]   because it's probably much more strain the seven hours a day
[00:01:25.900 --> 00:01:27.920]   you probably have to look at computer screens
[00:01:27.920 --> 00:01:29.360]   than it is reading.
[00:01:29.360 --> 00:01:33.000]   That being said, the two rules that help with reading is--
[00:01:33.000 --> 00:01:34.500]   well, actually, let me add a third.
[00:01:34.500 --> 00:01:38.040]   Number one, do it on paper when you can.
[00:01:38.040 --> 00:01:39.120]   Don't do it on your phone.
[00:01:39.120 --> 00:01:40.040]   Don't do it on tablet.
[00:01:40.040 --> 00:01:44.640]   The backlight screen is more straining on your eyes.
[00:01:44.640 --> 00:01:47.280]   I count Kindle as paper, by the way.
[00:01:47.280 --> 00:01:48.760]   It is paper.
[00:01:48.760 --> 00:01:55.120]   The technology in Kindle, just from a physiological
[00:01:55.120 --> 00:01:57.480]   experience of reading, is the same,
[00:01:57.480 --> 00:02:01.840]   because the technology in Kindle is not a screen,
[00:02:01.840 --> 00:02:03.760]   like you would have on a laptop.
[00:02:03.760 --> 00:02:06.140]   It's not pixels that have light go into them.
[00:02:06.140 --> 00:02:08.300]   That's what strains you when you look at a computer,
[00:02:08.300 --> 00:02:09.600]   is you have all this-- it's light.
[00:02:09.600 --> 00:02:11.340]   It's pixels that have light, and the light
[00:02:11.340 --> 00:02:13.200]   is a particular color.
[00:02:13.200 --> 00:02:16.080]   The e-ink technology in a Kindle is actually
[00:02:16.080 --> 00:02:17.880]   a bunch of little disks.
[00:02:17.880 --> 00:02:23.560]   And one side's black, and one side is white, give or take.
[00:02:23.560 --> 00:02:24.520]   And they shock it.
[00:02:24.520 --> 00:02:26.680]   You can put a little bit of electricity to the disk.
[00:02:26.680 --> 00:02:27.960]   You can flip it over.
[00:02:27.960 --> 00:02:29.760]   But once you've take the electricity away,
[00:02:29.760 --> 00:02:31.400]   it's a physical thing.
[00:02:31.400 --> 00:02:34.760]   You're looking at physical little pieces of plastic
[00:02:34.760 --> 00:02:37.000]   that are black on one side and white on the other that
[00:02:37.000 --> 00:02:39.620]   have been arranged, flipped in a pattern that looks like words.
[00:02:39.620 --> 00:02:43.560]   So it's actually, from an eye physiology perspective,
[00:02:43.560 --> 00:02:46.640]   the same as looking at words printed on a piece of paper.
[00:02:46.640 --> 00:02:50.440]   You can put a light on your Kindle like you would on a book,
[00:02:50.440 --> 00:02:54.040]   but you're looking at just a physical surface that
[00:02:54.040 --> 00:02:56.400]   has some black and some white pieces.
[00:02:56.400 --> 00:02:58.280]   So a Kindle is not going to strain your eyes
[00:02:58.280 --> 00:02:59.520]   any more than a book.
[00:02:59.520 --> 00:03:00.920]   Number two, have enough light.
[00:03:00.920 --> 00:03:02.720]   You strain your eyes if you read low light.
[00:03:02.720 --> 00:03:05.680]   And three, use reading glasses if you feel the strain.
[00:03:05.680 --> 00:03:08.760]   Those of us who have lived an intellectual life,
[00:03:08.760 --> 00:03:12.480]   we typically do need reading glasses earlier.
[00:03:12.480 --> 00:03:14.360]   I'm 39, but I still have to--
[00:03:14.360 --> 00:03:16.640]   in low light situations, I have to use reading glasses.
[00:03:16.640 --> 00:03:17.760]   So use reading glasses.
[00:03:17.760 --> 00:03:18.520]   Have lots of light.
[00:03:18.520 --> 00:03:21.560]   Stay away from backlit screens when you read,
[00:03:21.560 --> 00:03:22.360]   and you'll be fine.
[00:03:22.360 --> 00:03:24.160]   But in general, I'm going to say I'm
[00:03:24.160 --> 00:03:26.320]   letting reading off the hook here, because the seven
[00:03:26.320 --> 00:03:31.360]   hours you're on Zoom has got to be worse than the one hour you
[00:03:31.360 --> 00:03:34.600]   spent that day reading and rereading my books, which
[00:03:34.600 --> 00:03:36.160]   I assume, by the way, is what you're doing.
[00:03:36.160 --> 00:03:36.920]   That's what I recommend.
[00:03:36.920 --> 00:03:38.540]   You just go through my books in order,
[00:03:38.540 --> 00:03:41.200]   just a cycle again and again.
[00:03:41.200 --> 00:03:43.680]   All right, let's see here.
[00:03:43.680 --> 00:03:44.240]   Am I old?
[00:03:44.240 --> 00:03:46.440]   You don't wear reading glasses, do you, Jesse?
[00:03:46.440 --> 00:03:48.560]   I don't wear reading glasses, but I got LASIK.
[00:03:48.560 --> 00:03:51.960]   So I used to wear glasses when I drive at night.
[00:03:51.960 --> 00:03:53.560]   But now I don't really have to do that.
[00:03:53.560 --> 00:03:54.680]   Does LASIK work for you?
[00:03:54.680 --> 00:03:55.600]   Yeah, it worked great.
[00:03:55.600 --> 00:03:56.320]   I should do that.
[00:03:56.320 --> 00:03:59.480]   And my father job paid for it.
[00:03:59.480 --> 00:04:03.160]   Here's my question about LASIK.
[00:04:03.160 --> 00:04:06.680]   How do people do without it?
[00:04:06.680 --> 00:04:10.480]   How do people do long-term camping or adventure outdoor
[00:04:10.480 --> 00:04:11.680]   trips or something like this?
[00:04:11.680 --> 00:04:13.480]   I occasionally get invited on these things,
[00:04:13.480 --> 00:04:16.560]   like let's go hike the whatever, Machu Picchu
[00:04:16.560 --> 00:04:17.520]   or something like that.
[00:04:17.520 --> 00:04:18.840]   And how do you do these long trips
[00:04:18.840 --> 00:04:20.240]   if you have contacts or glasses?
[00:04:20.240 --> 00:04:22.880]   It seems like it would be impossible, right?
[00:04:22.880 --> 00:04:24.840]   I guess you could have glasses you could wear.
[00:04:24.840 --> 00:04:29.240]   But anyways, I should do LASIK because I've
[00:04:29.240 --> 00:04:30.080]   thought about that.
[00:04:30.080 --> 00:04:32.200]   I can't do long-term camping trips or this or that
[00:04:32.200 --> 00:04:35.000]   because I wear contacts.
[00:04:35.000 --> 00:04:37.600]   I can't deal with contacts in the woods.
[00:04:37.600 --> 00:04:39.720]   I'm sure a lot of people do those trips
[00:04:39.720 --> 00:04:40.960]   or in the same boat as you.
[00:04:40.960 --> 00:04:42.120]   And they probably haven't figured it out.
[00:04:42.120 --> 00:04:43.280]   So you probably figured that out.
[00:04:43.280 --> 00:04:45.240]   But in terms of getting LASIK, I thought it was great.
[00:04:45.240 --> 00:04:46.360]   And it's seamless.
[00:04:46.360 --> 00:04:47.720]   It's like a 10-minute procedure.
[00:04:47.720 --> 00:04:48.600]   I should do that.
[00:04:48.600 --> 00:04:49.520]   I should do that.
[00:04:49.520 --> 00:04:53.080]   Or wear complicated glasses, like blue plastic,
[00:04:53.080 --> 00:04:55.040]   awesome Warby Parker glasses.
[00:04:55.040 --> 00:04:55.880]   I think that would be--
[00:04:55.880 --> 00:04:57.920]   - Rec specs from back in the day, like NBA games?
[00:04:57.920 --> 00:05:00.520]   - Yeah, I'm gonna wear, who was it that used
[00:05:00.520 --> 00:05:02.000]   to wear the rec specs?
[00:05:02.000 --> 00:05:03.280]   It wasn't Magic Johnson, was it?
[00:05:03.280 --> 00:05:06.480]   It was, someone classically wore those.
[00:05:06.480 --> 00:05:07.320]   - Kareem?
[00:05:07.320 --> 00:05:08.640]   - Kareem, yes.
[00:05:08.640 --> 00:05:12.640]   I'm gonna wear Kareem rec specs on air,
[00:05:12.640 --> 00:05:14.760]   just so people think I'm more athletic.
[00:05:14.760 --> 00:05:15.600]   And a sweatband.
[00:05:15.600 --> 00:05:18.960]   Be good.
[00:05:18.960 --> 00:05:20.200]   - All right, where are we at?
[00:05:20.200 --> 00:05:21.840]   That's four, do we have another call?
[00:05:21.840 --> 00:05:23.760]   - That's all the questions we have for today's show.
[00:05:23.760 --> 00:05:25.040]   - All right, well, excellent.
[00:05:25.040 --> 00:05:26.520]   So we end on a high note.
[00:05:26.520 --> 00:05:30.560]   I'm gonna start wearing rec specs and a sweatband
[00:05:30.560 --> 00:05:34.760]   so that everyone thinks that I am more athletic than I am.
[00:05:34.760 --> 00:05:37.160]   Or complicated blue plastic glasses
[00:05:37.160 --> 00:05:38.080]   so everyone will think I'm smarter.
[00:05:38.080 --> 00:05:41.560]   I can just depend on what I'm trying to go on.
[00:05:41.560 --> 00:05:43.560]   Have you seen, not to go on this thing,
[00:05:43.560 --> 00:05:47.960]   but if you live in a city and you're around 30-year-olds
[00:05:47.960 --> 00:05:50.560]   who are overeducated and aren't beaten down
[00:05:50.560 --> 00:05:51.520]   by having families yet,
[00:05:51.520 --> 00:05:54.480]   there's so much care in glassware and facial hair
[00:05:54.480 --> 00:05:57.400]   at this point that there's an arms race
[00:05:57.400 --> 00:06:02.080]   of who can have the more complicated, weird glasses.
