
[00:00:00.000 --> 00:00:03.000]   Radical Personal Finance coaching call this morning.
[00:00:03.000 --> 00:00:09.000]   I want to share with you some ideas around social capital and the social economy.
[00:00:09.000 --> 00:00:10.000]   No, I'm not talking about Facebook.
[00:00:10.000 --> 00:00:19.000]   I'm talking about true social relationships and as we begin this week, I've got some encouragement that I think will make a difference for you this week.
[00:00:19.000 --> 00:00:37.000]   Welcome to the Radical Personal Finance podcast.
[00:00:37.000 --> 00:00:39.000]   My name is Joshua Sheets and I'm your host.
[00:00:39.000 --> 00:00:42.000]   Thank you for being with me early Monday morning today.
[00:00:42.000 --> 00:00:52.000]   I'm excited about this week wrapping up a few projects and I hope to share some ideas with you as we begin a Monday morning here that I think will help you.
[00:00:52.000 --> 00:00:55.000]   I want to talk to you about being a go giver.
[00:00:55.000 --> 00:01:07.000]   Yes, I'm stealing that from Bob Berg, but I'm not going to steal his book, but I am going to talk about giving and investing in other people.
[00:01:07.000 --> 00:01:15.000]   I've been working hard the last couple of weeks to get back in the flow of normal life and as I begin this week, it's about 630 right now.
[00:01:15.000 --> 00:01:26.000]   I've been up kind of working through my plans, sketching out my goals, looking through this week and dealing with the priorities and working hard to get back into kind of the more normal flow of life.
[00:01:26.000 --> 00:01:34.000]   But as I was thinking about the shows that I wanted to do this week, I've wanted to just simply talk about the concept of the giving economy.
[00:01:34.000 --> 00:01:40.000]   I'm not coming at it this morning from the perspective of being a giver.
[00:01:40.000 --> 00:01:51.000]   Rather, I'm just simply coming at it with a heart of gratitude of being richly blessed and having been a receiver of the giving economy.
[00:01:51.000 --> 00:02:02.000]   It's just caused me to consider this morning how blessed I am and how I really don't deserve it and thinking about, number one, how I can return some of those blessings to other people.
[00:02:02.000 --> 00:02:13.000]   But also just the major impact of what a difference the blessings of other people helping me over the last weeks and months has made in my life.
[00:02:13.000 --> 00:02:15.000]   There are a few things that have come together.
[00:02:15.000 --> 00:02:30.000]   I'll just sketch out the two of them that really are top of mind and the two are childcare, helping with our very challenging baby, and also some of the help with transitioning and getting my house ready for the move.
[00:02:30.000 --> 00:02:37.000]   As I shared on a recent show, the last couple of months have been incredibly challenging.
[00:02:37.000 --> 00:02:46.000]   I don't know how my wife and I had so many things going on, and you've heard a little bit about that on the show here.
[00:02:46.000 --> 00:02:49.000]   You've even seen it in the frequency of shows.
[00:02:49.000 --> 00:02:55.000]   There was a week without any shows two weeks ago, and then last week I released two shows and getting this move done.
[00:02:55.000 --> 00:03:00.000]   It's all been part of the plan to simplify our lives, but frankly, it's just been challenging.
[00:03:00.000 --> 00:03:02.000]   And I'm not – again, don't be scared.
[00:03:02.000 --> 00:03:03.000]   I'm not here to complain.
[00:03:03.000 --> 00:03:17.000]   I'm actually just here to be grateful because I don't know how it would have been possible for me to really make any progress the last few weeks or for my family to survive without all of the help that we've received.
[00:03:17.000 --> 00:03:21.000]   And yet very little of the help that we've received has been paid help.
[00:03:21.000 --> 00:03:29.000]   Rather, it's been people out of their own goodwill and hearts choosing to help.
[00:03:29.000 --> 00:03:43.000]   A number of weeks ago, I went out to the Podcast Movement Conference, and when I – I had purposely delayed the decision to go until after the birth of our baby girl because I was waiting to see – you never know.
[00:03:43.000 --> 00:03:49.000]   When there's a birth – when you're expecting a child, you don't know how the birthing process is going to go.
[00:03:49.000 --> 00:03:52.000]   Everything could go great or everything could be challenging.
[00:03:52.000 --> 00:03:54.000]   You don't know how the baby is going to work out.
[00:03:54.000 --> 00:03:57.000]   You don't know if she's going to be happy, if she's going to be healthy.
[00:03:57.000 --> 00:03:59.000]   You don't know if she's going to be in the hospital for five months.
[00:03:59.000 --> 00:04:00.000]   You have no idea.
[00:04:00.000 --> 00:04:07.000]   So I purposely didn't book any tickets, didn't buy any, just didn't make any plans for the conference in advance.
[00:04:07.000 --> 00:04:11.000]   I waited until after she was here, and after she was here, the first couple of weeks seemed to be pretty simple.
[00:04:11.000 --> 00:04:13.000]   Mama was feeling good.
[00:04:13.000 --> 00:04:14.000]   Baby was feeling good.
[00:04:14.000 --> 00:04:15.000]   Everything seemed to settle in.
[00:04:15.000 --> 00:04:25.000]   So then I went ahead and made plans to go out to Texas for the Podcast Movement Conference and purchased my – made my plans.
[00:04:25.000 --> 00:04:37.000]   Right before I left, a couple of days before I left, everything started to get challenging and challenging both with our new baby and also with our young son.
[00:04:37.000 --> 00:04:45.000]   Both of them started to be extremely frustrated and our baby started to – they call it colic.
[00:04:45.000 --> 00:04:49.000]   Colic is basically an unexplained reason of why your baby cries more than three hours a day.
[00:04:49.000 --> 00:04:57.000]   There are a few theories on why it might happen but it's not directly attributable to a clear cause, something that you can clearly fix.
[00:04:57.000 --> 00:05:04.000]   All of a sudden, everything got started to get very challenging for my wife.
