
[00:00:00.000 --> 00:00:01.080]   Hey, everyone.
[00:00:01.080 --> 00:00:02.960]   Welcome to the Latent Space Podcast.
[00:00:02.960 --> 00:00:06.640]   This is Alessio, partner at CTN Residence at Decibel Partners.
[00:00:06.640 --> 00:00:09.520]   And I'm joined by my co-host, Swiggs, founder of Small AI.
[00:00:09.520 --> 00:00:10.020]   Hello.
[00:00:10.020 --> 00:00:13.360]   We're back in the remote studio with Jason Liu from Instructure.
[00:00:13.360 --> 00:00:14.120]   Welcome, Jason.
[00:00:14.120 --> 00:00:14.620]   Hey there.
[00:00:14.620 --> 00:00:16.440]   Thanks for having me.
[00:00:16.440 --> 00:00:18.440]   Jason, you are extremely famous.
[00:00:18.440 --> 00:00:20.720]   So I don't know what I'm going to do introducing you.
[00:00:20.720 --> 00:00:24.220]   But you're one of the Waterloo clan.
[00:00:24.220 --> 00:00:26.520]   There's a small cadre of you that's just completely
[00:00:26.520 --> 00:00:28.600]   dominating machine learning.
[00:00:28.600 --> 00:00:30.520]   Actually, can you list Waterloo alums
[00:00:30.520 --> 00:00:33.480]   that you know are just dominating and crushing it
[00:00:33.480 --> 00:00:34.600]   right now?
[00:00:34.600 --> 00:00:42.320]   So John from Ryasana is doing his inversion models.
[00:00:42.320 --> 00:00:45.040]   I know there's Clive Chen.
[00:00:45.040 --> 00:00:46.120]   Clive Chen from Waterloo.
[00:00:46.120 --> 00:00:49.640]   He was one of the kids where I-- when I started the data science
[00:00:49.640 --> 00:00:51.880]   club, he was one of the guys who was joining in and just
[00:00:51.880 --> 00:00:52.920]   hanging out in the room.
[00:00:52.920 --> 00:00:56.160]   And now he was at Tesla, working with Harpathy.
[00:00:56.160 --> 00:00:58.280]   Now he's at OpenAI.
[00:00:58.280 --> 00:01:00.640]   He's in my climbing club.
[00:01:00.640 --> 00:01:01.440]   Oh, hell yeah.
[00:01:01.440 --> 00:01:02.160]   Yeah.
[00:01:02.160 --> 00:01:05.200]   I haven't seen him in like six years now.
[00:01:05.200 --> 00:01:07.320]   To get in the social scene in San Francisco,
[00:01:07.320 --> 00:01:08.720]   you have to climb.
[00:01:08.720 --> 00:01:12.000]   So yeah, both in career and in rocks.
[00:01:12.000 --> 00:01:14.120]   Yeah, I mean, a lot of good problem solving there.
[00:01:14.120 --> 00:01:16.840]   But oh man, I feel like now that you put me on the spot,
[00:01:16.840 --> 00:01:17.840]   I don't know.
[00:01:17.840 --> 00:01:19.760]   It's OK.
[00:01:19.760 --> 00:01:20.920]   Yeah, that was a riff.
[00:01:20.920 --> 00:01:23.760]   OK, but anyway, so you started a data science club at Waterloo.
[00:01:23.760 --> 00:01:24.840]   We can talk about that.
[00:01:24.840 --> 00:01:29.000]   But then also spent five years at Stitch Fix as an MLDE.
[00:01:29.000 --> 00:01:31.400]   You pioneered the use of OpenAI's LLMs
[00:01:31.400 --> 00:01:33.440]   to increase stylus efficiency.
[00:01:33.440 --> 00:01:35.360]   So you must have been a very, very early user.
[00:01:35.360 --> 00:01:37.840]   This was pretty early on.
[00:01:37.840 --> 00:01:42.200]   Yeah, I mean, this was like GBD3.
[00:01:42.200 --> 00:01:46.600]   OK, so we actually were using transformers at Stitch Fix
[00:01:46.600 --> 00:01:47.600]   before the GBD3 model.
[00:01:47.600 --> 00:01:49.640]   So we were just using transformers recommendation
[00:01:49.640 --> 00:01:50.140]   systems.
[00:01:50.140 --> 00:01:53.680]   At that time, I was very skeptical of transformers.
[00:01:53.680 --> 00:01:55.760]   I was like, why do we need all this infrastructure?
[00:01:55.760 --> 00:01:57.520]   We can just use matrix factorization.
[00:01:57.520 --> 00:02:00.480]   When GBD2 came out, I fine tuned my own GBD2
[00:02:00.480 --> 00:02:01.600]   to write rap lyrics.
[00:02:01.600 --> 00:02:03.240]   And I was like, OK, this is cute.
[00:02:03.240 --> 00:02:05.320]   OK, I got to go back to my real job.
[00:02:05.320 --> 00:02:08.400]   Who cares if I can write a rap lyric?
[00:02:08.400 --> 00:02:11.480]   When GBD3 Instruct came out, again, I
[00:02:11.480 --> 00:02:15.720]   was very much like, why are we using a POST request
[00:02:15.720 --> 00:02:17.920]   to review every comment a person leaves?
[00:02:17.920 --> 00:02:19.840]   We can just use classical models.
[00:02:19.840 --> 00:02:23.800]   So I was very against language models for the longest time.
[00:02:23.800 --> 00:02:25.680]   And then when ChachiPD came out, I basically
[00:02:25.680 --> 00:02:29.000]   just wrote a long apology letter to everyone at the company.
[00:02:29.000 --> 00:02:31.560]   I was like, hey, guys, I was very dismissive
[00:02:31.560 --> 00:02:32.680]   of some of this technology.
[00:02:32.680 --> 00:02:34.120]   I didn't think it would scale well.
[00:02:34.120 --> 00:02:35.540]   And I am wrong.
[00:02:35.540 --> 00:02:36.920]   This is incredible.
[00:02:36.920 --> 00:02:38.400]   And I immediately just transitioned
[00:02:38.400 --> 00:02:42.240]   to go from computer vision recommendation systems to LLMs.
[00:02:42.240 --> 00:02:44.120]   But funny enough, now that we have RAG,
[00:02:44.120 --> 00:02:46.440]   we're kind of going back to recommendation systems.
[00:02:46.440 --> 00:02:49.020]   Yeah, speaking of that, I think Alessio's going to bring up--
[00:02:49.020 --> 00:02:51.520]   I was going to say, we had Brian Bishop from Max
[00:02:51.520 --> 00:02:52.800]   on the podcast.
[00:02:52.800 --> 00:02:54.400]   Did you overlap Stitch Fix?
[00:02:54.400 --> 00:02:56.760]   Yeah, yeah, he was one of my main users
[00:02:56.760 --> 00:02:58.480]   of the recommendation framework that I
[00:02:58.480 --> 00:02:59.840]   had built out at Stitch Fix.
[00:02:59.840 --> 00:03:02.880]   Yeah, we talked a lot about Rexis, so it makes sense.
[00:03:02.880 --> 00:03:05.920]   So I actually, now I have adopted that line,
[00:03:05.920 --> 00:03:08.080]   that RAG is Rexis.
[00:03:08.080 --> 00:03:10.760]   And if you're trying to reinvent new concepts,
[00:03:10.760 --> 00:03:13.120]   you should study Rexis first, because you're
[00:03:13.120 --> 00:03:15.160]   going to independently reinvent a lot of concepts.
[00:03:15.160 --> 00:03:16.640]   So your system was called Flight.
[00:03:16.640 --> 00:03:19.100]   It's a recommendation framework with over 80% adoption,
[00:03:19.100 --> 00:03:22.300]   servicing 350 million requests every day.
[00:03:22.300 --> 00:03:24.220]   Wasn't there something existing at Stitch Fix?
[00:03:24.220 --> 00:03:26.460]   Like, why did you have to write one from scratch?
[00:03:26.460 --> 00:03:29.980]   No, so I think because at Stitch Fix, a lot of the machine
[00:03:29.980 --> 00:03:31.580]   learning engineers and data scientists
[00:03:31.580 --> 00:03:34.620]   were writing production code, sort of every team's systems
[00:03:34.620 --> 00:03:36.140]   were very bespoke.
[00:03:36.140 --> 00:03:39.860]   It's like, this team only needs to do real-time recommendations
[00:03:39.860 --> 00:03:42.260]   with small data, so they just have a fast API
[00:03:42.260 --> 00:03:44.300]   app with some Panda's code.
[00:03:44.300 --> 00:03:46.160]   This other team has to do a lot more data,
[00:03:46.160 --> 00:03:47.700]   so they have some kind of Spark job
[00:03:47.700 --> 00:03:51.320]   that does some batch ETL that does a recommendation, right?
[00:03:51.320 --> 00:03:54.020]   And so what happens is each team writes their code differently,
[00:03:54.020 --> 00:03:56.340]   and I have to come in and refactor their code.
[00:03:56.340 --> 00:03:58.380]   And I was like, oh, man, I'm refactoring
[00:03:58.380 --> 00:04:01.660]   four different code bases four different times.
[00:04:01.660 --> 00:04:04.580]   Wouldn't it be better if all the code quality was my fault?
[00:04:04.580 --> 00:04:06.660]   All right, well, let me just write this framework,
[00:04:06.660 --> 00:04:09.180]   force everyone else to use it, and now one person
[00:04:09.180 --> 00:04:12.740]   can maintain five different systems rather than five teams
[00:04:12.740 --> 00:04:14.860]   having their own bespoke system.
[00:04:14.860 --> 00:04:18.200]   And so it was really a need of just standardizing everything.
[00:04:18.200 --> 00:04:22.000]   And then once you do that, you can do observability
[00:04:22.000 --> 00:04:25.760]   across the entire pipeline and make large, sweeping
[00:04:25.760 --> 00:04:28.120]   improvements in this infrastructure.
[00:04:28.120 --> 00:04:30.160]   If we notice that something is slow,
[00:04:30.160 --> 00:04:33.320]   we can detect it on the operator layer.
[00:04:33.320 --> 00:04:35.960]   Just, hey, hey, this team, you guys are doing this operation.
[00:04:35.960 --> 00:04:38.640]   It's lowering our latency by 30%.
[00:04:38.640 --> 00:04:42.440]   If you just optimize your Python code here,
[00:04:42.440 --> 00:04:44.360]   we can probably make an extra million dollars.
[00:04:44.360 --> 00:04:46.580]   Like, jump on a call and figure this out.
[00:04:46.580 --> 00:04:49.880]   And then a lot of it was just doing all this observability
[00:04:49.880 --> 00:04:52.100]   work to figure out what the heck is going on
[00:04:52.100 --> 00:04:54.360]   and optimize this system from not only just a code
[00:04:54.360 --> 00:04:58.600]   perspective, but just harassing the org and saying,
[00:04:58.600 --> 00:05:00.120]   we need to add caching here.
[00:05:00.120 --> 00:05:01.800]   We're doing duplicated work here.
[00:05:01.800 --> 00:05:03.920]   Let's go clean up the systems.
[00:05:03.920 --> 00:05:05.400]   Yeah.
[00:05:05.400 --> 00:05:07.720]   One more system that I'm interested in finding out
[00:05:07.720 --> 00:05:10.040]   more about is your similarity search system
[00:05:10.040 --> 00:05:13.760]   using Qlip and GPT-3 embedding in FICE,
[00:05:13.760 --> 00:05:17.240]   where you said over $50 million in annual revenue.
[00:05:17.240 --> 00:05:19.560]   So of course, they all gave all that to you, right?
[00:05:19.560 --> 00:05:20.240]   No, no.
[00:05:20.240 --> 00:05:22.200]   I mean, it's not going up and down.
[00:05:22.200 --> 00:05:25.640]   But I got a little bit, so I'm pretty happy about that.
[00:05:25.640 --> 00:05:31.480]   But there, that was when we were doing fine-tuning ResNets
