
[00:00:00.000 --> 00:00:01.480]   Hello, everybody.
[00:00:01.480 --> 00:00:04.400]   It's Sam from the Financial Samurai Podcast.
[00:00:04.400 --> 00:00:08.440]   In this episode, I have a special guest with me, Andre Nader.
[00:00:08.440 --> 00:00:12.760]   He used to work at Facebook Meta for about nine years.
[00:00:12.760 --> 00:00:15.880]   He's based in the San Francisco Bay Area.
[00:00:15.880 --> 00:00:22.080]   I'd love to talk to him about his FIRE journey and what he is doing post-Meta.
[00:00:22.080 --> 00:00:23.080]   Say hello.
[00:00:23.080 --> 00:00:24.080]   Andre Nader Hey, Sam.
[00:00:24.080 --> 00:00:25.080]   Thanks for having me.
[00:00:25.080 --> 00:00:29.360]   I'm really excited to get to chat with you a little bit more about my journey and being
[00:00:29.360 --> 00:00:34.480]   at Meta for nine years and then the next steps that I'm still trying to figure out and talk
[00:00:34.480 --> 00:00:35.480]   through that with you.
[00:00:35.480 --> 00:00:36.480]   Sam: Yeah.
[00:00:36.480 --> 00:00:41.920]   Well, we first, I guess, connected over Twitter or I saw an article about you somewhere and
[00:00:41.920 --> 00:00:46.480]   I signed up for your newsletter, which I thought was really fascinating and really in-depth,
[00:00:46.480 --> 00:00:51.920]   particularly for those working in big tech and in tech in general in an expensive location.
[00:00:51.920 --> 00:00:55.600]   I really appreciate the detail you went through.
[00:00:55.600 --> 00:01:01.400]   During my book tour with Buy This, Not That, you were gracious to host me at Meta to talk
[00:01:01.400 --> 00:01:07.200]   to I think 500 to 600 people over the course of an hour.
[00:01:07.200 --> 00:01:10.920]   And then you've just been really graceful in helping me just spread the word.
[00:01:10.920 --> 00:01:14.320]   So I really appreciate what you're doing.
[00:01:14.320 --> 00:01:16.080]   In the beginning, tell me about your newsletter.
[00:01:16.080 --> 00:01:17.080]   When did you start it?
[00:01:17.080 --> 00:01:21.160]   How many subscribers do you have now and where can people sign up?
[00:01:21.160 --> 00:01:22.160]   Andre Nader Yeah.
[00:01:22.160 --> 00:01:23.160]   No, definitely.
[00:01:23.160 --> 00:01:27.960]   My newsletter, it's called Fang Fire, so F-A-N-G Fire.
[00:01:27.960 --> 00:01:29.400]   Right now it's hosted on Substack.
[00:01:29.400 --> 00:01:34.000]   So the link is my name, andrenader.substack.com.
[00:01:34.000 --> 00:01:40.240]   I also have a shortcut that you can get to if you type in avocadofire.com, it'll take
[00:01:40.240 --> 00:01:42.480]   you straight there.
[00:01:42.480 --> 00:01:44.720]   I'm slowly trying to make Avocado Fire a thing.
[00:01:44.720 --> 00:01:49.320]   If I keep saying it over and over enough, it will eventually start sticking and I'll
[00:01:49.320 --> 00:01:51.880]   get my own definition.
[00:01:51.880 --> 00:01:55.280]   But I started writing I think about two years back.
[00:01:55.280 --> 00:02:00.040]   And what I was finding was there's so much good fire content out there.
[00:02:00.040 --> 00:02:08.480]   I think among you and a dozen other people posting and just having such good in-depth
[00:02:08.480 --> 00:02:09.480]   information.
[00:02:09.480 --> 00:02:18.160]   But what I felt was kind of missing is this interesting perspective of being in a big
[00:02:18.160 --> 00:02:25.920]   tech company, working on the coasts in these expensive areas, and going into fine detail
[00:02:25.920 --> 00:02:28.440]   like what exactly should I be doing?
[00:02:28.440 --> 00:02:34.680]   Because I think there's a lot of the fire foundation isn't different regardless of whether
[00:02:34.680 --> 00:02:39.080]   you're making 50,000 or 250,000 or more.
[00:02:39.080 --> 00:02:43.920]   But there's a lot of nuance that comes particularly when you're in tech around just understanding
[00:02:43.920 --> 00:02:45.040]   compensation.
[00:02:45.040 --> 00:02:48.360]   If you talk to someone in tech and ask them, "How much do you get paid?"
[00:02:48.360 --> 00:02:53.440]   It's really surprising how often they understand how much they were offered when they first
[00:02:53.440 --> 00:02:56.800]   signed up or they have some rough idea of their base salary.
[00:02:56.800 --> 00:03:02.680]   But so much as you advance in your tech career ends up coming from RSUs and stock-based compensation
[00:03:02.680 --> 00:03:05.480]   and different employee stock plans.
[00:03:05.480 --> 00:03:08.040]   And it becomes a little bit confusing.
[00:03:08.040 --> 00:03:12.880]   And you have these incredibly intelligent people that are very good at specific things.
[00:03:12.880 --> 00:03:16.720]   And then it's not always like the financial piece just doesn't come for free and you need
[00:03:16.720 --> 00:03:19.780]   to understand and learn it a little bit more.
[00:03:19.780 --> 00:03:22.240]   So I was just wanting to go through and explain to people.
[00:03:22.240 --> 00:03:26.760]   One, I was just starting from a place of in my own personal journey of I'm planning myself
[00:03:26.760 --> 00:03:32.360]   for fire and I'm a data analyst by trade.
[00:03:32.360 --> 00:03:36.560]   So naturally that comes with a lot of spreadsheets and doing a lot of planning for myself and
[00:03:36.560 --> 00:03:40.080]   creating a lot of dashboards around just me even answering that question.
[00:03:40.080 --> 00:03:41.600]   How much do I make?
[00:03:41.600 --> 00:03:42.600]   What is my total comp?
[00:03:42.600 --> 00:03:44.040]   What is my total comp today?
[00:03:44.040 --> 00:03:45.800]   Facebook stock just dropped 20%.
[00:03:45.800 --> 00:03:46.800]   What is it now?
[00:03:46.800 --> 00:03:49.240]   And being able to quickly answer those questions.
[00:03:49.240 --> 00:03:52.080]   And it started with just building out these different tools and then writing about the
[00:03:52.080 --> 00:03:53.400]   tools.
[00:03:53.400 --> 00:03:57.520]   And then people started finding them valuable.
[00:03:57.520 --> 00:04:00.760]   And within Meta there's the fire community.
[00:04:00.760 --> 00:04:04.520]   I think when I left we had about 11,000 people that were part of it.
[00:04:04.520 --> 00:04:08.080]   So having that community of people that were going through similar circumstances I found
[00:04:08.080 --> 00:04:09.160]   like really, really valuable.
[00:04:09.160 --> 00:04:14.960]   So that's why I started writing was contributing both to the internal Meta fire community,
[00:04:14.960 --> 00:04:17.320]   but just as well as like the broader FANG community.
[00:04:17.320 --> 00:04:23.100]   The compensation is similar across a lot of big tech in how it works.
