
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:05.880]   - Welcome friends to this episode
[00:00:05.880 --> 00:00:08.700]   of the Everyday Educator podcast.
[00:00:08.700 --> 00:00:10.480]   I'm your host, Lisa Bailey,
[00:00:10.480 --> 00:00:13.880]   and I'm excited to spend some time with you today
[00:00:13.880 --> 00:00:17.720]   as we encourage one another, learn together,
[00:00:17.720 --> 00:00:20.680]   and ponder the delights and challenges
[00:00:20.680 --> 00:00:24.120]   that make homeschooling the adventure of a lifetime.
[00:00:24.120 --> 00:00:26.320]   Whether you're just considering
[00:00:26.320 --> 00:00:28.520]   this homeschooling possibility,
[00:00:28.520 --> 00:00:33.040]   or deep into the daily delight of family learning,
[00:00:33.040 --> 00:00:37.300]   I believe you'll enjoy thinking along with us.
[00:00:37.300 --> 00:00:38.440]   But don't forget,
[00:00:38.440 --> 00:00:41.880]   although this online community is awesome,
[00:00:41.880 --> 00:00:46.880]   you'll find even closer support in a local CC community.
[00:00:46.880 --> 00:00:51.680]   So go to classicalconversations.com
[00:00:51.680 --> 00:00:55.580]   and find a community near you today.
[00:00:56.860 --> 00:00:59.920]   - Well, listeners, welcome to January.
[00:00:59.920 --> 00:01:02.960]   I mean, it seems to me to be easily
[00:01:02.960 --> 00:01:05.800]   the longest month in the calendar
[00:01:05.800 --> 00:01:07.820]   because for many of us,
[00:01:07.820 --> 00:01:11.920]   it's darker than usual and colder than usual,
[00:01:11.920 --> 00:01:13.880]   and we've left behind the glory
[00:01:13.880 --> 00:01:16.320]   and the brightness of the holidays,
[00:01:16.320 --> 00:01:18.680]   and now we are back into it,
[00:01:18.680 --> 00:01:23.680]   and it sometimes can look just like a slog ahead
[00:01:24.600 --> 00:01:29.380]   for as far as we can see, but I've got some news for you.
[00:01:29.380 --> 00:01:34.380]   There are some ways that we can define or redefine success,
[00:01:34.380 --> 00:01:39.020]   some beautiful ways of looking at what the Lord has done
[00:01:39.020 --> 00:01:42.620]   in our family over the last fall
[00:01:42.620 --> 00:01:47.620]   and what he can do with us as spring approaches.
