
[00:00:00.080 --> 00:00:04.720]   this year google talked about ai very differently this time they want you to sit up they want you
[00:00:04.720 --> 00:00:09.600]   to lean in they want you to pay them 250 and they want you to get to work i've been working every
[00:00:09.600 --> 00:00:14.800]   hour there is for the last 20 years because i felt the how important and momentous this this
[00:00:14.800 --> 00:00:20.000]   technology would be whether it's five years or ten years or two years that they're all actually
[00:00:20.000 --> 00:00:24.720]   quite short timelines when you're talking discussing what were the enormity of the
[00:00:24.720 --> 00:00:28.240]   transformation of this technology you know this technology is going to bring when you see when i
[00:00:28.240 --> 00:00:33.680]   see a van goff you know hair's gone back my spine because of i remember what they went through
[00:00:33.680 --> 00:00:38.320]   and um the struggle to produce that right in every brush stroke of van goff's brush strokes
[00:00:38.320 --> 00:00:41.520]   even if the ai mimicked that and you were told that it was like so what
[00:00:41.520 --> 00:00:51.760]   now there's a very large what looks like a circus tent over there what do you think's going on in
[00:00:51.760 --> 00:00:56.320]   there that is from the amphitheater oh that's the amphitheater under that tent yes i thought that was
[00:00:56.320 --> 00:01:00.800]   just some carnival that they were setting up for employees okay my mistake i thought ringling
[00:01:00.800 --> 00:01:04.880]   brothers had entered into a partnership with a revival tent they're bringing christianity back
[00:01:04.880 --> 00:01:12.400]   i'm kevin russe a tech columnist at the new york times i'm casey newton from platformer and this is
[00:01:12.400 --> 00:01:17.520]   hard fork this week our field trip to google will tell you all about everything the company announced at
[00:01:17.520 --> 00:01:23.760]   its biggest show of the year then google deep mind ceo demis hasabas returns to the show to discuss the
[00:01:23.760 --> 00:01:30.000]   road to agi the future of education and what life could look like in 2030 kevin being very old for
[00:01:30.000 --> 00:01:36.000]   starters somebody did ask me text me to ask why i freaking yell the name of the show every episode
[00:01:36.000 --> 00:01:40.240]   did you say it's because i started yelling my name i said it's because of the cold brew well
[00:01:40.240 --> 00:01:46.800]   casey our decor is a little different this week it's i'll say it it looks better yes we are not in
[00:01:46.800 --> 00:01:51.360]   our normal studio in san francisco we are down in mountain view california where we are inside google's
[00:01:51.360 --> 00:01:56.720]   headquarters i'm just thrilled to be sitting here surrounded by so much training data that's what
[00:01:56.720 --> 00:02:02.880]   they call books here at google so we are here because this week is google's annual developer
[00:02:02.880 --> 00:02:07.680]   conference google io there were many many announcements from a parade of google executives
[00:02:07.680 --> 00:02:13.200]   about all the ai stuff that they have coming and uh we are going to talk in a little bit with uh
[00:02:13.200 --> 00:02:18.800]   demis hasabas who is the ceo of google deep mind essentially their ai division who's been driving a
[00:02:18.800 --> 00:02:24.320]   lot of these ai projects forward but first let's just sort of set the scene for people uh because i don't
[00:02:24.320 --> 00:02:31.440]   think we've ever been together at an io before so what is it like so google io has a bit of a festival
[00:02:31.440 --> 00:02:38.480]   atmosphere it takes place at the shoreline amphitheater which is a concert venue uh but once a year it gets
[00:02:38.480 --> 00:02:45.920]   transformed into a sort of nerd concert where instead of seeing musicians perform you see google employees
[00:02:45.920 --> 00:02:52.800]   vibe coding on stage yes there's a vibe coding demo um there were many other things i i did actually
[00:02:52.800 --> 00:02:58.160]   see uh as i was leaving the uh google acapella group google pella was like sort of doing their
[00:02:58.160 --> 00:03:03.200]   warm-ups in anticipation of doing some concert so you've got some like old school google vibes here
[00:03:03.200 --> 00:03:08.000]   but uh also a lot of excitement around all the ai stuff so now i didn't see google pella perform
[00:03:08.000 --> 00:03:11.360]   where was this performance i didn't see them perform either i just saw them warming up they were
[00:03:11.360 --> 00:03:15.040]   sort of doing their scales they sounded great you know what i bet it was a classic acapella situation
[00:03:15.040 --> 00:03:17.680]   where they warmed up and someone came up to them and they said please don't perform
[00:03:19.920 --> 00:03:23.520]   all right kevin well before we get into it shall we say our disclosures yes i work for the new york
[00:03:23.520 --> 00:03:28.080]   times which is suing open ai and microsoft uh over copyright violations related to training of ai
[00:03:28.080 --> 00:03:33.520]   systems and my boyfriend works in anthropic a google investment oh that's right yeah so let's talk about
[00:03:33.520 --> 00:03:38.640]   some of what was announced this week there was so so much we can't get to all of it but uh what were
[00:03:38.640 --> 00:03:44.240]   the highlights from your perspective well so look i wrote a column about this kevin i felt a little bit like
[00:03:44.240 --> 00:03:49.760]   like i was in a fever dream at this conference you know i think often it is the case at a developer
[00:03:49.760 --> 00:03:54.400]   conference where they'll sort of try to break it out into one two three big bullet points this one felt
[00:03:54.400 --> 00:04:01.840]   a little bit like a fire hose of stuff and so by the end i'm looking at my notes saying okay so email's
[00:04:01.840 --> 00:04:09.040]   gonna start writing in my voice and i can turn my pdfs into video ted talks sure why not um so i had a
[00:04:09.040 --> 00:04:14.800]   a little bit of fever of dream mentality what was your feeling yeah i told someone uh yesterday that
[00:04:14.800 --> 00:04:18.720]   i thought the name of the event should have been everything everywhere all at once like that didn't
[00:04:18.720 --> 00:04:24.160]   actually feel like what they were saying is like every google product that you use is going to have
[00:04:24.160 --> 00:04:30.320]   more ai that ai is going to be better and it is all going to make your life better in various ways
[00:04:30.320 --> 00:04:35.040]   uh but it was a lot to keep track of yeah i mean look if we were going to try to to pull out one very
[00:04:35.040 --> 00:04:40.720]   obvious theme from everything that we saw it was ai is coming to all of the things and it's probably
[00:04:40.720 --> 00:04:45.120]   worth drilling down a little bit into what some of those things are yeah so the thing that got
[00:04:45.120 --> 00:04:49.680]   my attention and i was sitting right next to you uh the one time when i really noticed you perking
[00:04:49.680 --> 00:04:55.920]   up was when they started talking about this new ai mode in google search their core search product so
[00:04:55.920 --> 00:05:00.880]   talk about ai mode and what they announced yesterday so kevin this gets a little confusing
[00:05:00.880 --> 00:05:06.160]   because there are now three different kinds of major google searches i would say there is the
[00:05:06.160 --> 00:05:11.680]   normal google search which is now augmented in many cases by what they call ai overviews which is sort
[00:05:11.680 --> 00:05:16.800]   of ai answer at the top yeah that's the little thing that will tell you like what the meaning of phrases
[00:05:16.800 --> 00:05:20.000]   like you can't like a badger twice is right that's right and if you don't know the meaning of that google
[00:05:20.000 --> 00:05:26.160]   it um so that's sort of the thing one thing two is the gemini app which is kind of like a one-for-one
[00:05:26.160 --> 00:05:31.360]   like chat gpt competitor that's in its own you know standalone app standalone website
[00:05:31.360 --> 00:05:36.800]   and then the big thing that they announced this week was ai mode which has been in testing for a
[00:05:36.800 --> 00:05:42.400]   little while and i think this sort of lands in between the first two things right it is a tab
[00:05:42.400 --> 00:05:46.480]   now within search and this is rolling out to everybody in the united states and a few other
[00:05:46.480 --> 00:05:52.400]   countries and you sort of tap over there and now you can have the sort of longer you know multi-step
[00:05:52.400 --> 00:05:57.360]   questions that you might have with a gemini or a chat gpt but you can do it right from the google
[00:05:57.360 --> 00:06:01.840]   search interface yeah and i've been playing with this feature for a few weeks now it was in their labs
[00:06:01.840 --> 00:06:07.040]   section so you could try it out if you were enrolled in that um and it's it's really nice like it's a
[00:06:07.040 --> 00:06:13.920]   very clean thing there's no ads yet uh they will probably appear soon it does this thing called the fan
[00:06:13.920 --> 00:06:20.240]   out which is is very funny to me like you ask it a question and it kind of dispatches like a bunch of
[00:06:20.240 --> 00:06:24.640]   different google searches to like crawl a bunch of different web pages and like bring you back the
[00:06:24.640 --> 00:06:29.040]   answer and it actually tells you like how many searches it is doing and how many different websites
[00:06:29.040 --> 00:06:35.360]   it's doing so i asked it for example like how much does a costco membership cost it's there 72 websites
[00:06:35.360 --> 00:06:42.480]   for the answer to that question so ai mode is very very eager to answer your question even if it does
[00:06:42.480 --> 00:06:47.680]   verge on overkill sometimes yeah well so uh you know you and i had a chance to meet with robbie stein who is
