
[00:00:00.000 --> 00:00:20.960]   Hi everyone, I'll try to touch on three main things and mainly how AI moved from excellence
[00:00:20.960 --> 00:00:26.880]   in structured data to LLMs and the use of unstructured data that most of our organizations
[00:00:26.880 --> 00:00:34.160]   have and also we'll touch on intelligence augmentation and really the hype around AGI and the doomsday
[00:00:34.160 --> 00:00:40.320]   and finally we'll briefly talk about the challenges and technical debt and highlight the findings
[00:00:40.320 --> 00:00:50.400]   that we have published recently. So over the last 10 to 15 years most of the AI values that we have
[00:00:50.400 --> 00:00:56.800]   seen is really coming from structured data and we have seen supervised learning and deep learning
[00:00:56.800 --> 00:01:03.840]   doing really well at labeling things and but this is not the reality like most of the organizations it's
[00:01:03.840 --> 00:01:10.160]   estimated that most of the organization's data is unstructured specifically more than 80 percent of
[00:01:10.160 --> 00:01:17.600]   the organization's data is unstructured and it's also estimated that 71 percent of them really struggle in
[00:01:17.600 --> 00:01:25.120]   managing and and securing this kind of data and it would have been ideal to really build automated systems
[00:01:25.120 --> 00:01:33.520]   try to do certain recommendations based on this data but now it's easy to to really use it and and have it to
[00:01:33.520 --> 00:01:42.160]   contextualize or customize the contextual language models so you can easily have this as an extended memory to
[00:01:42.160 --> 00:01:47.760]   to your language model and have it formulate answers based on the domain specific data
[00:01:47.760 --> 00:01:57.680]   data that you have within your organization and talking about the AGI and and and the way we see
[00:01:57.680 --> 00:02:06.640]   LLMs or generative AI in general at MasterCard it's really augmenting human productivity and and we have seen
[00:02:06.640 --> 00:02:12.960]   a lot of hype around you know generative AI is going to replace our jobs and and doomsday and it's taken
[00:02:12.960 --> 00:02:19.680]   over and I I recommend you this great article from from nature which is really talking about uh stop
[00:02:19.680 --> 00:02:26.480]   talking about tomorrow's AI doomsday when AI poses risks today so stop doing speculations about what
[00:02:26.480 --> 00:02:32.880]   AI will become tomorrow and what kind of risks uh that that will have tomorrow and really focus
[00:02:32.880 --> 00:02:39.360]   about the the current risk that it poses today and and funny enough some of the the the big speakers about
[00:02:39.360 --> 00:02:45.120]   the doomsday are actually ones who have AI systems out there to the end users with with a lot of risks
[00:02:45.120 --> 00:02:51.120]   that we have seen uh in the past uh and and this of course will help regulators as well be more focused
[00:02:51.120 --> 00:02:57.520]   like if we highlight the current risks and so it will help them more focused to have the laws and policies
[00:02:57.520 --> 00:03:04.720]   that can really help them regulate the current AI systems and at the same time be uh early sort of uh or
[00:03:04.720 --> 00:03:12.320]   proactive enough to to adopt any new laws whenever new algorithmic approach uh come up uh also when
[00:03:12.320 --> 00:03:17.600]   it comes to the algorithmic foundation like you know like you know AI and genitive AI specifically has
[00:03:17.600 --> 00:03:25.120]   been transforming our lives in so many ways but the algorithmic foundations itself behind LLMs is not really
[00:03:25.120 --> 00:03:32.160]   the ones that will get us to AGI and also I recommend this talk from Lacoon one of the fathers of machine learning
[00:03:32.160 --> 00:03:39.280]   where he talks about the objective driven uh learning um and the whole idea that you know you know despite
[00:03:39.280 --> 00:03:46.000]   the fact that it's transforming our life in so many ways it's really so dumb at the core of it uh and it's
