
[00:00:00.000 --> 00:00:03.800]   Hello everybody, it's Sam from Financial Samurai and in this podcast
[00:00:03.800 --> 00:00:09.840]   I want to talk about the regrets of someone selling his online business for millions of dollars
[00:00:09.840 --> 00:00:14.840]   Because I really want to highlight that money really isn't the focal point
[00:00:14.840 --> 00:00:19.620]   for happiness and you hear it all the time money doesn't buy happiness
[00:00:19.620 --> 00:00:23.200]   but I seriously believe after certain amount whether it's about
[00:00:23.200 --> 00:00:26.600]   $75,000 if you're living in the heartland of America or
[00:00:27.640 --> 00:00:33.780]   $40,000 if you're living in an expensive coastal city once you have enough money to provide food shelter
[00:00:33.780 --> 00:00:38.580]   You know general living expenses entertainment some travel
[00:00:38.580 --> 00:00:45.080]   You're not gonna be that much happier if you have a lot more money. I've been tracking my money journey since
[00:00:45.080 --> 00:00:52.640]   2009 you know publicly but privately I've been writing about my money thoughts since 1999 when I first had a job and
[00:00:53.000 --> 00:00:58.080]   You know, I've gone from what $40,000 base salary living in New York City, which is like
[00:00:58.080 --> 00:01:05.760]   $24,000 a year living in Texas Dallas or Houston. It wasn't that much money and I was working
[00:01:05.760 --> 00:01:10.260]   70 80 hours a week and then I got to a point where I was making
[00:01:10.260 --> 00:01:15.560]   15 times that and still working about 60 hours a week, but I wasn't much happier
[00:01:15.560 --> 00:01:17.480]   In fact, I was kind of miserable
[00:01:17.480 --> 00:01:22.180]   Which is why I left my day job in 2012 to make no money because I wanted freedom
[00:01:22.180 --> 00:01:26.280]   I really wanted freedom and freedom is the X factor that
[00:01:26.280 --> 00:01:29.920]   Will allow you to feel like the richest person in the world
[00:01:29.920 --> 00:01:36.600]   if you got that compared to a billionaire who has to answer to thousands of shareholders and the stocks not doing well and
[00:01:36.600 --> 00:01:38.840]   He or she's constantly under stress
[00:01:38.840 --> 00:01:41.520]   so this podcast
[00:01:41.720 --> 00:01:49.400]   encapsulates one person's journey and thoughts and feelings on what transpired after he sold his online business for 2.8 million dollars and
[00:01:49.400 --> 00:01:53.320]   What he would have done differently and why he wished he would have held on
[00:01:53.320 --> 00:01:55.760]   For the past six months now
[00:01:55.760 --> 00:02:01.120]   I've been trying to figure out what to do with financial samurai after achieving the 10-year anniversary mark
[00:02:01.120 --> 00:02:03.480]   It takes a lot of work recording this podcast
[00:02:03.480 --> 00:02:09.360]   Writing posts responding to comments and emails and so forth, but it's been part of my life right for so long
[00:02:09.360 --> 00:02:16.200]   And I really thought about selling the site because I just want to do some new things, you know after 10 years
[00:02:16.200 --> 00:02:21.360]   I kind of have this 10 year cycle in me and then maybe I have I don't know
[00:02:21.360 --> 00:02:23.280]   Hopefully four more 10 years and I'm dead
[00:02:23.280 --> 00:02:29.380]   So we all got a thing about these cycles some cycles are longer than others because some of us have different endurance
[00:02:29.380 --> 00:02:31.480]   qualities than others
[00:02:31.480 --> 00:02:37.320]   So I've been searching searching for reasons why I should sell and searching for reasons why I shouldn't sell
[00:02:37.320 --> 00:02:40.640]   And this is a good practice for all of you guys to do
[00:02:40.640 --> 00:02:46.520]   Because if you decide to do something you're gonna find reasons why it's right to do that something
[00:02:46.520 --> 00:02:50.960]   So you also got to find reasons and be subjective not subjective
[00:02:50.960 --> 00:02:56.400]   Objective and try to find the other side so you can see all sides of the equation
[00:02:56.400 --> 00:03:00.760]   So a friend of mine sold his website for 2.8 million in
[00:03:01.520 --> 00:03:07.960]   2010 he started it for a thousand dollars back then and when I started financial salmon 2009
[00:03:07.960 --> 00:03:13.960]   It was also about a thousand dollars because I had to hire someone to set it up get the design and so forth
[00:03:13.960 --> 00:03:19.720]   But today you can start a site for something like 50 bucks or 100 bucks and you can do it much more quickly
[00:03:19.720 --> 00:03:26.560]   Which is why everybody should try to start something online at least have their own website and don't let you know
[00:03:26.560 --> 00:03:31.120]   The Facebook's and LinkedIn's and so forth get rich off you get rich off yourself
[00:03:31.240 --> 00:03:33.240]   And at least give yourself a chance
[00:03:33.240 --> 00:03:39.000]   But anyway enough about that. So he started the site with a thousand dollars and he sold it for 2.8 million
[00:03:39.000 --> 00:03:45.920]   So that's a twenty eight hundred X return which is better than practically every single angel investment ever out there
[00:03:45.920 --> 00:03:50.600]   better than investing in uber at the angel round or Airbnb and
[00:03:50.600 --> 00:03:55.920]   Definitely better than investing in like SoftBank and we work as we work goes the other way
[00:03:55.920 --> 00:03:58.120]   So he thought
[00:03:58.120 --> 00:04:05.200]   That by selling the site he would free up valuable time to take care of his young boy and it did he was 30 years old
[00:04:05.200 --> 00:04:12.400]   But after six months, he wasn't satisfied with only being a stay-at-home dad after working so hard on his business for so many years
[00:04:12.400 --> 00:04:19.520]   When his boy turned one, he decided to send him to daycare so he can go back to his old routine of building a business
[00:04:19.520 --> 00:04:25.840]   This is what he is passionate about building online businesses and seeing them grow and at two and a half years old
[00:04:26.160 --> 00:04:31.360]   He decided to send his boy to preschool and his wife worked a full-time job as well
[00:04:31.360 --> 00:04:37.600]   He also thought that by cashing out in 2010, he would feel a lot happier
[00:04:37.600 --> 00:04:41.520]   You know, there's a tremendous amount of uncertainty back in 2010
[00:04:41.520 --> 00:04:49.080]   I was just about a year maybe just six months after the worst of the financial crisis had passed and I remember that time quite clearly
[00:04:49.720 --> 00:04:56.920]   Everybody was still losing their jobs and he thought by selling at least he could just get that win because other
[00:04:56.920 --> 00:04:59.040]   Businesses that he noticed went to zero
