
[00:00:00.000 --> 00:00:01.080]   Hey, everybody. Hey, everybody.
[00:00:01.080 --> 00:00:04.160]   Before we drop this week's amazing episode,
[00:00:04.160 --> 00:00:06.720]   just some quick information for you.
[00:00:06.720 --> 00:00:09.360]   Sax and Chamath both had the week off.
[00:00:09.360 --> 00:00:13.000]   So we had two amazing friends of the pod on Gavin Baker
[00:00:13.000 --> 00:00:15.800]   from Atreides and Joe Lonsdale from 8VC.
[00:00:15.800 --> 00:00:17.640]   What a treat to have them on the program.
[00:00:17.640 --> 00:00:19.680]   But there is some big news, huh, Freeberg?
[00:00:19.680 --> 00:00:23.880]   Yeah, well, the news dropped after we recorded, so it's not going to be referenced.
[00:00:23.880 --> 00:00:27.680]   And the show might feel a little stale, but here we go.
[00:00:27.680 --> 00:00:31.280]   Our friend David Sacks is the White House A.I.
[00:00:31.280 --> 00:00:34.360]   and crypto czar of the United States of America.
[00:00:34.360 --> 00:00:35.960]   Congratulations to our boy.
[00:00:35.960 --> 00:00:37.240]   Amazing. Super thrilled.
[00:00:37.240 --> 00:00:39.720]   That is a big reason why he wasn't able to join us for the show.
[00:00:39.720 --> 00:00:42.120]   He was in the middle of getting this news ramped up.
[00:00:42.120 --> 00:00:44.200]   Yes, it came out. We had already recorded.
[00:00:44.200 --> 00:00:46.280]   Yeah, take that into account as we go into the show.
[00:00:46.280 --> 00:00:49.640]   Yes. And according to Trump's truth social post,
[00:00:49.640 --> 00:00:53.640]   Sacks will, quote, guide policy for the administration
[00:00:53.640 --> 00:00:56.120]   in artificial intelligence and cryptocurrency.
[00:00:56.320 --> 00:01:01.200]   He will also lead the presidential council of advisors for science and technology.
[00:01:01.200 --> 00:01:02.760]   How great is that, Freeberg?
[00:01:02.760 --> 00:01:04.800]   Wow. Science corner in the White House.
[00:01:04.800 --> 00:01:08.120]   Can't wait. It's going to be it's going to be amazing and pretty awesome.
[00:01:08.120 --> 00:01:09.640]   I have no announcements.
[00:01:09.640 --> 00:01:12.880]   The rumors about me becoming press secretary are obviously premature.
[00:01:12.880 --> 00:01:16.000]   But if asked to serve, I will serve my country.
[00:01:16.000 --> 00:01:17.320]   OK, let's get to it.
[00:01:17.320 --> 00:01:18.360]   Don't worry, besties.
[00:01:18.360 --> 00:01:20.200]   All in isn't going anywhere.
[00:01:20.200 --> 00:01:23.120]   We'll be here every week for you, except maybe Thanksgiving
[00:01:23.120 --> 00:01:25.000]   or a holiday now and again.
[00:01:25.000 --> 00:01:27.200]   All right. Let's start the show, huh, Freeberg? Great episode.
[00:01:27.200 --> 00:01:29.080]   Let's go. All right, everybody.
[00:01:29.080 --> 00:01:31.000]   Welcome to the all in podcast.
[00:01:31.000 --> 00:01:33.880]   I am your host, Jason Calacanis.
[00:01:33.880 --> 00:01:35.760]   How are you doing, Freeberg?
[00:01:35.760 --> 00:01:38.040]   I'm hanging in there. I'm waiting for the tsunami to hit.
[00:01:38.040 --> 00:01:40.080]   It's going to we're about 40 minutes away.
[00:01:40.080 --> 00:01:42.240]   I'm a little anxious right now.
[00:01:42.240 --> 00:01:44.280]   More anxious than normal is what you're saying.
[00:01:44.280 --> 00:01:47.840]   Like on a scale of one to Freeberg,
[00:01:47.840 --> 00:01:50.400]   this is like as anxious as you get with the tsunami.
[00:01:50.400 --> 00:01:51.920]   I don't know what's going to happen.
[00:01:51.920 --> 00:01:57.240]   This current warning shows a five foot water rise for five meter.
[00:01:57.240 --> 00:01:58.560]   I can't tell.
[00:01:58.560 --> 00:02:00.520]   God, I really hope we don't publish this episode.
[00:02:00.520 --> 00:02:04.360]   And there's like a total disaster that we're kind of making light of it.
[00:02:04.360 --> 00:02:07.320]   We're not going to make light of it.
[00:02:07.320 --> 00:02:08.600]   We get warnings once in a while.
[00:02:08.600 --> 00:02:10.240]   Just to give everybody a little perspective here.
[00:02:10.240 --> 00:02:13.320]   I'm at David Saxe's house.
[00:02:13.320 --> 00:02:16.480]   I've taken over, as you can see, I got my Moncler hat on, Freeberg.
[00:02:16.480 --> 00:02:20.480]   I found Saxe's robe in the shirt.
[00:02:20.800 --> 00:02:25.160]   It was Saxe's robe, but I got a red sharpie and I just crossed it out and put J-Cal on it.
[00:02:25.160 --> 00:02:28.240]   And then I went down and I was talking to Chef.
[00:02:28.240 --> 00:02:30.440]   Does Saxe know that you're staying at his house?
[00:02:30.440 --> 00:02:32.800]   He knows I'm staying here, but does he, though?
[00:02:32.800 --> 00:02:35.640]   He doesn't know that I found the actual caviar.
[00:02:35.640 --> 00:02:48.840]   We open source it to the fans and they've just gone crazy with it.
[00:02:48.840 --> 00:02:49.840]   Love you guys.
[00:02:49.840 --> 00:02:51.400]   I'm the queen of quinoa.
[00:02:51.400 --> 00:02:55.840]   With us today, Chamath couldn't make it this week.
[00:02:55.840 --> 00:02:58.480]   And Chamath had surgery and now he looks like Gavin.
[00:02:58.480 --> 00:02:59.720]   OK, yes.
[00:02:59.720 --> 00:03:05.600]   And Saxe is taking a day off.
[00:03:05.640 --> 00:03:07.600]   He's he's he's got the day off today.
[00:03:07.600 --> 00:03:09.560]   I think he's just winning too much with us.
[00:03:09.560 --> 00:03:12.480]   Two substitutes jump in here for the team.
[00:03:12.480 --> 00:03:15.360]   Cackling. You can hear the cackling.
[00:03:15.360 --> 00:03:16.280]   Joe Lonsdale.
[00:03:16.280 --> 00:03:17.000]   There's Joe Lonsdale.
[00:03:17.000 --> 00:03:18.320]   I'll take my Moncler hat off here.
[00:03:18.320 --> 00:03:19.000]   And J-Cal.
[00:03:19.000 --> 00:03:25.600]   I am also winning too much, but I'm happy to be here last minute as a sub for David J-Cal.
[00:03:25.600 --> 00:03:29.440]   Joe Lonsdale, for people who don't know, is to the right of David Saxe.
[00:03:29.440 --> 00:03:33.080]   He is a venture capitalist and he started a couple of companies.
[00:03:33.080 --> 00:03:34.600]   You might have heard of them, Palantir.
[00:03:35.200 --> 00:03:36.480]   And what are the other greatest hits?
[00:03:36.480 --> 00:03:37.120]   Adipar.
[00:03:37.120 --> 00:03:39.960]   Adipar just crossed seven trillion dollars, reported on it this month.
[00:03:39.960 --> 00:03:41.040]   It's a real company, too.
[00:03:41.040 --> 00:03:42.840]   Yeah, the OpenGov sold this year.
[00:03:42.840 --> 00:03:44.840]   We started a bunch of grants.
[00:03:44.840 --> 00:03:51.360]   Yeah. Joe gets he's you're a little bit lower profile than all these accomplishments.
[00:03:51.360 --> 00:03:52.160]   It's pretty incredible.
[00:03:52.160 --> 00:03:55.160]   Co-founded how many billion dollar companies have you co-founded now?
[00:03:55.160 --> 00:03:57.280]   I don't know, maybe six or so.
[00:03:57.280 --> 00:03:58.440]   Six or so.
[00:03:58.440 --> 00:04:01.280]   Also with us, Gavin Baker from Atreides.
[00:04:01.280 --> 00:04:04.560]   He is a hedge fund manager.
[00:04:04.560 --> 00:04:06.360]   He does private. He does Publix.
[00:04:06.360 --> 00:04:07.680]   One of the smartest guys I know.
[00:04:07.680 --> 00:04:08.440]   Great analyst.
[00:04:08.440 --> 00:04:10.600]   Welcome to the program, Gavin, friend of the pod.
[00:04:10.600 --> 00:04:11.640]   Thank you, J-Cal.
[00:04:11.640 --> 00:04:12.720]   Happy to be here.
[00:04:12.720 --> 00:04:13.880]   Great to see everybody.
[00:04:13.880 --> 00:04:17.400]   Yeah, we are experiencing a huge Trump bump.
[00:04:17.400 --> 00:04:19.800]   The election is over.
[00:04:19.800 --> 00:04:22.920]   The cabinet is being assembled and we're seeing DOJ,
[00:04:22.920 --> 00:04:25.760]   the Department of Government Efficiency,
[00:04:25.760 --> 00:04:28.480]   as well as maybe regulations being pulled down.
[00:04:28.480 --> 00:04:33.040]   And we'll we'll get to our first topic about our new SEC chair.
