
[00:00:00.000 --> 00:00:01.600]   two days ago,
[00:00:01.600 --> 00:00:02.580]   Oh, here we go.
[00:00:02.580 --> 00:00:04.080]   in the Piazzetta,
[00:00:04.080 --> 00:00:05.300]   I got into a fight.
[00:00:05.300 --> 00:00:07.240]   You got into a fight?
[00:00:07.240 --> 00:00:08.460]   I got into a fight.
[00:00:08.460 --> 00:00:09.840]   Like a physical altercation?
[00:00:09.840 --> 00:00:11.320]   A physical altercation.
[00:00:11.320 --> 00:00:11.980]   Really?
[00:00:11.980 --> 00:00:13.820]   This chick shows up
[00:00:13.820 --> 00:00:17.360]   wearing a white wife beater
[00:00:17.360 --> 00:00:19.120]   talking all kinds of shit.
[00:00:19.120 --> 00:00:20.040]   And I said,
[00:00:20.040 --> 00:00:20.740]   listen, lady,
[00:00:20.740 --> 00:00:21.720]   you zip it.
[00:00:21.720 --> 00:00:23.100]   And she just kept
[00:00:23.100 --> 00:00:24.180]   jawing and jawing.
[00:00:24.180 --> 00:00:25.080]   And here she is again.
[00:00:25.080 --> 00:00:25.980]   She's back for more.
[00:00:25.980 --> 00:00:27.960]   And so I was like,
[00:00:27.960 --> 00:00:28.500]   listen!
[00:00:29.020 --> 00:00:29.940]   Now, have you ever seen
[00:00:29.940 --> 00:00:31.380]   Have you ever seen
[00:00:31.380 --> 00:00:33.520]   a onesie wife beater?
[00:00:33.520 --> 00:00:35.300]   Look at that little sweetie.
[00:00:35.300 --> 00:00:35.680]   Aw.
[00:00:35.680 --> 00:00:38.200]   And you just sit there.
[00:00:38.200 --> 00:00:39.760]   And then you just sit there.
[00:00:39.760 --> 00:00:40.860]   And then look.
[00:00:40.860 --> 00:00:42.180]   There's your cold open, everybody.
[00:00:42.180 --> 00:00:43.480]   That's the good stuff right there.
[00:00:43.480 --> 00:00:43.920]   Say hi to everybody.
[00:00:43.920 --> 00:00:45.720]   I know I'm not a beagle.
[00:00:45.720 --> 00:00:47.040]   I know I'm not a beagle,
[00:00:47.040 --> 00:00:47.920]   but I'm even better.
[00:00:47.920 --> 00:00:49.020]   I have my own thoughts.
[00:00:49.020 --> 00:00:50.700]   Sax, what you're seeing here
[00:00:50.700 --> 00:00:52.100]   is called affection
[00:00:52.100 --> 00:00:54.420]   between a parent and a child.
[00:00:54.420 --> 00:00:55.640]   Just let me know when it's over.
[00:00:55.640 --> 00:00:56.660]   Just let me know when it's over.
[00:00:58.040 --> 00:00:59.520]   You're the worst.
[00:00:59.520 --> 00:01:01.660]   You're the worst human being
[00:01:01.660 --> 00:01:02.780]   in the world.
[00:01:02.780 --> 00:01:04.200]   I don't need to watch
[00:01:04.200 --> 00:01:05.920]   Jamaat Boost's Q rating
[00:01:05.920 --> 00:01:08.760]   by using his kids as props, okay?
[00:01:08.760 --> 00:01:10.840]   Oh, Freeburg,
[00:01:10.840 --> 00:01:11.640]   where's your puppy
[00:01:11.640 --> 00:01:12.420]   that you saved
[00:01:12.420 --> 00:01:13.400]   from being tortured
[00:01:13.400 --> 00:01:15.620]   with Kim Kardashian's lip gloss?
[00:01:15.620 --> 00:01:19.820]   Nick, we gotta get this guy in
[00:01:19.820 --> 00:01:20.460]   because he hasn't been
[00:01:20.460 --> 00:01:21.320]   in the show in a while.
[00:01:21.320 --> 00:01:22.720]   There he is.
[00:01:22.720 --> 00:01:23.400]   There he is.
[00:01:23.400 --> 00:01:24.140]   Aw, Monty.
[00:01:24.140 --> 00:01:25.780]   Aw, your belly rub.
