
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.520]   - Welcome friends to this episode
[00:00:06.520 --> 00:00:09.040]   of the Everyday Educator podcast.
[00:00:09.040 --> 00:00:11.060]   I'm your host, Lisa Bailey,
[00:00:11.060 --> 00:00:14.660]   and I am excited to spend some time with you today
[00:00:14.660 --> 00:00:18.080]   as we encourage one another, learn together
[00:00:18.080 --> 00:00:20.940]   and ponder the delights and challenges
[00:00:20.940 --> 00:00:24.140]   that make homeschooling the adventure of a lifetime.
[00:00:24.140 --> 00:00:26.140]   Whether you're just considering
[00:00:26.140 --> 00:00:28.260]   this homeschooling possibility
[00:00:28.260 --> 00:00:32.440]   or deep into the daily delight of family learning,
[00:00:32.440 --> 00:00:36.580]   I believe you'll enjoy thinking along with us.
[00:00:36.580 --> 00:00:37.780]   But don't forget,
[00:00:37.780 --> 00:00:41.440]   although this online community is awesome,
[00:00:41.440 --> 00:00:46.340]   you'll find even closer support in a local CC community.
[00:00:46.340 --> 00:00:50.380]   So go to classicalconversations.com
[00:00:50.380 --> 00:00:53.880]   and find a community near you today.
[00:00:54.920 --> 00:00:59.040]   Well, listeners, I have a suggestion for your family,
[00:00:59.040 --> 00:01:01.700]   actually for all our families this Christmas.
[00:01:01.700 --> 00:01:07.780]   What if we intentionally spent time together
[00:01:07.780 --> 00:01:11.500]   doing the simplest things?
[00:01:11.500 --> 00:01:14.140]   What if we practice simple habits
[00:01:14.140 --> 00:01:17.240]   designed to draw us to one another
[00:01:17.240 --> 00:01:19.760]   and to start meaningful conversations
[00:01:19.760 --> 00:01:22.960]   and to provoke us to deeper thinking
[00:01:22.960 --> 00:01:26.540]   and even to encourage us to true worship?
[00:01:26.540 --> 00:01:30.460]   What if in this season of busy,
[00:01:30.460 --> 00:01:34.740]   we celebrated Christmas by praying together,
[00:01:34.740 --> 00:01:38.300]   playing together, reading together,
[00:01:38.300 --> 00:01:43.020]   exploring together and serving together?
[00:01:43.020 --> 00:01:46.280]   This Advent season, the Everyday Educator
[00:01:46.280 --> 00:01:50.180]   wants to practice these habits along with you.
