
[00:00:00.000 --> 00:00:20.880]   Hello, everyone. My name is Diego Rodriguez. I am co-founder and CTO at CREA. We're building
[00:00:20.880 --> 00:00:24.920]   an AI creative suite. I'm going to tell you three stories and then I'll try to hire you.
[00:00:24.920 --> 00:00:36.680]   So a friend once told me, if you think about it, cars are easy to predict, right? It's like
[00:00:36.680 --> 00:00:40.760]   you get the horse, you have the wheels, you swap the horse, and you put an engine, which was known
[00:00:40.760 --> 00:00:51.160]   at the time, and that's a car. But you know what's really hard to predict? Traffic. So it's my job to
[00:00:51.160 --> 00:00:57.800]   ask, what are the traffic that we're missing, especially with AI? You know, YAML, JSON, MCP,
[00:00:57.800 --> 00:01:05.480]   whatever it is, like, okay, okay, but like, what happens when you generate a million images per day,
[00:01:05.480 --> 00:01:15.240]   like we do for one studio? Where do you find that? Another story, Tower of Babel, we wanted to reach
[00:01:15.240 --> 00:01:23.400]   heaven. God was like, no, created a bunch of languages and basically misunderstanding was like,
[00:01:23.400 --> 00:01:28.120]   nope, we are not going to go there. And it reminds me of stand-up meetings where people are like,
[00:01:28.120 --> 00:01:32.120]   no, it should be React. No, no, no, but like, it should be like JavaScript. I was like, dude,
[00:01:32.120 --> 00:01:49.400]   I'm not going to go there. We're not going to go there. And so this is only like people trying to
[00:01:49.400 --> 00:01:55.080]   convey ideas, and that's what we're trying to tell, just trying to tell stories. The final story is,
[00:01:55.080 --> 00:02:04.920]   I was talking with someone from Netflix, and she was like, what happens when we are making so much
[00:02:04.920 --> 00:02:14.200]   content personalized to each town in India? How do I even find that? Like, right? And then a few days
[00:02:14.200 --> 00:02:22.040]   ago, I just realized that Korea was already being used for broadcasting an ad with Fox to millions of
[00:02:22.040 --> 00:02:26.120]   people. And then I look and they literally signed up two days ago. So we went from sign up to
[00:02:26.120 --> 00:02:30.920]   conversion to payment to broadcast in two days. And then this was the CTO telling me that. I was like,
[00:02:30.920 --> 00:02:32.920]   whoa.
[00:02:32.920 --> 00:02:41.400]   I basically, I'm about to run out of time. So the mandatory slide, a bunch of users, 25 million,
[00:02:41.400 --> 00:02:46.520]   raised a bunch of money. We did this with eight people. Some of the people who are using us, an email
[00:02:46.520 --> 00:02:51.640]   that I created for today that is going to prioritize applications. Thank you.
[00:02:51.640 --> 00:03:03.720]   - All right. Open home. Okay, everybody. The smartphone was the number one best selling consumer
[00:03:03.720 --> 00:03:12.360]   product last year. And the laptop was the second. Pop quiz for all you hear. What was the third?
[00:03:12.360 --> 00:03:21.000]   Apple watch. Wasn't Apple watch. Wasn't the air pod. No, I think I heard it. It was a smart speaker.
[00:03:21.000 --> 00:03:30.600]   500 million smart speakers were sold last year. But why do they still suck? You can barely talk to them.
[00:03:30.600 --> 00:03:37.240]   There's no customization. There's no community. There's nothing. That's why we built Open Home.
[00:03:37.240 --> 00:03:44.200]   The very first AI driven smart speaker. And we're letting you guys build smart speakers too.
[00:03:44.200 --> 00:03:51.080]   And we believe here that the future is talking with AI. You should be able to talk seamlessly,
[00:03:51.080 --> 00:03:56.040]   intuitively. In fact, you shouldn't have to use this really awkward command based language. You should be
[00:03:56.040 --> 00:04:01.800]   able to just chat naturally. So that's what we're building. And we're letting people here today build
[00:04:01.800 --> 00:04:10.200]   their own smart speakers and build them in whatever form that they want. And the key here is developer
[00:04:10.200 --> 00:04:18.040]   ecosystems. And, well, we know developer ecosystems. I started my career as the chief of staff for the
[00:04:18.040 --> 00:04:25.320]   founder of Splunk, a $30 billion big data company. Then I was on the founding team of MakerDAO, a $5
[00:04:25.320 --> 00:04:33.560]   billion developer ecosystem. My co-founder and I raised $50 million for our last business, a big data
[00:04:33.560 --> 00:04:40.280]   privacy tool. And we sold that business. But it all came down to developers and really building what people
[00:04:40.280 --> 00:04:48.120]   actually wanted. And, well, now with Open Home, we have over 10,000 developers building on Open Home.
[00:04:48.120 --> 00:04:52.280]   They're building all kinds of interesting things, all types of different custom smart speakers,
[00:04:52.280 --> 00:04:59.080]   building interesting voice AI applications. Sky's really the limit. And, well, what do developers really
[00:04:59.080 --> 00:05:07.560]   want? They want open source, they want LLM driven, and they want fully jailbroken. They want Open Home,
[00:05:07.560 --> 00:05:13.960]   the AI smart speaker. And now what's really exciting is with voice AI, you can put it on any type of
[00:05:13.960 --> 00:05:20.760]   hardware. We have developers building talking toys, AI robots, AI appliances. You should be able to talk to
[00:05:20.760 --> 00:05:25.720]   the world around you in a much more natural way. And you can do that now with Open Home in AI smart speaker.
[00:05:27.320 --> 00:05:33.160]   Here's our dashboard. We have many, many applications, hundreds of applications that have been built,
[00:05:33.160 --> 00:05:39.320]   games, personalities. We have an editor that you guys can go in and build, and all kinds of interesting things,
[00:05:39.320 --> 00:05:47.400]   home automation tools. And what's really exciting is our last dev kit got booked up within minutes.
[00:05:47.400 --> 00:05:53.560]   And today we have a special announcement for you guys here today. We're releasing the next batch of 500 dev kits
[00:05:53.560 --> 00:05:59.080]   for free for everybody here. If you guys want it, we will ship you a dev kit. It's very cool. You can
[00:05:59.080 --> 00:06:05.240]   build on it. You can talk with AI. You can build your own smart speaker here. And we're doing it today.
[00:06:05.240 --> 00:06:12.680]   Thank you so much. How's it going, y'all? I'm Josh. I'm the founder of a company called CoFrame. The
[00:06:12.680 --> 00:06:19.240]   last company that I started, we scaled to over $2 billion in the course of a couple of years. But when I started to
