
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:06.360]   - Welcome, friends, to this episode
[00:00:06.360 --> 00:00:09.160]   of the Everyday Educator Podcast.
[00:00:09.160 --> 00:00:10.920]   I'm your host, Lisa Bailey,
[00:00:10.920 --> 00:00:14.500]   and I am excited to spend some time with you today
[00:00:14.500 --> 00:00:18.180]   as we encourage one another, learn together,
[00:00:18.180 --> 00:00:21.040]   and ponder the delights and challenges
[00:00:21.040 --> 00:00:24.440]   that make homeschooling the adventure of a lifetime.
[00:00:24.440 --> 00:00:26.660]   Whether you're just considering
[00:00:26.660 --> 00:00:28.760]   this homeschooling possibility
[00:00:28.760 --> 00:00:32.760]   or deep into the daily delight of family learning,
[00:00:32.760 --> 00:00:36.880]   I believe you'll enjoy thinking along with us.
[00:00:36.880 --> 00:00:38.400]   But don't forget,
[00:00:38.400 --> 00:00:41.840]   although this online community is awesome,
[00:00:41.840 --> 00:00:46.840]   you'll find even closer support in a local CC community.
[00:00:46.840 --> 00:00:52.160]   So go to classicalconversations.com
[00:00:52.160 --> 00:00:57.000]   and find a community near you today.
[00:00:57.000 --> 00:01:00.880]   Well, listeners, I'm super excited to talk to you today
[00:01:00.880 --> 00:01:05.240]   about something that, frankly,
[00:01:05.240 --> 00:01:10.100]   I gave very little thought to as an early homeschooler.
[00:01:10.100 --> 00:01:14.560]   And I have a friend to talk with today.
[00:01:14.560 --> 00:01:16.720]   You get to listen in on our conversation.
[00:01:16.720 --> 00:01:18.760]   Kelly Wilt is joining me.
[00:01:18.760 --> 00:01:23.080]   Kelly is also a member of the Classical Conversations
[00:01:23.080 --> 00:01:26.800]   Multimedia Curriculum Development team.
[00:01:26.800 --> 00:01:28.900]   And we have lots of cool conversations.
[00:01:28.900 --> 00:01:33.080]   And I thought it'd be fun for you guys to listen in
[00:01:33.080 --> 00:01:38.020]   on this conversation about family mission statements.
[00:01:38.020 --> 00:01:41.720]   Kelly, how long have you been homeschooling?
[00:01:41.720 --> 00:01:43.120]   - Oh my goodness, Lisa.
[00:01:43.120 --> 00:01:44.960]   - Like forever.
[00:01:44.960 --> 00:01:46.580]   People ask me that and I think,
[00:01:46.580 --> 00:01:48.760]   well, longer than you have time to hear about.
[00:01:48.760 --> 00:01:50.240]   - Yes, it's hard to believe.
[00:01:50.240 --> 00:01:53.240]   It seems like hardly any time at all
[00:01:53.240 --> 00:01:58.080]   and forever all at once, 15 years this year, Lisa.
