
[00:00:00.000 --> 00:00:18.720]   Antonio,
[00:00:18.720 --> 00:00:26.200]   Elon had a moment of reflection and he was talking about 2008, he was talking about the
[00:00:26.200 --> 00:00:34.120]   imminent collapse as he felt it of SpaceX and Tesla at the same time in December 25th and he
[00:00:34.120 --> 00:00:39.800]   said there were just a handful of people who came out there and put their careers on the line for
[00:00:39.800 --> 00:00:46.600]   him, yourself and Steve Jurvetson specifically mentioned and Ira and it was a particularly
[00:00:46.600 --> 00:00:51.160]   poignant moment for him, he was getting a little choked up about it. Tell us about that bet you
[00:00:51.160 --> 00:00:56.180]   made in 2008 and the potentially career-changing moment in your career.
[00:00:56.180 --> 00:01:02.500]   What was the career-ending bet for you to bet in an electric car company at that moment? Take us back to that decision.
[00:01:02.500 --> 00:01:06.500]   Yeah, well before I do that I just want to say that I left my wallet
[00:01:06.500 --> 00:01:11.620]   backstage because the last time I was with the four of you I lost a lot of money
[00:01:11.620 --> 00:01:18.180]   and I realized that I better leave all the cash somewhere where you can't get it and then
[00:01:18.180 --> 00:01:22.660]   and you also made me cry so I think I might cry again now.
[00:01:22.660 --> 00:01:23.460]   Of joy?
[00:01:23.460 --> 00:01:25.620]   I mean no, no it was more like a humiliation.
[00:01:25.620 --> 00:01:27.620]   We were playing poker.
[00:01:27.620 --> 00:01:28.340]   Yeah, we're playing poker.
[00:01:28.340 --> 00:01:29.780]   Wait, wait, wait, you pulled a Palmer Lucky?
[00:01:29.780 --> 00:01:31.860]   Yeah, yeah, yeah.
[00:01:31.860 --> 00:01:39.380]   No, so if I cry again this time it will be from a sense of just gratitude
[00:01:39.380 --> 00:01:46.500]   for those moments that we got to share. So for us in particular because you know our
[00:01:46.500 --> 00:01:51.860]   strategy is so operational, I was there working on supply chain in the factory and on sales in
[00:01:51.860 --> 00:01:55.460]   that period along with my partner Tim Watkins and three or four of our supply
[00:01:55.460 --> 00:02:00.340]   chain people and we had a major problem in supply chain, the cost for way to control and
[00:02:00.340 --> 00:02:03.300]   you know Elon was doing the engineering on the very expensive parts we were doing the
[00:02:03.300 --> 00:02:10.900]   I call it the B parts, the A and B parts and man it was brutal but it was very clear to us that
[00:02:10.900 --> 00:02:14.420]   remember it was also the middle of financial crisis right so we had a treasure portfolio
[00:02:14.420 --> 00:02:19.460]   we had to decide we didn't have a lot of capital at the time these are tiny funds 120, 300,000
[00:02:19.460 --> 00:02:23.700]   funds where our capital go where our people go more importantly where operating people go and
[00:02:23.700 --> 00:02:24.340]   where I would go.
[00:02:24.340 --> 00:02:24.840]   Yeah.
[00:02:24.840 --> 00:02:25.300]   Yeah.
[00:02:25.300 --> 00:02:32.500]   And we decided to focus on Tesla because first we really did believe in Elon when most people didn't
[00:02:32.500 --> 00:02:37.460]   and we saw in him something very special which I think you probably saw here yesterday
[00:02:37.460 --> 00:02:41.460]   that not only is he is a brilliant brilliant engineer you know one in a hundred year kind
[00:02:41.460 --> 00:02:47.380]   of engineer he's a man of deep conviction and deep passion and deep compassion.
[00:02:47.380 --> 00:02:55.140]   What he is doing is really trying to bend the arc of humanity for all of us because he really cares.
[00:02:55.140 --> 00:03:00.580]   And that came through to us and we want to be on that mission with him and so we were
[00:03:00.580 --> 00:03:04.660]   privileged enough to be there in a moment time that it mattered and it was really hard man I
[00:03:04.660 --> 00:03:09.220]   mean we had clients I actually had a client said to me how do I know this isn't DeLorean and I said
[00:03:09.220 --> 00:03:13.700]   look I can tell you for a fact we are not selling cocaine out of the back of the factory in the cars.
[00:03:13.700 --> 00:03:14.200]   Yeah.
[00:03:14.200 --> 00:03:17.860]   There's no DeLorean being the famous back to the future car.
[00:03:17.860 --> 00:03:18.420]   Exactly.
