
[00:00:00.000 --> 00:00:01.380]   Um, all right.
[00:00:01.380 --> 00:00:02.540]   So I got a question from me.
[00:00:02.540 --> 00:00:03.060]   Hmm.
[00:00:03.060 --> 00:00:05.760]   As long as I have you, uh, in the studio from
[00:00:05.760 --> 00:00:07.520]   me on behalf of my listeners.
[00:00:07.520 --> 00:00:09.420]   Uh, so you've spent most of your career as a
[00:00:09.420 --> 00:00:12.780]   journalist and freelance journalist, writer of
[00:00:12.780 --> 00:00:15.940]   books, you're on, this is four or five, five,
[00:00:15.940 --> 00:00:17.180]   five, okay.
[00:00:17.180 --> 00:00:18.180]   Five books.
[00:00:18.180 --> 00:00:20.760]   Um, you've got cool stories, right?
[00:00:20.760 --> 00:00:22.740]   I mean, you reported from talk about earlier,
[00:00:22.740 --> 00:00:24.340]   you were stationed in Argentina earlier in
[00:00:24.340 --> 00:00:27.500]   your career, you did a book about Jewish delis
[00:00:27.500 --> 00:00:29.500]   where you were traveling the seaboard,
[00:00:29.540 --> 00:00:31.700]   trying out different delis for revenge of
[00:00:31.700 --> 00:00:33.980]   analog, you went to all these cool places.
[00:00:33.980 --> 00:00:35.500]   It was first person journalistic.
[00:00:35.500 --> 00:00:36.500]   A lot of the article.
[00:00:36.500 --> 00:00:39.560]   This is, I think, romantic to a certain
[00:00:39.560 --> 00:00:42.060]   subset of my listeners.
[00:00:42.060 --> 00:00:46.080]   The idea, the autonomy and the adventure of
[00:00:46.080 --> 00:00:48.580]   being a writer, traveling, going to interesting
[00:00:48.580 --> 00:00:50.280]   places, being able to write books about it,
[00:00:50.280 --> 00:00:51.500]   then to be able to like travel and like
[00:00:51.500 --> 00:00:52.900]   you're seeing me now because you're traveling,
[00:00:52.900 --> 00:00:53.900]   talking about the book, right?
[00:00:53.900 --> 00:00:54.700]   This is romantic.
[00:00:54.700 --> 00:00:57.420]   Um, and we know that this is romantic.
[00:00:57.420 --> 00:00:58.500]   It's well, yeah.
[00:00:59.460 --> 00:01:02.220]   We've been talking about the sex spurts and
[00:01:02.220 --> 00:01:03.660]   now we're going to talk about the romance of
[00:01:03.660 --> 00:01:04.660]   David and I being in the same room.
[00:01:04.660 --> 00:01:07.460]   Um, so what I'm wondering here is like,
[00:01:07.460 --> 00:01:11.340]   let's, uh, let's say two answers.
[00:01:11.340 --> 00:01:13.560]   What's the reality checks?
[00:01:13.560 --> 00:01:14.920]   Like what's the elements that, okay, it's
[00:01:14.920 --> 00:01:16.420]   not as romantic as you think, but so that
[00:01:16.420 --> 00:01:18.860]   we're not too dour, maybe give us a taste
[00:01:18.860 --> 00:01:20.940]   of what actually is as cool as you might
[00:01:20.940 --> 00:01:23.940]   think about this sort of full-time
[00:01:23.940 --> 00:01:25.420]   autonomous writer's lifestyle.
[00:01:25.420 --> 00:01:26.260]   Yeah.
[00:01:26.300 --> 00:01:28.620]   So the, the, the negative side, cause
[00:01:28.620 --> 00:01:29.420]   you know, I get this a lot.
[00:01:29.420 --> 00:01:31.300]   I'm, I'm a mentor at my old university.
[00:01:31.300 --> 00:01:32.660]   So I have all these students and they
[00:01:32.660 --> 00:01:34.580]   don't have a writing program or journalism.
[00:01:34.580 --> 00:01:35.940]   So they send them to me, right.
[00:01:35.940 --> 00:01:37.060]   The wayward souls.
[00:01:37.060 --> 00:01:41.100]   Um, it's look, it's, it's, it's a difficult
[00:01:41.100 --> 00:01:44.740]   way to make a consistent living, uh,
[00:01:44.740 --> 00:01:46.020]   financially speaking.
[00:01:46.020 --> 00:01:48.540]   Um, you know, the financial rewards are
[00:01:48.540 --> 00:01:51.500]   not steady and consistent.
[00:01:51.500 --> 00:01:52.900]   I'm someone who's successful at it
[00:01:52.900 --> 00:01:53.940]   relatively speaking.
[00:01:54.220 --> 00:01:55.980]   Um, but you know, it took me a
[00:01:55.980 --> 00:01:57.180]   while to get where I am.
[00:01:57.180 --> 00:02:00.140]   And that happened as the sort of industry,
[00:02:00.140 --> 00:02:01.580]   especially the magazine and newspaper
[00:02:01.580 --> 00:02:04.100]   industry has, has imploded as this sort
[00:02:04.100 --> 00:02:04.620]   of ad sales.
[00:02:04.620 --> 00:02:07.860]   It's the reality now you really need is
[00:02:07.860 --> 00:02:10.180]   books and speaking, what's going to be the.
[00:02:10.180 --> 00:02:12.860]   The primary income source is the, is the
[00:02:12.860 --> 00:02:14.940]   freelance writing fees small enough now,
[00:02:14.940 --> 00:02:16.980]   if you're going to make a go at this, you
[00:02:16.980 --> 00:02:18.380]   can't imagine it's just going to be from
[00:02:18.380 --> 00:02:19.540]   the magazine piece of what's the...
[00:02:19.540 --> 00:02:21.220]   No, yeah, that, that, those days are done.
[00:02:21.220 --> 00:02:21.420]   Yeah.
[00:02:21.420 --> 00:02:22.980]   Um, I think there are people who, who
[00:02:22.980 --> 00:02:25.460]   still manage to eat that out, but they're
[00:02:25.460 --> 00:02:26.420]   doing other things.
[00:02:26.420 --> 00:02:28.020]   Um, books are relatively
[00:02:28.020 --> 00:02:29.140]   consistent and steady.
[00:02:29.140 --> 00:02:29.340]   Yeah.
[00:02:29.340 --> 00:02:32.100]   Um, and the speaking, you know, relates
[00:02:32.100 --> 00:02:33.980]   to the success of the books or, or the
[00:02:33.980 --> 00:02:34.580]   topics of them.
[00:02:34.580 --> 00:02:36.900]   And that's always, that's always sort of
[00:02:36.900 --> 00:02:37.180]   good.
[00:02:37.180 --> 00:02:39.420]   Um, so that's, that's the downside.
[00:02:39.420 --> 00:02:40.580]   And then there's of course, all the
[00:02:40.580 --> 00:02:43.060]   downsides of being a writer, um, the
[00:02:43.060 --> 00:02:45.460]   rollercoaster of emotions and, you know,
[00:02:45.460 --> 00:02:47.460]   self-hatred and, you know, my book came out
[00:02:47.460 --> 00:02:48.780]   today and last night was amazing.
[00:02:48.780 --> 00:02:49.660]   We did a great event.
[00:02:49.660 --> 00:02:52.580]   You, you, the, the, the, the, the, the
[00:02:52.580 --> 00:02:55.260]   sun God of Cal Newportness just brought
[00:02:55.260 --> 00:02:57.300]   all these wonderful people from DC who were
[00:02:57.300 --> 00:02:59.300]   friends of yours, fans of yours, listeners
[00:02:59.300 --> 00:02:59.660]   of yours.
[00:02:59.660 --> 00:03:00.180]   Um.
[00:03:00.180 --> 00:03:01.100]   Hometown, hometown crowd.
[00:03:01.100 --> 00:03:01.980]   Hometown crowd.
[00:03:01.980 --> 00:03:02.140]   Yeah.
[00:03:02.140 --> 00:03:03.980]   You, you brought it, you brought it.
[00:03:03.980 --> 00:03:05.940]   And, uh, and it was a wonderful way to kick
[00:03:05.940 --> 00:03:06.620]   off this book tour.
[00:03:06.620 --> 00:03:08.260]   And then it was today, it was like, oh,
[00:03:08.260 --> 00:03:11.180]   someone isn't responding to my email about
[00:03:11.180 --> 00:03:13.540]   an op-ed and wah, like, you know, I'm like,
[00:03:13.540 --> 00:03:15.900]   well, maybe I'll just click on the Amazon.
[00:03:15.900 --> 00:03:17.380]   It's like, you don't click on the Amazon
[00:03:17.380 --> 00:03:18.460]   ranking on your first day.
[00:03:18.460 --> 00:03:19.100]   I'm like, well, I.
[00:03:19.100 --> 00:03:19.340]   You can't.
[00:03:19.340 --> 00:03:21.180]   My book's 124,000.
[00:03:21.180 --> 00:03:23.100]   So that's, oh no, forget it.
[00:03:23.100 --> 00:03:24.060]   Um.
[00:03:24.060 --> 00:03:25.580]   But it was 126,000.
[00:03:25.580 --> 00:03:26.660]   So I think that's what's important.
[00:03:26.660 --> 00:03:27.660]   It's on the up and up.
[00:03:27.660 --> 00:03:28.060]   Yeah.
[00:03:28.060 --> 00:03:28.620]   It's a mover.
[00:03:28.620 --> 00:03:29.020]   It's on the up and up.
[00:03:29.020 --> 00:03:30.260]   It's a mover and shaker.
[00:03:30.260 --> 00:03:30.980]   So that's.
[00:03:30.980 --> 00:03:32.860]   You can, you can get infinitely discerning by
[00:03:32.860 --> 00:03:34.860]   the way that with your Amazon, like, well,
[00:03:34.860 --> 00:03:37.300]   it moving in shakers in this category on
[00:03:37.300 --> 00:03:39.500]   Tuesdays was actually in the top 1000.
[00:03:39.500 --> 00:03:39.620]   Yeah.
[00:03:39.620 --> 00:03:39.900]   There you go.
[00:03:39.900 --> 00:03:41.900]   There's always a one, uh, a number one thing.
[00:03:41.900 --> 00:03:42.020]   Right.
[00:03:42.020 --> 00:03:43.100]   But up and down, up and down.
[00:03:43.100 --> 00:03:43.380]   Yeah.
[00:03:43.380 --> 00:03:45.620]   But I think, you know, the, the, the thing
[00:03:45.620 --> 00:03:48.820]   that I always tell people is like, when you,
[00:03:49.100 --> 00:03:51.020]   if you're able to do it in a way that you're
[00:03:51.020 --> 00:03:52.500]   able to support yourself and like, I'm not
[00:03:52.500 --> 00:03:53.860]   advocating that, like you should do it and
[00:03:53.860 --> 00:03:54.460]   lose all your money.
[00:03:54.460 --> 00:03:55.340]   That's ridiculous.
[00:03:55.340 --> 00:03:59.940]   But like you gain the ultimate freedom and access.
[00:03:59.940 --> 00:04:01.860]   You've never had a normal job.
[00:04:01.860 --> 00:04:02.300]   Is that right?
[00:04:02.300 --> 00:04:03.020]   I've never had a normal job.
[00:04:03.020 --> 00:04:04.420]   You've never gone into an office
[00:04:04.420 --> 00:04:05.620]   building on a regular basis.
[00:04:05.620 --> 00:04:08.420]   I had one job when I was in my first
[00:04:08.420 --> 00:04:09.540]   summer of university.
[00:04:09.540 --> 00:04:11.740]   Um, that was a regular job.
[00:04:11.740 --> 00:04:16.580]   I got a job at a office that made newsletters
[00:04:16.580 --> 00:04:19.020]   for dentists in Toronto.
[00:04:19.020 --> 00:04:21.300]   So you've had two different dream careers.
[00:04:21.300 --> 00:04:21.740]   Yeah.
[00:04:21.740 --> 00:04:22.220]   Is what you're saying.
[00:04:22.220 --> 00:04:23.660]   My job, I went the first day.
[00:04:23.660 --> 00:04:25.140]   I'm like, okay, like I want to be a journalist.
[00:04:25.140 --> 00:04:26.660]   I'm going to write these stories about dentists.
[00:04:26.660 --> 00:04:28.660]   You're like, nope, you're going to go in this room.
[00:04:28.660 --> 00:04:30.820]   Here's a stack of the newsletters.
[00:04:30.820 --> 00:04:35.340]   Here's a printout of like, um, the addresses.
[00:04:35.340 --> 00:04:37.660]   You're going to tape the address onto the
[00:04:37.660 --> 00:04:39.780]   newsletter here, where it says, or the name
[00:04:39.780 --> 00:04:41.020]   of the dentist, Dr.
[00:04:41.020 --> 00:04:43.980]   Calvin Newport, you know, 606, whatever way.
[00:04:43.980 --> 00:04:45.860]   Um, you're going to place this on this
[00:04:45.860 --> 00:04:48.220]   Canon image runner copier, and you're going
[00:04:48.220 --> 00:04:49.260]   to make 200 copies of that one.
[00:04:49.260 --> 00:04:50.540]   And you're gonna make 300 copies of that one.
[00:04:50.540 --> 00:04:53.020]   And you can do this all day, eight hours a day,
[00:04:53.020 --> 00:04:54.820]   seven days a week in this windowless room
[00:04:54.820 --> 00:04:58.940]   until the day when you notice smoke coming
[00:04:58.940 --> 00:05:00.180]   from the Cam and Gin runner.
[00:05:00.180 --> 00:05:02.900]   Cause you've been running it so hot and so
[00:05:02.900 --> 00:05:04.940]   much, you've been slamming those copies
[00:05:04.940 --> 00:05:07.420]   that it catches on fire.
[00:05:07.420 --> 00:05:09.420]   And the guy from Canon comes in.
[00:05:09.420 --> 00:05:10.940]   He's like, I have never seen anything like
[00:05:10.940 --> 00:05:11.060]   this.
[00:05:11.060 --> 00:05:12.780]   And then you're moved to data entry.
[00:05:12.780 --> 00:05:14.860]   Uh, by the way, I love your dream
[00:05:14.860 --> 00:05:17.140]   denied in this story is writing
[00:05:17.140 --> 00:05:18.300]   articles about dentists.
[00:05:18.300 --> 00:05:20.460]   I would probably still be at that company.
[00:05:20.460 --> 00:05:22.180]   This is what was taken from you.
[00:05:22.180 --> 00:05:23.740]   So anyway, that was, yeah.
[00:05:23.740 --> 00:05:24.100]   Yes.
[00:05:24.100 --> 00:05:25.060]   So I've never had that.
