
[00:00:00.000 --> 00:00:10.640]   All right. Thank you. Thank you everyone for joining us. So we're picking up with prompting
[00:00:10.640 --> 00:00:16.520]   for agents. Hopefully you were here for prompting 101 or maybe you're just joining us, but I'll give
[00:00:16.520 --> 00:00:21.720]   a little intro. My name is Hannah. I'm part of the Applied AI team in Anthropic. Hi, I'm Jeremy. I'm
[00:00:21.720 --> 00:00:26.440]   on our Applied AI team as well, and I'm a product engineer. So we're going to talk about prompting
[00:00:26.440 --> 00:00:30.180]   for agents. So we're going to switch gears a little bit, move on from the basics of prompting,
[00:00:30.180 --> 00:00:36.660]   and talk about how we do this for agents like playing Pokemon. So hopefully you were here
[00:00:36.660 --> 00:00:40.420]   for prompting 101 or maybe you have some familiarity with basic prompting. So we're not going to
[00:00:40.420 --> 00:00:46.440]   go over the really kind of basic console prompting or interacting with Claude in the desktop today,
[00:00:46.440 --> 00:00:51.500]   but just a refresher. We think about prompt engineering as kind of programming in natural language. You're
[00:00:51.500 --> 00:00:56.920]   thinking about what your agent or your model is going to be doing, what kind of tasks it's accomplishing.
[00:00:56.920 --> 00:01:02.460]   You're trying to clearly communicate to the agent, give examples where necessary, and give guidelines.
[00:01:02.460 --> 00:01:09.640]   We do follow a very specific structure for console prompting. I want you to remove this from your
[00:01:09.640 --> 00:01:13.880]   minds because it could look very different for an agent. So for an agent, you may not be laying out
[00:01:13.880 --> 00:01:19.360]   this type of very structured prompt. It's actually going to look a lot different. We're going to allow a lot
[00:01:19.360 --> 00:01:23.420]   of different things to come in. So I'm going to turn it over. I'm going to talk about what agents are,
[00:01:23.420 --> 00:01:28.540]   and then I'll turn it over to Jeremy to talk about how we do this for agents. So hopefully you have a
[00:01:28.540 --> 00:01:34.000]   sense in your mind of what an agent is. At Anthropic, we like to say that agents are models using tools in
[00:01:34.000 --> 00:01:40.960]   a loop. So we give the agent a task, and we allow it to work continuously and use tools as it thinks fit,
[00:01:40.960 --> 00:01:46.780]   update its decisions based on the information that it's getting back from its tool calls, and continue working
[00:01:46.780 --> 00:01:53.520]   independently until it completes the task. So we kind of keep it as simple as that. The environment,
[00:01:53.520 --> 00:01:58.220]   which is where the agent is working, the tools that the agent has, and the system prompt, which is where
[00:01:58.220 --> 00:02:03.200]   we tell the agent what it should be doing or what it should be accomplishing. And we typically find the
[00:02:03.200 --> 00:02:08.300]   simpler you can keep this, the better. Allow the agent to do its work, allow the model to be the model,
[00:02:08.300 --> 00:02:15.040]   and kind of work through this task. So when do you use agents? You do not always need to use an agent.
[00:02:15.040 --> 00:02:19.740]   In fact, there's many scenarios in which you won't actually want to use an agent. There are other
[00:02:19.740 --> 00:02:26.440]   approaches that would be more appropriate. Agents are really best for complex and valuable tasks. It's not
