
[00:00:00.000 --> 00:00:07.400]   [BLANK_AUDIO]
[00:00:07.400 --> 00:00:12.560]   >> Okay, a number of years ago, Jack Ice and Bill Bernstein could
[00:00:12.560 --> 00:00:15.680]   have an informal chat as part of the agenda.
[00:00:15.680 --> 00:00:19.840]   We all know what Jack wants, Jack gets.
[00:00:19.840 --> 00:00:23.800]   So it's become a regular part of our conference agenda ever since, and
[00:00:23.800 --> 00:00:26.400]   it's now affectionately known as the Barside Chat.
[00:00:27.840 --> 00:00:31.560]   So without further ado, I'd like to briefly introduce the two participants of
[00:00:31.560 --> 00:00:33.620]   this non-political discussion.
[00:00:33.620 --> 00:00:37.720]   >> [LAUGH] >> I have to say that every year.
[00:00:37.720 --> 00:00:41.560]   >> [LAUGH] >> Okay, our distinguished guest of honor
[00:00:41.560 --> 00:00:43.280]   is the founder of the Vanguard Group and
[00:00:43.280 --> 00:00:46.760]   president of Vanguard's Global Financial Markets Research Center.
[00:00:46.760 --> 00:00:52.120]   He created Vanguard in 1974 and served as chairman and
[00:00:52.120 --> 00:00:58.920]   chief executive officer until 1996, and as senior chairman until 2000.
[00:00:58.920 --> 00:01:02.080]   He entered the investment field immediately following his graduation from
[00:01:02.080 --> 00:01:07.160]   Princeton University, magna cum laude, with a degree in economics in 1951.
[00:01:07.160 --> 00:01:10.640]   If I listed all of his honors and achievements,
[00:01:10.640 --> 00:01:16.240]   which most of you already know, we wouldn't have any time left for the Barside Chat.
[00:01:16.240 --> 00:01:19.480]   So I'll dispense with that, and I ask you to please welcome our special guest of
[00:01:19.480 --> 00:01:20.960]   honor, Mr. Jack Vogel.
[00:01:20.960 --> 00:01:30.960]   >> [APPLAUSE]
[00:01:30.960 --> 00:01:32.200]   >> Jack's companion for
[00:01:32.200 --> 00:01:36.640]   this Barside Chat is a retired neurologist who helped co-found Efficient Frontier
[00:01:36.640 --> 00:01:38.000]   Advisors.
[00:01:38.000 --> 00:01:41.280]   He's written a number of best-selling titles on both finance and
[00:01:41.280 --> 00:01:43.040]   economic history.
[00:01:43.040 --> 00:01:46.360]   He holds both a PhD in chemistry and an MD.
[00:01:46.360 --> 00:01:49.600]   Please welcome one of the smartest guys I know, Dr. Bill Bernstein.
[00:01:49.600 --> 00:01:56.480]   >> [APPLAUSE]
[00:01:56.480 --> 00:01:58.080]   >> It's all yours.
[00:01:58.080 --> 00:02:03.440]   >> Okay, well, I have been sternly warned that any speakers who mumble will be
[00:02:03.440 --> 00:02:11.800]   promptly cut off, so please, before that happens, start shouting, stop mumbling.
[00:02:11.800 --> 00:02:13.280]   >> [LAUGH]
[00:02:13.280 --> 00:02:15.760]   >> I'm going to lead off, Jack,
[00:02:15.760 --> 00:02:21.600]   with a question that is kind of a counterfactual.
[00:02:21.600 --> 00:02:27.160]   Let's assume that it's 20 or so years ago, and
[00:02:27.160 --> 00:02:35.760]   the success of your concept of a popularly available retail fund has succeeded.
[00:02:35.760 --> 00:02:39.720]   You've got the Index Trust 500 fund, the total stock market,
[00:02:39.720 --> 00:02:43.760]   you're starting to dabble in international markets, and maybe even some slice and
[00:02:43.760 --> 00:02:47.400]   dice in the US market, and that's working out pretty well.
[00:02:47.400 --> 00:02:50.960]   And let's start from that point forward.
[00:02:50.960 --> 00:02:58.760]   What would you have done differently from that point forward?
[00:02:58.760 --> 00:03:01.680]   >> Are you allowed to think before you answer a question in this day in America
[00:03:01.680 --> 00:03:02.200]   or not?
[00:03:02.200 --> 00:03:05.800]   >> You have as long as you need.
[00:03:05.800 --> 00:03:08.800]   >> Okay, but I guess if I had to do it over again, what would I do differently?
[00:03:09.800 --> 00:03:15.160]   Well, you only went back 20 years, and
[00:03:15.160 --> 00:03:20.600]   Vanguard was pretty much formulated almost immediately, 40 years ago as it happened.
[00:03:20.600 --> 00:03:25.560]   And so 20 years ago, I guess if I had done, would do anything differently,
[00:03:25.560 --> 00:03:31.040]   I would probably have a little less impact on marketing, be less of a marketing person.
[00:03:31.040 --> 00:03:36.360]   Some of the funds I started, Vanguard Quantitative Portfolios it's called,
[00:03:37.520 --> 00:03:42.680]   later named, Vanguard Growth and Income, Vanguard Asset Allocation,
[00:03:42.680 --> 00:03:49.600]   which Bert Malfield used to say, it'll never work.
[00:03:49.600 --> 00:03:53.160]   And it worked for 20 years, and then it stopped working.
[00:03:53.160 --> 00:03:57.600]   And I should have known, man, I should have had a 25-year time horizon.
[00:03:57.600 --> 00:04:02.840]   And so starting some funds that really, probably I shouldn't have started.
[00:04:02.840 --> 00:04:06.480]   And we continue to do a little bit of that, I'm not too, these aren't my problems.
[00:04:06.480 --> 00:04:09.240]   Because I could do it any differently if I wanted to.
[00:04:09.240 --> 00:04:17.160]   Things like the managed payout portfolio.
[00:04:17.160 --> 00:04:21.640]   I think anything that thinks it can improve much on indexing is fundamentally,
[00:04:21.640 --> 00:04:23.800]   that's the burden that every fund has to have.
[00:04:23.800 --> 00:04:25.600]   Will it do better than the market index?
[00:04:25.600 --> 00:04:27.640]   I just don't see how you can say that.
[00:04:27.640 --> 00:04:31.200]   On the other hand, we all have, even Bogle,
[00:04:31.200 --> 00:04:36.120]   after all these years of learning better, of knowing better,
[00:04:36.120 --> 00:04:38.960]   still has too much of a marketing hat on.
[00:04:38.960 --> 00:04:41.160]   It's not that we need the money.
[00:04:41.160 --> 00:04:43.520]   My God, $3 trillion?
[00:04:43.520 --> 00:04:45.880]   What does that mean to somebody who's written a book called Enough?
[00:04:45.880 --> 00:04:50.160]   >> [LAUGH]
[00:04:50.160 --> 00:04:52.480]   >> So, I'm more worried about that.
[00:04:52.480 --> 00:04:55.460]   But you end up kind of thinking, or I did,
[00:04:55.460 --> 00:04:59.760]   it was a good idea to kind of preempt other people from coming into the field.
[00:04:59.760 --> 00:05:04.320]   So we didn't want to allow people to have something that would properly be a Vanguard
[00:05:04.320 --> 00:05:09.960]   show at higher prices.
[00:05:09.960 --> 00:05:12.200]   So we basically said, we're gonna start this fund or that fund,
[00:05:12.200 --> 00:05:15.080]   index funds of various types.
