
[00:00:00.000 --> 00:00:01.680]   All right, let's go.
[00:00:01.680 --> 00:00:02.640]   - All right, cool.
[00:00:02.640 --> 00:00:06.000]   So, hey guys, thanks so much for coming by the paper club.
[00:00:06.000 --> 00:00:09.860]   As usual, this is a paper club we run in Asia,
[00:00:09.860 --> 00:00:11.800]   where we go through one paper every week.
[00:00:11.800 --> 00:00:15.040]   So today we're just recording it for the first time,
[00:00:15.040 --> 00:00:16.920]   and we hope that you'll benefit from it.
[00:00:16.920 --> 00:00:18.600]   So as usual, if you guys got any questions,
[00:00:18.600 --> 00:00:20.480]   you can either let me know,
[00:00:20.480 --> 00:00:22.880]   and I can invite you guys on stage.
[00:00:22.880 --> 00:00:25.180]   You can drop in the chat, which you can access
[00:00:25.180 --> 00:00:27.480]   by just clicking the button on the top,
[00:00:27.480 --> 00:00:30.640]   just the little message icon.
[00:00:30.640 --> 00:00:33.500]   And yeah, do you wanna take it away, Brian?
[00:00:33.500 --> 00:00:37.080]   - Sure, thanks Ivan.
[00:00:37.080 --> 00:00:42.000]   So today, we'll be going through the comprehensive overview
[00:00:42.000 --> 00:00:43.920]   of large-network edge models.
[00:00:43.920 --> 00:00:46.720]   But on top of that, I think what we wanna do also
[00:00:46.720 --> 00:00:51.720]   is just to share the reason why attention actually came about
[00:00:51.720 --> 00:00:54.680]   before the Transformers paper.
[00:00:54.680 --> 00:00:58.600]   So we'll have a little bit of a history lesson on that,
[00:00:58.600 --> 00:01:00.160]   on why it was developed.
[00:01:00.160 --> 00:01:03.440]   And then we will go through the paper,
[00:01:03.440 --> 00:01:08.240]   talking about what has happened post the Transformers era.
[00:01:08.240 --> 00:01:11.080]   In fact, it's when the GPT era started.
[00:01:11.080 --> 00:01:12.700]   So I'm gonna begin.
[00:01:12.700 --> 00:01:17.800]   As you can see, the link has two parts.
[00:01:17.800 --> 00:01:20.580]   So I'll use the first part to talk about pre,
[00:01:20.580 --> 00:01:23.400]   I would say GPT, and then I'll use the second link
[00:01:23.400 --> 00:01:24.960]   to talk about the paper prompt.
[00:01:24.960 --> 00:01:28.880]   So let's begin.
[00:01:28.880 --> 00:01:33.840]   So essentially, what models have been trying to do recently
[00:01:33.840 --> 00:01:36.320]   is this idea of language modeling,
[00:01:36.320 --> 00:01:40.720]   where given a previous sequence of words,
[00:01:40.720 --> 00:01:42.560]   which is your input or your prompt,
[00:01:42.560 --> 00:01:45.320]   you want to find out the next word in the prompt.
[00:01:45.320 --> 00:01:47.920]   In this case, it can be question and answers.
[00:01:47.920 --> 00:01:51.400]   So it can be modeled essentially
[00:01:51.400 --> 00:01:54.860]   by this probability of the next token,
[00:01:54.860 --> 00:01:56.520]   given the sequence of tokens.
[00:01:56.520 --> 00:01:59.000]   So that's when you can see the next token,
[00:01:59.000 --> 00:02:01.220]   which is T plus one over,
[00:02:01.220 --> 00:02:05.920]   given the sequence over here up to time equals to T,
[00:02:05.920 --> 00:02:07.680]   position equals to T.
[00:02:07.680 --> 00:02:11.040]   And of course, your T plus one is a sample,
[00:02:11.040 --> 00:02:13.120]   a sample from the vocabulary that you have,
[00:02:13.120 --> 00:02:14.560]   which is basically your sub-words
[00:02:14.560 --> 00:02:15.960]   or the tokens that you have.
[00:02:15.960 --> 00:02:19.880]   So why is this the case?
[00:02:19.880 --> 00:02:24.000]   I think for us who are doing NLP,
[00:02:24.000 --> 00:02:27.360]   beyond just thinking about looking at what the sequence is,
[00:02:27.360 --> 00:02:29.660]   what's being generated in the sequence,
[00:02:29.660 --> 00:02:31.620]   it's good to think about what kind of use case
[00:02:31.620 --> 00:02:33.200]   or what kind of tasks we are doing.
[00:02:33.200 --> 00:02:34.920]   And I'll say this is very useful
[00:02:34.920 --> 00:02:38.400]   when it comes to thinking about the evaluation metrics
[00:02:38.400 --> 00:02:40.560]   for each of these evaluation tasks.
[00:02:40.560 --> 00:02:42.000]   So you can get things like this.
[00:02:42.000 --> 00:02:44.400]   - Your screen just kind of like cut out for you.
[00:02:44.400 --> 00:02:47.040]   - Is it?
[00:02:47.040 --> 00:02:47.860]   Okay, let me see. - Oh, wait, sorry.
[00:02:47.860 --> 00:02:48.700]   No, no, sorry.
[00:02:48.700 --> 00:02:50.020]   It works again, sorry, like that.
[00:02:50.020 --> 00:02:52.160]   It just suddenly disappeared for me.
[00:02:52.160 --> 00:02:54.560]   It works again, like that, yeah.
[00:02:54.560 --> 00:02:55.900]   - No problem.
[00:02:55.900 --> 00:02:58.740]   So things like machine translation
[00:02:58.740 --> 00:03:00.620]   that we'll be talking about,
[00:03:00.620 --> 00:03:01.740]   we've got question and answer,
[00:03:01.740 --> 00:03:04.040]   summarization, so on and so forth.
[00:03:04.040 --> 00:03:07.700]   So essentially, good to think about
[00:03:07.700 --> 00:03:11.580]   what tasks we are trying to attack
[00:03:11.580 --> 00:03:14.820]   when we are using the different models, right?
[00:03:14.820 --> 00:03:18.500]   So while we think about language models
