
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   - Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.900]   where we discuss science and science-based tools
[00:00:04.900 --> 00:00:05.920]   for everyday life.
[00:00:05.920 --> 00:00:12.260]   I'm Andrew Huberman, and I'm a professor of neurobiology
[00:00:12.260 --> 00:00:15.660]   and ophthalmology at Stanford School of Medicine.
[00:00:15.660 --> 00:00:17.400]   This podcast is separate from my teaching
[00:00:17.400 --> 00:00:19.060]   and research roles at Stanford.
[00:00:19.060 --> 00:00:21.060]   It is, however, part of my desire and effort
[00:00:21.060 --> 00:00:23.100]   to bring zero cost to consumer information
[00:00:23.100 --> 00:00:25.340]   about science and science-related tools
[00:00:25.340 --> 00:00:26.960]   to the general public.
[00:00:26.960 --> 00:00:28.220]   In keeping with that theme,
[00:00:28.220 --> 00:00:31.240]   I'd like to thank the sponsors of today's podcast.
[00:00:31.240 --> 00:00:33.540]   Our first sponsor is Four Sigmatic.
[00:00:33.540 --> 00:00:36.460]   Four Sigmatic is a wellness company
[00:00:36.460 --> 00:00:38.060]   that makes mushroom coffee.
[00:00:38.060 --> 00:00:39.200]   And if you're asking yourself,
[00:00:39.200 --> 00:00:41.380]   why would you want to put mushrooms in coffee?
[00:00:41.380 --> 00:00:42.360]   First of all, let me tell you,
[00:00:42.360 --> 00:00:44.480]   these are not psychedelic mushrooms,
[00:00:44.480 --> 00:00:47.040]   and no, the coffee doesn't taste like mushrooms.
[00:00:47.040 --> 00:00:48.640]   The coffee is delicious,
[00:00:48.640 --> 00:00:50.880]   and you don't taste mushrooms at all.
[00:00:50.880 --> 00:00:53.980]   I know this because I've been using Four Sigmatic coffee
[00:00:53.980 --> 00:00:56.920]   and been stocking it in my laboratory for several years now,
[00:00:56.920 --> 00:00:58.900]   long before I ever had the podcast,
[00:00:58.900 --> 00:01:01.100]   or Four Sigmatic was a sponsor.
[00:01:01.100 --> 00:01:03.520]   The two kinds of mushrooms that are in Four Sigmatic coffee
[00:01:03.520 --> 00:01:06.220]   are lion's mane and chaga mushrooms,
[00:01:06.220 --> 00:01:07.260]   both of which have been shown
[00:01:07.260 --> 00:01:10.600]   to have a slight anxiolytic effect to reduce anxiety.
[00:01:10.600 --> 00:01:13.440]   And lion's mane has also been shown in several studies
[00:01:13.440 --> 00:01:16.440]   to lower the symptoms of depression just slightly,
[00:01:16.440 --> 00:01:19.120]   although I wouldn't consider it a treatment for depression.
[00:01:19.120 --> 00:01:20.640]   That's an attractive benefit,
[00:01:20.640 --> 00:01:24.020]   as well as have some effect at offsetting cognitive decline.
[00:01:24.020 --> 00:01:26.140]   Albeit slightly, the effects were real
[00:01:26.140 --> 00:01:28.600]   in the studies that I've found.
[00:01:28.600 --> 00:01:30.220]   So if you'd like to try Four Sigmatic,
[00:01:30.220 --> 00:01:33.700]   you can go to foursigmatic.com/huberman.
[00:01:33.700 --> 00:01:38.700]   That's F-O-U-R-S-I-G-M-A-T-I-C.com/huberman.
[00:01:38.700 --> 00:01:41.460]   And if you do that, you'll get 40% off your order
[00:01:41.460 --> 00:01:44.580]   plus free shipping on mushroom coffee bundles.
[00:01:44.580 --> 00:01:46.940]   That's foursigmatic.com/huberman
[00:01:46.940 --> 00:01:49.660]   for up to 40% off and free shipping.
[00:01:49.660 --> 00:01:53.100]   Today's episode is also brought to us by Blinkist.
[00:01:53.100 --> 00:01:55.760]   Blinkist is an app that has thousands of nonfiction books
[00:01:55.760 --> 00:01:58.320]   condensed down to just 15 minutes of key takeaways
[00:01:58.320 --> 00:02:00.480]   that you can read or listen to.
[00:02:00.480 --> 00:02:04.200]   I'm a big reader and I'm a big consumer of nonfiction.
[00:02:04.200 --> 00:02:05.800]   And most of the time I consume books
[00:02:05.800 --> 00:02:06.920]   in their traditional form,
[00:02:06.920 --> 00:02:09.380]   like a book where you flip the pages and so forth.
[00:02:09.380 --> 00:02:11.640]   I also listen to full length audio books.
[00:02:11.640 --> 00:02:15.600]   However, over time, we know that we forget lots of things.
[00:02:15.600 --> 00:02:16.840]   And even though sometimes I think
[00:02:16.840 --> 00:02:19.320]   I got all the critical information from a book,
[00:02:19.320 --> 00:02:22.200]   when I listen to Blinkist and I get the 15 minute rundown,
[00:02:22.200 --> 00:02:24.840]   either in audio or in written form,
[00:02:24.840 --> 00:02:26.400]   what I find is there are key points
[00:02:26.400 --> 00:02:27.940]   that oftentimes I missed.
[00:02:27.940 --> 00:02:31.000]   And so it's a great way for me to both jog my memory
[00:02:31.000 --> 00:02:32.260]   and to bring forward ideas
[00:02:32.260 --> 00:02:34.360]   that I hadn't considered previously.
[00:02:34.360 --> 00:02:36.860]   They have thousands of nonfiction titles
[00:02:36.860 --> 00:02:39.320]   and some really terrific ones in the science category.
[00:02:39.320 --> 00:02:42.080]   For example, David Eagleman's book, "Livewired,"
[00:02:42.080 --> 00:02:44.840]   which came out recently as a book I read in full length form
[00:02:44.840 --> 00:02:47.920]   and I've listened to the Blinkist version of it as well.
[00:02:47.920 --> 00:02:50.140]   "Livewired" is a book about neuroplasticity,
[00:02:50.140 --> 00:02:53.440]   the brain's ability to change in response to experience.
[00:02:53.440 --> 00:02:55.760]   I get so many questions and requests for books
[00:02:55.760 --> 00:02:57.220]   about neuroplasticity.
[00:02:57.220 --> 00:02:59.500]   In my opinion, "Livewired" is the most recent
[00:02:59.500 --> 00:03:02.340]   and up to date and the best one to date.
[00:03:02.340 --> 00:03:03.400]   So that's there.
[00:03:03.400 --> 00:03:05.640]   David Sinclair's book, "Lifespan."
[00:03:05.640 --> 00:03:08.200]   David, as many of you know,
[00:03:08.200 --> 00:03:10.740]   is a professor of genetics at Harvard Medical School.
[00:03:10.740 --> 00:03:13.900]   "Lifespan" is this terrific book about aging as a disease
[00:03:13.900 --> 00:03:17.520]   and the future and present of longevity treatments.
[00:03:17.520 --> 00:03:18.860]   Very interesting book.
[00:03:18.860 --> 00:03:21.180]   As well as Matt Walker's book, "Why We Sleep."
[00:03:21.180 --> 00:03:23.520]   Matt, of course, is a professor at UC Berkeley.
[00:03:23.520 --> 00:03:25.480]   And "Why We Sleep" is a terrific book
[00:03:25.480 --> 00:03:27.940]   about why we sleep, the science of sleeping
[00:03:27.940 --> 00:03:29.620]   and things you can do to improve your sleep.
[00:03:29.620 --> 00:03:31.360]   All of those are on Blinkist.
[00:03:31.360 --> 00:03:33.200]   But with Blinkist, you get unlimited access
[00:03:33.200 --> 00:03:35.800]   to their massive library of nonfiction.
[00:03:35.800 --> 00:03:37.180]   If you'd like to try Blinkist,
[00:03:37.180 --> 00:03:40.180]   right now they have a special offer just for our audience,
[00:03:40.180 --> 00:03:42.760]   just for Huberman Lab Podcast listeners.
[00:03:42.760 --> 00:03:45.620]   You can go to blinkist.com/huberman
[00:03:45.620 --> 00:03:48.580]   and you can try Blinkist free for seven days.
[00:03:48.580 --> 00:03:51.520]   So that's zero cost and you'll get 25% off
[00:03:51.520 --> 00:03:52.600]   your new subscription.
[00:03:52.600 --> 00:03:57.600]   That's blinkist, B-L-I-N-K-I-S-T.com/huberman
[00:03:57.600 --> 00:03:59.780]   to get a free seven day trial
[00:03:59.780 --> 00:04:02.360]   and get saved 25% off when you sign up.
[00:04:02.360 --> 00:04:05.920]   But only if you go to blinkist.com/huberman.
[00:04:05.920 --> 00:04:08.920]   This episode is also brought to us by Monk Pack.
[00:04:08.920 --> 00:04:12.680]   Monk Pack is a company that makes keto friendly snacks
[00:04:12.680 --> 00:04:14.060]   that taste incredible,
[00:04:14.060 --> 00:04:17.040]   but have just one gram of sugar or less.
[00:04:17.040 --> 00:04:18.840]   As I've said before on this podcast,
[00:04:18.840 --> 00:04:22.040]   I am not in ketosis, I'm not ketogenic.
[00:04:22.040 --> 00:04:24.980]   I don't advocate or follow any one particular diet.
[00:04:24.980 --> 00:04:27.940]   For me, what works is to fast in the early part of the day
[00:04:27.940 --> 00:04:31.560]   and to eat low carb and keto-ish throughout the day.
[00:04:31.560 --> 00:04:34.980]   That's for alertness and attention so I can work and focus
[00:04:34.980 --> 00:04:37.360]   and I don't feel sluggish or brain fog.
[00:04:37.360 --> 00:04:39.060]   And then at night and in the evening
[00:04:39.060 --> 00:04:41.100]   is when I tend to eat my carbohydrates
[00:04:41.100 --> 00:04:42.680]   to aid the transition to sleep.
[00:04:42.680 --> 00:04:44.180]   That's what works for me.
[00:04:44.180 --> 00:04:46.580]   Monk Pack bars are a terrific snack
[00:04:46.580 --> 00:04:48.120]   whether or not your keto all the time,
[00:04:48.120 --> 00:04:50.580]   whether or not you're low carb or even if you're not,
[00:04:50.580 --> 00:04:52.320]   they are absolutely delicious.
[00:04:52.320 --> 00:04:53.760]   And I don't say that lightly.
[00:04:53.760 --> 00:04:55.840]   I'm not a big fan of bars in general.
[00:04:55.840 --> 00:04:57.860]   Most bars to me tastes like a combination
[00:04:57.860 --> 00:05:01.320]   of a metal bumper mixed with some cardboard
[00:05:01.320 --> 00:05:04.120]   and some lawn trimmings and some artificial sugar.
[00:05:04.120 --> 00:05:05.880]   Monk Pack bars, when they were sent to me,
[00:05:05.880 --> 00:05:06.960]   I was like, all right, I'll try them.
[00:05:06.960 --> 00:05:09.400]   I tried it like, uh-oh, this is a problem
[00:05:09.400 --> 00:05:11.160]   'cause I like them very, very much.
[00:05:11.160 --> 00:05:13.560]   And when I say it's a problem, it really is a problem.
[00:05:13.560 --> 00:05:16.680]   I actually keep the Monk Pack boxes in my basement
[00:05:16.680 --> 00:05:18.520]   so that I don't tear through them all at once.
[00:05:18.520 --> 00:05:21.400]   I'm a huge fan of the caramel sea salt flavor.
[00:05:21.400 --> 00:05:22.820]   It's delicious, just talking about it.
[00:05:22.820 --> 00:05:24.200]   It makes me hungry for one.
[00:05:24.200 --> 00:05:26.180]   But they also have sea salt, dark chocolate,
[00:05:26.180 --> 00:05:27.880]   peanut butter dark chocolate.
[00:05:27.880 --> 00:05:29.000]   They're terrific.
[00:05:29.000 --> 00:05:30.360]   In addition to being keto friendly,
[00:05:30.360 --> 00:05:33.680]   they're also gluten-free, plant-based, non-GMO,
[00:05:33.680 --> 00:05:36.840]   no soy, trans fat, sugar alcohols, or artificial colors.
[00:05:36.840 --> 00:05:39.380]   So all the bad stuff that you don't want.
[00:05:39.380 --> 00:05:40.560]   And as I mentioned before,
[00:05:40.560 --> 00:05:43.440]   they're keto less than one gram of sugar.
[00:05:43.440 --> 00:05:46.540]   If you want to try Monk Pack, you can go to monkpack.com.
[00:05:46.540 --> 00:05:49.360]   That's M-U-N-K pack.com
[00:05:49.360 --> 00:05:51.540]   and enter the code Huberman at checkout
[00:05:51.540 --> 00:05:53.900]   and you'll get 20% off your first purchase
[00:05:53.900 --> 00:05:55.300]   of any Monk Pack product.
[00:05:55.300 --> 00:05:58.720]   That's M-U-N-K-P-A-C-K.com
[00:05:58.720 --> 00:06:00.360]   and enter the code Huberman at checkout
[00:06:00.360 --> 00:06:03.180]   to get 20% off your purchase.
[00:06:03.180 --> 00:06:05.720]   This month, we've been talking all about hormones,
[00:06:05.720 --> 00:06:08.840]   which are these absolutely incredible chemicals
[00:06:08.840 --> 00:06:10.640]   in our brain and body.
[00:06:10.640 --> 00:06:13.520]   They impact our entire lifespan.
[00:06:13.520 --> 00:06:16.080]   So from the time that we are in the womb,
[00:06:16.080 --> 00:06:18.160]   they're controlling the development of our brain
[00:06:18.160 --> 00:06:19.480]   and our bodies.
[00:06:19.480 --> 00:06:22.420]   After we are born, they're still controlling
[00:06:22.420 --> 00:06:25.360]   the development of our brain and bodies.
[00:06:25.360 --> 00:06:27.580]   And I did say development and that's because,
[00:06:27.580 --> 00:06:29.200]   contrary to what most people think,
[00:06:29.200 --> 00:06:31.980]   development lasts the entire lifespan.
[00:06:31.980 --> 00:06:35.040]   From the time you're conceived until the time you die,
[00:06:35.040 --> 00:06:36.720]   you are developing, you are changing
[00:06:36.720 --> 00:06:40.600]   and hormones are constantly updating and changing
[00:06:40.600 --> 00:06:42.680]   the different functions of your body.
[00:06:42.680 --> 00:06:45.000]   They have two major kinds of effects.
