
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:00:03.080 --> 00:00:12.960]   - Welcome back to Ask the Compound,
[00:00:12.960 --> 00:00:15.560]   where we take a week off, but the questions never do.
[00:00:15.560 --> 00:00:17.000]   We got a bunch more good ones today.
[00:00:17.000 --> 00:00:20.120]   Today's show sponsored by our friends at Bird Dogs.
[00:00:20.120 --> 00:00:21.680]   Duncan, today we're talking about diversification,
[00:00:21.680 --> 00:00:23.440]   one of my favorite topics.
[00:00:23.440 --> 00:00:26.560]   I like the diversification that Bird Dogs can apply.
[00:00:26.560 --> 00:00:28.480]   - I was waiting to see what you were gonna do with that.
[00:00:28.480 --> 00:00:31.760]   - Yeah, I've been out on the lake a lot lately,
[00:00:31.760 --> 00:00:33.800]   like riding bikes with the kids,
[00:00:33.800 --> 00:00:35.640]   and these are the kind of shorts that you can take anywhere.
[00:00:35.640 --> 00:00:38.160]   I wear 'em at the beach, I wear 'em to the pool,
[00:00:38.160 --> 00:00:40.020]   I wear 'em on the boat.
[00:00:40.020 --> 00:00:41.040]   They also have different kinds,
[00:00:41.040 --> 00:00:43.240]   so I like to have diversification among my Bird Dogs.
[00:00:43.240 --> 00:00:44.600]   So some of them are plain,
[00:00:44.600 --> 00:00:46.360]   some of them have nice patterns
[00:00:46.360 --> 00:00:48.760]   when I wanna feel like going crazy a little bit
[00:00:48.760 --> 00:00:50.240]   and rockin' out a little bit.
[00:00:50.240 --> 00:00:52.680]   So, really like the Bird Dogs.
[00:00:52.680 --> 00:00:55.480]   They're very comfy, they're very stylish.
[00:00:55.480 --> 00:00:59.400]   BirdDogs.com and BirdDogs/ATC.
[00:00:59.400 --> 00:01:01.960]   BirdDogs.com/ATC, you get a free tumbler, right?
[00:01:01.960 --> 00:01:03.440]   Yeti-style tumbler, pretty cool.
[00:01:03.440 --> 00:01:04.320]   - Right, yeah.
[00:01:04.320 --> 00:01:07.040]   I gotta get me some of those really cool design ones.
[00:01:07.040 --> 00:01:08.820]   I've just got some navy blue ones,
[00:01:08.820 --> 00:01:11.040]   and I've got some camo ones.
[00:01:11.040 --> 00:01:14.040]   - Listen, I don't mind wearing a floral print here,
[00:01:14.040 --> 00:01:19.760]   but I have some floral print Bird Dogs that are very nice.
[00:01:19.760 --> 00:01:22.200]   People like them, I get a lot of compliments on those.
[00:01:22.200 --> 00:01:23.320]   All right, let's do a question.
[00:01:23.320 --> 00:01:24.160]   - Nice.
[00:01:24.160 --> 00:01:27.240]   Okay, so up first today we have a question from Connor.
[00:01:27.240 --> 00:01:29.520]   I'm a 34-year-old with a high risk tolerance.
[00:01:29.520 --> 00:01:32.080]   All of my investment accounts are 100% stocks.
[00:01:32.080 --> 00:01:33.320]   The one thing I have a hard time
[00:01:33.320 --> 00:01:34.680]   finding a tried and true answer on
[00:01:34.680 --> 00:01:36.560]   is how to best allocate my investments
[00:01:36.560 --> 00:01:38.800]   among large-cap, mid-cap, international,
[00:01:38.800 --> 00:01:40.600]   emerging markets, et cetera.
[00:01:40.600 --> 00:01:43.380]   I'm not looking to get the highest return possible, per se,
[00:01:43.380 --> 00:01:44.960]   although that would be nice.
[00:01:44.960 --> 00:01:47.400]   Rather, I'm looking to have a well-diversified portfolio
[00:01:47.400 --> 00:01:50.600]   that gives me long-term returns of 7% to 10%.
[00:01:50.600 --> 00:01:52.880]   I've always utilized the following allocation,
[00:01:52.880 --> 00:01:55.680]   and I'm guessing they mean annualized, obviously.
