
[00:00:00.000 --> 00:00:03.000]   Welcome back to 6S094
[00:00:03.000 --> 00:00:05.000]   Deep Learning for Self-Driving Cars
[00:00:05.000 --> 00:00:13.000]   Today we will talk about autonomous vehicles
[00:00:13.000 --> 00:00:18.500]   Also referred to as driverless cars,
[00:00:18.500 --> 00:00:21.000]   autonomous cars, robo cars
[00:00:21.000 --> 00:00:24.200]   First, the utopian view
[00:00:27.300 --> 00:00:30.400]   where for many autonomous vehicles
[00:00:30.400 --> 00:00:32.900]   have the opportunity to transform our society
[00:00:32.900 --> 00:00:35.100]   into a positive direction
[00:00:35.100 --> 00:00:38.900]   1.3 million people die every year
[00:00:38.900 --> 00:00:40.700]   in automobile crashes
[00:00:40.700 --> 00:00:42.400]   globally
[00:00:42.400 --> 00:00:47.000]   35, 38, 40,000 die every year in the United States
[00:00:47.000 --> 00:00:50.700]   So the one opportunity that's huge
[00:00:50.700 --> 00:00:53.300]   that's one of the biggest focus for us here
[00:00:53.300 --> 00:00:55.100]   at MIT
[00:00:55.400 --> 00:00:57.300]   for people who truly care about this
[00:00:57.300 --> 00:00:59.900]   is to design autonomous systems
[00:00:59.900 --> 00:01:02.700]   artificial intelligence systems that saves lives
[00:01:02.700 --> 00:01:08.100]   And those systems help work with,
[00:01:08.100 --> 00:01:10.700]   deal with, or take away
[00:01:10.700 --> 00:01:14.500]   what NHTSA calls the four D's of human folly
[00:01:14.500 --> 00:01:19.600]   Drunk, drugged, distracted, and drowsy driving
[00:01:19.600 --> 00:01:24.100]   Autonomous vehicles have the ability to take away
[00:01:24.100 --> 00:01:25.200]   drunk driving
[00:01:26.200 --> 00:01:29.500]   distracted, drowsy, and drugged
[00:01:29.500 --> 00:01:32.000]   Eliminate car ownership
[00:01:32.000 --> 00:01:35.500]   So taking shared mobility to another level
[00:01:35.500 --> 00:01:41.600]   Eliminating car ownership from the business side
[00:01:41.600 --> 00:01:45.500]   is the opportunity to save people money
[00:01:45.500 --> 00:01:50.400]   and increase mobility and access
[00:01:50.400 --> 00:01:54.100]   Making vehicles, removing ownership
[00:01:54.100 --> 00:01:57.200]   makes vehicles more accessible
[00:01:57.200 --> 00:02:00.600]   because the cost of getting from point A to point B
[00:02:00.600 --> 00:02:04.100]   drops an order to magnitude
[00:02:04.100 --> 00:02:10.300]   And the insertion of software and intelligence
[00:02:10.300 --> 00:02:11.400]   into vehicles
[00:02:11.400 --> 00:02:13.800]   makes those vehicles,
[00:02:13.800 --> 00:02:15.900]   makes the idea of transportation
[00:02:15.900 --> 00:02:18.900]   makes the way we see moving from A to point B
[00:02:18.900 --> 00:02:20.800]   a totally different experience
[00:02:20.800 --> 00:02:23.000]   Much like with our smartphone
[00:02:23.300 --> 00:02:26.100]   it makes it a personalized, efficient,
[00:02:26.100 --> 00:02:27.800]   and reliable experience
[00:02:27.800 --> 00:02:31.400]   Now for the negative view
[00:02:31.400 --> 00:02:32.700]   for the dystopian view
[00:02:32.700 --> 00:02:36.500]   Eliminate jobs
[00:02:36.500 --> 00:02:40.400]   Any technology throughout its history
[00:02:40.400 --> 00:02:42.500]   throughout our history of human civilization
[00:02:42.500 --> 00:02:44.700]   has always created fear
[00:02:44.700 --> 00:02:48.100]   that jobs that rely on the prior technology
[00:02:48.100 --> 00:02:49.100]   will be lost
[00:02:49.100 --> 00:02:51.100]   This is a huge fear
[00:02:52.000 --> 00:02:54.000]   especially in trucking
[00:02:54.000 --> 00:02:57.300]   because so many people
[00:02:57.300 --> 00:02:59.300]   in the United States and across the world
[00:02:59.300 --> 00:03:02.300]   rely, work in the transportation industry
[00:03:02.300 --> 00:03:03.700]   transportation sector
[00:03:03.700 --> 00:03:06.400]   and the possibility that
[00:03:06.400 --> 00:03:08.400]   AI will remove those jobs
[00:03:08.400 --> 00:03:11.800]   has potential catastrophic consequences
[00:03:11.800 --> 00:03:17.800]   The idea
[00:03:18.900 --> 00:03:20.700]   one that we have to struggle with
[00:03:20.700 --> 00:03:22.200]   in the 21st century
[00:03:22.200 --> 00:03:25.200]   of the role of intelligence systems
[00:03:25.200 --> 00:03:26.900]   that aren't human beings
[00:03:26.900 --> 00:03:30.400]   being further and further integrated into our lives
[00:03:30.400 --> 00:03:33.900]   is the idea that a failure of an autonomous vehicle
[00:03:33.900 --> 00:03:35.900]   even if they're much rarer
[00:03:35.900 --> 00:03:37.700]   if they're, even if they're much safer
[00:03:37.700 --> 00:03:39.800]   that there is a possibility for
[00:03:39.800 --> 00:03:41.600]   an AI algorithm
[00:03:41.600 --> 00:03:44.700]   designed by probably one of the engineers in this room
[00:03:44.700 --> 00:03:46.400]   will kill a person
[00:03:47.500 --> 00:03:50.800]   where that person would not have died
[00:03:50.800 --> 00:03:52.900]   if they were in control of the vehicle
[00:03:52.900 --> 00:03:55.400]   The idea of an intelligence system
[00:03:55.400 --> 00:03:58.100]   one in direct interaction with a human being
[00:03:58.100 --> 00:04:00.000]   killing that human being
[00:04:00.000 --> 00:04:02.000]   is one that we have to struggle with
[00:04:02.000 --> 00:04:05.200]   on a philosophical, ethical and technological level
[00:04:05.200 --> 00:04:09.600]   Artificial intelligence systems
[00:04:09.600 --> 00:04:12.600]   in popular culture
[00:04:12.600 --> 00:04:15.800]   less so in engineering concerns
[00:04:17.000 --> 00:04:18.700]   may not be grounded
[00:04:18.700 --> 00:04:20.500]   ethically grounded
[00:04:20.500 --> 00:04:24.000]   At this time, much of the focus of building these systems
[00:04:24.000 --> 00:04:25.400]   as we'll talk about today
[00:04:25.400 --> 00:04:26.900]   and throughout this course
[00:04:26.900 --> 00:04:28.900]   the focus is on the technology
[00:04:28.900 --> 00:04:30.400]   How do we make these things work?
[00:04:30.400 --> 00:04:33.500]   But of course, decades out
[00:04:33.500 --> 00:04:35.100]   years or decades out
[00:04:35.100 --> 00:04:37.700]   the ethical concerns start arising
[00:04:37.700 --> 00:04:42.100]   For Rodney Brooks
[00:04:42.100 --> 00:04:44.900]   one of the seminal people from MIT
[00:04:45.100 --> 00:04:46.900]   those ethical concerns will not be
[00:04:46.900 --> 00:04:49.800]   an issue for another several decades
[00:04:49.800 --> 00:04:51.300]   at least five decades
[00:04:51.300 --> 00:04:53.700]   But they're still important
[00:04:53.700 --> 00:04:55.800]   It continues the thought
[00:04:55.800 --> 00:04:58.600]   the idea of what is the role of AI in our society
[00:04:58.600 --> 00:05:02.700]   When that car gets to make a decision about human life
[00:05:02.700 --> 00:05:05.700]   what is it making that decision based on?
[00:05:05.700 --> 00:05:07.800]   Especially when it's a black box
[00:05:07.800 --> 00:05:10.300]   what is the ethical grounding of that system?
[00:05:10.300 --> 00:05:12.700]   Does it conform with our social norms?
[00:05:14.000 --> 00:05:15.600]   Does it go against them?
[00:05:15.600 --> 00:05:18.300]   And there's many other concerns
[00:05:18.300 --> 00:05:21.300]   Security is definitely a big one
[00:05:21.300 --> 00:05:23.400]   A car that's
[00:05:23.400 --> 00:05:26.400]   not even artificial intelligence based
[00:05:26.400 --> 00:05:27.700]   the car that's software based
[00:05:27.700 --> 00:05:29.800]   as they're becoming more and more
[00:05:29.800 --> 00:05:32.300]   Millions, most of the cars on road today
[00:05:32.300 --> 00:05:35.400]   are run by millions of lines of source code
[00:05:35.400 --> 00:05:40.200]   The idea that those lines of source code
[00:05:40.200 --> 00:05:43.000]   written again by some of the engineers in this room
[00:05:44.000 --> 00:05:46.300]   get to decide the life of a human being
[00:05:46.300 --> 00:05:49.900]   means then a hacker from outside of the car
[00:05:49.900 --> 00:05:53.400]   can manipulate that code
[00:05:53.400 --> 00:05:56.900]   to also decide the fate of that human being
[00:05:56.900 --> 00:05:58.300]   That's a huge concern
[00:05:58.300 --> 00:06:01.000]   For us
[00:06:01.000 --> 00:06:03.500]   from the engineering perspective
[00:06:03.500 --> 00:06:06.500]   the truth is somewhere in the middle
[00:06:06.500 --> 00:06:08.700]   We want to find what is the best
[00:06:08.700 --> 00:06:11.300]   positive way we can build these systems
[00:06:11.700 --> 00:06:13.300]   to transform our society
[00:06:13.300 --> 00:06:15.100]   to improve the quality of life
[00:06:15.100 --> 00:06:17.300]   of everyone amongst us
[00:06:17.300 --> 00:06:22.900]   But there's a grain of salt
[00:06:22.900 --> 00:06:25.300]   to the hype of autonomous vehicles
[00:06:25.300 --> 00:06:27.300]   We have to remember
[00:06:27.300 --> 00:06:29.000]   as we discussed in the previous lecture
[00:06:29.000 --> 00:06:30.500]   and it will come up again and again
[00:06:30.500 --> 00:06:33.200]   our intuition about what is difficult
[00:06:33.200 --> 00:06:36.300]   and what is easy for deep learning
[00:06:36.300 --> 00:06:40.900]   for autonomous systems is flawed
[00:06:41.900 --> 00:06:42.900]   If we use our
[00:06:42.900 --> 00:06:45.300]   if you use ourselves in this example
[00:06:45.300 --> 00:06:48.600]   human beings are extremely good at driving
[00:06:48.600 --> 00:06:50.900]   This will come up again and again
[00:06:50.900 --> 00:06:54.200]   Our intuition has to be grounded
[00:06:54.200 --> 00:06:57.200]   in understanding of what is the source of data
[00:06:57.200 --> 00:06:58.700]   what is the annotation
[00:06:58.700 --> 00:07:00.100]   and what is the approach
[00:07:00.100 --> 00:07:01.300]   what is the algorithm
[00:07:01.300 --> 00:07:04.300]   So you have to be careful about using our intuition
[00:07:04.300 --> 00:07:05.900]   extending it decades out
[00:07:05.900 --> 00:07:07.200]   and making predictions
[00:07:07.200 --> 00:07:10.100]   whether it's towards the utopian or the dystopian view
[00:07:11.100 --> 00:07:13.700]   And as we'll talk about
[00:07:13.700 --> 00:07:15.700]   some of the advancements of companies
[00:07:15.700 --> 00:07:17.100]   working in the space today
[00:07:17.100 --> 00:07:19.800]   You have to take
[00:07:19.800 --> 00:07:22.000]   what people say in the media
[00:07:22.000 --> 00:07:23.600]   what the companies say
[00:07:23.600 --> 00:07:24.900]   some of the speakers
[00:07:24.900 --> 00:07:26.800]   that will be speaking at this class say
[00:07:26.800 --> 00:07:29.200]   about their plans for the future
[00:07:29.200 --> 00:07:30.800]   and their current capabilities
[00:07:30.800 --> 00:07:34.300]   I think a guide I can provide
[00:07:34.300 --> 00:07:37.600]   is when there's a promise
[00:07:37.600 --> 00:07:39.200]   of a future technology
[00:07:40.000 --> 00:07:41.100]   future vehicles
[00:07:41.100 --> 00:07:43.100]   that are two years out or more
[00:07:43.100 --> 00:07:45.300]   that has to be
