
[00:00:00.000 --> 00:00:05.300]   Do you want to fly first class for less than the cost of economy or even just cut your economy
[00:00:05.300 --> 00:00:10.420]   flight prices in half? Transferable credit card points are one of the most powerful tools in
[00:00:10.420 --> 00:00:15.380]   travel and when used right, they can turn flights that would cost you thousands of dollars or even
[00:00:15.380 --> 00:00:19.900]   hundreds of thousands of points in your credit card travel portal into something you can book
[00:00:19.900 --> 00:00:25.380]   for a tiny fraction of that cost. Honestly, these tactics are exactly how my family and I are able
[00:00:25.380 --> 00:00:30.740]   to regularly fly business class for less than it would cost to fly economy and it also works to
[00:00:30.740 --> 00:00:36.440]   stay in luxury hotels that we'd never normally pay cash for. So today we'll walk through all the best
[00:00:36.440 --> 00:00:41.760]   airline and hotel transfer partners you can start using today to book travel for less. We'll talk
[00:00:41.760 --> 00:00:46.140]   about how to avoid the ones that are a waste of your time and points and exactly how to approach
[00:00:46.140 --> 00:00:52.160]   these programs even if the idea of using a foreign loyalty program seems intimidating. I'm Chris Hutchins.
[00:00:52.160 --> 00:00:56.160]   If you enjoyed this episode, please share with a friend or leave a comment or review. And if you
[00:00:56.160 --> 00:01:01.640]   want to keep upgrading your life, money, and travel, click follow or subscribe. Greg, when it comes to
[00:01:01.640 --> 00:01:06.960]   credit card points, why do you think so much outsized value can come from transferring to airlines and
[00:01:06.960 --> 00:01:13.700]   hotels? When you use credit card points directly, like when you go into the bank's portal and book travel
[00:01:13.700 --> 00:01:19.100]   and use your points to pay for travel that way, you're usually getting one cent per point value.
[00:01:19.100 --> 00:01:26.160]   Sometimes there's some uplift, you get 1.25 or 1.5 or something, something like that. But what never
[00:01:26.160 --> 00:01:34.640]   happens in those cases, you never get incredible value. So you never have a situation where a $10,000,
[00:01:34.640 --> 00:01:41.220]   $20,000 flight is available for a reasonable number of points if you're using points in that way. However,
[00:01:41.220 --> 00:01:48.280]   when you transfer to the right airline partners or hotel partners, there's often opportunities to get just
[00:01:48.280 --> 00:01:56.880]   incredible value. Like it's not unusual at all to get two cents value. But, you know, I frequently see 4 cents per
[00:01:56.880 --> 00:02:03.280]   point value, 5 cents per point value and more, especially for the most expensive things. So you might see, for example, a
