
[00:00:00.000 --> 00:00:04.000]   [Intro music]
[00:00:04.000 --> 00:00:10.000]   Christ stopped one storm, but does he now govern over every other storm thereafter?
[00:00:10.000 --> 00:00:14.000]   Is this connection a leap, or is it logical?
[00:00:14.000 --> 00:00:16.000]   It's a question from a listener named Sophia.
[00:00:16.000 --> 00:00:22.000]   Pastor John, hello. I have a question for you about God's sovereignty over natural disasters, including tsunamis and tornadoes and floods.
[00:00:22.000 --> 00:00:30.000]   In the Gospels, we read that Jesus once calmed the wind and waves, leading the disciples to ask each other the glorious question in Mark 4, 41,
[00:00:30.000 --> 00:00:35.000]   "Who then is this that even the wind and the sea obey him?"
[00:00:35.000 --> 00:00:41.000]   Jesus can step in and stop any storm. Yes and amen. It's an awesome and comforting reality.
[00:00:41.000 --> 00:00:49.000]   However, over the years, as I read your take on natural disasters, you seem to make an additional conclusion to say that because Jesus dissolved one storm,
[00:00:49.000 --> 00:00:54.000]   that he ever and always controls the natural powers behind every other storm.
[00:00:54.000 --> 00:00:59.000]   From then on, all the winds and waves only perpetually obey Christ.
[00:00:59.000 --> 00:01:01.000]   Can you explain this logical connection?
[00:01:01.000 --> 00:01:10.000]   How do you move from Jesus' dissolving of one storm to Jesus' supervising control over the intensity of every storm thereafter?
[00:01:10.000 --> 00:01:12.000]   What would you say to Sophia?
[00:01:12.000 --> 00:01:16.000]   Well, congratulations to Sophia for asking the right kind of question.
[00:01:16.000 --> 00:01:23.000]   I think it is wise to question a conclusion that is illogical.
[00:01:23.000 --> 00:01:28.000]   She's concerned, how does this logic work here from one specific to general?
[00:01:28.000 --> 00:01:37.000]   What I mean by illogical conclusion is one that doesn't follow in a valid way from the premises.
[00:01:37.000 --> 00:01:40.000]   For example, this would be illogical.
[00:01:40.000 --> 00:01:46.000]   Premise one, Jesus in his earthly life stilled a storm.
[00:01:46.000 --> 00:01:52.000]   Premise two, there is a storm in the Atlantic Ocean today in 2020.
[00:01:52.000 --> 00:01:57.000]   Conclusion, Jesus can still this storm.
[00:01:57.000 --> 00:01:59.000]   That's not a valid argument.
[00:01:59.000 --> 00:02:01.000]   It's true.
[00:02:01.000 --> 00:02:15.000]   I believe the conclusion is true, but it doesn't follow logically from the premises because the premises don't contain enough information to draw that conclusion.
[00:02:15.000 --> 00:02:28.000]   So if Sophia thinks that's the way I have come to my conviction about Jesus ruling today over all storms, she ought to be concerned about Piper's thinking.
[00:02:28.000 --> 00:02:30.000]   But that's not the way I'm thinking.
[00:02:30.000 --> 00:02:36.000]   I'm not moving from a single premise, Jesus stilled a storm.
[00:02:36.000 --> 00:02:40.000]   And I'm not moving from nothing else.
[00:02:40.000 --> 00:02:53.000]   I have at least, I think, nine premises, eight or nine premises to the conclusion that Jesus today rules over all storms everywhere at all time.
[00:02:53.000 --> 00:02:55.000]   Yes, I do believe that.
[00:02:55.000 --> 00:02:57.000]   I believe the Bible teaches that.
[00:02:57.000 --> 00:02:59.000]   So let me give you my nine premises.
[00:02:59.000 --> 00:03:18.000]   Number one, when the disciples saw Jesus still the storm, the conclusion they drew was not simply that this particular miracle was an isolated event from a random Jewish teacher.
[00:03:18.000 --> 00:03:24.000]   They drew the conclusion that this was a particular kind of person.
[00:03:24.000 --> 00:03:29.000]   They saw his power as general, not specific.
[00:03:29.000 --> 00:03:40.000]   They said, "What sort of man is this that even the winds, not wind, winds and the sea obey him?" Matthew 8, 27.
[00:03:40.000 --> 00:03:50.000]   The answer in Matthew's context, the answer to their question that Matthew wants us to draw, so this is a teaching of the Bible, is this.
[00:03:50.000 --> 00:03:51.000]   He's the Son of God.
[00:03:51.000 --> 00:03:53.000]   That's who he is.
[00:03:53.000 --> 00:03:56.000]   That is the sort of man he is.
[00:03:56.000 --> 00:04:03.000]   So rightly understood, the stealing of the storm is a revelation of who he is, and therefore it's general.
[00:04:03.000 --> 00:04:05.000]   And that sort of man doesn't just luck out.
[00:04:05.000 --> 00:04:08.000]   Like, "Whoa, look at that.
[00:04:08.000 --> 00:04:10.000]   It actually works."
[00:04:10.000 --> 00:04:14.000]   He doesn't just luck out sometimes in his ability to see and still storms.
[00:04:14.000 --> 00:04:16.000]   It's a general statement.
[00:04:16.000 --> 00:04:20.000]   The winds and the sea in general, that's the kind of man he is.
[00:04:20.000 --> 00:04:21.000]   Obey him.
[00:04:21.000 --> 00:04:22.000]   That's my first premise.
[00:04:22.000 --> 00:04:26.000]   The Son of God is the sort of person who can do this.
[00:04:26.000 --> 00:04:30.000]   Premise number two, Hebrews 13, 8.
[00:04:30.000 --> 00:04:35.000]   Jesus is the same yesterday, today, and forever.
[00:04:35.000 --> 00:04:42.000]   So he has the same power, 2020, that he had in the first century.
[00:04:42.000 --> 00:04:45.000]   He is still that sort of person.
[00:04:45.000 --> 00:04:47.000]   Premise number three.
[00:04:47.000 --> 00:04:56.000]   "This same Jesus said to his disciples, 'Are not two sparrows sold for a penny, and not one of them will fall to the ground apart from your father?'"
[00:04:56.000 --> 00:04:58.000]   Matthew 10, 29.
[00:04:58.000 --> 00:05:05.000]   I'm assuming that Jesus acts in concert with his Father here.
[00:05:05.000 --> 00:05:07.000]   They're not at odds with each other.
[00:05:07.000 --> 00:05:11.000]   Like, "Oh, the Father can govern the fall of sparrows, but Jesus, poor, he can't.
[00:05:11.000 --> 00:05:14.000]   He's out of step with that," or "He can't do that.
[00:05:14.000 --> 00:05:16.000]   Only the Father can do that."
[00:05:16.000 --> 00:05:20.000]   I'm assuming they are—what the Father does, the Son does, Jesus says.
[00:05:20.000 --> 00:05:35.000]   And he says that the Father oversees, governs, the fall of every sparrow, which is an illustration of the most insignificant event Jesus could come up with at the time, I think.
[00:05:35.000 --> 00:05:37.000]   Like ripples on the sea.
[00:05:37.000 --> 00:05:46.000]   So Jesus could have said, "Not one ripple happens in the sea apart from your father," instead of, "Not one sparrow falls to the ground."
[00:05:46.000 --> 00:06:01.000]   If someone says, "This only means God watches the sparrows fall, but doesn't govern it," I would say, "In the context of comforting the disciples as they are being killed"—that's the context.
[00:06:01.000 --> 00:06:03.000]   They're going to kill your body.
