
[00:00:00.040 --> 00:00:09.500]   comentários
[00:00:09.500 --> 00:00:27.880]   or. I,
[00:00:28.700 --> 00:00:35.280]   Friday. And after far too long, that means live Q&A.
[00:00:35.280 --> 00:00:54.980]   Welcome to Radical Personal Finance. My name is Joshua. I am your host.
[00:00:54.980 --> 00:00:57.180]   This is a show that's dedicated to providing you with the knowledge,
[00:00:57.180 --> 00:00:57.360]   and the knowledge that you need to be a financial investor.
[00:00:57.360 --> 00:00:57.360]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:00:57.360 --> 00:00:57.360]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:00:57.360 --> 00:00:58.700]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:00:58.700 --> 00:00:58.700]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:00:58.700 --> 00:00:58.700]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:00:58.740 --> 00:01:28.720]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:28.720 --> 00:01:28.720]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:28.720 --> 00:01:28.720]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:28.720 --> 00:01:28.720]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:28.720 --> 00:01:28.720]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:28.740 --> 00:01:58.740]   I'm here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
[00:01:58.740 --> 00:01:58.740]   We're here to provide you with the knowledge, skills, insight, insight, and encouragement that you need to be a financial investor.
[00:01:58.760 --> 00:02:28.760]   I'm here to provide you with the knowledge, skills, insight, and encouragement that you need to be a financial investor.
