
[00:00:00.000 --> 00:00:01.000]   Sound is good?
[00:00:01.000 --> 00:00:02.000]   Okay, great.
[00:00:02.000 --> 00:00:06.360]   So I wanted to talk to you about unsupervised learning, and that's the area where there's
[00:00:06.360 --> 00:00:09.020]   been a lot of research.
[00:00:09.020 --> 00:00:14.680]   But compared to supervised learning that you've heard about today, like convolutional networks,
[00:00:14.680 --> 00:00:15.920]   unsupervised learning is not there yet.
[00:00:15.920 --> 00:00:20.560]   So I'm going to show you lots of areas.
[00:00:20.560 --> 00:00:23.840]   Parts of the talk are going to be a little bit more mathematical.
[00:00:23.840 --> 00:00:28.840]   I apologize for that, but I'll try to give you a gist of the foundations, the math behind
[00:00:28.840 --> 00:00:34.640]   these models, as well as try to highlight some of the application areas.
[00:00:34.640 --> 00:00:35.640]   What's the motivation?
[00:00:35.640 --> 00:00:42.200]   Well, the motivation is that the space of data that we have today is just growing.
[00:00:42.200 --> 00:00:47.720]   If you look at the space of images, speech, if you look at social network data, if you
[00:00:47.720 --> 00:00:56.440]   look at scientific data, I would argue that most of the data that we see today is unlabeled.
[00:00:56.440 --> 00:01:00.480]   So how can we develop statistical models, models that can discover interesting kind
[00:01:00.480 --> 00:01:04.640]   of structure in unsupervised way or semi-supervised way?
[00:01:04.640 --> 00:01:11.320]   And that's what I'm interested in, as well as how can we apply these models across multiple
[00:01:11.320 --> 00:01:13.360]   different domains.
[00:01:13.360 --> 00:01:17.380]   And one particular framework of doing that is the framework of deep learning, where you're
[00:01:17.380 --> 00:01:21.240]   trying to learn hierarchical representations of data.
[00:01:21.240 --> 00:01:27.480]   And again, as I go through the talk, I'm going to show you some examples.
[00:01:27.480 --> 00:01:30.320]   So here's one example.
[00:01:30.320 --> 00:01:36.220]   You can take a simple bag-of-words representation of an article or a newspaper.
[00:01:36.220 --> 00:01:41.400]   You can use something that's called an autoencoder, just multiple levels.
[00:01:41.400 --> 00:01:46.640]   You extract some latent code, and then you get some representation out of it.
[00:01:46.640 --> 00:01:48.520]   This is done completely in unsupervised way.
[00:01:48.520 --> 00:01:49.920]   You don't provide any labels.
[00:01:49.920 --> 00:01:53.280]   And if you look at the kind of structure that the model is discovering, it could be useful
[00:01:53.280 --> 00:02:00.480]   for visualization, for example, to see what kind of structure you see in your data.
[00:02:00.480 --> 00:02:03.760]   This was done on the Reuters dataset.
[00:02:03.760 --> 00:02:09.520]   I've tried to kind of cluster together lots of different unsupervised learning techniques,
[00:02:09.520 --> 00:02:11.640]   and I'll touch on some of them.
[00:02:11.640 --> 00:02:15.100]   It's a little bit-- it's not a full set.
[00:02:15.100 --> 00:02:19.640]   But the way that I typically think about these models is that there's a class of what I would
[00:02:19.640 --> 00:02:26.560]   call non-probabilistic models, models like sparse coding, autoencoders, clustering-based
[00:02:26.560 --> 00:02:27.560]   methods.
[00:02:27.560 --> 00:02:32.880]   And these are all very, very powerful techniques, and I'll cover some of them in that talk as
[00:02:32.880 --> 00:02:33.880]   well.
[00:02:33.880 --> 00:02:38.160]   And then there is sort of a space of probabilistic models.
[00:02:38.160 --> 00:02:43.440]   And within probabilistic models, you have tractable models, things like fully observed
[00:02:43.440 --> 00:02:45.440]   belief networks.
[00:02:45.440 --> 00:02:50.200]   There's a beautiful class of models called neural autoregressive density estimators.
[00:02:50.200 --> 00:02:58.640]   More recently, we've seen some successes of so-called pixel recurrent neural network models.
[00:02:58.640 --> 00:03:00.280]   And I'll show you some examples of that.
[00:03:00.280 --> 00:03:05.640]   There is a class of so-called intractable models, where you are looking at models like
[00:03:05.640 --> 00:03:10.560]   Boltzmann machines and models like variational autoencoders, something that's been quite--
[00:03:10.560 --> 00:03:15.400]   there's been a lot of development in our community, in deep learning community in that space.
[00:03:15.400 --> 00:03:19.960]   From Holtz machines, I'll tell you a little bit about what these models are, and a whole
[00:03:19.960 --> 00:03:22.920]   bunch of others as well.
[00:03:22.920 --> 00:03:27.480]   One particular structure within these models is that when you're building these generative
[00:03:27.480 --> 00:03:33.160]   models of data, you typically have to specify what the distributions you're looking at.
[00:03:33.160 --> 00:03:37.020]   So you have to specify what the probability of the data, and generally doing some kind
[00:03:37.020 --> 00:03:39.680]   of approximate maximum likelihood estimation.
[00:03:39.680 --> 00:03:44.120]   And then more recently, we've seen some very exciting models coming out.
[00:03:44.120 --> 00:03:48.640]   These are generative adversarial networks, moment matching networks.
[00:03:48.640 --> 00:03:53.440]   And this is a slightly different class of models, where you don't really have to specify
[00:03:53.440 --> 00:03:55.120]   what the density is.
[00:03:55.120 --> 00:03:57.480]   You just need to be able to sample from those models.
[00:03:57.480 --> 00:04:01.800]   And I'm going to show you some examples of that.
[00:04:01.800 --> 00:04:04.120]   So my talk is going to be structured.
[00:04:04.120 --> 00:04:09.720]   I'd like to introduce you to the basic building blocks, models like sparse coding models.
[00:04:09.720 --> 00:04:13.680]   Because I think that these are very important classes of models, particularly for folks
[00:04:13.680 --> 00:04:18.840]   who are working in industry and looking for simpler models.
[00:04:18.840 --> 00:04:21.200]   Autoencoder is a beautiful class of models.
[00:04:21.200 --> 00:04:25.440]   And then the second part of the talk, I'll focus more on generative models.
[00:04:25.440 --> 00:04:29.320]   I'll give you an introduction into restricted Boltz machines and deep Boltz machines.
[00:04:29.320 --> 00:04:38.280]   These are statistical models that can model complicated data.
[00:04:38.280 --> 00:04:42.480]   And I'll spend some time showing you some examples, some recent developments in our
[00:04:42.480 --> 00:04:47.280]   community, specifically in the case of variational autoencoders, which I view them as a subclass
[00:04:47.280 --> 00:04:49.360]   of Helmholtz machines.
[00:04:49.360 --> 00:04:54.440]   And I'll finish off by giving you an intuition about a slightly different class of models,
[00:04:54.440 --> 00:04:57.440]   which would be these generative adversarial networks.
[00:04:57.440 --> 00:05:00.880]   OK, so let's jump into the first part.
[00:05:00.880 --> 00:05:05.360]   But before I do that, let me just give you a little bit of motivation.
[00:05:05.360 --> 00:05:10.640]   I know Andre's done a great job, and Richard alluded to that as well.
[00:05:10.640 --> 00:05:16.760]   But the idea is, if I'm trying to classify a particular image, and if I say, if I'm looking
[00:05:16.760 --> 00:05:22.040]   at specific pixel representation, it might be difficult for me to classify what I'm seeing.
[00:05:22.040 --> 00:05:27.500]   On the other hand, if I can find the right representations, the right representations
[00:05:27.500 --> 00:05:32.640]   for these images, and then I get the right features, or get the right structure from
[00:05:32.640 --> 00:05:38.920]   the data, then it might be easier for me to see what's going on with my data.
[00:05:38.920 --> 00:05:40.760]   So how do I find these representations?
[00:05:40.760 --> 00:05:48.120]   And this is one of traditional approaches that we've seen for a long time, is that you
[00:05:48.120 --> 00:05:53.120]   have a data, you're creating some features, and then you're running your learning algorithm.
[00:05:53.120 --> 00:05:57.500]   And for the longest time, in object recognition or in audio classification, you typically
[00:05:57.500 --> 00:06:04.000]   use some kind of hand-designed features, and then you start classifying what you have.
[00:06:04.000 --> 00:06:11.120]   And like Andre was saying, in the space of vision, there's been a lot of different features,
[00:06:11.120 --> 00:06:15.600]   designs of what's the right structure we should see in the data.
[00:06:15.600 --> 00:06:19.960]   In the space of audio, same thing is happening.
[00:06:19.960 --> 00:06:25.380]   How can you find these right representations for your data?
[00:06:25.380 --> 00:06:32.200]   And the idea behind representation learning, in particular in deep learning, is can we
[00:06:32.200 --> 00:06:35.160]   actually learn these representations automatically?
[00:06:35.160 --> 00:06:39.000]   And more importantly, can we actually learn these representations in an unsupervised way,
