
[00:00:00.040 --> 00:00:14.380]   MAKUILA MAKUILA:
[00:00:14.380 --> 00:00:15.960]   So my name is Kevin, and I'm going
[00:00:15.960 --> 00:00:18.760]   to be talking about how embeddings are stunting
[00:00:18.760 --> 00:00:20.360]   AI agents.
[00:00:20.360 --> 00:00:22.040]   So I'm going to let you in on some secrets
[00:00:22.040 --> 00:00:25.040]   about how we build the product and exactly what
[00:00:25.040 --> 00:00:27.680]   we're doing behind the scenes to improve your code gen
[00:00:27.680 --> 00:00:29.240]   experience.
[00:00:29.240 --> 00:00:32.020]   So at Kodium, we are building AI developer tools,
[00:00:32.020 --> 00:00:34.220]   and we're starting with an IDE plug-in.
[00:00:34.220 --> 00:00:37.980]   And as mentioned before, we've been downloaded over a million
[00:00:37.980 --> 00:00:39.260]   and a half times.
[00:00:39.260 --> 00:00:40.760]   We're one of the top-rated extensions
[00:00:40.760 --> 00:00:42.180]   across the different marketplaces.
[00:00:42.180 --> 00:00:46.220]   And to reiterate, we offer free, unlimited autocomplete,
[00:00:46.220 --> 00:00:49.140]   chat, and search across 70 different languages
[00:00:49.140 --> 00:00:50.540]   and 40 different IDEs.
[00:00:50.540 --> 00:00:54.360]   So we plug into all the popular IDEs.
[00:00:54.360 --> 00:00:56.500]   We are the highest-rated developer tool,
[00:00:56.500 --> 00:00:59.200]   as voted by developers in the most recent Stack Over
[00:00:59.200 --> 00:01:00.200]   Flow Survey.
[00:01:00.200 --> 00:01:02.420]   And you'll note that this is even higher than tools
[00:01:02.420 --> 00:01:05.920]   like ChatGPT and GitHub Copilot.
[00:01:05.920 --> 00:01:08.920]   And importantly, we are trusted by Fortune 500s
[00:01:08.920 --> 00:01:10.720]   to deliver high-quality code that actually
[00:01:10.720 --> 00:01:12.380]   makes it into production.
[00:01:12.380 --> 00:01:14.820]   And we do this with top-grade security, licensing,
[00:01:14.820 --> 00:01:17.520]   attribution for some of the largest enterprises
[00:01:17.520 --> 00:01:18.380]   on the planet.
[00:01:18.380 --> 00:01:20.800]   Our goal at Kodium is to empower every developer
[00:01:20.800 --> 00:01:25.920]   to have superpowers both inside of the IDE and beyond.
[00:01:25.920 --> 00:01:28.920]   And today I'm going to let you in on some secrets about how we've
[00:01:28.920 --> 00:01:32.640]   been able to build a tool like this, and why users choose us over
[00:01:32.640 --> 00:01:34.900]   the other AI tools on the market.
[00:01:34.900 --> 00:01:38.640]   And the short answer is context awareness.
[00:01:38.640 --> 00:01:42.980]   So here's a quick overview about what context looks like today.
[00:01:42.980 --> 00:01:44.980]   We're all familiar, since we're at an AI conference,
[00:01:44.980 --> 00:01:47.360]   with the basics of retrieval augmented generation.
[00:01:47.360 --> 00:01:53.360]   The idea being that a user puts in a query, you accumulate context from a variety of different
[00:01:53.360 --> 00:01:58.080]   sources, you throw it into your LLM, and then you get a response, whether that be a code
[00:01:58.080 --> 00:02:01.360]   generation or a chat message.
[00:02:01.360 --> 00:02:06.080]   Here's a concrete example about how retrieval can be used in code generation.
[00:02:06.080 --> 00:02:09.480]   So let's say we want to build a contact form in React.
[00:02:09.480 --> 00:02:13.440]   Now you could go to chat GPT, you could ask it to generate a contact form, but in reality,
[00:02:13.440 --> 00:02:15.960]   on a moderately large code base, this is really not going to work.
[00:02:15.960 --> 00:02:19.400]   It's not going to give you things that are personalized to you.
[00:02:19.400 --> 00:02:21.780]   And this is really where context retrieval comes in.
[00:02:21.780 --> 00:02:26.260]   We need to build a contact form that is in line with our design system components.
[00:02:26.260 --> 00:02:33.900]   Let's say you already have buttons and inputs, it has to be able to pattern match with local
[00:02:33.900 --> 00:02:36.600]   instances of other forms inside of your code base.
[00:02:36.600 --> 00:02:39.760]   It has to ingest your style guide, for example, if you're using Tailwind, you have to be able
[00:02:39.760 --> 00:02:44.580]   to detect and make the form look and feel like every other thing on your site.
[00:02:44.580 --> 00:02:49.440]   And then, of course, there's documentation both locally and externally for packages and
[00:02:49.440 --> 00:02:51.020]   other dependencies.
[00:02:51.020 --> 00:02:55.660]   So the question becomes, how do you collect and rank these items so that our code generation
[00:02:55.660 --> 00:02:59.360]   can be both fast and accurate for your use case?
[00:02:59.360 --> 00:03:03.660]   So to dive into a couple of different methods about how people are tackling this today, there's
[00:03:03.660 --> 00:03:05.200]   really three main pillars.
[00:03:05.200 --> 00:03:07.260]   The first one is long context.
[00:03:07.260 --> 00:03:12.500]   So this is the idea that if you expand your prompt window in your LLM, it can read more input
