
[00:00:00.000 --> 00:00:19.820]   Hi, everybody. You probably met me this morning when I greeted you all to the conference. My name
[00:00:19.820 --> 00:00:25.200]   is Laurie. I'm VP at VELP Relations at Llama Index. Today I'm going to be talking about Llama
[00:00:25.200 --> 00:00:30.580]   Index and what it is very briefly because I've only got 15 minutes. And then we're going
[00:00:30.580 --> 00:00:36.260]   to talk about agents and how they are built plus a very, very brief refresher on RAG and
[00:00:36.260 --> 00:00:40.780]   why it's necessary for agents. Then we're going to look at some high-level design patterns
[00:00:40.780 --> 00:00:45.640]   that improve the performance of your agent. And we won't have time to dive into how to
[00:00:45.640 --> 00:00:50.180]   build an agent as well as a multi-agent system because we've only got 15 minutes. So let's
[00:00:50.180 --> 00:00:55.040]   go fast. So what is Llama Index? We are a bunch of things. Start with the most obvious. We
[00:00:55.040 --> 00:01:00.420]   are a framework in Python and TypeScript for building generative AI applications. We are
[00:01:00.420 --> 00:01:04.220]   particularly good at building agents. We also have a service called Llama Parse. Llama Parse
[00:01:04.220 --> 00:01:09.980]   will parse complicated document formats for you. So PDFs, Word, PowerPoints, those sorts of things.
[00:01:09.980 --> 00:01:17.340]   These are crucial to building an effective agent is being able to parse your unstructured data
[00:01:17.340 --> 00:01:23.380]   in an effective way. And Llama Parse will demonstrably improve the quality of the agents you build by
[00:01:23.380 --> 00:01:28.760]   making the data easier for an LLM to understand than if you just try and feed these things in
[00:01:28.760 --> 00:01:35.140]   through an open source parser or something like that. We also have an enterprise service
[00:01:35.140 --> 00:01:39.500]   called Llama Cloud. If what you want to do is stuff documents into one end and get a retrieval
[00:01:39.500 --> 00:01:45.140]   endpoint out of the other, then that is the service for you. Unlike the rest of Llama Index, it costs money.
[00:01:45.140 --> 00:02:15.120]   It is available as a SaaS at cloud.llamaindex.ai or you can get it deployed onto your own private cloud. We also have a website called Llama Hub, which is a huge registry of open source software that plugs into the framework that integrates with everything. So if you need to get your data out of Notion or out of Slack or out of any database in the world, that is where you find the adapters. If you want to store your data in any vector database that exists, the adapters exist for that. And we also integrate with every LLM that exists.
[00:02:15.120 --> 00:02:31.080]   So, 400 different models over 80 different LLM providers, including local ones like Llama 3. Oh, and it also has pre-built agent tools. So if you are building an agent, you can just plug in an existing agent tool without having to build one yourself.
[00:02:32.120 --> 00:02:53.600]   So why should you use Llama Index? Because we will help you go faster. That is the base promise of a framework generally. You have actual business and technology problems to solve and you have limited time. A framework is going to help you get past those by skipping the boilerplate, getting best practices for free, and getting to production faster in general.
[00:02:55.120 --> 00:03:12.320]   So, what can you build in Llama Index? Well, anything, obviously, but there's two things that we are particularly good at. One is retrieval augmented generation, and the other one is agents, both of which you are probably familiar with already from just being at this conference because we won't shut up about agents at this conference.
[00:03:14.400 --> 00:03:25.820]   So, what is an agent? An agent is a dramatically overused term in the industry. Just about everything is an agent in 2025.
[00:03:26.560 --> 00:03:37.140]   But what I mean when I say an agent is it is a bit of semi-autonomous software that can use tools to achieve a goal without you having to explicitly specify what steps it's going to take to achieve that goal.
[00:03:37.140 --> 00:03:42.440]   And the tools can do anything, which is great. They can take retrieve information or they can take action.
[00:03:42.440 --> 00:03:46.360]   Agents are a dramatic departure from traditional programming.
[00:03:46.360 --> 00:03:53.880]   LLMs are given decision-making power to decide what tools to use and stuff like that. That makes them extremely flexible and powerful.
[00:03:54.600 --> 00:04:03.980]   So, the time to build an agent is when that flexibility, that ability to deal with the unexpected or the unknown is going to come in useful.
[00:04:03.980 --> 00:04:07.360]   And when that's really useful is when you have a bunch of unstructured data.
[00:04:07.360 --> 00:04:13.200]   LLMs are extremely good at handling messy inputs, and the world is full of messy inputs.
[00:04:13.200 --> 00:04:15.620]   So, there's a whole lot of applications for LLMs.
[00:04:17.620 --> 00:04:25.440]   In general, I regard a good agent use case as any situation where an LLM is required to turn a large body of text into a smaller body of text.
[00:04:25.440 --> 00:04:33.320]   I think that is a key principle of agent design and LLM use in general, is that they are not good at taking a small prompt and turning it into a big body of text.
[00:04:33.320 --> 00:04:35.920]   They are very good at summarizing stuff down.
[00:04:36.060 --> 00:04:45.320]   So, interpreting a contract, processing an invoice, applying regulations, summarizing documents, a thing where you need to turn text into less text.
[00:04:45.440 --> 00:04:52.400]   So, a calendar event, a decision, a report, an answer to a question, those are good applications for LLMs and good applications for agents.
[00:04:52.400 --> 00:04:57.800]   The most obvious application of LLMs is a chat interface where you give it questions and it answers.
[00:04:58.200 --> 00:05:00.340]   I encourage you to think beyond the chat bot.
[00:05:00.340 --> 00:05:04.980]   Chat bots are a very 2023 way of using an LLM.
[00:05:04.980 --> 00:05:11.540]   We believe a much greater addressable surface is if you integrate them into existing software.
[00:05:11.540 --> 00:05:24.180]   So, you use the LLMs capability to handle messy inputs, to handle unstructured data, and turn it into structured data that it can then make decisions about and feed into your regular software.
[00:05:24.740 --> 00:05:30.460]   That is a really productive and powerful set of use cases, and we think it's much bigger than the market for chat bots.
[00:05:30.460 --> 00:05:36.380]   I've talked a lot about unstructured data.
[00:05:36.380 --> 00:05:40.660]   The reason I talk about it is because that is where LLMs become really useful.
[00:05:40.660 --> 00:05:49.020]   Unless you are building something extremely generic, you are not going to be able to get anything useful out of an LLM by just asking it questions.
[00:05:49.020 --> 00:05:56.020]   You're going to have to give it contextual data relevant to your company, to your domain, to whatever problem set it is that you are working on.
[00:05:56.020 --> 00:06:03.240]   So, you have to feed the LLM your data, and the problem is that you have tons of data, and this is the use case for RAC.
[00:06:05.100 --> 00:06:28.320]   You take all of your data, you embed it, which is turning it into vectors that you can search for in a vector search, and you can then take your query, take your questions about your data, and embed them into the same vector database, and they will end up mathematically nearby in vector space to the context that you fed in that is relevant.
[00:06:28.320 --> 00:06:43.240]   So, instead of having to take all of your data and feed it to the LLM every single time, which would be tremendously slow and tremendously expensive, you can just feed in the most relevant context out of your data corpus and answer questions about that.
[00:06:43.240 --> 00:06:46.880]   This is why RAC will never die.
[00:06:46.880 --> 00:06:51.300]   People keep talking about larger and larger contexts and, you know, more and more powerful models.
[00:06:51.300 --> 00:06:56.560]   It's always going to be cheaper and faster to send less data that the LLM has to think about less.
[00:06:56.560 --> 00:07:05.180]   It's always going to be, you're always going to get more answers, better answers, if the context that you have given your LLM is more specific.
[00:07:07.280 --> 00:07:17.120]   So, agents can use RAG as one of their tools, but also, so agents need RAG, but RAG also needs agents.
[00:07:17.120 --> 00:07:29.040]   RAG by itself, naive top K RAG, where you just, you know, throw in a query and retrieve the most relevant context and feed that to the LLM, that's not going to work very well for a variety of situations.
[00:07:29.040 --> 00:07:44.220]   But what we've found through lots of production use cases is that layering an agent on top of your RAG will produce significantly higher quality results, and they're capable of doing things that RAG just can't do.
[00:07:44.220 --> 00:07:55.260]   RAG is a simple question and answer robot, whereas an agent can do stuff like introspection, like could this complicated question be answered more easily if it were a series of simpler questions?
[00:07:55.680 --> 00:07:59.700]   Do I need to try extracting that data again because the data that I got out is nonsense?
[00:07:59.700 --> 00:08:03.760]   Did I just give a sensible answer to your question, or should I try again?
[00:08:03.760 --> 00:08:05.300]   That is something that an agent can do.
[00:08:05.300 --> 00:08:10.280]   It can look at its own responses and improve itself, which RAG by itself obviously doesn't do.
[00:08:10.280 --> 00:08:17.120]   So, agents improve the performance of RAG, both in terms of speed and, crucially, in accuracy.
[00:08:18.260 --> 00:08:33.060]   In December of last year, Anthropic did an excellent post about how to build agents, in which they codified some design patterns about how to build an effective agent that we immediately recognized from our own work, building agents.
[00:08:33.060 --> 00:08:38.640]   So, I'm going to go through them very quickly, and given the amount of time I have, that's probably all I'm going to be able to cover.
[00:08:38.760 --> 00:08:45.480]   They are chaining, routing, parallelization, orchestrated workers, and evaluator optimizers.
[00:08:45.480 --> 00:08:48.660]   The first and most obvious is the chain.
[00:08:48.660 --> 00:08:55.060]   You can use an LLM to do some work, and you pass the output of that to another LLM, and you pass the output of that to another LLM.
[00:08:55.660 --> 00:08:58.720]   It is trivial to build, especially in LLM index.
[00:08:58.720 --> 00:09:01.680]   This is what a chain looks like in LLM index.
[00:09:01.680 --> 00:09:13.780]   We use an abstraction called workflows, where you define regular Python functions that do whatever you need them to do, and you use event annotations to define how...
[00:09:13.780 --> 00:09:18.880]   Sorry, you use type annotations to define how events pass from step to step within a workflow.
[00:09:19.580 --> 00:09:23.200]   It is a very simple and flexible pattern that our users like a lot.
[00:09:23.200 --> 00:09:30.720]   So, LLM index workflows have a built-in visualizer, the output of which you can see here.
[00:09:30.720 --> 00:09:32.280]   This is obviously a chain.
[00:09:32.280 --> 00:09:40.000]   There is much, much more to LLM applications than a chain, though, despite what the names of some other frameworks might indicate.
[00:09:40.000 --> 00:09:43.780]   The next pattern-anthropic called out is routing.
[00:09:44.360 --> 00:09:56.700]   In this one, you create several LLM-based tools to solve a problem in different ways or to solve different types of problems, and you give the LLM decision-making power to say, which of these tools should I call?
[00:09:56.700 --> 00:09:59.180]   Which of these different LLM paths should I follow?
[00:10:00.840 --> 00:10:05.360]   Again, not that complicated a concept and simple to build in LLM index.
[00:10:05.360 --> 00:10:07.420]   I'm going to spare you the code this time.
[00:10:07.420 --> 00:10:09.540]   You can do it using branches.
[00:10:09.540 --> 00:10:20.380]   You can just decide that you're going to split off into your own chain and do another series of work based on the original decision made by the LLM.
[00:10:21.520 --> 00:10:25.380]   The next pattern is parallelization, which is where things begin to get interesting.
[00:10:25.380 --> 00:10:34.040]   Anthropic defines this as running several LLMs in parallel and then aggregating their results, and they define parallelization as having two flavors.
[00:10:34.040 --> 00:10:36.260]   The first is sectioning.
