
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:09.040]   - You're listening to Let's Talk Jobs,
[00:00:09.040 --> 00:00:12.800]   where we give you practical insights into jobs and careers.
[00:00:12.800 --> 00:00:15.920]   I'm Tim Chen, and today's episode was made specifically
[00:00:15.920 --> 00:00:18.480]   for all the new grads entering the workforce.
[00:00:18.480 --> 00:00:21.940]   What happens when expectation meets reality
[00:00:21.940 --> 00:00:23.920]   and is not what you thought it would be?
[00:00:23.920 --> 00:00:26.640]   If I were to ask my college self upon graduation,
[00:00:26.640 --> 00:00:28.800]   why I expect to achieve success,
[00:00:28.800 --> 00:00:30.880]   I'll probably say one of the following.
[00:00:30.880 --> 00:00:32.600]   Either I will outwork everyone
[00:00:32.600 --> 00:00:34.820]   because I struggled and I still graduated,
[00:00:34.820 --> 00:00:38.120]   or I'm streetwise and paired with some natural talents
[00:00:38.120 --> 00:00:39.960]   I know I can figure things out.
[00:00:39.960 --> 00:00:42.680]   I would have said, "That's cute,"
[00:00:42.680 --> 00:00:45.240]   pat myself on the head and said, "Good luck with that.
[00:00:45.240 --> 00:00:47.640]   "Let's talk again in 10 years."
[00:00:47.640 --> 00:00:50.340]   Because the reality of the situation was
[00:00:50.340 --> 00:00:54.120]   my expectation of success, what it looks like,
[00:00:54.120 --> 00:00:56.920]   and how quickly I believed I could achieve it
[00:00:56.920 --> 00:00:59.400]   was all way off.
[00:00:59.400 --> 00:01:01.160]   And for high-performing graduates
[00:01:01.160 --> 00:01:03.800]   who enter the workforce with high distinction,
[00:01:03.800 --> 00:01:05.600]   the harsh reality of the job market
[00:01:05.600 --> 00:01:08.520]   and the lack of glamor in that first entry-level job
[00:01:08.520 --> 00:01:11.020]   could in itself feel like a failure.
[00:01:11.020 --> 00:01:13.360]   Let me tell you something right now.
[00:01:13.360 --> 00:01:14.200]   It's not.
[00:01:14.200 --> 00:01:17.260]   10 years later, you will tell yourself
[00:01:17.260 --> 00:01:19.640]   that experience is experience,
[00:01:19.640 --> 00:01:21.880]   but being intentional about what you want to learn
[00:01:21.880 --> 00:01:25.260]   from each job you take is much more important.
[00:01:26.120 --> 00:01:29.520]   So today, we're going to have a chat with Elizabeth Ingeley.
[00:01:29.520 --> 00:01:31.280]   She and I met when we were both at LinkedIn,
[00:01:31.280 --> 00:01:32.100]   and she was a part
[00:01:32.100 --> 00:01:34.860]   of the prestigious Business Leadership Program.
[00:01:34.860 --> 00:01:36.880]   We're going to talk about the highs and lows
[00:01:36.880 --> 00:01:38.840]   of early career experience,
[00:01:38.840 --> 00:01:40.800]   things we learned along the way,
[00:01:40.800 --> 00:01:43.760]   and advice we would give to new college grads.
[00:01:43.760 --> 00:01:45.960]   All right, let's get started.
[00:01:45.960 --> 00:01:48.480]   Hey, guys, you're listening to Let's Talk Jobs.
[00:01:48.480 --> 00:01:49.520]   I'm Tim Chen.
[00:01:49.520 --> 00:01:51.360]   Joining us is Elizabeth Ingeley.
[00:01:51.360 --> 00:01:53.000]   Elizabeth, how are you doing?
[00:01:53.000 --> 00:01:53.840]   - I'm great.
[00:01:53.840 --> 00:01:55.520]   Glad to be here.
[00:01:55.520 --> 00:01:56.840]   - Thanks, Elizabeth.
[00:01:56.840 --> 00:02:01.160]   Today's episode is for anyone who is graduating college,
[00:02:01.160 --> 00:02:02.560]   entering their first job,
[00:02:02.560 --> 00:02:06.000]   or you're exiting your first job, going to your next one.
[00:02:06.000 --> 00:02:09.800]   And it's a topic about reality meeting expectations.
[00:02:09.800 --> 00:02:10.640]   And so, Elizabeth,
[00:02:10.640 --> 00:02:12.440]   can you tell us a little bit about your journey?
[00:02:12.440 --> 00:02:14.800]   - Yeah.
[00:02:14.800 --> 00:02:17.020]   Wow, that's such a big question, Tim.
[00:02:17.020 --> 00:02:19.720]   (both laughing)
[00:02:19.720 --> 00:02:20.640]   Okay.
[00:02:20.640 --> 00:02:25.640]   So, where I actually like to start my career journey
[00:02:25.640 --> 00:02:28.800]   is with my personal journey,
[00:02:28.800 --> 00:02:32.800]   because personal and work are really not,
[00:02:32.800 --> 00:02:34.240]   really so interconnected.
[00:02:34.240 --> 00:02:39.240]   So, I actually grew up on a farm in Southern Illinois,
[00:02:39.240 --> 00:02:43.680]   where there were two stoplights and 3,300 people.
[00:02:43.680 --> 00:02:49.440]   So, even though I'm white and I don't look diverse,
[00:02:49.440 --> 00:02:52.400]   I do consider my background to be very diverse
[00:02:52.400 --> 00:02:54.800]   from many of the folks that I'm working with,
[00:02:54.800 --> 00:02:57.600]   whose parents were probably in corporate jobs
[00:02:57.600 --> 00:02:59.640]   or somewhat similar jobs,
[00:02:59.640 --> 00:03:04.120]   and maybe grew up in the suburbs or the city.
[00:03:04.120 --> 00:03:07.400]   So, I'm really thankful for that background in a way,
[00:03:07.400 --> 00:03:12.400]   because I feel like it was very playful.
[00:03:12.400 --> 00:03:16.560]   And I also learned the values of humility and hard work.
[00:03:16.560 --> 00:03:18.880]   So, when I went to the University of Illinois
[00:03:18.880 --> 00:03:21.520]   in Urbana-Champaign, which, by the way,
[00:03:21.520 --> 00:03:25.600]   is one of the best schools in the world, Go Illini,
[00:03:25.600 --> 00:03:30.760]   that was 13 times the size of my hometown.
[00:03:30.760 --> 00:03:33.560]   And after my freshman year,
[00:03:33.560 --> 00:03:36.280]   I remember having a conversation with my mom
[00:03:36.280 --> 00:03:38.960]   and I was crying on her bed.
[00:03:38.960 --> 00:03:41.160]   And she was like, "Well, do you just wanna come home
[00:03:41.160 --> 00:03:43.080]   "and go to the local community college?"
[00:03:43.080 --> 00:03:47.460]   And I said, "No, I know this is where I need to be,
[00:03:48.360 --> 00:03:49.920]   "but it's just really hard,"
[00:03:49.920 --> 00:03:52.080]   because I felt just like disconnected
