
[00:00:00.400 --> 00:00:19.520]   Hi, I'm Reid Mayo, founder of Reema AI. Welcome to Shift Left, how to become an AI engineer
[00:00:19.520 --> 00:00:23.960]   from a full-stack background. In this talk, we'll provide and review a syllabus that walks
[00:00:23.960 --> 00:00:28.880]   you step-by-step through a defined process with practical tutorials that teach you the
[00:00:28.880 --> 00:00:34.300]   comprehensive best practice skills and knowledge required to launch a professional AI engineering
[00:00:34.300 --> 00:00:39.800]   career. Think of it in a way as an AI engineering boot camp. So this talk assumes that you have a
[00:00:39.800 --> 00:00:44.040]   strong full-stack engineering background. You should be comfortable building modern tech from
[00:00:44.040 --> 00:00:48.940]   the ground up across all of the different layers, infrastructure, database and persistence, and
[00:00:48.940 --> 00:00:54.840]   applications both on the back end and on the client side. However, this talk assumes zero background with
[00:00:54.840 --> 00:01:00.940]   any AI or machine learning. We're going to start from scratch there. So why would you be interested
[00:01:00.940 --> 00:01:06.080]   in becoming an AI engineer? For an in-detail summary, I'd encourage you to read The Rise of the AI
[00:01:06.080 --> 00:01:12.320]   Engineer by Sean Swix Wang that inspired the name of this talk. One critical takeaway from this essay is
[00:01:12.320 --> 00:01:18.480]   when Swix identifies that full-stack engineers can now deploy a wide variety of legitimately useful AI
[00:01:18.480 --> 00:01:23.800]   solutions by leveraging new foundational models. Previously, such solutions would have
[00:01:23.800 --> 00:01:29.720]   required substantial experience in traditional ML techniques and costly investment in upfront data
[00:01:29.720 --> 00:01:36.640]   collection. So let's go ahead and move forward. So before we dive into the syllabus itself, I want
[00:01:36.640 --> 00:01:40.600]   you to follow a few techniques from the book, The Art of Learning, that this course was designed
[00:01:40.600 --> 00:01:45.900]   around. This is going to make your learning more effective and efficient. First, stay focused and limit
[00:01:45.900 --> 00:01:50.880]   distractions. There's a lot of low information out there with diminished returns. Stay focused on
[00:01:50.880 --> 00:01:55.840]   the important topics. Speaking of important topics, we're going to invest heavily in the fundamentals in
[00:01:55.840 --> 00:02:00.960]   this course. By understanding fundamental building blocks well, we'll be able to build sophisticated AI
[00:02:00.960 --> 00:02:06.920]   products through composition of those blocks. Lastly, as you go through the syllabus, use ChatGPT as a
[00:02:06.920 --> 00:02:13.200]   private tutor. Anytime you come across a new concept, use the Socratic method with ChatGPT to unfurl the
[00:02:13.200 --> 00:02:18.180]   topic until you understand it thoroughly. You'd be surprised how many concepts pre-date ChatGPT's
[00:02:18.180 --> 00:02:24.180]   January 22nd knowledge cutoff date. So regarding the syllabus itself, as we go through each section,
[00:02:24.180 --> 00:02:29.980]   I'll be spending most of our limited time talking about the why. We'll summarize what you will learn and
[00:02:29.980 --> 00:02:36.860]   why it is important. Let's go ahead and dive in. Section one, overview to large language models. Before we start
[00:02:36.860 --> 00:02:42.320]   working with large language models, it's useful to start with a short but respectably thorough overview of what
[00:02:42.320 --> 00:02:47.000]   they are and how they work at a high level. Cohere is a company founded by one of the creators of the
[00:02:47.000 --> 00:02:51.700]   Transformer architecture and they've got a great overview of these core concepts in their educational
[00:02:51.700 --> 00:02:58.680]   docs. So we'll start there. Remember, stay focused. Only review module one in its entirety and keep pairing
[00:02:58.680 --> 00:03:05.300]   the Socratic method with ChatGPT to flesh out your knowledge as you go along. Okay, moving forward.
[00:03:05.300 --> 00:03:09.980]   Section two, prompt engineering. So on its face, prompt engineering feels like a bunch
[00:03:09.980 --> 00:03:15.180]   of voodoo mumbo jumbo. It feels absurd, really, because we're used to working with symbolic
[00:03:15.180 --> 00:03:21.520]   architectures based on code logic. So it's strange to imagine getting higher quality output by prompting
[00:03:21.520 --> 00:03:27.660]   an AI model politely. But the language models are neural architectures. They're inspired by our brains.
[00:03:27.660 --> 00:03:32.340]   So different techniques are required. The bottom line is that prompt engineering objectively
[00:03:32.340 --> 00:03:38.840]   increases the quality of neural architectures output, such as language models. So now you might be tempted
[00:03:38.840 --> 00:03:42.540]   to say, all right, I'm going to skip all this prompt engineering stuff and get straight to fine tuning
[00:03:42.540 --> 00:03:48.720]   models. But fine tuning quality is often increased by starting with the best performing prompts and using
[00:03:48.720 --> 00:03:54.180]   those prompts in your fine tuning training data. Lastly, it's important to really sink your hands into the
[00:03:54.180 --> 00:03:59.220]   prompt engineering clay to see what language models are capable of, and also to probe their limitations.
[00:03:59.220 --> 00:04:05.220]   So regarding course materials, start out by watching the overview video from prompt engineering guide
[00:04:05.220 --> 00:04:11.940]   founder Elvis Cerevia, then dive directly into the guide itself. Read it cover to cover and pay special
[00:04:11.940 --> 00:04:17.940]   attention to the graduate job classification case study that shows how layering on prompt engineering techniques
