
[00:00:00.000 --> 00:00:19.920]   Hey everyone, glad you're all here. This is the Reasoning and Reinforcement Learning Track
[00:00:19.920 --> 00:00:24.480]   on the afternoon of the last day of the AI Engineer World's Fair. Glad you're all here,
[00:00:24.480 --> 00:00:29.880]   glad you're sharing it with us. Today what I'm going to talk about is a very specific case study
[00:00:29.880 --> 00:00:33.960]   that we did. This case study I'm going to talk about lessons learned very concretely,
[00:00:33.960 --> 00:00:36.900]   what did and didn't work, how we were able to build an agent that worked well with
[00:00:36.900 --> 00:00:41.160]   Reinforcement Learning, all of this, everything that I'm talking about in this presentation. This
[00:00:41.160 --> 00:00:46.680]   is an open source code base that we built. We wanted to share these learnings and I'll share
[00:00:46.680 --> 00:00:52.080]   that link with you at the end as well for those of you who want to replicate what we did. So what is
[00:00:52.080 --> 00:00:56.880]   the project we're going to be talking about? It's a project called ARTE. It is a natural language
[00:00:56.880 --> 00:01:02.640]   assistant that helps you answer questions from your email inbox. So I'll give you an example of
[00:01:02.640 --> 00:01:08.080]   what we're talking about here. Let's say you want to ask, you know, in this case our example question
[00:01:08.080 --> 00:01:12.000]   is when is Sherry's move to Portland targeted for? So you would ask this question to the assistant,
[00:01:12.000 --> 00:01:15.520]   it then goes and it searches your inbox. It's got several tools, so it has like a search tool,
[00:01:15.520 --> 00:01:19.920]   it has a read email tool, and then it can actually answer the final question. You can kind of see if you
[00:01:19.920 --> 00:01:24.240]   if you look here what's going on behind the scenes. This is important so you get a sense of kind of how this
[00:01:24.240 --> 00:01:28.160]   agent works and as we're talking through how we built it, how we made it work, hopefully that
[00:01:28.160 --> 00:01:32.960]   that helps make the conversation very grounded in a specific task. So anyway, you see the agent,
[00:01:32.960 --> 00:01:37.920]   it's it's you know searching for certain keywords, it gets those messages back, it's in reading one of
[00:01:37.920 --> 00:01:45.040]   them and answering the question. That's that's what it does. Okay, so question, you know, once we've
[00:01:45.040 --> 00:01:50.000]   decided this is kind of the task we're trying to solve, why would you reuse reinforcement learning for this
[00:01:50.000 --> 00:01:55.920]   specifically? And the answer is like to start with you shouldn't. In fact, to start off with we did
[00:01:55.920 --> 00:02:00.960]   not. So the first version of this agent, once we decided we wanted to build this, we didn't use any
[00:02:00.960 --> 00:02:05.280]   reinforcement learning at all, we purely built this on prompted models. And this is the first lesson
[00:02:05.280 --> 00:02:10.480]   from this talk that I want to share is I would generally always recommend starting with getting
[00:02:10.480 --> 00:02:14.960]   the best performance you can with a prompted model before going to any training, including reinforcement
[00:02:14.960 --> 00:02:20.480]   learning. There's a few different reasons to do that three in specifically. The first one is just
[00:02:20.480 --> 00:02:24.400]   like working out the bugs in your environment, right? You know, maybe your tools aren't implemented
[00:02:24.400 --> 00:02:29.440]   properly, maybe they don't have access to the data you think they do. We find this happens a lot,
[00:02:29.440 --> 00:02:34.400]   and it's a lot less frustrating to debug that, you know, separately from debugging your your training
[00:02:34.400 --> 00:02:38.080]   loop. So you want to make sure that like you can get at least some kind of performance before you start
[00:02:38.080 --> 00:02:43.120]   training. And then second of all, you may find as you're trying to improve the performance on
[00:02:43.120 --> 00:02:47.760]   using these prompted models that you can get it working really well. And that's great. So that means
[00:02:47.760 --> 00:02:52.640]   you don't need to train anything. And that saves you a lot of time. There's a third reason as well
[00:02:52.640 --> 00:02:57.840]   that I'll share, which is basically once you've gone to that effort, you've done your best to get
[00:02:57.840 --> 00:03:04.240]   the best quality prompted baselines you possibly can. Then if you find that those baselines are not able
[00:03:04.240 --> 00:03:07.840]   to get you where you need to go, and you're able to surpass them with reinforcement learning, it feels
[00:03:07.840 --> 00:03:11.440]   great. You get to gloat and be like, yes, I was able to beat the the frontier models on my task.
[00:03:11.440 --> 00:03:17.760]   I highly recommend it. It feels good. You can post on X about it. There's nice graphs and stuff.
