
[00:00:00.040 --> 00:00:10.580]   pick
[00:01:25.980 --> 00:01:27.340]   and I'll see you next time.
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:01:27.340 --> 00:01:27.340]   I did not record the answers to all of our questions on today's show. I did not record
[00:02:27.420 --> 00:02:29.300]   bus
[00:02:29.300 --> 00:02:40.360]   aspect just realize
[00:02:40.360 --> 00:02:53.280]  set environment ach show co unt go., . . . ., ., 100, Ét, Smash,는데, talking, work, den, even, at the, best, known,護, cannot, be, in,為, treasures, log, Pak, budget, be,겠어요, directing, Fen,Save, soul I'm. settlers in​.oro gewend.Big. cabbage, послед good, discuss the Eld.ав. permet,
[00:02:53.280 --> 00:02:56.340]   manera, packing,
[00:02:57.160 --> 00:03:00.380]   the radicalpersonalfinance.com/increaseincome.
[00:03:00.380 --> 00:03:03.180]   Radicalpersonalfinance.com/increaseincome.
[00:03:03.180 --> 00:03:05.680]   We begin with Tanya in Maryland.
[00:03:05.680 --> 00:03:09.780]   Tanya, tell me about your career and what you're struggling with and how I can serve you today, please.
[00:03:09.780 --> 00:03:13.980]   Thank you, Joshua, for taking my call.
[00:03:13.980 --> 00:03:19.980]   What I wanted to figure out is I know that you like to teach concepts and I think they're extremely useful.
[00:03:19.980 --> 00:03:26.900]   And what I wanted to know is what are your plans to help people on the course?
[00:03:26.900 --> 00:03:26.900]   .
[00:03:26.940 --> 00:03:37.140]  fit
[00:03:37.140 --> 00:03:38.580]   w and help
[00:03:38.580 --> 00:03:55.020]   draußen just, E, Oh, I, weigh.,,,,,,,,, and the didn모안TCço vowelled el
[00:03:55.860 --> 00:04:06.680]   as
[00:04:06.680 --> 00:04:09.180]   earned, you should. I would, for the,,,,,, advertised
[00:04:09.180 --> 00:04:24.260]   mapu adequate per deserves
[00:05:20.540 --> 00:05:27.500]   cap
[00:05:27.500 --> 00:05:40.060]   consider in. I, über,,,,
[00:07:17.220 --> 00:07:45.200]  cellent. I think I have a certain idea to carve out a niche that and grow that niche. I do not, though, have a plan written out and very well thought through, which I do need to have. And so having ideas to bounce off someone or some
[00:07:45.200 --> 00:07:45.200]   I can be just like another consultant, you know, down the road. But I actually think that I have certain ideas to carve out a niche that and grow that niche. I do not, though, have a plan written out and very well thought through, which I do need to have. And so having ideas to bounce off someone or some kind of a plan to do something else that I think is really, really important to me.
[00:07:45.200 --> 00:07:45.200]   having ideas to bounce off someone or some kind of a plan to do something else that I think is really, really important to me.
[00:07:45.200 --> 00:07:45.200]   having ideas to bounce off someone or some kind of a plan to do something else that I think is really, really important to me.
[00:07:45.240 --> 00:07:55.280]  íll
[00:07:55.280 --> 00:07:56.860]   hire and in
[00:09:14.820 --> 00:09:44.640]  обрp.com
[00:09:44.640 --> 00:09:44.800]   And I'll see you next time on The Bigger Business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.800 --> 00:09:44.800]   So in any business, there are only four things that you can change that will change the revenue of your business.
[00:09:44.840 --> 00:10:14.800]   I'm going to go through them quickly.
[00:10:14.800 --> 00:10:14.820]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:14.840 --> 00:10:44.840]   and you can increase the frequency of transactions per customer.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the frequency of transactions per customer.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the number of customers that you serve.
[00:10:44.840 --> 00:10:44.840]   The number one thing you can do to increase revenue is to increase the average size of each transaction by selling more.
[00:10:44.840 --> 00:11:14.860]  ,
[00:11:14.860 --> 00:11:14.860]   The number one thing you can do to increase revenue is to increase revenue is to increase the number of customers that you serve.
[00:11:14.860 --> 00:11:14.860]   The number one thing you can do to increase revenue is to increase revenue is to increase the number of customers that you serve.
[00:11:14.900 --> 00:11:44.880]  google.com
[00:11:44.880 --> 00:11:44.880]   The number one thing you can do to increase revenue is to increase revenue is to increase revenue is to increase revenue is to increase the number of customers that you serve.
[00:11:44.920 --> 00:12:14.900]  ,
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.900 --> 00:12:14.900]   You have six clients and you just can't handle any more.
[00:12:14.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
