
[00:00:00.000 --> 00:00:01.800]   Narcissism is not arrogance.
[00:00:01.800 --> 00:00:04.220]   Narcissism is the opposite of arrogance.
[00:00:04.220 --> 00:00:08.260]   There is such a deep sense of inadequacy
[00:00:08.260 --> 00:00:10.780]   and incompetence in the self
[00:00:10.780 --> 00:00:14.060]   that the defensive structure around that
[00:00:14.060 --> 00:00:18.420]   becomes dominated by rocket-fueled envy.
[00:00:18.420 --> 00:00:24.580]   The following is a conversation with Paul Conti,
[00:00:24.580 --> 00:00:28.100]   a psychiatrist and a brilliant scholar of human nature.
[00:00:28.100 --> 00:00:31.500]   My friend, Andrew Huberman, told me that Paul and I
[00:00:31.500 --> 00:00:33.620]   absolutely must meet and talk,
[00:00:33.620 --> 00:00:35.540]   not just about the topic of trauma,
[00:00:35.540 --> 00:00:38.300]   which Paul wrote an amazing book about,
[00:00:38.300 --> 00:00:40.060]   but broadly about human nature,
[00:00:40.060 --> 00:00:42.920]   about narcissism, sociopathy, psychopathy,
[00:00:42.920 --> 00:00:47.320]   good and evil, hate and love, happiness and envy.
[00:00:47.320 --> 00:00:49.320]   As usual, Andrew was right.
[00:00:49.320 --> 00:00:51.460]   This was a fascinating conversation.
[00:00:51.460 --> 00:00:52.860]   As the old meme goes,
[00:00:52.860 --> 00:00:55.900]   one does not simply doubt the advice of Andrew Huberman.
[00:00:56.820 --> 00:00:58.780]   Allow me to also quickly mention
[00:00:58.780 --> 00:01:02.220]   that I disagree with Paul a bunch in this episode,
[00:01:02.220 --> 00:01:05.220]   as I do in other episodes, even with experts,
[00:01:05.220 --> 00:01:07.940]   in part for fun and in part because I think
[00:01:07.940 --> 00:01:10.060]   the tension of ideas in conversation
[00:01:10.060 --> 00:01:12.400]   is what creates insights and wisdom.
[00:01:12.400 --> 00:01:14.400]   My goal is to always empathize, understand,
[00:01:14.400 --> 00:01:17.780]   and explore ideas of the person sitting across from me.
[00:01:17.780 --> 00:01:19.640]   Disagreement is just one of the ways
[00:01:19.640 --> 00:01:21.740]   I think it's fun to do just that,
[00:01:21.740 --> 00:01:26.740]   as long as I do so from a place of curiosity and compassion.
[00:01:27.340 --> 00:01:29.220]   This is the Lex Friedman Podcast.
[00:01:29.220 --> 00:01:31.040]   To support it, please check out our sponsors
[00:01:31.040 --> 00:01:32.340]   in the description.
[00:01:32.340 --> 00:01:35.820]   And now, dear friends, here's Paul Conte.
[00:01:35.820 --> 00:01:38.900]   Do you see psychiatry as fundamentally
[00:01:38.900 --> 00:01:42.180]   a study of the human mind and not just a set of tools
[00:01:42.180 --> 00:01:43.860]   for treating psychological maladies?
[00:01:43.860 --> 00:01:44.680]   Absolutely.
[00:01:44.680 --> 00:01:46.860]   I think psychiatry is our best way
[00:01:46.860 --> 00:01:49.260]   to understand who we are as people.
[00:01:49.260 --> 00:01:51.140]   I mean, it looks at our biology.
[00:01:51.140 --> 00:01:52.260]   How does our brain work?
[00:01:52.260 --> 00:01:54.680]   How does it connect the parts with one another?
[00:01:54.680 --> 00:01:56.400]   How does the chemistry in it work?
[00:01:56.400 --> 00:01:59.280]   It's the very foundational aspects of who we are,
[00:01:59.280 --> 00:02:01.460]   and then it manifests as psychology.
[00:02:01.460 --> 00:02:02.300]   What do we think?
[00:02:02.300 --> 00:02:03.120]   What do we feel?
[00:02:03.120 --> 00:02:03.960]   What are our strivings?
[00:02:03.960 --> 00:02:05.200]   What are our fears?
[00:02:05.200 --> 00:02:08.340]   So, yeah, I think psychiatry provides tools
[00:02:08.340 --> 00:02:10.700]   that we can use to help each other,
[00:02:10.700 --> 00:02:12.020]   but those tools come through it
[00:02:12.020 --> 00:02:14.300]   being a discipline of understanding.
[00:02:14.300 --> 00:02:17.020]   So with every patient you see,
[00:02:17.020 --> 00:02:18.900]   with every mind you explore,
[00:02:18.900 --> 00:02:20.660]   are you picking up a deeper understanding
[00:02:20.660 --> 00:02:21.560]   of the human mind?
[00:02:21.560 --> 00:02:23.740]   I think I'm trying to.
[00:02:23.740 --> 00:02:25.200]   I think we should learn,
[00:02:25.200 --> 00:02:27.080]   should be able to take something away
[00:02:27.080 --> 00:02:29.000]   from everything we do,
[00:02:29.000 --> 00:02:31.340]   every interaction to some small degree.
[00:02:31.340 --> 00:02:32.560]   Every conversation,
[00:02:32.560 --> 00:02:33.780]   it doesn't have to be a patient,
[00:02:33.780 --> 00:02:36.720]   just anywhere, at Starbucks, getting a coffee,
[00:02:36.720 --> 00:02:38.800]   you can learn something from that little experience.
[00:02:38.800 --> 00:02:40.420]   Yeah, even if you just reinforce
[00:02:40.420 --> 00:02:42.960]   sort of gentle kindness and gratitude
[00:02:42.960 --> 00:02:45.680]   and decent human interaction,
[00:02:45.680 --> 00:02:46.900]   there's a reinforcement of that,
[00:02:46.900 --> 00:02:48.620]   that even if we don't take away memories
[00:02:48.620 --> 00:02:50.140]   or lessons, so to speak,
[00:02:50.140 --> 00:02:52.340]   we can reinforce who we choose to be.
[00:02:53.300 --> 00:02:55.620]   So understanding ourselves from those interactions,
[00:02:55.620 --> 00:02:58.180]   not just the general sort of philosophical human mind,
[00:02:58.180 --> 00:03:01.340]   but understanding our own mind,
[00:03:01.340 --> 00:03:05.660]   introspect on how our own mind works.
[00:03:05.660 --> 00:03:06.900]   - Yeah, 'cause everything we understand
[00:03:06.900 --> 00:03:08.940]   about anyone or anything else
[00:03:08.940 --> 00:03:10.300]   is coming through here, right?
[00:03:10.300 --> 00:03:13.580]   So, yeah, we're understanding others,
[00:03:13.580 --> 00:03:15.140]   we're also understanding ourselves.
[00:03:15.140 --> 00:03:18.180]   It's all feeding through us.
[00:03:18.180 --> 00:03:19.060]   - Yeah, but it's a tricky thing
[00:03:19.060 --> 00:03:20.980]   to step away and look at your own mind
[00:03:22.240 --> 00:03:24.680]   and understand that it's just a machine.
[00:03:24.680 --> 00:03:27.480]   You can kind of control the way the machine processes
[00:03:27.480 --> 00:03:29.020]   the external environment
[00:03:29.020 --> 00:03:32.040]   and the way that machine converts
[00:03:32.040 --> 00:03:35.040]   the things it perceives into actual emotions,
[00:03:35.040 --> 00:03:38.040]   like how it interprets the things it perceives.
[00:03:38.040 --> 00:03:41.180]   You just sort of step away and analyze it in that way
[00:03:41.180 --> 00:03:42.480]   and then you can control it.
[00:03:42.480 --> 00:03:44.620]   You can oil the machine,
[00:03:44.620 --> 00:03:47.400]   you can control how it actually interprets the perceptions
[00:03:47.400 --> 00:03:49.680]   in order to generate positive emotions
[00:03:49.680 --> 00:03:51.040]   and be like a, what is it,
[00:03:51.040 --> 00:03:55.680]   like a mechanic for the gears in the machine.
[00:03:55.680 --> 00:03:57.600]   - I mean, I think to some degree, to some degree,
[00:03:57.600 --> 00:03:59.680]   but the difference, I think,
[00:03:59.680 --> 00:04:01.700]   at least as I understand,
