
[00:00:00.000 --> 00:00:20.200]   Hello everyone, welcome. So, today we'll be talking basically about CISO-approved Agent
[00:00:20.200 --> 00:00:25.680]   Fleet Architecture. So, my name is Lou. I'll actually jump into that. So, my name is Lou.
[00:00:25.680 --> 00:00:31.600]   I am a field TTO at a company called Gitpod. In a past life, you know, for many years, basically
[00:00:31.600 --> 00:00:35.360]   software engineering and platform engineering is my background, but for the last four years,
[00:00:35.360 --> 00:00:39.440]   actually nearly four years, I've been working at Gitpod effectively building a platform for
[00:00:39.440 --> 00:00:44.400]   automated development environments. What I'm going to talk about today is actually the journey over
[00:00:44.400 --> 00:00:50.160]   the last, even extends beyond my tenure at the company for the last sort of six years, building
[00:00:50.160 --> 00:00:55.040]   our sort of product infrastructure and architecture for secure environments, particularly around
[00:00:55.040 --> 00:00:59.520]   regulated industries and that kind of thing. I assume they'll probably, in fact, actually,
[00:00:59.520 --> 00:01:05.280]   I think I'm already on the next slide. So, yeah. So, in terms of like who this talk is for,
[00:01:05.280 --> 00:01:10.800]   so different aspects. So, first aspect is really about how do we start to think about how technical
[00:01:10.800 --> 00:01:14.560]   architectures of product affect our business. If you're a vendor, this is obviously something for
[00:01:14.560 --> 00:01:18.480]   you. There are probably a bunch of people here as well that are either building or consuming or
[00:01:18.480 --> 00:01:22.720]   thinking about AI tools, maybe also in these secure environments. But then also, if you're a buyer of
[00:01:22.720 --> 00:01:26.720]   this as well, I think this talk will also be interesting if you're buying, using or consuming
[00:01:26.720 --> 00:01:31.760]   AI tools, thinking about like what architectures might be right for you and what considerations you
[00:01:31.760 --> 00:01:38.000]   might want to take throughout that process. So, let's go ahead and actually just jump into it. So,
[00:01:38.000 --> 00:01:42.400]   for a little bit of context, it's very hard to talk about this talk without actually giving a bit of
[00:01:42.400 --> 00:01:47.440]   background to the company and what we do. So, Gitpod is basically a platform for secure dev environments.
[00:01:47.440 --> 00:01:51.440]   A lot of people sometimes mix this up with things like staging or integration environments,
[00:01:51.440 --> 00:01:56.160]   things like that. But to give you an idea like developers actually work inside of Gitpod for
[00:01:56.160 --> 00:02:00.880]   around 37 hours a week, 36, 37 hours. So, like you're, it's almost like a replacement, I suppose,
[00:02:00.880 --> 00:02:05.520]   like for your machine or your laptop, something like that. So, as a consequence of that as well,
[00:02:05.520 --> 00:02:11.280]   it's highly mission critical software. So, if Gitpod goes down, that has a huge impact for our customers.
[00:02:11.280 --> 00:02:16.480]   So, it's really important that this is incredibly reliable. In addition to that, what we effectively
[00:02:16.480 --> 00:02:22.960]   do is because the automated aspects of our dev environments, we run also mostly with highly
[00:02:22.960 --> 00:02:28.400]   secure regulated organizations. So, banks, pharmaceutical, healthcare. A lot of the companies
[00:02:28.400 --> 00:02:32.160]   that we work with as well, like are quite particular about like their logo rights and publishing some of
[00:02:32.160 --> 00:02:35.760]   their names. But for sure, it's a lot of companies that you will know, a lot of household names and
[00:02:35.760 --> 00:02:41.680]   things like that as well. So, as you can imagine, building this type of product and actually bringing
[00:02:41.680 --> 00:02:47.120]   it to market is not an insignificant task, especially if you're a smaller company with sort of limited
[00:02:47.120 --> 00:02:51.360]   resources trying to do that. And in addition to that as well, I'll talk about this a little bit later,
[00:02:51.360 --> 00:02:56.560]   but we actually launched and talked more publicly about our agent offering two days ago, but we've
