
[00:00:00.000 --> 00:00:03.600]   [AUDIO OUT]
[00:00:03.600 --> 00:00:06.240]   Welcome, Yitei, to LatentSpace.
[00:00:06.240 --> 00:00:08.940]   This is a long time coming, but I'm so excited to have you here.
[00:00:08.940 --> 00:00:10.520]   YITEI WANG: Yeah, thanks for inviting,
[00:00:10.520 --> 00:00:13.640]   and I'm excited to be here and talk about a lot of stuff here.
[00:00:13.640 --> 00:00:17.880]   So you are interesting to research and introduce.
[00:00:17.880 --> 00:00:21.360]   You are now Chief Scientist of Rega,
[00:00:21.360 --> 00:00:25.200]   which is a super interesting model lab.
[00:00:25.200 --> 00:00:27.560]   But before that, you were at Google Brain.
[00:00:27.560 --> 00:00:30.440]   You were architecture co-lead on Palm 2.
[00:00:30.440 --> 00:00:32.080]   You were inventor of UL2.
[00:00:32.080 --> 00:00:34.320]   You're a co-contributor on Flan.
[00:00:34.320 --> 00:00:35.920]   You're a member of the Bardcore team,
[00:00:35.920 --> 00:00:38.640]   and you also did some work on generative retrieval.
[00:00:38.640 --> 00:00:40.640]   That's a very, very illustrious three-year career
[00:00:40.640 --> 00:00:41.640]   at Google Brain.
[00:00:41.640 --> 00:00:42.140]   [LAUGHS]
[00:00:42.140 --> 00:00:44.480]   YITEI WANG: Yeah, thanks, thanks, thanks, yeah.
[00:00:44.480 --> 00:00:47.200]   YITEI WANG: And then since then, Rega, you joined in March 2023,
[00:00:47.200 --> 00:00:50.560]   announced a $58 million series in June 2023.
[00:00:50.560 --> 00:00:52.920]   I don't know if you know the post-money valuation
[00:00:52.920 --> 00:00:55.760]   or the pre-money valuation is public.
[00:00:55.760 --> 00:01:01.480]   So it's-- crunch basis is $250-something million.
[00:01:01.480 --> 00:01:02.880]   So you don't even have to leak.
[00:01:02.880 --> 00:01:05.080]   It's on the internet.
[00:01:05.080 --> 00:01:08.800]   In February-- so Rega's stated goals
[00:01:08.800 --> 00:01:10.700]   were to work on universal intelligence,
[00:01:10.700 --> 00:01:12.320]   including general purpose, multimodal,
[00:01:12.320 --> 00:01:14.240]   and multilingual agents, self-improving AI,
[00:01:14.240 --> 00:01:16.560]   and model efficiency.
[00:01:16.560 --> 00:01:19.880]   In February, you released Rega Flash.
[00:01:19.880 --> 00:01:22.000]   In April, you released Rega Core and Edge.
[00:01:22.000 --> 00:01:24.240]   And then most recently, you released Vibe Eval.
[00:01:24.240 --> 00:01:27.280]   Is that a good summary of the last six years?
[00:01:27.280 --> 00:01:31.080]   We can go deeper into the specific papers.
[00:01:31.080 --> 00:01:31.920]   REGA HONG: No, it's not--
[00:01:31.920 --> 00:01:32.400]   four years?
[00:01:32.400 --> 00:01:32.880]   YITEI WANG: Four years?
[00:01:32.880 --> 00:01:33.240]   REGA HONG: Yeah.
[00:01:33.240 --> 00:01:34.240]   YITEI WANG: Oh, my god.
[00:01:34.240 --> 00:01:35.000]   REGA HONG: OK, OK.
[00:01:35.000 --> 00:01:36.360]   YITEI WANG: We're talking about AI a long time.
[00:01:36.360 --> 00:01:38.080]   REGA HONG: Yeah, I was wondering, since when did I
[00:01:38.080 --> 00:01:39.400]   step into a time machine or something?
[00:01:39.400 --> 00:01:40.280]   YITEI WANG: Yeah, OK.
[00:01:40.280 --> 00:01:42.720]   So can we just talk about your transition into--
[00:01:42.720 --> 00:01:43.760]   you did your PhD.
[00:01:43.760 --> 00:01:45.680]   And we can talk about your PhD.
[00:01:45.680 --> 00:01:48.280]   Transition into brain and research and all that.
[00:01:48.280 --> 00:01:50.240]   I saw you do some work on recommender systems.
[00:01:50.240 --> 00:01:55.280]   I saw you do some work on quaternions.
[00:01:55.280 --> 00:01:57.720]   What the fuck was that?
[00:01:57.720 --> 00:02:00.000]   REGA HONG: Let's forget about that.
[00:02:00.000 --> 00:02:02.600]   YITEI WANG: Describe your path into modern LLMs.
[00:02:02.600 --> 00:02:04.360]   Because you didn't start there.
[00:02:04.360 --> 00:02:05.440]   REGA HONG: Yeah, OK, sure.
[00:02:05.440 --> 00:02:09.760]   I think the world also didn't start there.
[00:02:09.760 --> 00:02:12.160]   So I joined Google in 2019, end of 2019.
[00:02:12.160 --> 00:02:16.040]   And the world looked really different at that time.
[00:02:16.040 --> 00:02:19.920]   And I think that was around the time
[00:02:19.920 --> 00:02:21.960]   the first GPT was released by--
[00:02:21.960 --> 00:02:24.200]   GPT-1 or something was released by OpenAI.
[00:02:24.200 --> 00:02:30.520]   So research, like ML research and NLP research,
[00:02:30.520 --> 00:02:32.520]   looked very different at that time.
[00:02:32.520 --> 00:02:33.960]   So I was mostly--
[00:02:33.960 --> 00:02:38.960]   I identified as a language researcher.
[00:02:38.960 --> 00:02:40.340]   I don't like to use the word NLP.
[00:02:40.340 --> 00:02:42.360]   Jason will kill me if I use the word NLP.
[00:02:42.360 --> 00:02:45.280]   But I was like, OK, a language researcher.
[00:02:45.280 --> 00:02:47.320]   But I was more like a architecture,
[00:02:47.320 --> 00:02:50.080]   modern architecture kind of researcher.
[00:02:50.080 --> 00:02:52.080]   And when I joined Google, I was also--
[00:02:52.080 --> 00:02:55.880]   I continued on as a modern architecture research.
[00:02:55.880 --> 00:02:59.840]   I did-- I worked a lot on efficient transformers.
[00:02:59.840 --> 00:03:01.800]   YITEI WANG: That was your first viral paper.
[00:03:01.800 --> 00:03:05.760]   REGA HONG: Yeah, and I worked long-range arena.
[00:03:05.760 --> 00:03:07.160]   I spent quite a lot of time looking
[00:03:07.160 --> 00:03:10.040]   of could we do without attention.
[00:03:10.040 --> 00:03:12.880]   There was a synthesizer paper back in 2020.
[00:03:12.880 --> 00:03:14.600]   I think that was my early days in Google.
[00:03:14.600 --> 00:03:18.880]   There wasn't-- at that point of time,
[00:03:18.880 --> 00:03:23.840]   transformer research was mainly WMT, machine translation,
[00:03:23.840 --> 00:03:25.820]   and perplexity, and stuff like that.
[00:03:25.820 --> 00:03:27.440]   It's not really about--
[00:03:27.440 --> 00:03:30.640]   there wasn't-- I think a few short learning
[00:03:30.640 --> 00:03:33.640]   and few short in-context learning came only about when
[00:03:33.640 --> 00:03:36.160]   GPT-3 came out and beyond.
[00:03:36.160 --> 00:03:38.480]   So I think at that time, the meta, I would say,
[00:03:38.480 --> 00:03:40.160]   the meta looked very different.
[00:03:40.160 --> 00:03:43.080]   And at that time, a lot of the work
[00:03:43.080 --> 00:03:45.400]   were focused on fine-tuning things
[00:03:45.400 --> 00:03:47.840]   like T5 or BERT or something like that.
[00:03:47.840 --> 00:03:51.120]   So I think a lot of the research, not only myself,
[00:03:51.120 --> 00:03:55.680]   but around me or even the broader community
[00:03:55.680 --> 00:03:58.560]   were working on those kind of things.
[00:03:58.560 --> 00:04:01.440]   And I think-- yeah, so I think that was--
[00:04:01.440 --> 00:04:03.240]   which I feel that, in hindsight, today
[00:04:03.240 --> 00:04:07.640]   is actually pretty useful to think about,
[00:04:07.640 --> 00:04:11.920]   because a lot of people came into AI and into--
[00:04:11.920 --> 00:04:18.440]   right after chatGPT came out, so they saw AI as kind of--
[00:04:18.440 --> 00:04:22.280]   I think there's a lot of benefits of understanding
[00:04:22.280 --> 00:04:25.520]   how transformers and if you--
[00:04:25.520 --> 00:04:28.040]   I've broken this thing apart so many times trying to--
[00:04:28.040 --> 00:04:31.360]   it's like these things actually help to improve intuition.
[00:04:31.360 --> 00:04:35.320]   And I think it's not totally disconnect.
[00:04:35.320 --> 00:04:38.720]   I think a lot of things are still relevant today.
[00:04:38.720 --> 00:04:43.520]   And it's just the scale has gotten much larger.
[00:04:43.520 --> 00:04:46.120]   And also the paradigms shift a little bit
[00:04:46.120 --> 00:04:49.360]   from single-task fine-tuning to generally
[00:04:49.360 --> 00:04:50.880]   do-everything kind of universal--
[00:04:50.880 --> 00:04:51.640]   Foundation models.
[00:04:51.640 --> 00:04:52.720]   Foundation models, right.
[00:04:52.720 --> 00:04:55.160]   I think it's just a slight change in paradigm.
[00:04:55.160 --> 00:05:01.120]   But fundamentally, I don't think the stuff has actually--
[00:05:01.120 --> 00:05:03.920]   the underlying principles of research
[00:05:03.920 --> 00:05:08.360]   hasn't really changed that much, except for compute.
[00:05:08.360 --> 00:05:11.080]   Compute data.
[00:05:11.080 --> 00:05:12.880]   So basically, algorithms stay put,
[00:05:12.880 --> 00:05:15.480]   and then compute and data are scaled.
[00:05:15.480 --> 00:05:18.080]   So I have some thoughts about this.
[00:05:18.080 --> 00:05:22.120]   So I think back then, a lot of the academic research--
[00:05:22.120 --> 00:05:23.840]   I think people have talked about this.
[00:05:23.840 --> 00:05:25.200]   Like Sasha Rush has talked about this,
[00:05:25.200 --> 00:05:26.800]   or other people have talked about this.
[00:05:26.800 --> 00:05:29.000]   It's like the conferences were always
[00:05:29.000 --> 00:05:31.360]   organized by applications, right?
[00:05:31.360 --> 00:05:33.800]   They were always organized by question answering,
[00:05:33.800 --> 00:05:34.560]   this kind of thing.
[00:05:34.560 --> 00:05:35.320]   And even in 2019--
[00:05:35.320 --> 00:05:37.320]   Wisdom, which you did some papers on.
[00:05:37.320 --> 00:05:39.280]   It was always like this, right?
[00:05:39.280 --> 00:05:41.760]   I think there's a bit of a transpose going on.
[00:05:41.760 --> 00:05:42.800]   Things become universal.
[00:05:42.800 --> 00:05:46.040]   And then becoming like, OK, there's a data workstream.
[00:05:46.040 --> 00:05:47.840]   There's a model architecture workstream.
[00:05:47.840 --> 00:05:51.920]   And then people work on improving a universal model
[00:05:51.920 --> 00:05:54.880]   and general-purpose algorithms to improve this model,
[00:05:54.880 --> 00:05:57.000]   rather than finding domain-specific tricks.
[00:05:57.000 --> 00:06:01.160]   I think for-- even in 2019, I think
[00:06:01.160 --> 00:06:06.040]   I've already been focusing on works that are like--
[00:06:06.040 --> 00:06:07.840]   you could improve on general architecture.
[00:06:07.840 --> 00:06:11.560]   At that time, it was like maybe LSTMs in 2017 or something.
[00:06:11.560 --> 00:06:15.560]   And then you try on 10 different tasks and the kind of thing.
[00:06:15.560 --> 00:06:17.360]   But a lot of the research community
[00:06:17.360 --> 00:06:21.920]   have been focused more on how do I get that extra 2%
[00:06:21.920 --> 00:06:25.440]   on question answering, or sentiment analysis.
[00:06:25.440 --> 00:06:28.960]   I think there was this phase of in 2017, 2018,
[00:06:28.960 --> 00:06:32.080]   where this data work was still very fashionable in academia
[00:06:32.080 --> 00:06:33.280]   and conferences.
[00:06:33.280 --> 00:06:36.560]   And then I think the big thing about the ChatGPT moment
[00:06:36.560 --> 00:06:40.560]   of 2022, the thing that changed drastically
[00:06:40.560 --> 00:06:41.840]   is it completely--
[00:06:41.840 --> 00:06:45.200]   it was like this sharp--
[00:06:45.200 --> 00:06:49.280]   make all this work kind of obsolete.
[00:06:49.280 --> 00:06:51.200]   So November 2022, you're saying.
[00:06:51.200 --> 00:06:52.880]   In the ChatGPT--
[00:06:52.880 --> 00:06:54.040]   Exactly, ChatGPT launched.
[00:06:54.040 --> 00:06:55.880]   Because I feel like if you're in the research community,
[00:06:55.880 --> 00:06:56.760]   this was coming.
[00:06:56.760 --> 00:07:02.520]   Yeah, so I'm saying that in the big labs and stuff,
[00:07:02.520 --> 00:07:04.560]   people have already been moving towards general.
[00:07:04.560 --> 00:07:07.480]   Even T5 was already general purpose.
[00:07:07.480 --> 00:07:14.120]   But there's a bit of a time lag for places like Google
[00:07:14.120 --> 00:07:16.280]   and Meta, OpenAI.
[00:07:16.280 --> 00:07:18.960]   We will be working on things three years ahead
[00:07:18.960 --> 00:07:20.400]   of everybody else.
[00:07:20.400 --> 00:07:22.440]   And then suddenly, then academia will
[00:07:22.440 --> 00:07:26.120]   be still working on these task-specific things.
[00:07:26.120 --> 00:07:28.400]   And then I think the fostering function
[00:07:28.400 --> 00:07:31.640]   was the ChatGPT moment actually really--
[00:07:31.640 --> 00:07:32.800]   it was coming, it was coming.
[00:07:32.800 --> 00:07:35.160]   It was just like the final, the last straw.
[00:07:35.160 --> 00:07:36.280]   And then it's finally like--
[00:07:36.280 --> 00:07:37.600]   Yeah, now it's serious.
[00:07:37.600 --> 00:07:41.040]   Yeah, now it's really the thing completely changed.
[00:07:41.040 --> 00:07:42.360]   So I think that was--
[00:07:42.360 --> 00:07:45.080]   I don't know how it turned from my background
[00:07:45.080 --> 00:07:48.040]   to talking about the Meta.
[00:07:48.040 --> 00:07:50.240]   I think that you navigate the Meta very well.
[00:07:50.240 --> 00:07:52.760]   And part of my goal here is to also isolate
[00:07:52.760 --> 00:07:56.800]   how you think about the Meta for other people to reflect on.
[00:07:56.800 --> 00:07:58.840]   Because I think, obviously, you do it very well.
[00:07:58.840 --> 00:07:59.360]   Oh, thanks.
[00:07:59.360 --> 00:08:01.440]   Yeah, somewhere around-- so I'm looking
[00:08:01.440 --> 00:08:02.480]   at your papers published.
[00:08:02.480 --> 00:08:06.360]   Somewhere around 2021, you had a hard cut to UL2 and PALM.
[00:08:06.360 --> 00:08:09.520]   And you did UL2, PALM, emergent abilities,
[00:08:09.520 --> 00:08:12.360]   DSI, recitation, augmented generation,
[00:08:12.360 --> 00:08:15.200]   all in the same year-ish.
[00:08:15.200 --> 00:08:17.880]   So did you change teams?
[00:08:17.880 --> 00:08:22.200]   Did you have a research focus?
[00:08:22.200 --> 00:08:25.640]   When did you become the language model guy?
[00:08:25.640 --> 00:08:27.680]   My research became emergent, right?
[00:08:27.680 --> 00:08:29.200]   It was very obvious.
[00:08:29.200 --> 00:08:34.520]   No, I don't think I'm a person that--
[00:08:34.520 --> 00:08:38.440]   I'm not super, super great at foreseeing a trend two years
[00:08:38.440 --> 00:08:43.960]   ahead and then especially plan for that.
[00:08:43.960 --> 00:08:48.880]   I think I smoothly and as the few moves--
[00:08:48.880 --> 00:08:49.960]   To you, it was smooth.
[00:08:49.960 --> 00:08:53.320]   You know, it didn't feel like--
[00:08:53.320 --> 00:08:55.040]   I never actually had a time where I said,
[00:08:55.040 --> 00:09:00.760]   I'm going to pivot myself into this--
[00:09:00.760 --> 00:09:03.720]   I never actually really thought about this this way.
[00:09:03.720 --> 00:09:06.000]   At every step, I just optimized for what
[00:09:06.000 --> 00:09:09.520]   I found to be most impactful and most promising.
[00:09:09.520 --> 00:09:11.280]   And then that gradually-- and also, it's
[00:09:11.280 --> 00:09:14.160]   also a lot of influence by talking to people, right?
[00:09:14.160 --> 00:09:17.480]   I think at that time, I started working more with--
[00:09:17.480 --> 00:09:21.040]   I had some close collaborations with Jason and other people.
[00:09:21.040 --> 00:09:21.960]   I mean, Google is a--
[00:09:21.960 --> 00:09:23.880]   you can work with anybody you want, basically.
[00:09:23.880 --> 00:09:27.160]   So you're kind of-- also, partly it's the environment shift.
[00:09:27.160 --> 00:09:29.960]   And I think the environment shifts very quickly.
[00:09:29.960 --> 00:09:32.920]   But I was also always very--
[00:09:32.920 --> 00:09:35.440]   I was always polling in the environment.
[00:09:35.440 --> 00:09:39.000]   I was not-- I think it's always good to have an open mind
[00:09:39.000 --> 00:09:42.000]   and move along with the field rather than, OK,
[00:09:42.000 --> 00:09:43.080]   this is my research area.
[00:09:43.080 --> 00:09:44.700]   I'm going to get stuck in it two years.
[00:09:44.700 --> 00:09:48.160]   I think I just move along to find things that interest me.
[00:09:48.160 --> 00:09:50.000]   And naturally, I think that turned out
[00:09:50.000 --> 00:09:54.440]   to be the things that were most impactful at that time.
[00:09:54.440 --> 00:09:57.880]   I mean, I think, OK, I mean, if you put it that way,
[00:09:57.880 --> 00:09:58.920]   it's like, OK, I kind of--
[00:09:58.920 --> 00:10:00.380]   in retrospect, I kind of did well.
[00:10:00.380 --> 00:10:04.560]   But I never actually really saw it as the intentional--
[00:10:04.560 --> 00:10:06.880]   I didn't do anything really intentional
