
[00:00:00.000 --> 00:00:05.000]   But I would not underestimate the difficulty of alignment of models that are actually
[00:00:05.000 --> 00:00:11.460]   Smarter than us of models that are capable of misrepresenting their intentions. Are you worried about spies?
[00:00:11.460 --> 00:00:13.800]   I'm really not worried about the way it's being leaked
[00:00:13.800 --> 00:00:18.840]   We will be able to become more enlightened because we'd interact with an AGI that will help us
[00:00:18.840 --> 00:00:24.380]   See the world more correctly like imagine talking to the best meditation teacher in history
[00:00:24.920 --> 00:00:30.880]   Microsoft has been a very very good partner for us. So I challenge the claim that next token prediction cannot surpass
[00:00:30.880 --> 00:00:38.580]   Human performance if your base neural net is smart enough. You just ask it like what would a person is like great
[00:00:38.580 --> 00:00:40.880]   insight and wisdom and capability do
[00:00:40.880 --> 00:00:45.200]   Okay today I have the pleasure of interviewing
[00:00:45.200 --> 00:00:52.760]   Ilya Sutskover who is the co-founder and chief scientist of open AI. Ilya, welcome to the Lunar Society. Thank you
[00:00:52.760 --> 00:00:53.960]   Happy to be here
[00:00:53.960 --> 00:00:55.960]   First question and no humility allowed
[00:00:55.960 --> 00:01:01.920]   There's many scientists or maybe not that many scientists who will make a big breakthrough in their field
[00:01:01.920 --> 00:01:06.180]   There's far fewer scientists who will make multiple independent breakthroughs that define their field
[00:01:06.180 --> 00:01:11.080]   Throughout their career. What is the difference? Well, like what distinguishes you from other researchers?
[00:01:11.080 --> 00:01:14.600]   Why have you been able to make multiple breakthroughs in your field? Well, thank you for the kind words
[00:01:14.600 --> 00:01:18.360]   It's hard to answer that question, I mean
[00:01:18.360 --> 00:01:22.140]   I tried really hard. I gave it everything you got and
[00:01:23.600 --> 00:01:25.600]   that
[00:01:25.600 --> 00:01:27.640]   Worked so far I
[00:01:27.640 --> 00:01:29.720]   Think that's all there is to it
[00:01:29.720 --> 00:01:31.360]   Got it
[00:01:31.360 --> 00:01:35.040]   What's the explanations for why there aren't more illicit uses of GPT?
[00:01:35.040 --> 00:01:41.320]   Why aren't more foreign governments using it to spread propaganda or scam grandmothers or something? I mean
[00:01:41.320 --> 00:01:44.520]   Maybe they haven't
[00:01:44.520 --> 00:01:49.600]   Really gotten to do it a lot, but it also wouldn't surprise me if some of it was going on right now
[00:01:50.440 --> 00:01:54.680]   Certainly, I imagine they'd be taking some of the open-source models and try and use them for that purpose
[00:01:54.680 --> 00:01:59.100]   Like I sure I would expect this would be
[00:01:59.100 --> 00:02:03.000]   Something they'd be interested in in the future. It's like technically possible
[00:02:03.000 --> 00:02:07.320]   They just haven't thought about it enough or haven't like done it at scale using their technology
[00:02:07.320 --> 00:02:10.840]   Or maybe it's happening, which is annoying. Would you be able to track it if it was happening?
[00:02:10.840 --> 00:02:17.720]   I think large-scale tracking is possible. Yes. I mean this requires of all special operations. It's possible. Mm-hmm
[00:02:18.280 --> 00:02:23.920]   Now there's some window in which AI is very economically valuable on the scale of airplanes
[00:02:23.920 --> 00:02:29.040]   Let's say well, we haven't reached a GI yet. How big is that window? I mean, I think this wind
[00:02:29.040 --> 00:02:33.560]   It's hard to give you a precise sense answer, but it's definitely going to be like it good multi-year window
[00:02:33.560 --> 00:02:36.120]   it's also a question of definition because
[00:02:36.120 --> 00:02:39.800]   AI before it becomes a GI
[00:02:39.800 --> 00:02:44.760]   Is going to be increasingly more valuable year after year
[00:02:45.800 --> 00:02:47.480]   I'd say in an exponential way
[00:02:47.480 --> 00:02:51.600]   So it's something in some sense it may feel like especially in hindsight
[00:02:51.600 --> 00:02:56.800]   It may feel like there was only one year or two years because those two years were larger than the previous years
[00:02:56.800 --> 00:02:59.040]   But I would say that already
[00:02:59.040 --> 00:03:02.760]   Last year there's been a fair
[00:03:02.760 --> 00:03:05.040]   amount of
[00:03:05.040 --> 00:03:09.760]   Economic value produced by AI next year is going to be larger and larger after that. So I
[00:03:10.480 --> 00:03:15.720]   Think like this is going to be a good multi-multi-year chunk of time, but that's going to be true
[00:03:15.720 --> 00:03:22.400]   I would say from now until AGI pretty much. Okay. Well, because I'm curious if there's a startup that's using your models, right?
[00:03:22.400 --> 00:03:26.200]   At some point if you have AGI, there's only one business in the world, right?
[00:03:26.200 --> 00:03:28.560]   It's open AI. How much window do they have?
[00:03:28.560 --> 00:03:34.400]   Does any business have where they're actually producing something that AGI can't produce? Yeah. Well, I mean, it's the same
[00:03:34.400 --> 00:03:39.200]   It's the same question is asking how long until AGI? Yeah, I think it's a hard question to answer
[00:03:39.200 --> 00:03:44.700]   I mean, I hesitate to give you a number also because there is this thing where effect where people who are
[00:03:44.700 --> 00:03:51.080]   Optimistic people who are working on the technology tend to underestimate the time it takes to get there
[00:03:51.080 --> 00:03:56.240]   But I think that the way I ground myself is by thinking about a self-driving car in particular
[00:03:56.240 --> 00:03:58.640]   there is an analogy where if you look at the
[00:03:58.640 --> 00:04:04.600]   So I have a Tesla and if you look at the self-driving behavior of it, it like it looks like it does everything
[00:04:06.040 --> 00:04:11.720]   It does everything. All right, but it's also clear that there is still a long way to go in terms of reliability and
[00:04:11.720 --> 00:04:17.720]   we might be in a similar place with respect to our models where it also looks like we can do everything and
[00:04:17.720 --> 00:04:20.160]   at the same time it will be
[00:04:20.160 --> 00:04:23.160]   We'll need to do some more work until we really
[00:04:23.160 --> 00:04:29.640]   Iron out all the issues and make it really good and really reliable and robust and well-behaved by 2030
[00:04:29.640 --> 00:04:35.320]   What percent of GDP is AI? Oh gosh hard to answer that question very hard to answer. Give me an over/under
[00:04:36.280 --> 00:04:41.400]   Like the problem is that my error bars are in log scale so I could imagine like I could imagine like a huge percentage
[00:04:41.400 --> 00:04:46.920]   I could imagine it like disappointing a small percentage at the same time. Okay, so let's take the counterfactual where it is a small percentage
[00:04:46.920 --> 00:04:49.400]   Let's say it's 2030 and you know
[00:04:49.400 --> 00:04:53.120]   Not that much economic value has been created by these other ones as unlikely as you think this might be
[00:04:53.120 --> 00:04:57.360]   What is what would you be your best explanation right now? Why something like this might happen?
[00:04:57.360 --> 00:05:03.760]   My best explanation. So I really don't think that's a likely possibility. Yeah
[00:05:04.400 --> 00:05:10.280]   So that's that's the preface to that to the comment, but if I were to take the premise of your question
[00:05:10.280 --> 00:05:15.280]   Well, like why were things disappointing in terms of the real-world impact and my answer would be
[00:05:15.280 --> 00:05:20.040]   Reliability if somehow it ends up being the case that
[00:05:20.040 --> 00:05:27.560]   You really want them to be reliable and they ended up not being reliable or if reliability did not to be harder
[00:05:27.560 --> 00:05:31.200]   Than we expect I really don't think that will be the case
[00:05:31.200 --> 00:05:35.440]   But if I had to pick one if I had to pick one and you tell me like hey
[00:05:35.440 --> 00:05:36.800]   Like why didn't things work out?
[00:05:36.800 --> 00:05:42.080]   It would be reliability that you still have to look over the answers and double-check everything
[00:05:42.080 --> 00:05:48.800]   That's just really puts a damper on the economic value that can be produced by those systems. They'll be technologically mature
[00:05:48.800 --> 00:05:54.600]   It's just a question of whether they'll be reliable enough. Yeah. Well in some sense not reliable means not technologically mature
[00:05:54.600 --> 00:05:56.600]   You see what I mean? Yeah fair enough
[00:05:57.000 --> 00:06:02.760]   What's after generative models, right? So before you're working on reinforcement learning, is this is this basically it?
[00:06:02.760 --> 00:06:05.320]   Is this a paradigm that gets us to AGI or is there something after this?
[00:06:05.320 --> 00:06:09.160]   I mean, I think this paradigm is gonna go really really far and I would not underestimate it
[00:06:09.160 --> 00:06:16.160]   I think it's quite likely that this exact paradigm is not going to be the quiet AGI form factor
[00:06:16.160 --> 00:06:20.000]   I mean, I hesitate to say precisely what the next paradigm will be
[00:06:21.280 --> 00:06:26.920]   But I think it will probably involve integration of all the different ideas that came that came in the past
[00:06:26.920 --> 00:06:29.640]   Is there some specific one you're referring to or I?
[00:06:29.640 --> 00:06:38.280]   Mean it's hard to be specific. So you could argue that the next token prediction can only help us match human performance
[00:06:38.280 --> 00:06:42.300]   And maybe not surpass it. What would it take to surpass human performance?
[00:06:42.300 --> 00:06:47.600]   So I challenge the claim that next token prediction cannot surpass human performance
[00:06:48.920 --> 00:06:54.960]   It looks like on the surface it cannot. It looks on the surface if you just learn to imitate
[00:06:54.960 --> 00:06:59.800]   To predict what people do it means that you can only copy people
[00:06:59.800 --> 00:07:05.760]   but the here is a counter argument for why it might not be quite so if your neural net is
[00:07:05.760 --> 00:07:11.760]   If your base neural net is smart enough, you just ask it like what would it what would a person with
[00:07:11.760 --> 00:07:14.760]   great insight and wisdom and capability do
[00:07:15.560 --> 00:07:20.040]   Maybe such a person doesn't exist. But there's a pretty good chance that the neural net will be able to
[00:07:20.040 --> 00:07:24.840]   Extrapolate how such a person would behave. Do you see what I mean?
[00:07:24.840 --> 00:07:25.540]   Yes
[00:07:25.540 --> 00:07:29.240]   although where would it get that sort of insight about what that's person would do if not from
[00:07:29.240 --> 00:07:35.680]   From the data of regular people because like if you think about it, what does it mean to predict the next token well enough?
[00:07:35.680 --> 00:07:39.840]   What does it mean? Actually, it's actually it's a much it's a deeper question than it seems
[00:07:39.840 --> 00:07:42.760]   predicting the next token well means that you
[00:07:43.640 --> 00:07:45.640]   understand
[00:07:45.640 --> 00:07:51.120]   The underlying reality that led to the creation of that token
[00:07:51.120 --> 00:07:56.200]   It's not statistics like it is statistics, but what is statistics?
[00:07:56.200 --> 00:08:02.200]   In order to want to understand those statistics to compress them you need to understand
[00:08:02.200 --> 00:08:09.040]   What is it about the world that creates this those statistics? And so then you say, okay. Well, I have all those people
[00:08:09.040 --> 00:08:11.160]   What is it about people that creates their behaviors?
[00:08:11.160 --> 00:08:12.880]   Well, they have you know
[00:08:12.880 --> 00:08:19.860]   They have thoughts and their feelings and they have ideas and they do things in certain ways all of those would be deduced
[00:08:19.860 --> 00:08:26.480]   From next token prediction and I'd argue that this should make it possible not
[00:08:26.480 --> 00:08:30.240]   Indefinitely, but to a pretty decent degree to say well
[00:08:30.240 --> 00:08:36.640]   Can you guess what you what you do if you took a person with like this characteristic and that characteristic like such a person doesn't exist
[00:08:37.360 --> 00:08:43.280]   But because you're so good at predicting the next token, you should still be able to guess what that person would do this hypothetical
[00:08:43.280 --> 00:08:45.120]   imaginary
[00:08:45.120 --> 00:08:49.600]   Person is far greater mental ability than the rest of us
[00:08:49.600 --> 00:08:53.120]   When we're doing reinforcement learning on these models how long before?
[00:08:53.120 --> 00:08:56.800]   Most of the data for the reinforcement learning is coming from AIs and not humans. I
[00:08:56.800 --> 00:09:00.400]   Mean
