
[00:00:00.400 --> 00:00:06.400]   every time you hear about another airline award chart disappearing or hotel program devaluation
[00:00:06.400 --> 00:00:11.920]   you might wonder is the points game even worth it anymore so today i'm going to break down exactly
[00:00:11.920 --> 00:00:17.200]   why i still believe we are living in the golden age of credit card points and miles i'm going to
[00:00:17.200 --> 00:00:21.840]   walk through the different types of points and how to calculate what they're really worth including
[00:00:21.840 --> 00:00:26.880]   the biggest mistakes that most people make when doing that math we'll look at where the value is
[00:00:26.880 --> 00:00:32.240]   what to avoid and whether you'd actually be better off earning cash back and for some of you i think
[00:00:32.240 --> 00:00:37.440]   you might be whether you're just getting started or deep in this game this is everything you need to
[00:00:37.440 --> 00:00:42.320]   know to fine-tune how you're playing the points game and whether it's actually going to be worth it for
[00:00:42.320 --> 00:00:48.080]   you i'm chris hutchins and if you enjoy this episode and want to keep upgrading your life money and travel
[00:00:48.080 --> 00:00:54.960]   click follow or subscribe so whenever i talk about points i hear some people ask is it even worth
[00:00:54.960 --> 00:01:00.320]   playing this game given all the times we keep hearing about devaluations and they're not wrong
[00:01:00.320 --> 00:01:05.840]   right i feel like most of the news we hear is oh this hotel chain moved their categories up this
[00:01:05.840 --> 00:01:11.760]   airline devalued their points it's not always the case sometimes you see jetblue just recently added
[00:01:11.760 --> 00:01:16.640]   condor as a way to redeem your points and they recently added japan airline so jetblue points might
[00:01:16.640 --> 00:01:24.000]   be more valuable and mesa which is a new homeowner's card added some transfer partners like sas which is a
[00:01:24.000 --> 00:01:29.040]   airline that we couldn't transfer to from any other currency so things do sometimes sound like they're
[00:01:29.040 --> 00:01:35.360]   getting better but most of the news is that points are getting devalued however i want to go back in
[00:01:35.360 --> 00:01:41.520]   time to explain why i still think that we're in the golden age of points and miles and i look back at
[00:01:41.520 --> 00:01:48.000]   this card that used to be kind of one of the greatest cards the starwood amex card it was the favorite of
[00:01:48.000 --> 00:01:54.400]   most management consultants and people who traveled and it was an amazing card at the time and it earned
