
[00:00:00.000 --> 00:00:05.360]   Cal, I'm a Benedictine monk in Missouri. I have a disagreement with a part of your deep life stack
[00:00:05.360 --> 00:00:11.200]   Discipline is not an identity per se but rather a tool for developing and solidifying an identity
[00:00:11.200 --> 00:00:17.440]   You use value as a criteria for leading a meaningful and purposeful life shaped through code ritual and routine
[00:00:17.440 --> 00:00:22.840]   You readily assert that you need discipline for a value to take hold but discipline needs a reason
[00:00:22.840 --> 00:00:24.880]   Yeah, it's a good question
[00:00:24.880 --> 00:00:31.760]   I you know, I get this debate a lot is I think it's one of the more unique and controversial aspects of my conception of
[00:00:31.760 --> 00:00:35.680]   Cultivating a deep life where I say discipline comes first
[00:00:35.680 --> 00:00:40.800]   No, it's Ian here disagrees part of this is semantic. I
[00:00:40.800 --> 00:00:47.380]   Think discipline is an an overloaded word. We have a lot of connotations with it often
[00:00:47.380 --> 00:00:49.160]   negative
[00:00:49.160 --> 00:00:53.200]   We think about discipline sometimes as something being enforced upon us
[00:00:53.760 --> 00:01:00.640]   The cruel headmaster disciplining the kids. We also have connotations with discipline with those who are
[00:01:00.640 --> 00:01:05.360]   Idolizing making a false god out of discipline itself
[00:01:05.360 --> 00:01:09.240]   where we have my all that matters is the
[00:01:09.240 --> 00:01:16.040]   Discipline of what I do and the harder things I do and other people won't do these things this hard and all of my self-worth
[00:01:16.040 --> 00:01:18.040]   just comes entirely from
[00:01:18.040 --> 00:01:20.680]   my discipline this is the sort of
[00:01:20.680 --> 00:01:23.680]   David Goggins
[00:01:23.680 --> 00:01:27.840]   style philosophy of sort of building your identity around
[00:01:27.840 --> 00:01:34.720]   Extreme feats of discipline. This was an idea that was really big and supported by Instagram culture sort of over the last decade
[00:01:34.720 --> 00:01:39.000]   So it's an overloaded term. So let's let's use a different term just for this conversation
[00:01:39.000 --> 00:01:42.040]   efficaciousness
[00:01:42.040 --> 00:01:47.040]   So efficaciousness describes the degree to which you believe yourself able to actually
[00:01:47.040 --> 00:01:52.600]   Take action towards goals. If you're an efficacious person you say yes in general
[00:01:52.600 --> 00:01:56.880]   I am someone who if I have something I want to do and it's reasonable I can do it
[00:01:56.880 --> 00:01:58.880]   I can figure out how to do it
[00:01:58.880 --> 00:02:04.640]   my argument having spent a lot of time with people who are trying to turn around their lives is that
[00:02:04.640 --> 00:02:09.560]   That is missing a lot of times and if that is missing nothing else works
[00:02:09.560 --> 00:02:13.800]   even trying to determine what your values are and
[00:02:13.800 --> 00:02:20.000]   Believing that you can build your life around those values even that seemingly fundamental decision
[00:02:20.320 --> 00:02:22.880]   lays on a foundation of efficaciousness
[00:02:22.880 --> 00:02:27.800]   If you do not see yourself as someone who can take action towards important things
[00:02:27.800 --> 00:02:32.640]   Even if it's not obligated and even if it's hard if you do not see yourself as a person who can do that
[00:02:32.640 --> 00:02:39.540]   Almost any other self developmental activity is going to be derailed. It's going to dissipate before it actually takes hold
[00:02:39.540 --> 00:02:44.820]   Now there's other people and probably a ton. I mean you're you're a Benedictine monk
[00:02:44.820 --> 00:02:50.580]   So you're probably an exemplar of this other type of person where they just have the strong sense of efficaciousness
[00:02:50.580 --> 00:02:53.700]   And so what matters like right off the bat then is like, okay
[00:02:53.700 --> 00:02:56.140]   Let me figure out my values and build my life around it
[00:02:56.140 --> 00:03:03.540]   But most people the average person stumbles before they get there. So when I say discipline is an identity what I don't mean is
[00:03:03.540 --> 00:03:08.220]   What matters is that you build your identity around discipline?
[00:03:09.420 --> 00:03:15.900]   That you become David Goggins or Cameron Haynes that like how you define yourself and your value is through your discipline and I agree with
[00:03:15.900 --> 00:03:18.140]   You fully there at team that that's not
[00:03:18.140 --> 00:03:21.220]   That's false idol. That's not going to get you there
[00:03:21.220 --> 00:03:26.540]   But on the other hand, I think until you have built a minor foundation of efficaciousness
[00:03:26.540 --> 00:03:31.300]   Your efforts are likely going to be wasted the average person's efforts are likely going to be wasted
[00:03:31.300 --> 00:03:35.060]   So that's why I put discipline first. You have to just start by convincing yourself
[00:03:35.060 --> 00:03:40.980]   I can do things and there's an excitement and a motivation and a clarity and a drive that comes out of that that when you then
[00:03:40.980 --> 00:03:42.980]   Say, okay. So what do I care about?
[00:03:42.980 --> 00:03:46.060]   You actually care about that question and
[00:03:46.060 --> 00:03:49.820]   You take it more seriously and the answers actually stick
[00:03:49.820 --> 00:03:55.900]   I'm so kind of convinced about this foundational idea that I've been recently playing around with my deep life stack and
[00:03:55.900 --> 00:04:01.900]   One of the configurations I've been playing around with more recently actually has a much clearer division
[00:04:01.900 --> 00:04:04.820]   between laying the foundations and
[00:04:05.140 --> 00:04:10.220]   Then cultivating depth now and I'm not this is very early stages. I'm just throwing out ideas here
[00:04:10.220 --> 00:04:16.140]   But one of the reconfigurations I've been playing with in my notebooks recently is one where it's not just discipline comes first
[00:04:16.140 --> 00:04:22.300]   But maybe we're gonna do discipline control and maybe even throw in something like craft
