
[00:00:00.000 --> 00:00:22.200]   Hello everybody. First things first, I actually have to apologize. I was coming into the fair
[00:00:22.200 --> 00:00:26.400]   today. I was coming up the escalator to registration because this is my first day at the fair. I came
[00:00:26.400 --> 00:00:31.440]   for my talk and I saw for the first time this big banner that said AI World's Fair. It's
[00:00:31.440 --> 00:00:36.160]   like a place for builders, not yappers. And I was a builder once, but I'm definitely a
[00:00:36.160 --> 00:00:42.060]   yapper now. So bear with me, but I think we'll have fun. On that note, I don't love yappin'
[00:00:42.060 --> 00:00:47.220]   by myself. I love yappin' with others. And it is the last afternoon and the last day,
[00:00:47.220 --> 00:00:54.180]   but there is an interactive component to this presentation. So at times, I will present slides
[00:00:54.180 --> 00:00:59.520]   that look like this. You don't have to clap, but you do have to say the words with me as
[00:00:59.520 --> 00:01:02.940]   they appear. So in this case, what we would say is,
[00:01:02.940 --> 00:01:09.780]   X, Y, Z. Excellent. Thank you. I knew you could do it. One more practice one.
[00:01:09.780 --> 00:01:18.840]   Start the talk. Okay, great. Excellent. I hear you. So my name is Sam. I am a principal forward deployer,
[00:01:18.840 --> 00:01:24.600]   or deployed engineer at Windsurf. And in the spirit of this talk, getting to know Windsurf,
[00:01:24.600 --> 00:01:29.600]   and Windsurf getting to know you, you should get to know me. So here are some facts about
[00:01:29.600 --> 00:01:36.360]   me and my life. I work at Windsurf. I love slack emojis, if you couldn't tell by the first slide.
[00:01:36.360 --> 00:01:41.700]   I sometimes wear turtlenecks, as evidenced in this photo. I have been known to exaggerate my title.
[00:01:41.700 --> 00:01:47.040]   I'm not actually a principal deployed engineer, just deployed engineer for now. And I am speaking at
[00:01:47.040 --> 00:01:55.800]   the AI World's Fair. It's a little lackluster, right? Hence the neutral emoji. Do you feel like you really got to
[00:01:55.800 --> 00:02:02.040]   know me based on these simple facts? No, I don't think so either. I wouldn't expect you to. Let's do this.
[00:02:02.040 --> 00:02:10.500]   Let's see what we can infer from these otherwise superficial observations to see if we can get to know me a little better, right?
[00:02:10.500 --> 00:02:17.800]   And for fun, let's put a little framing on it. Let's change this fun neutral face to a little purple devil emoji, right?
[00:02:17.800 --> 00:02:25.880]   And see what these facts say about me. Maybe I am the kind of person who brags about, you know, working in the valley, right?
[00:02:25.880 --> 00:02:31.880]   Maybe I prioritize slack over real work, and that's why I love slack emojis. Maybe I wear turtlenecks because I think
[00:02:31.880 --> 00:02:37.780]   I have a superior fashion sense, right? Maybe I exaggerate my title because I'm power hungry. Maybe I'm speaking here
[00:02:37.780 --> 00:02:42.680]   because I enjoy the sound of my own voice, right? And we can do the inverse too, right? Let's turn this little devil
[00:02:42.680 --> 00:02:49.120]   into an angel, right? Maybe I work hard, and that's why I work at Windsurf. Maybe I like slack because I value team building.
[00:02:49.120 --> 00:02:55.840]   Still the superior fashion sense. I think that one's fair. Maybe I'm indifferent towards titles, right? And maybe I'm speaking here
[00:02:55.840 --> 00:03:01.720]   because I like sharing things with friends. Sharing things with friends, I should say. Either way, we took some otherwise
[00:03:01.720 --> 00:03:09.620]   superficial conspicuous observations, and we turned them with some framing into something that actually says something about me
[00:03:09.620 --> 00:03:15.560]   and says something about my behavior, right? What we really need now would be some hard evidence, right?
[00:03:15.560 --> 00:03:22.620]   So I see two of my colleagues over here. If they came up and, you know, as trusted sources, told you guys that I spend all day on slack,
[00:03:22.620 --> 00:03:31.620]   then maybe that evidence combined with the visible evidence here would lead you to believe that I spend most of my day on slack, which I won't confirm nor deny at the end.
