
[00:00:00.000 --> 00:00:04.640]   >> Well, good afternoon.
[00:00:04.640 --> 00:00:07.660]   It is such a joy to be with you.
[00:00:07.660 --> 00:00:12.480]   Welcome to everyone who has come both from near and far.
[00:00:12.480 --> 00:00:19.160]   I've heard people coming as far as from New York and places like Ohio and the Midwest.
[00:00:19.160 --> 00:00:20.800]   I'm a Midwesterner myself,
[00:00:20.800 --> 00:00:23.800]   so I resonate with that and I appreciate the East Coast.
[00:00:23.800 --> 00:00:29.280]   So we're just so thrilled to have everyone here and our heart
[00:00:29.280 --> 00:00:32.080]   is to encourage you.
[00:00:32.080 --> 00:00:37.240]   We understand both the importance of the scientific disciplines,
[00:00:37.240 --> 00:00:38.840]   STEM and everything,
[00:00:38.840 --> 00:00:43.380]   but at the same time, we also understand that it can be difficult.
[00:00:43.380 --> 00:00:49.080]   There are challenges for all of you who are involved in so great an endeavor.
[00:00:49.080 --> 00:00:55.800]   So our heart is just to bring like-minded believers together so that you all can have
[00:00:55.800 --> 00:01:01.620]   mutual edification and go back to where you're ministering and working in,
[00:01:01.620 --> 00:01:03.580]   and to be just strengthened in the Lord.
[00:01:03.580 --> 00:01:05.840]   So if we can offer you that service,
[00:01:05.840 --> 00:01:08.520]   that is our absolute joy.
[00:01:08.520 --> 00:01:12.920]   I was able to just observe the fellowship happening at lunch,
[00:01:12.920 --> 00:01:17.960]   and it was just encouraging to my heart because it seems like that task is being accomplished.
[00:01:17.960 --> 00:01:21.980]   Well, let me begin us with a word of prayer and then we will
[00:01:21.980 --> 00:01:26.240]   jump into what the Lord has for us providentially this afternoon.
[00:01:26.240 --> 00:01:27.760]   Our God and Father,
[00:01:27.760 --> 00:01:31.520]   as we think of so many matters,
[00:01:31.520 --> 00:01:35.440]   particular and technical, nuanced in nature,
[00:01:35.440 --> 00:01:40.440]   ultimately we still yet understand that it is all subject to your word,
[00:01:40.440 --> 00:01:42.640]   and that the issues that we face,
[00:01:42.640 --> 00:01:45.760]   though specific they may be,
[00:01:45.760 --> 00:01:48.680]   in the end, they are addressed by
[00:01:48.680 --> 00:01:55.400]   the eternal transcendent truths of the scriptures which you have revealed.
[00:01:55.400 --> 00:02:01.760]   So we ask that in times of discouragement and in times of challenges and trials,
[00:02:01.760 --> 00:02:06.400]   that the word of God minister deeply to our heart,
[00:02:06.400 --> 00:02:07.680]   and even more than that,
[00:02:07.680 --> 00:02:11.320]   the God of the word be glorified.
[00:02:11.320 --> 00:02:13.220]   To that end, O God,
[00:02:13.220 --> 00:02:17.700]   grant us clarity and joy and encouragement,
[00:02:17.700 --> 00:02:25.480]   and ultimately worship as we go through the text of your revelation this afternoon.
[00:02:25.480 --> 00:02:28.600]   In your name we pray. Amen.
[00:02:28.600 --> 00:02:30.360]   Well, like I said,
[00:02:30.360 --> 00:02:32.960]   this conference, at least from my vantage point,
[00:02:32.960 --> 00:02:35.480]   is about encouragement.
[00:02:35.480 --> 00:02:42.000]   It is about finding some respite from the storm of the world that can be around us,
[00:02:42.000 --> 00:02:45.720]   in the face particularly of industry or even in education.
[00:02:45.720 --> 00:02:48.320]   And so I do want to encourage you,
[00:02:48.320 --> 00:02:53.360]   because what really can I, as an individual, contribute to your knowledge?
[00:02:53.360 --> 00:02:54.960]   You guys are the experts.
[00:02:54.960 --> 00:02:56.960]   You guys are the specialists.
[00:02:56.960 --> 00:03:02.680]   And yes, I will admit this, I am a son of scientists.
[00:03:02.680 --> 00:03:04.320]   My parents were chemists.
[00:03:04.320 --> 00:03:06.160]   They worked in the industry.
[00:03:06.160 --> 00:03:08.600]   My church growing up, every person,
[00:03:08.600 --> 00:03:14.120]   I think almost every person in my church had a PhD in some field of science.
[00:03:14.120 --> 00:03:15.720]   That's the way we grew up.
[00:03:15.720 --> 00:03:23.400]   One of the few magazines that I had in my home growing up was Chemical and Engineering News.
[00:03:23.400 --> 00:03:24.360]   Thank you.
[00:03:24.360 --> 00:03:27.640]   I thought that's what every kid grew up with.
[00:03:27.640 --> 00:03:30.240]   And I would read it, and I wouldn't understand most of it,
[00:03:30.240 --> 00:03:32.960]   but, you know, in the back there are these jokes.
[00:03:32.960 --> 00:03:34.520]   And I really appreciated that section.
[00:03:34.520 --> 00:03:38.760]   I thought that was the kid's section for all the parents, you know, and things like that.
[00:03:38.760 --> 00:03:40.840]   So that's how I grew up.
[00:03:40.840 --> 00:03:47.040]   I grew up talking about patents, and grants, and labs, and OSHA.
[00:03:47.040 --> 00:03:51.800]   When I heard that word, it wasn't used very positively.
[00:03:51.800 --> 00:03:55.520]   But people talked about these things, and experiments.
[00:03:55.520 --> 00:04:00.880]   And as children, my friends and myself, we all knew that this was the case,
[00:04:00.880 --> 00:04:05.800]   that whenever we asked our parents a question about science or math,
[00:04:05.800 --> 00:04:10.240]   we were hoping just to get the answer so we could finish our homework.
[00:04:10.240 --> 00:04:12.440]   But we knew what would happen.
[00:04:12.440 --> 00:04:14.760]   We would get a lecture instead.
[00:04:14.760 --> 00:04:18.320]   And then after the lecture, we'd get more homework.
[00:04:18.320 --> 00:04:20.680]   Because clearly, we didn't know what we were doing.
[00:04:20.680 --> 00:04:25.520]   So our parents thought, well, you got to get reinforcement and got to do it for two more hours
[00:04:25.520 --> 00:04:29.680]   just to solve the same kind of problem over, and over, and over, and over again.
[00:04:29.680 --> 00:04:33.160]   It was a very effective strategy to quash questions.
[00:04:33.160 --> 00:04:36.720]   In any case, I was a son of scientists.
[00:04:36.720 --> 00:04:41.960]   And to be clear, I so value the sacrifices that my parents made and investment
[00:04:41.960 --> 00:04:44.880]   in that way my parents made in me.
[00:04:44.880 --> 00:04:50.560]   I may be a son of scientists, but I am not a scientist in that regard.
[00:04:50.560 --> 00:04:52.320]   But I can encourage you.
[00:04:52.320 --> 00:04:54.280]   I can encourage you.
[00:04:54.280 --> 00:04:58.400]   My job might not be to expand the specialized fields that you have,
[00:04:58.400 --> 00:05:04.840]   but I would love to be able, by the grace of God, to strengthen your own heart in Him.
[00:05:04.840 --> 00:05:10.840]   And before I get into the main topic of encouragement that I want to go through this afternoon,
[00:05:10.840 --> 00:05:19.000]   I would be remiss if I did not talk to you about the nobility, the worshipfulness,
[00:05:19.000 --> 00:05:27.600]   the glory, and the honor that God has given in the sciences, in math and science, in all of STEM.
[00:05:27.600 --> 00:05:33.280]   And I think this is very important because sometimes in churches and sometimes when you meet
[00:05:33.280 --> 00:05:38.560]   with fellow believers who are not in the discipline, they say, "What do you do for a living?"
[00:05:38.560 --> 00:05:40.840]   And then you say, "I work in this."
[00:05:40.840 --> 00:05:45.880]   And then their reaction is, "Cool."
[00:05:45.880 --> 00:05:51.880]   And then after an awkward silence, they say, "So what's the point of that?"
[00:05:51.880 --> 00:05:54.800]   And of course, that can be a little bit insulting.
[00:05:54.800 --> 00:05:59.520]   And sometimes in churches, there can be even suspicion about science.
[00:05:59.520 --> 00:06:03.640]   And I recognize that too, and all of that can be discomforting.
[00:06:03.640 --> 00:06:05.200]   All of that can be discouraging.
[00:06:05.200 --> 00:06:13.720]   And so I would be remiss if I did not just first and foremost establish and encourage your heart
[00:06:13.720 --> 00:06:18.840]   that what you are doing can and should be done for the glory of Christ,
[00:06:18.840 --> 00:06:21.960]   that God has a purpose behind these disciplines.
[00:06:21.960 --> 00:06:28.320]   Now, to be clear, reason never overrides revelation.
[00:06:28.320 --> 00:06:34.800]   Reason never trumps the God who made the universe and ordained what it is.
[00:06:34.800 --> 00:06:37.120]   In fact, reason presupposes that.
[00:06:37.120 --> 00:06:39.480]   Reason depends upon that.
[00:06:39.480 --> 00:06:43.560]   And we understand that the Scriptures, theologically speaking,
[00:06:43.560 --> 00:06:46.240]   provide three categories of information.
[00:06:46.240 --> 00:06:50.440]   It provides the category of what we call special revelation that is focally found
[00:06:50.440 --> 00:06:51.440]   in the Scriptures.
[00:06:51.440 --> 00:06:57.040]   That is God's particular, detailed, specific revelation about himself.
[00:06:57.040 --> 00:07:01.680]   God discloses these things, and it is powerful because as Psalm 19 reminds us,
[00:07:01.680 --> 00:07:03.480]   it is what converts the soul.
[00:07:03.480 --> 00:07:05.560]   That is the power of special revelation.
[00:07:05.560 --> 00:07:10.120]   And then a second category the Scripture reveals is general revelation.
[00:07:10.120 --> 00:07:11.840]   And it is general in every sense.
[00:07:11.840 --> 00:07:17.760]   It is general in scope and in source because it is found in creation in its totality,
[00:07:17.760 --> 00:07:19.560]   not in its specialization.
[00:07:19.560 --> 00:07:24.120]   It is general because it reaches to all people and makes them without excuse.
[00:07:24.120 --> 00:07:26.120]   It is general in even what it declares.
[00:07:26.120 --> 00:07:30.880]   It does not declare every single detail about God, but what Psalm 19 and Romans 1
[00:07:30.880 --> 00:07:34.520]   remind us, it declares that God exists and that he is powerful.
[00:07:34.520 --> 00:07:37.880]   It declares the divineness of his nature in that way.
[00:07:37.880 --> 00:07:43.120]   And it is general even in its effects because general revelation cannot convert
[00:07:43.120 --> 00:07:44.680]   anyone to Christ.
[00:07:44.680 --> 00:07:49.360]   That is why Psalm 19 contrasts general revelation, the heavens are declaring the
[00:07:49.360 --> 00:07:53.920]   glory of God, with special revelation, the word of Yahweh is perfect,
[00:07:53.920 --> 00:07:55.440]   converting the soul.
[00:07:55.440 --> 00:08:00.400]   And Romans 1 reminds us that people suppress the truth in unrighteousness.
[00:08:00.400 --> 00:08:05.360]   And so general revelation, though declaring the glory of God,
[00:08:05.360 --> 00:08:06.880]   cannot convert the soul.
[00:08:06.880 --> 00:08:10.720]   It gives you just enough information so that all men and all people are
[00:08:10.720 --> 00:08:13.120]   without excuse.
[00:08:13.120 --> 00:08:16.560]   But there is a third category of information, and that is what the Bible
[00:08:16.560 --> 00:08:18.560]   terms as knowledge.
[00:08:18.560 --> 00:08:24.040]   Unlike the first two, which are about revelation, God unveiling,
[00:08:24.040 --> 00:08:33.480]   God disclosing himself, knowledge is us discerning things God has done.
[00:08:33.480 --> 00:08:38.880]   Knowledge is us looking at things, and observing things, and deriving things
[00:08:38.880 --> 00:08:40.960]   from what God has established.
[00:08:40.960 --> 00:08:47.880]   One is God declaring it to us, the other one is us deriving things.
[00:08:47.880 --> 00:08:53.120]   And they are two categorically different areas of information.
[00:08:53.120 --> 00:08:58.440]   And often what can happen when we are not careful is we elevate our reason on the
[00:08:58.440 --> 00:09:02.880]   level of general revelation, thinking that, "Well, general revelation talks
[00:09:02.880 --> 00:09:06.000]   about creation, I'm talking about creation, so they must be the same thing."
[00:09:06.000 --> 00:09:09.920]   And then we elevate general revelation, or what we call general revelation,
[00:09:09.920 --> 00:09:11.640]   to the level of special revelation.
[00:09:11.640 --> 00:09:14.600]   "Oh, well, then that means that my discoveries must be on the level
[00:09:14.600 --> 00:09:15.360]   of Scripture.
[00:09:15.360 --> 00:09:17.120]   That is a dangerous road."
[00:09:17.120 --> 00:09:21.200]   They are different and distinct areas of knowledge.
[00:09:21.200 --> 00:09:26.240]   The way they are disclosed, the way they are derived, what they do,
[00:09:26.240 --> 00:09:30.720]   what they communicate, and their substance, we can never get them confused.
[00:09:30.720 --> 00:09:38.480]   Nevertheless, while reason can never override revelation, what scientific reason
[00:09:38.480 --> 00:09:44.440]   in the providence of God does, it expounds upon the ramifications
[00:09:44.440 --> 00:09:45.840]   of revelation.
[00:09:45.840 --> 00:09:51.160]   It explores the ramifications, and the consequences, and the ripple effects
[00:09:51.160 --> 00:09:55.640]   of all that God has revealed in Scripture because the Scripture has told us who God
[00:09:55.640 --> 00:10:01.440]   is, and the Scripture has told us what God has done, that He is who He is,
[00:10:01.440 --> 00:10:05.920]   I am who I am, and He has made the heavens and the earth.
[00:10:05.920 --> 00:10:11.000]   And science, and STEM, and math, and all these areas of observation
[00:10:11.000 --> 00:10:19.280]   and discovery, find, and locate, and explore all that God has already done,
[00:10:19.280 --> 00:10:24.520]   and all that God is as He has revealed in His Word.
[00:10:24.520 --> 00:10:30.920]   You could think of it this way, Scripture establishes who God is,
[00:10:30.920 --> 00:10:37.320]   and science expounds upon what God has already established.
[00:10:37.320 --> 00:10:43.080]   Grace is being translated in that way into science.
[00:10:43.080 --> 00:10:50.480]   Think of it this way, science is then the magnification of God back to God.
[00:10:50.480 --> 00:10:53.960]   It is the magnification of God back to God.
[00:10:53.960 --> 00:10:55.520]   You say, "What do you mean by that?"
[00:10:55.520 --> 00:10:58.520]   Well, it's really derived from Philippians 1 where Paul says,
[00:10:58.520 --> 00:11:01.680]   "In everything I do, I want Christ to be magnified."
[00:11:01.680 --> 00:11:04.000]   There are two ways to magnify something.
[00:11:04.000 --> 00:11:07.640]   One way is that you take something itty-bitty, and you put it under the
[00:11:07.640 --> 00:11:10.960]   microscope, and it magnifies it so it becomes larger.
[00:11:10.960 --> 00:11:13.600]   You take the small and make it bigger.
[00:11:13.600 --> 00:11:18.280]   Or you can magnify something similar to how a telescope works,
[00:11:18.280 --> 00:11:22.640]   where you take something that actually truly is very big, but we have thought
[00:11:22.640 --> 00:11:28.240]   of it as small, and we magnify it so that we see it the way it really is,
[00:11:28.240 --> 00:11:30.600]   the greatness that is really there.
[00:11:30.600 --> 00:11:36.720]   And science, like all of life, should be doing the latter with God.
[00:11:36.720 --> 00:11:40.080]   Science has the ability, and it's a noble discipline.
[00:11:40.080 --> 00:11:45.440]   It's a worshipful discipline because it can make every miracle and show the power
[00:11:45.440 --> 00:11:46.280]   of every miracle.
[00:11:46.280 --> 00:11:50.800]   I was one time talking with a neuroscientist who said, "How do you make
[00:11:50.800 --> 00:11:54.240]   somebody lame walk and function?
[00:11:54.240 --> 00:11:58.760]   How do you make somebody with a withered hand, whose hand is disheveled,
[00:11:58.760 --> 00:12:00.280]   to actually be whole?"
[00:12:00.280 --> 00:12:04.240]   And he was talking about all the ways that the nerves would have to be
[00:12:04.240 --> 00:12:08.120]   reconstructed, and all the ways the pathways to the brain would have
[00:12:08.120 --> 00:12:09.600]   to be reconstituted.
[00:12:09.600 --> 00:12:12.960]   And he said, "If any scientist could do that, they would make billions
[00:12:12.960 --> 00:12:14.600]   of dollars."
[00:12:14.600 --> 00:12:21.320]   And he said, "It's amazing that Jesus can just say it, and it happens."
[00:12:21.320 --> 00:12:25.880]   Science discovers the greatness of God in miracles.
[00:12:25.880 --> 00:12:29.200]   It glorifies his wisdom in creation.
[00:12:29.200 --> 00:12:34.240]   When we look at creation and we say, "Wow, that's genius.
[00:12:34.240 --> 00:12:37.080]   He's genius," that's what we're really saying.
[00:12:37.080 --> 00:12:42.960]   Likewise, science exalts his supernatural power, his sovereignty over everything,
[00:12:42.960 --> 00:12:46.680]   and his unique wisdom and transcendence.
[00:12:46.680 --> 00:12:48.840]   Psalm 104 is a good example of this.
[00:12:48.840 --> 00:12:54.320]   In Psalm 104, the psalmist recounts how God made the earth in six days,
[00:12:54.320 --> 00:12:55.320]   rested on the seventh.
[00:12:55.320 --> 00:13:02.480]   But in that framework, he says, that is the psalmist, on all the wonders
[00:13:02.480 --> 00:13:06.600]   of how God made things and how he uses them for his glory.
[00:13:06.600 --> 00:13:09.760]   What I like to remind my students to illustrate this point is,
[00:13:09.760 --> 00:13:13.200]   just even think of the way God created water.
[00:13:13.200 --> 00:13:17.160]   He created water in such a way that it can flood the earth.
[00:13:17.160 --> 00:13:21.280]   If you were me and you just thought it'd be hilarious to make water more
[00:13:21.280 --> 00:13:26.520]   like Jell-O because, you know, I like Jell-O or whatever, then you couldn't...
[00:13:26.520 --> 00:13:30.960]   It's very difficult to flood the world with the viscosity of Jell-O.
[00:13:30.960 --> 00:13:34.640]   It's very difficult to allow Jell-O to water the plants.
[00:13:34.640 --> 00:13:37.880]   That's what Psalm 104 says, that the water that takes away life is the
[00:13:37.880 --> 00:13:42.320]   same water that gives life, and feeds the plants, and feeds the animals,
[00:13:42.320 --> 00:13:46.240]   and feeds the humans, and gives beverage, and liquid, and life,
[00:13:46.240 --> 00:13:48.840]   and hydration to all.
[00:13:48.840 --> 00:13:51.720]   That's the brilliance of God.
[00:13:51.720 --> 00:13:56.960]   In sum, you could think of it this way, science is such a noble endeavor because
[00:13:56.960 --> 00:14:01.320]   what it constantly is discovering is how great thou art.
[00:14:01.320 --> 00:14:06.200]   That is the endeavor of science, and it's a noble one.
[00:14:06.200 --> 00:14:08.040]   It is a noble endeavor.
[00:14:08.040 --> 00:14:12.880]   In whatever you are doing, whether that be working with bacteria,
[00:14:12.880 --> 00:14:18.640]   or DNA, or a chemical, or a compound, or an equation,
[00:14:18.640 --> 00:14:24.520]   what you are magnifying to God is the depths of how great thou art.
[00:14:24.520 --> 00:14:28.480]   There is the nobility of your discipline.
[00:14:28.480 --> 00:14:34.360]   Whatever you may be doing, that is what ultimately, when done rightly,
[00:14:34.360 --> 00:14:36.000]   is happening.
[00:14:36.000 --> 00:14:39.040]   And for that reason, you need to be encouraged.
[00:14:39.040 --> 00:14:40.720]   You're not wasting your time.
[00:14:40.720 --> 00:14:44.400]   Even sometimes when believers give you a funny stare, and they don't understand
[00:14:44.400 --> 00:14:47.640]   exactly what you do, even when your kids look at you funny and say,
[00:14:47.640 --> 00:14:50.120]   "Dad, I don't understand what you're doing."
[00:14:50.120 --> 00:14:51.800]   God knows.
[00:14:51.800 --> 00:14:56.640]   And it's an act of an amazing worship back to him because you are magnifying the
[00:14:56.640 --> 00:14:59.400]   greatness of God back to himself.
[00:14:59.400 --> 00:15:04.320]   So be encouraged, and be particularly encouraged in times of hardship,
[00:15:04.320 --> 00:15:08.880]   and that is particularly what I want to address this afternoon.
[00:15:08.880 --> 00:15:12.640]   I may be the son of scientists, but like I said, I'm no scientist,
[00:15:12.640 --> 00:15:14.800]   but I am a pastor.
[00:15:14.800 --> 00:15:20.560]   I am a pastor, and I am a university president, and so I understand that the
[00:15:20.560 --> 00:15:23.080]   workplace can be a hard place.
[00:15:23.080 --> 00:15:24.440]   Industry can be difficult.
[00:15:24.440 --> 00:15:27.560]   Even education can have its own challenges.
[00:15:27.560 --> 00:15:34.640]   And there are burdens, and worries, and trials, and perhaps one of the most acute
[00:15:34.640 --> 00:15:38.560]   of all of them is loneliness.
[00:15:38.560 --> 00:15:40.280]   It's loneliness.
[00:15:40.280 --> 00:15:46.040]   Especially in a discipline which has been overtaken by secularism and paganism,
[00:15:46.040 --> 00:15:48.000]   you can really feel isolated.
[00:15:48.000 --> 00:15:50.660]   You can really feel all alone.
[00:15:50.660 --> 00:15:52.640]   You are the odd one out.
[00:15:52.640 --> 00:15:55.040]   You are really different.
[00:15:55.040 --> 00:16:01.280]   And it may be that you are one of the few in your office, in your department,
[00:16:01.280 --> 00:16:07.400]   in your group that loves Christ, and you feel like the outlier,
[00:16:07.400 --> 00:16:11.960]   and you feel alienated, and you feel like the outcast.
[00:16:11.960 --> 00:16:15.400]   And as I was praying what to share with you all this afternoon,
[00:16:15.400 --> 00:16:17.800]   this idea really came to my mind.
[00:16:17.800 --> 00:16:22.360]   And it was really accentuated when Tide and A came to our board meeting,
[00:16:22.360 --> 00:16:28.440]   and she said one of the impetuses behind this symposium is that, she said,
[00:16:28.440 --> 00:16:33.160]   people sometimes feel like they're all alone, like there's no one who thinks
[00:16:33.160 --> 00:16:34.560]   like they do.
[00:16:34.560 --> 00:16:36.680]   They think, "Does everyone think I'm crazy?
[00:16:36.680 --> 00:16:39.520]   Maybe I am crazy."
[00:16:39.520 --> 00:16:44.240]   And as she was discussing these things, it really confirmed in my heart what I
[00:16:44.240 --> 00:16:47.720]   wanted to share with you all this afternoon.
[00:16:47.720 --> 00:16:52.760]   In this world, and by the way, it isn't just the scientists,
[00:16:52.760 --> 00:16:56.040]   it isn't just the specialists that feel this way.
[00:16:56.040 --> 00:16:59.360]   Even your pastor can feel this way.
[00:16:59.360 --> 00:17:04.640]   I remember being at Shepard's Conference, and at Shepard's Conference,
[00:17:04.640 --> 00:17:10.600]   there's about 5,000 pastors who come together, and the singing is tremendous.
[00:17:10.600 --> 00:17:13.880]   It's loud, it's almost deafening.
[00:17:13.880 --> 00:17:17.600]   They don't even have to mic the person at the piano, it wouldn't make a difference
[00:17:17.600 --> 00:17:20.720]   anyway because they just get drowned out by the men singing.
[00:17:20.720 --> 00:17:27.280]   And I was talking with some pastors on that phenomena, and I asked,
[00:17:27.280 --> 00:17:29.480]   "Why do you think they sing so loud?"
[00:17:29.480 --> 00:17:34.800]   And all of them there, it was about 100 guys, said, "It's easy."
[00:17:34.800 --> 00:17:41.720]   Because that time in our year, we realize we're not alone.
[00:17:41.720 --> 00:17:45.040]   We're not the only ones who believe what we believe.
[00:17:45.040 --> 00:17:49.360]   We're not the only ones preaching from a pulpit, begging people to be a certain way,
[00:17:49.360 --> 00:17:53.320]   and pleading with them about doctrine, wondering if we're the only ones who do
