
[00:00:00.120 --> 00:00:01.680]   - Hi, I'm Robert.
[00:00:01.680 --> 00:00:03.560]   I'm the co-founder and CTO at Wordware.
[00:00:03.560 --> 00:00:06.240]   And at Wordware, I've personally helped hundreds of teams
[00:00:06.240 --> 00:00:08.280]   build reliable AI agents.
[00:00:08.280 --> 00:00:10.560]   I'm here to share a few of the insights that we got,
[00:00:10.560 --> 00:00:12.800]   especially when it comes to tools.
[00:00:12.800 --> 00:00:15.600]   Really, agentic MCPs.
[00:00:15.600 --> 00:00:18.100]   Giving your tools time to think.
[00:00:18.100 --> 00:00:20.740]   Before I worked on LLMs and agents,
[00:00:20.740 --> 00:00:22.380]   I used to work on self-driving cars.
[00:00:22.380 --> 00:00:26.040]   And really, building high reliable systems is in my blood.
[00:00:26.040 --> 00:00:28.440]   So yeah, here we go.
[00:00:28.440 --> 00:00:30.360]   The promise of agents are automated systems
[00:00:30.360 --> 00:00:32.720]   that can take action in the real world on your behalf.
[00:00:32.720 --> 00:00:36.440]   They have all the context they need about you and your team.
[00:00:36.440 --> 00:00:38.400]   And they have the ability to actually interact
[00:00:38.400 --> 00:00:40.660]   with the tools you use and output kind of data
[00:00:40.660 --> 00:00:42.120]   where you need it.
[00:00:42.120 --> 00:00:45.860]   Unfortunately, most of the time they don't really work.
[00:00:45.860 --> 00:00:50.320]   They're often slow, expensive, and unreliable.
[00:00:50.320 --> 00:00:52.540]   I remember an example when MCP first came out
[00:00:52.540 --> 00:00:56.240]   and we hooked up Slack and it spent a bunch of time,
[00:00:56.240 --> 00:00:57.980]   you know, I just want to send a Slack message to Philip,
[00:00:57.980 --> 00:00:59.320]   it being like, hey, I'm using MCP.
[00:00:59.320 --> 00:01:00.820]   It's super cool.
[00:01:00.820 --> 00:01:02.940]   Unfortunately, it then like listed all the users
[00:01:02.940 --> 00:01:05.940]   in the Slack channel, got confused,
[00:01:05.940 --> 00:01:08.100]   tried listing all the channels, tried sending a message,
[00:01:08.100 --> 00:01:10.180]   actually finally found Philip.
[00:01:10.180 --> 00:01:12.100]   It ended up resorting to sending a message
[00:01:12.100 --> 00:01:13.760]   in the general channel being like, hey,
[00:01:13.760 --> 00:01:16.160]   could someone tell Philip MCP is awesome?
[00:01:16.160 --> 00:01:17.840]   Which I thought was kind of amusing,
[00:01:17.840 --> 00:01:20.240]   but also really not what I wanted as a user.
[00:01:20.240 --> 00:01:22.820]   It also took about five minutes to do that.
[00:01:22.820 --> 00:01:26.280]   And the real problem is that these MCPs are often low level wrappers
[00:01:26.280 --> 00:01:29.780]   around these APIs that were not designed for language models.
[00:01:29.780 --> 00:01:33.200]   You know, you get these messy responses that have huge blobs of JSON,
[00:01:33.200 --> 00:01:35.780]   which are great for like deterministic state machines,
[00:01:35.780 --> 00:01:40.980]   but kind of suck in a kind of context pollution for agents.
[00:01:40.980 --> 00:01:44.020]   You get tools that are these tiny scope, you know.
[00:01:44.020 --> 00:01:47.220]   Most of the MCP tools are just a wrap around a function,
[00:01:47.220 --> 00:01:49.320]   and functions were designed for the programmatic world,
[00:01:49.320 --> 00:01:52.560]   where you want to compose a lot of these tasks together
[00:01:52.560 --> 00:01:55.220]   into like sequences of function calls.
