
[00:00:00.000 --> 00:00:06.040]   Welcome back everyone.
[00:00:06.040 --> 00:00:08.960]   This is part 4 in our series on methods and metrics.
[00:00:08.960 --> 00:00:10.820]   We're going to talk about datasets.
[00:00:10.820 --> 00:00:12.520]   In the previous two screencasts,
[00:00:12.520 --> 00:00:14.320]   we really got in the weeds around
[00:00:14.320 --> 00:00:16.520]   classifier and generation metrics.
[00:00:16.520 --> 00:00:18.800]   I want to pop up a level now and talk
[00:00:18.800 --> 00:00:20.920]   conceptually about the role that
[00:00:20.920 --> 00:00:23.940]   datasets play in our field and how we construct them.
[00:00:23.940 --> 00:00:26.280]   This is really a central topic.
[00:00:26.280 --> 00:00:28.000]   In this context, I'd like to mention
[00:00:28.000 --> 00:00:30.400]   this quotation from the famous oceanographer
[00:00:30.400 --> 00:00:32.140]   and explorer Jacques Cousteau.
[00:00:32.140 --> 00:00:33.920]   Cousteau said, "Water and air,
[00:00:33.920 --> 00:00:36.940]   the two essential fluids on which all life depends."
[00:00:36.940 --> 00:00:39.340]   My analogy here is that datasets are
[00:00:39.340 --> 00:00:43.480]   the resource on which all progress in the field of NLP depends.
[00:00:43.480 --> 00:00:46.280]   Now, Cousteau's quotation actually continues,
[00:00:46.280 --> 00:00:49.640]   "Have become global garbage cans, which is worrisome."
[00:00:49.640 --> 00:00:52.280]   For datasets, I think there are some in the field who would
[00:00:52.280 --> 00:00:55.100]   make the analogy extend to this worrisome aspect,
[00:00:55.100 --> 00:00:56.560]   but I feel optimistic.
[00:00:56.560 --> 00:00:58.400]   I feel we've learned a lot about how to
[00:00:58.400 --> 00:01:00.060]   develop datasets effectively and we
[00:01:00.060 --> 00:01:02.000]   have more datasets than ever.
[00:01:02.000 --> 00:01:04.380]   I think things are on a good trajectory
[00:01:04.380 --> 00:01:05.940]   as long as we're thoughtful.
[00:01:05.940 --> 00:01:08.520]   But it really is important that we get this right
[00:01:08.520 --> 00:01:11.320]   because we ask so much of our datasets.
[00:01:11.320 --> 00:01:13.800]   We use them to optimize models,
[00:01:13.800 --> 00:01:17.360]   to evaluate models, to compare models,
[00:01:17.360 --> 00:01:20.960]   to enable new capabilities in models via training,
