
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.680]   - First of all, thank you all
[00:00:07.680 --> 00:00:09.240]   for making it to this conference.
[00:00:09.240 --> 00:00:12.480]   We think it's the 20th conference.
[00:00:12.480 --> 00:00:16.200]   So it's very exciting that our conference currently
[00:00:16.200 --> 00:00:19.720]   is the largest conference, I think, by a good measure
[00:00:19.720 --> 00:00:22.160]   relative to conferences in the past.
[00:00:22.160 --> 00:00:24.720]   And we're just excited to see all of you
[00:00:24.720 --> 00:00:26.400]   and we're excited about all of the people
[00:00:26.400 --> 00:00:28.920]   who are volunteering and making other contributions.
[00:00:28.920 --> 00:00:31.160]   We're especially excited about our speakers
[00:00:31.160 --> 00:00:33.960]   who are all donating their time to be here.
[00:00:33.960 --> 00:00:36.680]   So one thing we test ran last year
[00:00:36.680 --> 00:00:38.640]   that worked out really well was this idea
[00:00:38.640 --> 00:00:41.640]   of doing a university where we're doing a full day
[00:00:41.640 --> 00:00:44.920]   or a half day of educational sessions.
[00:00:44.920 --> 00:00:46.440]   And that went over really well.
[00:00:46.440 --> 00:00:48.440]   Pretty much everyone who attended the conference
[00:00:48.440 --> 00:00:49.960]   made it to university.
[00:00:49.960 --> 00:00:51.700]   So we decided to do it again,
[00:00:51.700 --> 00:00:54.600]   but we decided to break it into two tracks.
[00:00:54.600 --> 00:00:59.600]   So in this room, we have kind of a somewhat more basic track
[00:00:59.600 --> 00:01:03.560]   and then in the next room, we have a more advanced track.
[00:01:03.560 --> 00:01:08.080]   So this is 101, we have 501 going on next door.
[00:01:08.080 --> 00:01:10.940]   There's absolutely nothing wrong with mixing and matching.
[00:01:10.940 --> 00:01:13.520]   If you wanna be here for part of this one
[00:01:13.520 --> 00:01:15.860]   and move over to the other room for the next one,
[00:01:15.860 --> 00:01:18.080]   that's absolutely fine.
[00:01:18.080 --> 00:01:20.120]   But one thing to know is that the times
[00:01:20.120 --> 00:01:21.480]   don't line up perfectly.
[00:01:21.480 --> 00:01:23.560]   So when we have our breaks for this session,
[00:01:23.560 --> 00:01:26.260]   it won't necessarily be a break for the other session.
[00:01:26.260 --> 00:01:27.800]   So you'll need to mind the schedule
[00:01:27.800 --> 00:01:31.480]   if you want to dip in and see sessions in the adjacent room.
[00:01:31.480 --> 00:01:34.260]   We have a very tight schedule for this session.
[00:01:34.260 --> 00:01:35.560]   If you attended last year,
[00:01:35.560 --> 00:01:39.040]   you remember we really kept things moving along very quickly.
[00:01:39.040 --> 00:01:42.120]   We'll do the same for this event today.
[00:01:42.120 --> 00:01:45.560]   We'll be watching the clock very, very quickly.
[00:01:45.560 --> 00:01:47.760]   I wanted to make a note about questions.
[00:01:47.760 --> 00:01:49.760]   We're handling questions a little bit differently
[00:01:49.760 --> 00:01:51.440]   than we've done in the past.
[00:01:51.440 --> 00:01:53.600]   So some of you may have remembered we had
[00:01:53.600 --> 00:01:56.360]   kind of an open mic set up for questions.
[00:01:56.360 --> 00:01:59.400]   This year we are doing written questions.
[00:01:59.400 --> 00:02:03.280]   So use a sheet of paper, whatever you've got handy
[00:02:03.280 --> 00:02:05.160]   to submit a question.
[00:02:05.160 --> 00:02:08.440]   We have Gauri here who is going to look
[00:02:08.440 --> 00:02:10.800]   through your questions and help us decide
[00:02:10.800 --> 00:02:14.520]   when we get to the question part of the discussion,
[00:02:14.520 --> 00:02:17.080]   will help us decide the most worthy questions.
[00:02:17.080 --> 00:02:18.680]   And I'm sure that we'll have more than we need,
[00:02:18.680 --> 00:02:21.000]   but please go ahead and submit a question.
[00:02:21.000 --> 00:02:27.440]   Wanted to start with my portion of the presentation,
[00:02:27.440 --> 00:02:30.080]   which relates to kind of what I call
[00:02:30.080 --> 00:02:32.160]   primordial asset allocation,
[00:02:32.160 --> 00:02:35.800]   things to do before you actually get started investing.
[00:02:35.800 --> 00:02:37.720]   Because even though at Bogleheads
[00:02:37.720 --> 00:02:39.480]   we're all very passionate about the idea
[00:02:39.480 --> 00:02:41.480]   of getting started in investing,
[00:02:41.480 --> 00:02:43.200]   getting your money to work for you
[00:02:43.200 --> 00:02:45.760]   as soon as humanly possible,
[00:02:45.760 --> 00:02:48.520]   it's actually better to lay the groundwork.
[00:02:48.520 --> 00:02:50.920]   So that's what I'm gonna be talking about today.
[00:02:50.920 --> 00:02:53.000]   So this is just a slide.
[00:02:53.000 --> 00:02:54.920]   We've all seen a million like this
[00:02:54.920 --> 00:02:57.560]   that illustrates the importance of getting an early start.
[00:02:57.560 --> 00:03:00.240]   And there are other versions of this
[00:03:00.240 --> 00:03:04.960]   that show that even if someone got started later
[00:03:04.960 --> 00:03:07.480]   and contributed a larger sum
[00:03:07.480 --> 00:03:10.040]   than that person who got started very early,
