
[00:00:00.000 --> 00:00:21.040]   Hi, everyone. I'm Leo. I'm the Chief Scientist at Gradient. And today, I'll be talking about how
[00:00:21.040 --> 00:00:27.920]   we trained large language models to be finance experts. Yeah, let's go ahead and dive right into
[00:00:27.920 --> 00:00:34.640]   it. So before I start getting into the details here, I wanted to make a couple of observations.
[00:00:34.640 --> 00:00:41.280]   And the first one is that foundational models have been growing at an exponential rate,
[00:00:41.280 --> 00:00:48.480]   right? So not only do you kind of bespoke AI companies each have their own foundational models,
[00:00:48.480 --> 00:00:55.680]   but data companies, general tech companies, they all have their own flavor of the language model,
[00:00:55.680 --> 00:01:02.480]   each with its own features, and use cases. And another observation, which is pretty related,
[00:01:02.480 --> 00:01:09.120]   is that the context length, right, the number of tokens that you can fit into a prompt has increased
[00:01:09.120 --> 00:01:15.120]   quite a bit over the past year. The largest context length models about a year ago were something like
[00:01:15.120 --> 00:01:23.200]   100K. And in the past year, they've grown to about 40 times that, just in models released in the past few
[00:01:23.200 --> 00:01:32.080]   months, including one released by Gradient. And both of these observations are evidence to kind of one
[00:01:32.080 --> 00:01:38.480]   point, and that's the large language models are not one size fits all. Especially when you get to kind of more
[00:01:38.480 --> 00:01:45.840]   complicated use cases, taking a generalist language model, or a base language model kind of off the
[00:01:45.840 --> 00:01:52.320]   shelf isn't really going to get you too far. And I realize I'm talking at the open models track of a
[00:01:52.320 --> 00:01:58.560]   conference, I probably don't need to convince you guys too much of this statement. But it is pretty
[00:01:58.560 --> 00:02:05.360]   important for us at Gradient, and it's actually our foundational pieces for what we built, which is an AI
[00:02:05.360 --> 00:02:13.280]   Foundry. And for us, what an AI Foundry is, is it's a collection of custom language models, as well as a
[00:02:13.280 --> 00:02:18.240]   number of workflow primitives. And what we do is we take all these pieces and components together
[00:02:18.960 --> 00:02:24.640]   to create solutions that are a custom fit for our customers. And today, I'm going to talk about
[00:02:24.640 --> 00:02:32.080]   specifically, our solutions for the finance domain, right, building financial experts. And for those
[00:02:32.080 --> 00:02:38.960]   solutions, really, two components have been incredibly useful. One should be fairly, fairly
[00:02:38.960 --> 00:02:45.840]   straightforward is our domain specific finance language model. And the other one is a context length
[00:02:45.840 --> 00:02:52.480]   extension that we've worked on. And so why are these important specifically for finance? Well,
[00:02:52.480 --> 00:02:58.160]   a little while ago, we got together and wrote down kind of six requirements for finance applications
[00:02:58.160 --> 00:03:02.960]   of language models that generalist models tend to lack or fall a little bit short on.
[00:03:02.960 --> 00:03:09.520]   You know, if you look at these requirements, they're fairly general, they kind of apply across
[00:03:09.520 --> 00:03:12.400]   industries, but in particular for finance, they seem pretty important.
[00:03:13.600 --> 00:03:21.440]   And today, I'm just going to talk about two of them that happen to be paired with the two solutions
[00:03:21.440 --> 00:03:25.680]   that I also want to talk about the finance language model and the extended context length.
[00:03:25.680 --> 00:03:35.040]   So jumping, jumping right into it, the first one is the finance language model.
[00:03:35.040 --> 00:03:41.680]   You know, you might be wondering, why, why even have a domain specific language model?
[00:03:42.240 --> 00:03:48.400]   Why is domain knowledge important? The reason is, is that your general purpose language models,
[00:03:48.400 --> 00:03:57.520]   like the GPTs of the world, they are trained on a very broad set of data, kind of broad and not deep,
[00:03:57.520 --> 00:04:01.920]   especially in kind of like more technical situations, like technical financial information.
[00:04:01.920 --> 00:04:10.080]   And as kind of like an illustrative example on why this is important, here's a chart from a recent research paper,
[00:04:10.080 --> 00:04:17.680]   where it shows that even for very large models, right, the red line at the top there is for 176 billion parameter model.
[00:04:17.680 --> 00:04:23.600]   You need something on the order of thousands of relevant documents in the models pre-training.
[00:04:23.600 --> 00:04:31.120]   In order for the model to get decent, I mean, here, it's even above 50% accuracy on answering a related question.
[00:04:31.120 --> 00:04:41.120]   Right. And so kind of what this implies is that if you ask a language model questions about data that's kind of like in the tails of its training data,
[00:04:41.120 --> 00:04:44.960]   then it's going to do a poor job at answering those questions.
[00:04:44.960 --> 00:04:53.200]   Right. And so, you know, the natural way to fix this is the case is to say, OK, base model doesn't know a lot about finance.
