
[00:00:00.040 --> 00:00:10.440]   Le
[00:00:57.640 --> 00:01:09.080]   I
[00:01:09.080 --> 00:01:25.780]   music. I have a heart,,,,,,
[00:02:24.100 --> 00:02:52.880]  venes.com/subs. So here are the instructions. Each day Monday Tuesday Wednesday Thursday and Friday starting on the 17th December 17th. You can join me at noon Eastern time at 5 6 1 4 4 0 7 3 6 2. That's what you need call in at 12 noon Eastern time Eastern time at 5 6 1 4 4 0 7 3 6 2. Each day from December 17 through whatever that Friday is I would say guess the December 22nd 5 6 1 4 4 0 7 3 6 2.
[00:02:52.880 --> 00:02:52.880]   That will connect you to the information on the screen.
[00:03:03.360 --> 00:03:21.680]   That will connect you to the information on the screen.
[00:03:21.680 --> 00:03:21.760]   That will connect you to the information on the screen.
[00:03:21.760 --> 00:03:21.820]   That will connect you to the information on the screen.
[00:03:21.820 --> 00:03:21.880]   That will connect you to the information on the screen.
[00:03:21.880 --> 00:03:21.980]   That will connect you to the information on the screen.
[00:03:21.980 --> 00:03:22.040]   That will connect you to the information on the screen.
[00:03:22.040 --> 00:03:22.080]   That will connect you to the information on the screen.
[00:03:22.080 --> 00:03:22.120]   That will connect you to the information on the screen.
[00:03:22.120 --> 00:03:22.160]   That will connect you to the information on the screen.
[00:03:22.200 --> 00:03:50.760]   coriander, no,
[00:03:52.220 --> 00:04:22.200]  視 and I'm sure there are many people who have no idea about life and disability insurances and introduction to basics and where to start and dig deeper would be great. And on trust, I see, I hear you talk a lot about trust. I know about their existence, but I wouldn't know where to start with those.
[00:04:22.200 --> 00:04:22.200]   I'm sure there are many people who have no idea about life and disability insurances and introduction to basics and where to start and dig deeper would be great. And on trust, I see, I hear you talk a lot about trust. I know about their existence, but I wouldn't know where to start with those.
[00:04:22.200 --> 00:04:22.200]   I'm sure there are many people who have no idea about life and disability insurances and introduction to basics and where to start and dig deeper would be great. And on trust, I see, I hear you talk a lot about trust. I know about their existence, but I wouldn't know where to start with those.
[00:04:22.240 --> 00:04:30.400]   in
[00:04:30.400 --> 00:04:33.100]   be the no
[00:04:33.100 --> 00:04:36.260]  product, ,,, B B Weber我們
[00:04:50.980 --> 00:05:01.280]   I
[00:05:01.280 --> 00:05:01.980]  rav, he is working, I Am I I
[00:05:01.980 --> 00:05:09.200]   next chili
[00:05:09.200 --> 00:05:19.660]  лен he
[00:06:20.760 --> 00:06:20.760]   I Am I I
[00:06:50.700 --> 00:06:50.700]   I Am I I I
[00:07:50.640 --> 00:08:00.640]   merry
[00:08:00.640 --> 00:08:20.020]   viv East, con
[00:09:20.760 --> 00:09:50.760]   gera
[00:09:50.760 --> 00:09:50.760]   And so you can't just, if you live in California and you want to say, I'm going to move to Nevada, you can't just move and buy a house in Nevada and think that that fixes everything. You have to systematically cut off all or most of your ties from California and move those ties over to the state of Nevada. So one of the most valuable things that you can do in your analysis is look at your assets and try to think about what you can do to make sure that you're not just moving to Nevada.
[00:09:50.760 --> 00:09:50.760]   You can't just move to Nevada and think that that fixes everything. You have to systematically cut off all or most of your ties from California and move those ties over to the state of Nevada. So one of the most valuable things that you can do in your analysis is look at your assets and try to think about what you can do to make sure that you're not just moving to Nevada.
[00:09:50.780 --> 00:10:20.800]   If you're traveling, your movement is more short-term in basis. Perhaps you're just moving for a short-term contract, six months here, six months there. In that case, I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things. So I think you can do a lot of things.
[00:10:20.800 --> 00:10:20.800]   So I think you can do a lot of things. So I think you can do a lot of things. So I think you can do a lot of things.
[00:10:20.840 --> 00:10:50.840]  ,
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.840 --> 00:10:50.840]   So I think you can do a lot of things.
[00:10:50.860 --> 00:11:20.860]   So I think you can do a lot of things.
[00:11:20.860 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
[00:11:20.880 --> 00:11:20.880]   So I think you can do a lot of things.
