
[00:00:00.000 --> 00:00:03.080]   [silence]
[00:00:03.080 --> 00:00:06.120]   Hangover is a constellation of effects
[00:00:06.120 --> 00:00:09.200]   ranging from headache to nausea
[00:00:09.200 --> 00:00:11.580]   to what's sometimes called anxiety,
[00:00:11.580 --> 00:00:14.860]   which is anxiety that follows a day of drinking.
[00:00:14.860 --> 00:00:19.280]   Anxiety, I think we can understand physiologically
[00:00:19.280 --> 00:00:23.940]   if we think about that process of alcohol intake
[00:00:23.940 --> 00:00:25.980]   increasing the amount of cortisol
[00:00:25.980 --> 00:00:29.600]   and the ratio of cortisol to some other stress hormones.
[00:00:29.600 --> 00:00:33.260]   That well explains why some people wake up the day after
[00:00:33.260 --> 00:00:37.800]   or even the day after a night drinking
[00:00:37.800 --> 00:00:40.480]   and feel anxious and not well and stressed
[00:00:40.480 --> 00:00:42.280]   for reasons they don't understand.
[00:00:42.280 --> 00:00:46.320]   So if you're somebody who experiences anxiety,
[00:00:46.320 --> 00:00:49.520]   then again, I refer you to the master stress episode
[00:00:49.520 --> 00:00:51.400]   that we put out some time ago
[00:00:51.400 --> 00:00:53.360]   and you can find that hubermanlab.com.
[00:00:53.360 --> 00:00:55.520]   Tools to deal with anxiety, tools to deal with stress
[00:00:55.520 --> 00:00:56.920]   ranging again from behavioral
[00:00:56.920 --> 00:00:59.920]   to nutritional supplement-based, et cetera.
[00:00:59.920 --> 00:01:02.840]   That of course is not justification for going out
[00:01:02.840 --> 00:01:03.720]   and drinking so much
[00:01:03.720 --> 00:01:07.080]   that you get anxiety-induced hangover.
[00:01:07.080 --> 00:01:09.000]   But for those of you that are experiencing
[00:01:09.000 --> 00:01:12.440]   post-alcohol consumption anxiety, as it were,
[00:01:12.440 --> 00:01:13.860]   that could be a useful resource
[00:01:13.860 --> 00:01:15.440]   because I certainly don't want anyone
[00:01:15.440 --> 00:01:18.200]   experiencing uncomfortable amounts of anxiety
[00:01:18.200 --> 00:01:20.600]   and there are great tools and resources for that.
[00:01:20.600 --> 00:01:23.160]   Now, the other aspects of hangover,
[00:01:23.160 --> 00:01:27.400]   such as the stomachache or headache
[00:01:27.400 --> 00:01:30.200]   or feelings of malaise or fogginess,
[00:01:30.200 --> 00:01:31.840]   those can be related to a number of different things
[00:01:31.840 --> 00:01:34.200]   and probably are related to a number of different things.
[00:01:34.200 --> 00:01:39.080]   First of all, the sleep that one gets after even just one,
[00:01:39.080 --> 00:01:43.000]   yes, even just one glass of wine or a beer
[00:01:43.000 --> 00:01:44.740]   is not the same sleep that you get
[00:01:44.740 --> 00:01:47.320]   when you don't have alcohol circulating in your system.
[00:01:47.320 --> 00:01:48.680]   And not trying to be a downer here,
[00:01:48.680 --> 00:01:51.720]   but this was discussed in the Huberman Lab podcast episode
[00:01:51.720 --> 00:01:55.160]   where I had Dr. Matthew Walker from UC Berkeley on,
[00:01:55.160 --> 00:01:58.880]   and of course, Dr. Walker is a world expert in sleep,
[00:01:58.880 --> 00:02:00.600]   runs one of the preeminent laboratories
[00:02:00.600 --> 00:02:02.560]   studying sleep and its effects,
[00:02:02.560 --> 00:02:05.600]   wrote the incredible book "Why We Sleep" and so on.
[00:02:05.600 --> 00:02:09.320]   Dr. Walker told me, and it certainly is supported
[00:02:09.320 --> 00:02:12.360]   by lots and lots of quality peer-reviewed studies
[00:02:12.360 --> 00:02:14.080]   in animals and in humans,
[00:02:14.080 --> 00:02:17.480]   that when alcohol is present in the brain and bloodstream,
[00:02:17.480 --> 00:02:19.320]   that the architecture of sleep is disrupted.
[00:02:19.320 --> 00:02:22.200]   Slow-wave sleep, deep sleep, and rapid eye movement sleep,
[00:02:22.200 --> 00:02:23.120]   all of which are essential
[00:02:23.120 --> 00:02:25.320]   for getting a restorative night's sleep are all disrupted.
[00:02:25.320 --> 00:02:28.760]   So for those of you that are drinking a glass or two of wine
[00:02:28.760 --> 00:02:32.760]   or having a hard liquor drink or a beer
[00:02:32.760 --> 00:02:34.440]   in order to fall asleep,
[00:02:34.440 --> 00:02:36.960]   the sleep you're getting is simply not high-quality sleep,
[00:02:36.960 --> 00:02:38.960]   or certainly not as high quality as the sleep you'd be
[00:02:38.960 --> 00:02:42.000]   getting if you did not have alcohol in your system.
[00:02:42.000 --> 00:02:43.820]   Of course, when we're talking about hangover,
[00:02:43.820 --> 00:02:46.160]   we're talking generally about the consumption
[00:02:46.160 --> 00:02:48.600]   of more than just one or two drinks.
[00:02:48.600 --> 00:02:50.360]   Of course, for some people, one or two drinks
[00:02:50.360 --> 00:02:52.260]   is probably sufficient to induce hangover,
[00:02:52.260 --> 00:02:54.960]   but for most people, it's going to be having three or four,
[00:02:54.960 --> 00:02:57.640]   exceeding their typical limit, as it's called.
[00:02:57.640 --> 00:03:00.760]   Again, not the legal limit, that's a whole other business.
[00:03:00.760 --> 00:03:04.240]   But when one ingests too much alcohol for them,
[00:03:04.240 --> 00:03:08.360]   one of the reasons they feel terrible the next day
[00:03:08.360 --> 00:03:10.400]   is because their sleep isn't really good sleep.
[00:03:10.400 --> 00:03:11.920]   In fact, it's not even sleep,
[00:03:11.920 --> 00:03:13.880]   it's often considered pseudo-sleep,
[00:03:13.880 --> 00:03:14.800]   or at least that's what it's called
[00:03:14.800 --> 00:03:16.120]   in the sleep science field,
[00:03:16.120 --> 00:03:19.080]   because people are in kind of a low-level hypnotic
[00:03:19.080 --> 00:03:20.600]   kind of trance, it's not real sleep,
[00:03:20.600 --> 00:03:22.000]   they're multiple bouts of waking up,
[00:03:22.000 --> 00:03:24.920]   they may not even realize they're waking up multiple times.
[00:03:24.920 --> 00:03:26.680]   Okay, so there's the sleep-induced effects.
[00:03:26.680 --> 00:03:30.920]   Then there are the disrupted gut microbiome effects,
[00:03:30.920 --> 00:03:32.200]   some of which we talked about earlier,
[00:03:32.200 --> 00:03:34.040]   so now you understand the mechanism
[00:03:34.040 --> 00:03:38.600]   of alcohol destroying good, healthy gut microbiota,
[00:03:38.600 --> 00:03:41.320]   which then leads to leaky gut and things of that sort.
[00:03:41.320 --> 00:03:44.040]   But one could imagine, again, could imagine,
[00:03:44.040 --> 00:03:46.800]   and there is some evidence starting to support this,
[00:03:46.800 --> 00:03:50.560]   that, again, ingesting low-sugar fermented foods
[00:03:50.560 --> 00:03:52.360]   or maybe in prebiotic or probiotic
[00:03:52.360 --> 00:03:53.800]   to support the gut microbiome
[00:03:53.800 --> 00:03:57.640]   might assist in some of the gut-related malaise
[00:03:57.640 --> 00:03:59.240]   associated with hangover.
[00:03:59.240 --> 00:04:02.480]   In other words, get those gut microbiota healthy again
[00:04:02.480 --> 00:04:03.400]   as quickly as possible,
[00:04:03.400 --> 00:04:05.120]   or maybe even before you drink,
[00:04:05.120 --> 00:04:06.400]   have those gut microbiota healthy.
[00:04:06.400 --> 00:04:07.240]   I would hope that you would do that.
[00:04:07.240 --> 00:04:08.600]   I think everybody should be doing something
[00:04:08.600 --> 00:04:09.980]   to support their gut microbiome,
[00:04:09.980 --> 00:04:11.020]   whether or not it's the ingestion
[00:04:11.020 --> 00:04:12.840]   of low-sugar fermented foods daily
[00:04:12.840 --> 00:04:14.600]   or at least on a regular basis,
[00:04:14.600 --> 00:04:17.000]   or ingestion of probiotic or prebiotic.
[00:04:17.000 --> 00:04:18.520]   The gut microbiome is so important
[00:04:18.520 --> 00:04:20.160]   for so many different things.
[00:04:20.160 --> 00:04:24.040]   In terms of hangover and headache,
[00:04:24.040 --> 00:04:27.080]   we know that that's caused by vasoconstriction,
[00:04:27.080 --> 00:04:28.560]   the constriction of blood vessels
[00:04:28.560 --> 00:04:31.960]   that tends to occur as a rebound after a night of drinking.
[00:04:31.960 --> 00:04:33.840]   Alcohol can act as a vasodilator.
[00:04:33.840 --> 00:04:35.120]   It can dilate the blood vessels.
[00:04:35.120 --> 00:04:38.360]   Part of that is associated with the increase
[00:04:38.360 --> 00:04:40.380]   in so-called parasympathetic tone.
[00:04:40.380 --> 00:04:41.840]   We have an autonomic nervous system.
[00:04:41.840 --> 00:04:43.980]   It's got a sympathetic component.
[00:04:43.980 --> 00:04:46.240]   These are neurons that make us more alert.
[00:04:46.240 --> 00:04:48.600]   And if they're very active, they make us very stressed.
[00:04:48.600 --> 00:04:51.700]   There's also the parasympathetic aspect
[00:04:51.700 --> 00:04:52.720]   of the autonomic nervous system.
[00:04:52.720 --> 00:04:54.220]   This is all just fancy geek speak
[00:04:54.220 --> 00:04:56.000]   for the parts of your brain and body,
[00:04:56.000 --> 00:04:57.640]   the nerve cells that make you very relaxed.
[00:04:57.640 --> 00:05:01.760]   When you're very relaxed, there tends to be vasodilation.
[00:05:01.760 --> 00:05:04.080]   It allows for more movement of blood
[00:05:04.080 --> 00:05:06.480]   and other things through the bloodstream.
[00:05:06.480 --> 00:05:09.720]   And alcohol tends to induce some vasodilation,
[00:05:09.720 --> 00:05:11.400]   at least in some of the capillary beds.
[00:05:11.400 --> 00:05:13.400]   And then when the alcohol wears off,
[00:05:13.400 --> 00:05:17.160]   there's a vasoconstriction and people get brutal headaches.
[00:05:17.160 --> 00:05:20.000]   That's why some people will take aspirin or Tylenol
[00:05:20.000 --> 00:05:22.500]   or Advil or things like that,
[00:05:22.500 --> 00:05:24.920]   the sort of non-steroid anti-inflammatories.
[00:05:24.920 --> 00:05:27.640]   I should mention, there's a lot of literature coming out
[00:05:27.640 --> 00:05:31.360]   that some of these non-steroid anti-inflammatory drugs
[00:05:31.360 --> 00:05:33.560]   are not good for us for a number of different reasons.
[00:05:33.560 --> 00:05:35.400]   The way they impact the liver,
[00:05:35.400 --> 00:05:37.360]   the way they impact the immune system,
[00:05:37.360 --> 00:05:40.920]   and no surprise, the way they impact the gut microbiome.
[00:05:40.920 --> 00:05:43.480]   So I'm not one to tell you what medications
[00:05:43.480 --> 00:05:44.420]   to take or not take,
[00:05:44.420 --> 00:05:46.820]   but you certainly would want to do a quick web search
[00:05:46.820 --> 00:05:51.820]   of effects of non-steroid anti-inflammatories and aspirin
[00:05:51.820 --> 00:05:54.000]   before you start taking those
[00:05:54.000 --> 00:05:56.700]   or stop taking those for that matter.
[00:05:56.700 --> 00:05:58.200]   Generally, they will alleviate headache,
[00:05:58.200 --> 00:05:59.960]   but they can often have other issues,
[00:05:59.960 --> 00:06:00.880]   including liver issues.
[00:06:00.880 --> 00:06:02.880]   And keep in mind the night after drinking,
[00:06:02.880 --> 00:06:05.040]   your liver has already taken a beating
[00:06:05.040 --> 00:06:09.600]   because of the need of the liver to convert alcohol
[00:06:09.600 --> 00:06:11.880]   from acetaldehyde into acetate,
[00:06:11.880 --> 00:06:14.080]   which is now a pathway that you well understand.
[00:06:14.080 --> 00:06:15.720]   So I'm not certain.
[00:06:15.720 --> 00:06:17.620]   And in fact, I believe it's not the greatest idea
[00:06:17.620 --> 00:06:21.560]   to burden your liver further through the use of things
[00:06:21.560 --> 00:06:24.040]   that are going to cause it to have to work harder
[00:06:24.040 --> 00:06:25.080]   and metabolize things
[00:06:25.080 --> 00:06:27.740]   if the goal is simply to alleviate a headache.
[00:06:27.740 --> 00:06:31.000]   There's a lot of kind of lore, old school lore
[00:06:31.000 --> 00:06:32.120]   about how to relieve a hangover.
[00:06:32.120 --> 00:06:35.120]   We already talked about how eating food won't do that,
[00:06:35.120 --> 00:06:38.680]   but eating food will prevent the rapid absorption
[00:06:38.680 --> 00:06:40.960]   of even more alcohol into the bloodstream.
[00:06:40.960 --> 00:06:44.720]   There's the lore that one should simply ingest more alcohol.
[00:06:44.720 --> 00:06:46.320]   What terrible advice that is.
