
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   - Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.900]   where we discuss science and science-based tools
[00:00:04.900 --> 00:00:05.920]   for everyday life.
[00:00:05.920 --> 00:00:10.740]   My name is Andrew Huberman,
[00:00:10.740 --> 00:00:13.900]   and I'm a professor of neurobiology and ophthalmology
[00:00:13.900 --> 00:00:15.860]   at Stanford School of Medicine.
[00:00:15.860 --> 00:00:17.140]   This podcast is separate
[00:00:17.140 --> 00:00:19.460]   from my teaching and research roles at Stanford.
[00:00:19.460 --> 00:00:21.840]   It is, however, part of my desire and effort
[00:00:21.840 --> 00:00:24.660]   to bring zero cost to consumer information about science
[00:00:24.660 --> 00:00:27.780]   and science-related tools to the general public.
[00:00:27.780 --> 00:00:29.380]   In keeping with that theme,
[00:00:29.380 --> 00:00:32.420]   I want to thank the first sponsor of today's podcast.
[00:00:32.420 --> 00:00:34.920]   Our first sponsor is Inside Tracker.
[00:00:34.920 --> 00:00:37.840]   Inside Tracker is a personalized nutrition platform
[00:00:37.840 --> 00:00:41.780]   that analyzes blood factors and DNA-related factors
[00:00:41.780 --> 00:00:45.200]   that helps you develop a personalized health plan.
[00:00:45.200 --> 00:00:48.300]   Many important factors related to our health and wellbeing
[00:00:48.300 --> 00:00:52.740]   can only be measured by a blood sample and by a DNA sample.
[00:00:52.740 --> 00:00:55.580]   I've been getting my blood work done for many years now,
[00:00:55.580 --> 00:00:57.060]   and I use Inside Tracker
[00:00:57.060 --> 00:00:59.760]   because Inside Tracker makes it very easy
[00:00:59.760 --> 00:01:01.860]   to not only get the blood work done,
[00:01:01.860 --> 00:01:03.140]   someone can come to your house,
[00:01:03.140 --> 00:01:05.420]   or you can go to a clinic, for instance,
[00:01:05.420 --> 00:01:08.100]   but also to interpret the data that you get.
[00:01:08.100 --> 00:01:10.260]   Oftentimes, when we get blood work done,
[00:01:10.260 --> 00:01:11.980]   there are all these numbers and all these levels
[00:01:11.980 --> 00:01:14.520]   of different hormones and metabolic factors and so forth,
[00:01:14.520 --> 00:01:17.420]   but one doesn't know what to do with that information.
[00:01:17.420 --> 00:01:20.260]   Inside Tracker has a terrific dashboard platform
[00:01:20.260 --> 00:01:23.740]   where you go online and it makes analyzing all that easy,
[00:01:23.740 --> 00:01:25.860]   and it also provides some very simple
[00:01:25.860 --> 00:01:29.420]   and straightforward directives in terms of exercise,
[00:01:29.420 --> 00:01:31.640]   nutrition, and other lifestyle factors
[00:01:31.640 --> 00:01:34.660]   that can help guide your health and improve your health.
[00:01:34.660 --> 00:01:36.480]   If you'd like to try Inside Tracker,
[00:01:36.480 --> 00:01:39.740]   you can go to insidetracker.com/huberman
[00:01:39.740 --> 00:01:41.820]   and use the code HUBERMAN at checkout
[00:01:41.820 --> 00:01:44.700]   to get 25% off your order.
[00:01:44.700 --> 00:01:47.660]   Today's episode is also brought to us by Headspace.
[00:01:47.660 --> 00:01:51.180]   Headspace is a meditation app that makes meditating easy.
[00:01:51.180 --> 00:01:54.480]   I've been meditating on and off for about three decades now,
[00:01:54.480 --> 00:01:57.100]   and typically, it's been more off than on.
[00:01:57.100 --> 00:01:58.220]   I think like a lot of people,
[00:01:58.220 --> 00:02:01.260]   I find it hard to stick with a meditation practice.
[00:02:01.260 --> 00:02:04.020]   A few years ago, I started using the Headspace app,
[00:02:04.020 --> 00:02:05.000]   and when I did that,
[00:02:05.000 --> 00:02:07.520]   I found that I was meditating really consistently.
[00:02:07.520 --> 00:02:09.640]   First of all, the meditations in Headspace
[00:02:09.640 --> 00:02:12.840]   are backed by quality scientific peer-reviewed studies.
[00:02:12.840 --> 00:02:16.100]   Second of all, the meditations allow the meditation
[00:02:16.100 --> 00:02:19.080]   to be kind of easy and fun to access.
[00:02:19.080 --> 00:02:21.340]   I started first using them when I would travel
[00:02:21.340 --> 00:02:24.520]   because on JetBlue flights, which was the airline I was using
[00:02:24.520 --> 00:02:27.640]   the meditations are offered as an alternative
[00:02:27.640 --> 00:02:29.680]   to watching a TV or a movie.
[00:02:29.680 --> 00:02:31.880]   And I found that I would arrive feeling much more refreshed
[00:02:31.880 --> 00:02:34.380]   than had I just sort of zoned out on the TV the whole time,
[00:02:34.380 --> 00:02:36.380]   or even if I had slept.
[00:02:36.380 --> 00:02:38.920]   I now continue to use Headspace regularly
[00:02:38.920 --> 00:02:41.240]   pretty much every day for a short meditation,
[00:02:41.240 --> 00:02:44.300]   and I personally derive tremendous benefits from it.
[00:02:44.300 --> 00:02:46.120]   If you'd like to try Headspace,
[00:02:46.120 --> 00:02:49.440]   you can go to headspace.com/specialoffer,
[00:02:49.440 --> 00:02:52.520]   and they'll give you one month of all the meditations
[00:02:52.520 --> 00:02:54.380]   that they have available completely free.
[00:02:54.380 --> 00:02:57.120]   That's the best offer available right now from Headspace.
[00:02:57.120 --> 00:03:00.000]   So you can go to headspace.com/specialoffer,
[00:03:00.000 --> 00:03:02.100]   and you'll get one month completely free
[00:03:02.100 --> 00:03:04.240]   all the meditations they have.
[00:03:04.240 --> 00:03:07.020]   The third sponsor of today's podcast is Made For.
[00:03:07.020 --> 00:03:09.260]   Made For is a behavioral science company
[00:03:09.260 --> 00:03:11.060]   that is a subscription model
[00:03:11.060 --> 00:03:13.200]   in which you engage in specific activities
[00:03:13.200 --> 00:03:14.780]   each month for 10 months
[00:03:14.780 --> 00:03:17.220]   in order to bring about positive behavioral change
[00:03:17.220 --> 00:03:18.840]   and growth mindset.
[00:03:18.840 --> 00:03:22.040]   The company was founded by former Navy Seal Patrick Dossett,
[00:03:22.040 --> 00:03:25.600]   as well as Tom's founder, Blake Mycoskie.
[00:03:25.600 --> 00:03:26.560]   I'm the lead advisor
[00:03:26.560 --> 00:03:28.660]   of the Scientific Advisory Board at Made For,
[00:03:28.660 --> 00:03:30.440]   and some of the other members of the advisory board
[00:03:30.440 --> 00:03:32.400]   include the head of the Chronobiology Unit
[00:03:32.400 --> 00:03:34.220]   at the National Institutes of Health,
[00:03:34.220 --> 00:03:37.720]   as well as psychiatrists from Harvard, UC Irvine,
[00:03:37.720 --> 00:03:40.660]   and many other individuals who are serious about science
[00:03:40.660 --> 00:03:43.360]   and helped develop the Made For program.
[00:03:43.360 --> 00:03:47.160]   If you want to try Made For, you can go to getmadefor.com,
[00:03:47.160 --> 00:03:49.240]   and if you enter Huberman at checkout,
[00:03:49.240 --> 00:03:51.360]   you'll get 15% off the program.
[00:03:51.360 --> 00:03:54.800]   Today, we're talking about neuroplasticity,
[00:03:54.800 --> 00:03:58.180]   which is this incredible feature of our nervous systems
[00:03:58.180 --> 00:04:01.880]   that allows it to change in response to experience.
[00:04:01.880 --> 00:04:03.800]   Neuroplasticity is arguably
[00:04:03.800 --> 00:04:07.120]   one of the most important aspects of our biology.
[00:04:07.120 --> 00:04:09.680]   It holds the promise for each and all of us
[00:04:09.680 --> 00:04:13.280]   to think differently, to learn new things,
[00:04:13.280 --> 00:04:15.800]   to forget painful experiences,
[00:04:15.800 --> 00:04:19.480]   and to essentially adapt to anything that life brings us
[00:04:19.480 --> 00:04:20.700]   by becoming better.
[00:04:20.700 --> 00:04:24.560]   Neuroplasticity has a long and important history,
[00:04:24.560 --> 00:04:27.100]   and we're not going to review all of it in detail,
[00:04:27.100 --> 00:04:29.040]   but today, what we are going to do
[00:04:29.040 --> 00:04:32.360]   is discuss what is neuroplasticity,
[00:04:32.360 --> 00:04:35.480]   as well as the different forms of neuroplasticity.
[00:04:35.480 --> 00:04:39.080]   We're going to talk about how to access neuroplasticity
[00:04:39.080 --> 00:04:40.580]   depending on how old you are
[00:04:40.580 --> 00:04:42.500]   and depending on the specific types of changes
[00:04:42.500 --> 00:04:44.560]   that you're trying to create.
[00:04:44.560 --> 00:04:47.860]   This is a topic for which there are lots of tools,
[00:04:47.860 --> 00:04:50.280]   as well as lots of biological principles
[00:04:50.280 --> 00:04:51.800]   that we can discuss.
[00:04:51.800 --> 00:04:53.640]   So let's get started.
[00:04:53.640 --> 00:04:56.840]   Most people are familiar with the word neuroplasticity.
[00:04:56.840 --> 00:04:59.980]   It's sometimes also called neuroplasticity.
[00:04:59.980 --> 00:05:01.560]   Those are the same thing.
[00:05:01.560 --> 00:05:05.320]   So if I say neuroplasticity or neuroplasticity,
[00:05:05.320 --> 00:05:07.400]   I'm referring to the same process,
[00:05:07.400 --> 00:05:09.920]   which is the brain and nervous system's ability
[00:05:09.920 --> 00:05:12.440]   to change itself.
[00:05:12.440 --> 00:05:15.080]   There are a lot of reasons why the nervous system
[00:05:15.080 --> 00:05:16.720]   would do this.
[00:05:16.720 --> 00:05:20.860]   It could do it in response to some traumatic event.
[00:05:20.860 --> 00:05:23.680]   It could, for instance, create a sense of fear
[00:05:23.680 --> 00:05:25.040]   around a particular place
[00:05:25.040 --> 00:05:27.600]   or a fear of automobiles or planes.
[00:05:27.600 --> 00:05:30.640]   It could also occur when something positive happens,
[00:05:30.640 --> 00:05:32.800]   like the birth of our first child,
[00:05:32.800 --> 00:05:35.640]   or when our puppy does something amusing,
[00:05:35.640 --> 00:05:40.540]   or we see an incredible feat of performance in athleticism.
[00:05:41.600 --> 00:05:44.480]   The word neuroplasticity means so many things
[00:05:44.480 --> 00:05:45.720]   to so many different people
[00:05:45.720 --> 00:05:46.720]   that I thought it would be important
[00:05:46.720 --> 00:05:49.840]   to just first put a little bit of organizational logic
[00:05:49.840 --> 00:05:52.300]   around what it is and how it happens.
[00:05:52.300 --> 00:05:54.420]   Because nowadays, if you were to go online
[00:05:54.420 --> 00:05:56.800]   and Google the word neuroplasticity,
[00:05:56.800 --> 00:06:00.400]   you would find hundreds of thousands of references,
[00:06:00.400 --> 00:06:03.240]   scientific references, as well as a lot of falsehoods
[00:06:03.240 --> 00:06:06.440]   about what neuroplasticity is and how to access it.
[00:06:06.440 --> 00:06:07.280]   As I mentioned before,
[00:06:07.280 --> 00:06:08.840]   we're going to talk about the science of it,
[00:06:08.840 --> 00:06:10.040]   and we're going to talk about the tools
[00:06:10.040 --> 00:06:12.680]   that allow you to engage this incredible feature
[00:06:12.680 --> 00:06:13.920]   of your nervous system.
[00:06:13.920 --> 00:06:15.040]   And that's the first point,
[00:06:15.040 --> 00:06:18.220]   which is that all of us were born with a nervous system
[00:06:18.220 --> 00:06:20.440]   that isn't just capable of change,
[00:06:20.440 --> 00:06:23.440]   but was designed to change.
[00:06:23.440 --> 00:06:24.980]   When we enter the world,
[00:06:24.980 --> 00:06:30.600]   our nervous system is primed for learning.
[00:06:30.600 --> 00:06:33.720]   The brain and nervous system of a baby
[00:06:33.720 --> 00:06:36.120]   is wired very crudely.
[00:06:36.120 --> 00:06:38.400]   The connections are not precise,
[00:06:38.400 --> 00:06:41.800]   and we can see evidence of that in the fact that babies
[00:06:41.800 --> 00:06:42.980]   are kind of flopping there
[00:06:42.980 --> 00:06:45.180]   like a kind of a little potato bug with limbs.
[00:06:45.180 --> 00:06:48.180]   They can't really do much in terms of coordinated movement.
[00:06:48.180 --> 00:06:50.240]   They certainly can't speak,
[00:06:50.240 --> 00:06:53.480]   and they can't really do anything with precision.
[00:06:53.480 --> 00:06:57.960]   And that's because we come into this world over-connected.
[00:06:57.960 --> 00:06:59.400]   We have essentially wires.
[00:06:59.400 --> 00:07:01.720]   Those wires have names like axons and dendrites.
[00:07:01.720 --> 00:07:03.320]   Those are the different parts of the neurons
[00:07:03.320 --> 00:07:04.800]   discussed in episode one.
[00:07:04.800 --> 00:07:07.520]   But those little parts and those wires and connections
[00:07:07.520 --> 00:07:09.040]   are everywhere.
[00:07:09.040 --> 00:07:11.040]   Imagine a bunch of roads
[00:07:11.040 --> 00:07:14.120]   that are all connected to one another in kind of a mess,
[00:07:14.120 --> 00:07:15.880]   but there are no highways.
[00:07:15.880 --> 00:07:17.080]   They're all just small roads.
[00:07:17.080 --> 00:07:19.760]   That's essentially what the young nervous system is like.
[00:07:19.760 --> 00:07:21.660]   And then as we mature,
[00:07:21.660 --> 00:07:26.660]   as we go from day one of life to 10 years old,
[00:07:26.660 --> 00:07:28.880]   20 years old, 30 years old,
