
[00:00:00.000 --> 00:00:05.780]   Happy Friday.
[00:00:05.780 --> 00:00:09.580]   Today's question comes from a young man who listens regularly.
[00:00:09.580 --> 00:00:12.060]   "Hello Pastor John, thanks for the podcast.
[00:00:12.060 --> 00:00:14.320]   Here's the dilemma I face right now.
[00:00:14.320 --> 00:00:20.980]   My wife's best friend is also a lesbian and was recently engaged to marry another woman.
[00:00:20.980 --> 00:00:25.580]   My wife and I are unified in our decision that we will not be able to attend their wedding
[00:00:25.580 --> 00:00:30.220]   based on all the things you talked about back in episode 191.
[00:00:30.220 --> 00:00:34.760]   However we have heterosexual friends who are getting married too who are currently living
[00:00:34.760 --> 00:00:37.600]   together and sleeping together before marriage.
[00:00:37.600 --> 00:00:42.200]   I think we would attend this wedding without hesitation but my question to you is this,
[00:00:42.200 --> 00:00:46.720]   are we inconsistent to not attend a homosexual wedding because we do not affirm their sexual
[00:00:46.720 --> 00:00:52.200]   lifestyle yet be willing to attend a heterosexual wedding of unbelievers whose lifestyle of
[00:00:52.200 --> 00:00:55.640]   premarital sex we also cannot affirm?"
[00:00:55.640 --> 00:00:58.720]   Pastor John, what would you say to this couple?
[00:00:58.720 --> 00:01:08.000]   It may be or it may not be inconsistent depending on other factors.
[00:01:08.000 --> 00:01:16.760]   So let me draw out something that may be implicit in what this young man is asking and the paths
[00:01:16.760 --> 00:01:24.000]   of relationship he's pursuing or not with both kinds of couples.
[00:01:24.000 --> 00:01:32.400]   What I would want to be sure to say is that not attending the so-called wedding of a so-called
[00:01:32.400 --> 00:01:40.760]   marriage between two men or two women is not the last word about the relationship that
[00:01:40.760 --> 00:01:42.320]   you may have with these people.
[00:01:42.320 --> 00:01:46.480]   In other words, it may be exactly the right thing to do.
[00:01:46.480 --> 00:01:52.120]   I think it generally is not to be affirming of that kind of relationship by attending
[00:01:52.120 --> 00:02:00.180]   that ceremony and yet it may be the right thing to do to continue showing principled
[00:02:00.180 --> 00:02:06.560]   kindness to those folks in the hope of revealing the truth of Christ.
[00:02:06.560 --> 00:02:15.240]   So I just want to make sure that not attending the ceremony is not the entire extent of our
[00:02:15.240 --> 00:02:20.760]   moral duty in Christ toward these people.
[00:02:20.760 --> 00:02:26.120]   If they are professing Christians, that makes the relationship all the more difficult and
[00:02:26.120 --> 00:02:35.000]   complicated since the Bible says we are to disassociate from brothers, professing brothers,
[00:02:35.000 --> 00:02:39.240]   who live in this kind of sin, 1 Corinthians 5:11.
[00:02:39.240 --> 00:02:46.640]   But if they are not professing Christians, there may be numerous ways in which we can
[00:02:46.640 --> 00:02:53.400]   extend the grace of God toward them in the hope of conversion.
[00:02:53.400 --> 00:03:01.520]   And similarly, with regard to the heterosexual couple whose wedding we do attend, that should
[00:03:01.520 --> 00:03:10.200]   not be conceived of as the last thing we do to put truth in their lives or to bring exhortation
[00:03:10.200 --> 00:03:14.600]   and admonition and conviction for their sin.
[00:03:14.600 --> 00:03:24.720]   Now having said all that, I think it is ordinarily wrong to attend the ceremony of the so-called
[00:03:24.720 --> 00:03:33.320]   gay marriage, but ordinarily right to attend the ceremony of a couple who has been living
