
[00:00:00.040 --> 00:00:10.560]   found
[00:00:28.840 --> 00:00:42.160]   Legal planning to make it harder for a creditor to collect against you.
[00:00:42.160 --> 00:00:47.320]   And I defended the idea that it is both legal and moral for you to make your assets hard to seize.
[00:00:47.320 --> 00:00:52.960]   And in episode part three of this series, I laid out for you the problem that we're protecting against.
[00:00:52.960 --> 00:00:56.400]   And the summary thesis of that show was simply,
[00:00:56.400 --> 00:00:57.640]   it's not good enough for you to expect to be a protector of your assets.
[00:00:57.640 --> 00:00:57.640]   It's not good enough for you to expect to be a protector of your assets.
[00:00:57.640 --> 00:00:57.680]   It's not good enough for you to expect to be a protector of your assets.
[00:00:57.680 --> 00:00:57.800]   It's not good enough for you to expect to be a protector of your assets.
[00:00:57.800 --> 00:00:57.880]   It's not good enough for you to expect to be a protector of your assets.
[00:00:57.880 --> 00:00:57.980]   It's not good enough for you to expect to be a protector of your assets.
[00:00:57.980 --> 00:00:58.020]   It's not good enough for you to expect to be a protector of your assets.
[00:00:58.840 --> 00:01:27.240]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.240 --> 00:01:27.460]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.460 --> 00:01:27.480]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.480 --> 00:01:27.500]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.500 --> 00:01:27.520]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.520 --> 00:01:27.540]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.540 --> 00:01:27.600]   It's not good enough for you to expect to be a protector of your assets.
[00:01:27.600 --> 00:01:27.640]   It's not good enough for you to be a protector of your assets.
[00:01:27.640 --> 00:01:27.660]   It's not good enough for you to be a protector of your assets.
[00:01:27.660 --> 00:01:27.660]   It's not good enough for you to be a protector of your assets. It's not good enough for you to be a protector of your assets.
[00:01:27.680 --> 00:01:57.300]   It's not good enough for you to be a protector of your assets.
[00:01:57.300 --> 00:01:57.300]   It's not good enough for you to be a protector of your assets.
[00:01:57.300 --> 00:01:57.340]   It's not good enough for you to be a protector of your assets.
[00:01:57.340 --> 00:01:57.400]   It's not good enough for you to be a protector of your assets.
[00:01:57.400 --> 00:01:57.460]   It's not good enough for you to be a protector of your assets.
[00:01:57.460 --> 00:01:57.500]   It's not good enough for you to be a protector of your assets.
[00:01:57.500 --> 00:01:57.520]   It's not good enough for you to be a protector of your assets.
[00:01:57.520 --> 00:01:57.540]   It's not good enough for you to be a protector of your assets.
[00:01:57.540 --> 00:01:57.560]   It's not good enough for you to be a protector of your assets.
[00:01:57.560 --> 00:01:57.580]   It's not good enough for you to be a protector of your assets.
[00:01:57.580 --> 00:01:57.600]   It's not good enough for you to be a protector of your assets.
[00:01:57.600 --> 00:01:57.660]   It's not good enough for you to be a protector of your assets.
[00:01:57.700 --> 00:02:27.680]  ,
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.680 --> 00:02:27.680]   It's not good enough for you to be a protector of your assets.
[00:02:27.700 --> 00:02:57.700]   The first time that we come in contact with somebody who is seeking to take all of our money because they believe that we have wronged them is when the lawsuit is served or when we first get an inkling of it.
[00:02:57.700 --> 00:02:57.700]   And that's the first time that we come in contact with somebody who is seeking to take all of our money because they believe that we have wronged them is when the lawsuit is served or when we first get an inkling of it.
[00:02:57.700 --> 00:02:57.700]   And that's the first time that we come in contact with somebody who is seeking to take all of our money because they believe that we have wronged them is when the lawsuit is served or when we first get an inkling of it.
[00:02:57.700 --> 00:02:57.700]   And that's the first time that we come in contact with somebody who is seeking to take all of our money because they believe that we have wronged them is when the lawsuit is served or when we first get an inkling of it.
[00:02:57.740 --> 00:03:27.720]  ,
[00:03:27.720 --> 00:03:27.720]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:27.720 --> 00:03:27.720]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:27.720 --> 00:03:27.720]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:27.720 --> 00:03:27.720]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:27.720 --> 00:03:27.720]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:27.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.740 --> 00:03:57.740]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:03:57.780 --> 00:04:27.760]  ,
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.760 --> 00:04:27.760]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:27.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.780 --> 00:04:57.780]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:04:57.820 --> 00:05:27.800]  ,
[00:05:27.800 --> 00:05:27.800]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:27.800 --> 00:05:27.800]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:27.800 --> 00:05:27.800]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:27.800 --> 00:05:27.800]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:27.800 --> 00:05:27.800]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:27.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:05:57.820]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:05:57.820 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.840 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.840 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.840 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.840 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.840 --> 00:06:27.840]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:27.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:06:57.860]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:06:57.860 --> 00:07:27.880]  ,
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.880 --> 00:07:27.880]   You must put in place the strategies that will shelter and protect your assets in order for asset protection planning to be maximally effective.
[00:07:27.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.900 --> 00:07:57.900]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:07:57.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:27.920 --> 00:08:27.920]   The things that you have to do far in advance of ever needing it for it to be maximally effective.
[00:08:27.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:08:57.940 --> 00:08:57.940]   The things that you have to do far in advance of ever needing it for it to be maximally effective.
[00:08:57.980 --> 00:09:27.960]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:27.960 --> 00:09:27.960]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:27.960 --> 00:09:27.960]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:27.960 --> 00:09:27.960]   The things that you have to do far in advance of ever needing it in advance of ever needing it in order for it to be maximally effective.
[00:09:27.960 --> 00:09:27.960]   The things that you have to advance of ever needing it in advance of ever needing it in order for it to be maximally effective.
[00:09:27.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:57.980 --> 00:09:57.980]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:09:58.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:28.000 --> 00:10:28.000]   The things that you have to do far in advance of ever needing it in order to be maximally effective.
[00:10:28.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.020 --> 00:10:58.020]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:10:58.060 --> 00:11:28.040]   the things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.040 --> 00:11:28.040]   The things that you have to do far in advance of ever needing it in order for it to be maximally effective.
[00:11:28.060 --> 00:11:58.060]   You can come up with 32 cents to try to paint your car.
[00:11:58.060 --> 00:11:58.060]   You can come up with 32 cents to try to paint your car.
[00:11:58.060 --> 00:11:58.060]   You can come up with 32 cents to try to paint your car.
[00:11:58.060 --> 00:11:58.060]   It's absurd.
[00:11:58.060 --> 00:11:58.060]   They don't have money and so you're not going to pursue that very far.
[00:11:58.060 --> 00:11:58.060]   You're not going to pursue that very far.
[00:11:58.060 --> 00:11:58.060]   But you would pursue your claim against the person who's driving the wealthy person is driving a nice car.
[00:11:58.060 --> 00:11:58.060]   You would pursue your claim against the person who's driving the wealthy person is driving a nice car.
[00:11:58.060 --> 00:11:58.060]   You would pursue it until you're satisfied until your car is made right.
[00:11:58.060 --> 00:11:58.060]   You would pursue it until you're satisfied until your car is made right.
[00:11:58.060 --> 00:12:28.080]   A good car.
[00:12:28.080 --> 00:12:28.080]   You would pursue it until you're satisfied until your car is made right.
[00:12:28.080 --> 00:12:58.100]   a good car.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until your car is made right.
[00:12:58.100 --> 00:12:58.100]   You would pursue it until you're satisfied until you're satisfied until your car is made right.
[00:12:58.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
