
[00:00:00.000 --> 00:00:04.640]   I've spent hundreds of hours figuring out the right credit cards to maximize the value I get
[00:00:04.640 --> 00:00:09.740]   from every dollar I spend. Whether it's travel, groceries, dining, or really anything. Today I'm
[00:00:09.740 --> 00:00:15.300]   sharing exactly what's in my wallet in 2025, reviewing each card as I go and breaking down
[00:00:15.300 --> 00:00:20.500]   the frameworks I use to evaluate new cards and decide which ones to keep or cut. I'll also run
[00:00:20.500 --> 00:00:25.300]   through every major spending category to identify the best cards for each and see if there are any
[00:00:25.300 --> 00:00:30.640]   gaps in my own setup. Whether you're optimizing for points, cashback, perks, or just simplicity,
[00:00:30.640 --> 00:00:35.260]   this episode will help you build a wallet that actually works for you. I'm Chris Hutchins. If
[00:00:35.260 --> 00:00:39.420]   you enjoy this episode, please share it with a friend or leave a comment or review. And if you
[00:00:39.420 --> 00:00:43.260]   want to keep upgrading your life, money, and travel, click follow or subscribe.
[00:00:43.260 --> 00:00:49.520]   All right. So I am excited to talk about what's in my wallet this year. We're in 2025, recording this
[00:00:49.520 --> 00:00:54.700]   on June 4th. The irony here is I don't actually carry a wallet, right? Well, technically I do.
[00:00:54.700 --> 00:00:59.800]   I carry this MOFT wallet that attaches to an iPhone. It really only holds two cards and a driver's
[00:00:59.800 --> 00:01:07.700]   license. I do have this giant book that has tons and tons of cards in it, like back to back to back
[00:01:07.700 --> 00:01:12.520]   to back. So this is where I keep all of my credit cards. I will put a link in the show notes if you
[00:01:12.520 --> 00:01:18.460]   have a bunch of cards and need something. It was the best one I've tried of a few things. So what is
[00:01:18.460 --> 00:01:24.860]   actually in my wallet is usually the Amex gold card and the bank of America travel rewards card,
[00:01:24.860 --> 00:01:31.020]   just a everything card and a, you know, four X on dining and groceries. Mostly because dining seems
[00:01:31.020 --> 00:01:36.900]   to be the one category where I need a physical card and then a everything catch all card. If I'm
[00:01:36.900 --> 00:01:41.940]   traveling and I grab a bunch of things, um, but most of the time I can use Apple pay. So just because I
[00:01:41.940 --> 00:01:46.680]   only have two cards on me doesn't mean I don't have every single card I have that I can in my
[00:01:46.680 --> 00:01:51.440]   Apple pay account. So as I go through this episode, I want to flag that I'm going to mention a lot of
