
[00:00:00.000 --> 00:00:05.200]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.200 --> 00:00:09.800]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.800 --> 00:00:14.800]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.800 --> 00:00:18.000]   ♪ These are a few of my favorite things ♪
[00:00:18.000 --> 00:00:24.800]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.800 --> 00:00:27.300]   Ralphs. Fresh for everyone.
[00:00:27.300 --> 00:00:38.300]   How to pay for college a little bit more radically. Part 1 of the series.
[00:00:38.300 --> 00:00:54.300]   ♪
[00:00:54.300 --> 00:00:59.300]   Welcome to the Radical Personal Finance Podcast. Thank you for being here. My name is Joshua Sheets.
[00:00:59.300 --> 00:01:03.300]   Today is Wednesday, October the 8th, 2014.
[00:01:03.300 --> 00:01:12.300]   And today we're going to talk about some, maybe a slightly more radical approach to saving and paying for a college education.
[00:01:12.300 --> 00:01:18.300]   But we're going to start, not with 18-year-olds, but with babies.
[00:01:18.300 --> 00:01:27.300]   ♪
[00:01:27.300 --> 00:01:35.300]   And although you might be saying, thinking, and expecting that I'm going to lead off by instructing you to start funding your kid's college education account today,
[00:01:35.300 --> 00:01:44.300]   even if they're still in utero, or if they are just newly born, and although that would probably be a good idea, I'm actually not going to start there.
[00:01:44.300 --> 00:01:50.300]   I'm actually going to start with turning this whole education question on its head.
[00:01:50.300 --> 00:01:55.300]   And I'm going to start not with teaching 18-year-olds, but actually with teaching babies.
[00:01:55.300 --> 00:01:57.300]   And I hope you find this interesting.
[00:01:57.300 --> 00:02:06.300]   Now, quick disclaimer before we begin. I'm going to lay out for you in today's show, I'm going to lay out for you why I'm doing this series of shows.
[00:02:06.300 --> 00:02:08.300]   How I'm going to approach it.
[00:02:08.300 --> 00:02:14.300]   I'm going to tell you just a little bit of my background and how I've been learning about infant education.
[00:02:14.300 --> 00:02:17.300]   And then I'm going to lay out for you the scope of these shows.
[00:02:17.300 --> 00:02:23.300]   So, give me a chance, but I do actually need to start by telling you how I expect this series to go.
[00:02:23.300 --> 00:02:33.300]   One of the questions that I get as a financial planner most often is, how do I save in an intelligent way for my kid's college education?
[00:02:33.300 --> 00:02:35.300]   Or how do I pay for my kid's college education?
[00:02:35.300 --> 00:02:41.300]   I have rarely met a parent who isn't thinking or concerned about this in our modern society.
[00:02:41.300 --> 00:02:43.300]   It's a big question that many people have.
[00:02:43.300 --> 00:02:45.300]   Very big question.
[00:02:45.300 --> 00:02:52.300]   And usually, people are looking for a technical answer to that question.
[00:02:52.300 --> 00:03:00.300]   And frankly, that's the only part of this whole education thing that I probably am actually an expert on, is the technical part of saving for education.
[00:03:00.300 --> 00:03:04.300]   The rest of this, I am not an expert. I'm just simply an interested person, an interested observer.
[00:03:04.300 --> 00:03:10.300]   And that's the role that I'm going to take in these shows, is not actually as an expert by any account, just simply as someone who's learning.
[00:03:10.300 --> 00:03:16.300]   And I'm going to share with you some ideas that I think are interesting and valuable, and you can judge for yourself.
[00:03:16.300 --> 00:03:21.300]   But the problem that I learned is that the whole saving for college thing just simply doesn't work.
[00:03:21.300 --> 00:03:23.300]   It really doesn't, just like retirement.
[00:03:23.300 --> 00:03:27.300]   Now, it's not that it can't work, as I say all the time.
[00:03:27.300 --> 00:03:29.300]   Not that it can't work, just that it doesn't work.
[00:03:29.300 --> 00:03:43.300]   I have yet, in six years of financial planning professionally, I have yet to meet somebody who is a parent who started saving for their kid's college education using an educational savings account of some type,
[00:03:43.300 --> 00:03:49.300]   whether that was a Coverdell educational savings account or a 529 plan or something like that,
[00:03:49.300 --> 00:03:55.300]   who has used that account and that account alone to pay for all of their child's expenses.
[00:03:55.300 --> 00:04:03.300]   Many people have funded some of their kid's education with that, but there's always an additional amount that's necessary or that's needed.
[00:04:03.300 --> 00:04:10.300]   And so that's thing one that you have to learn, is that people often don't really save for the full amount of the college, nor necessarily should they.
[00:04:10.300 --> 00:04:18.300]   But even the parents who pay for most of their kid's college or all of their kid's college expenses, they often just simply do it out of savings or do it out of cash flow.
[00:04:18.300 --> 00:04:21.300]   They don't often do it out of a college account.
[00:04:21.300 --> 00:04:24.300]   So as I started to experience this with parents, I became a little frustrated.
[00:04:24.300 --> 00:04:28.300]   And I said, "Ah, there's got to be something a little bit different here as far as how we're approaching it."
[00:04:28.300 --> 00:04:36.300]   Because I was coming from the formally trained perspective of help people establish a 529 account, fund it with the proper portfolio of mutual funds that can grow over time,
[00:04:36.300 --> 00:04:39.300]   and those mutual funds will pay for the kid's college education.
[00:04:39.300 --> 00:04:40.300]   That was how I was trained.
[00:04:40.300 --> 00:04:42.300]   And then I found out it wasn't really working.
[00:04:42.300 --> 00:04:47.300]   Well, I'm very interested in the subject of education, as you will hear through these shows.
[00:04:47.300 --> 00:04:57.300]   So I said, "Why don't we just turn this whole child education thing on its head and not go to college, or go to college with different plans?"
[00:04:57.300 --> 00:05:01.300]   So I thought about starting there with doing a series on college education.
[00:05:01.300 --> 00:05:08.300]   But then I realized, well, in order to properly understand college, you've got to probably have some different ideas about high school.
[00:05:08.300 --> 00:05:11.300]   And if you're going to have some different ideas about high school, you might want to back up to middle school.
[00:05:11.300 --> 00:05:15.300]   And if you're going to back up to middle school, you might want to back up to elementary school.
[00:05:15.300 --> 00:05:21.300]   And then recently, I've actually backed up to babyhood and toddlerhood.
[00:05:21.300 --> 00:05:24.300]   And that's where I'm going to start today.
[00:05:24.300 --> 00:05:28.300]   Not with teaching your 18-year-old, but actually with teaching your baby.
[00:05:28.300 --> 00:05:32.300]   And I anticipate at least four shows in this series, probably more.
[00:05:32.300 --> 00:05:38.300]   But the first show today, I'm going to be talking about infant education, infant and toddler education.
[00:05:38.300 --> 00:05:46.300]   The next show in this series, I'm going to be discussing education during the traditional elementary, middle, and high school years.
[00:05:46.300 --> 00:05:54.300]   Then the show after that, I'm going to be discussing alternatives to the mainstream view of college, or the mainstream path of college.
[00:05:54.300 --> 00:06:03.300]   And then the fourth show, at least four, I'm going to be discussing the technical details of how to pay for college in a mainstream manner.
[00:06:03.300 --> 00:06:10.300]   If you're only interested in the technical details, feel free to tune in to part four, or the show that specifically deals with that.
[00:06:10.300 --> 00:06:13.300]   But I would ask you, give me a chance to give you some ideas.
[00:06:13.300 --> 00:06:17.300]   And it's important for me to put a disclaimer here, especially with today's show.
[00:06:17.300 --> 00:06:23.300]   I am not an expert on education. I have zero formal credentials on education.
[00:06:23.300 --> 00:06:27.300]   I have just a background of being interested in the subject and of thinking of it.
[00:06:27.300 --> 00:06:30.300]   And I draw a lot from my experience and from my observation.
[00:06:30.300 --> 00:06:35.300]   I've read a decent amount. Probably the thing I am weakest on is what I'm going to be talking about today.
[00:06:35.300 --> 00:06:38.300]   So I'm not going to be telling you what's right or wrong today.
[00:06:38.300 --> 00:06:43.300]   I'm just going to be sharing with you some ideas that I think are interesting and encouraging you to do your own research.
[00:06:43.300 --> 00:06:47.300]   And I'm hoping, because I've learned that this is a very intelligent audience listening to this show,
[00:06:47.300 --> 00:06:51.300]   I'm hoping that some of you can help me with some of your experience,
[00:06:51.300 --> 00:06:55.300]   and that we can enhance some of what we are going to be talking about,
[00:06:55.300 --> 00:07:02.300]   enhance some of our ideas with the synergy of the brainpower of the audience.
[00:07:02.300 --> 00:07:06.300]   So let's dig into infant education.
[00:07:06.300 --> 00:07:10.300]   Now I'm not sure if you've ever thought about this, but I've been thinking and learning a lot about this.
[00:07:10.300 --> 00:07:13.300]   And the way that I got into this was entirely accidental.
[00:07:13.300 --> 00:07:18.300]   A few months ago I had no idea that this entire field of education existed.
[00:07:18.300 --> 00:07:23.300]   Didn't have any idea.
[00:07:23.300 --> 00:07:31.300]   The most I'd ever heard of teaching infants, babies, is the idea of teaching baby sign language.
[00:07:31.300 --> 00:07:33.300]   I've seen that because I've had some friends that had done that.
[00:07:33.300 --> 00:07:38.300]   Teach the baby how to say "more" when they're ready for some more and if they want more food.
[00:07:38.300 --> 00:07:41.300]   Teach the baby how to say "all done" when they're done eating.
[00:07:41.300 --> 00:07:46.300]   Teach the baby how to say "milk" when they want some milk.
[00:07:46.300 --> 00:07:48.300]   And that was as far as I had gone.
[00:07:48.300 --> 00:07:52.300]   The only other aspect I'd ever been exposed to with infant education was actually,
[00:07:52.300 --> 00:07:55.300]   somebody had sent a video one time, or maybe it was in a Facebook news feed,
[00:07:55.300 --> 00:07:59.300]   about basically drown-proofing your infant.
[00:07:59.300 --> 00:08:02.300]   And I saw a video where this little baby falls in the water,
[00:08:02.300 --> 00:08:08.300]   and you teach the baby to roll over on its back and float on its back,
[00:08:08.300 --> 00:08:14.300]   so that it can basically not drown in the swimming pool, but just sit there and float until it's rescued.
[00:08:14.300 --> 00:08:16.300]   I had a hard time believing it when I first saw it.
[00:08:16.300 --> 00:08:19.300]   If there's something that makes your heart go out, it's to see a baby fall in the pool.
[00:08:19.300 --> 00:08:25.300]   And it's just the most amazing thing to watch this little infant turn over, float on its back, and not drown.
[00:08:25.300 --> 00:08:27.300]   So I thought that was amazing.
[00:08:27.300 --> 00:08:32.300]   My wife and I had our son, and I think he was about seven or eight months old, something like that.
[00:08:32.300 --> 00:08:35.300]   And my wife decided she wanted to teach him to swim.
[00:08:35.300 --> 00:08:38.300]   We don't have a pool, but we live in Florida, and there are lots of pools.
[00:08:38.300 --> 00:08:41.300]   And she just figured it would be something that she would enjoy doing,
[00:08:41.300 --> 00:08:44.300]   use one of the neighbor's pools and teach him to swim.
[00:08:44.300 --> 00:08:50.300]   So we go on YouTube, and we're trying to find, you know, how do you teach your infant to float, essentially.
[00:08:50.300 --> 00:09:00.300]   And while I'm there, I find a video of a baby not only floating, but swimming.
[00:09:00.300 --> 00:09:01.300]   And I couldn't believe it.
[00:09:01.300 --> 00:09:10.300]   I'll link to the video in the show notes, because it was an amazing, amazing video when I see it.
[00:09:10.300 --> 00:09:14.300]   Because this little baby is happily, you know, under the water, just happily swimming away,
[00:09:14.300 --> 00:09:17.300]   arms and legs kicking, and I couldn't believe it.
[00:09:17.300 --> 00:09:21.300]   Well, then I look over in the right-hand margin on YouTube.
[00:09:21.300 --> 00:09:24.300]   They put the other suggestions.
[00:09:24.300 --> 00:09:27.300]   And I see a video here that I'm going to play about two minutes of audio for you.
[00:09:27.300 --> 00:09:35.300]   And what caught my eye is that this video is entitled "11-Month-Old Baby Genius Reading."
[00:09:35.300 --> 00:09:37.300]   And I said, "Ah, that's ridiculous."
[00:09:37.300 --> 00:09:40.300]   And I click on the video, and I listen to this.
[00:09:40.300 --> 00:09:42.300]   And I watch this video.
[00:09:42.300 --> 00:09:47.300]   And since I don't expect you to watch the video if you're driving down the road, picture in your mind there's a mom,
[00:09:47.300 --> 00:09:53.300]   and she's a Hispanic mom speaking in English and in Spanish, and a little baby, little baby, sitting there,
[00:09:53.300 --> 00:09:55.300]   and they're doing flashcards.
[00:09:55.300 --> 00:10:01.300]   And the flashcards that they're doing have words on them, and I'm listening to the baby say these words.
[00:10:01.300 --> 00:10:06.300]   Now, what you'll hear in just a moment is the mom shows the card to the baby,
[00:10:06.300 --> 00:10:11.300]   and the baby says the word, and then the mom repeats it.
[00:10:11.300 --> 00:10:18.300]   Now, this is an 11-month-old baby, so the baby is not able to fully articulate the actual letters of the word.
