
[00:00:00.000 --> 00:00:06.000]   #Blessed
[00:00:06.000 --> 00:00:11.720]   It's a social media tag for when someone feels blessed and who has or is getting everything
[00:00:11.720 --> 00:00:12.960]   they dreamed of getting.
[00:00:12.960 --> 00:00:18.720]   It can range from getting a new girlfriend, a new job, a pay raise, finding a $10 bill
[00:00:18.720 --> 00:00:21.600]   on the sidewalk, or getting surprisingly good news.
[00:00:21.600 --> 00:00:26.640]   But what does it mean to truly be blessed according to scripture?
[00:00:26.640 --> 00:00:31.800]   That's a very different discussion, one initiated by a discerning listener to the
[00:00:31.800 --> 00:00:33.320]   podcast named Jordan.
[00:00:33.320 --> 00:00:35.480]   He writes this, "Hello Pastor John.
[00:00:35.480 --> 00:00:39.860]   Of late, I have been having discussions with my friends around what it means to be blessed.
[00:00:39.860 --> 00:00:43.360]   The term 'blessed' is thrown around in our culture today, and it's all over our
[00:00:43.360 --> 00:00:44.360]   Bibles too.
[00:00:44.360 --> 00:00:49.440]   To me, it seems like the way God uses 'blessed' or 'blessings' in the Bible is very different
[00:00:49.440 --> 00:00:51.960]   from how it's used now.
[00:00:51.960 --> 00:00:56.080]   I see the term 'blessed' associated with material possessions or family or health.
[00:00:56.080 --> 00:00:59.800]   These can be all good things, but I think you could also argue that if these blessings
[00:00:59.800 --> 00:01:04.400]   lead us further away from God, they are not true blessings at all."
[00:01:04.400 --> 00:01:09.400]   On the other hand, Jesus says, "Blessed are the poor in spirit."
[00:01:09.400 --> 00:01:10.400]   Matthew 5:3.
[00:01:10.400 --> 00:01:15.840]   And he said, "Blessed are those who are persecuted for righteousness' sake."
[00:01:15.840 --> 00:01:16.840]   Matthew 5:10.
[00:01:16.840 --> 00:01:21.720]   And he said, "Blessed are you when others revile you and persecute you and utter all
[00:01:21.720 --> 00:01:25.000]   kinds of evil against you falsely on my account."
[00:01:25.000 --> 00:01:26.400]   Matthew 5:11.
[00:01:26.400 --> 00:01:31.800]   Rarely, if ever, do I see people posting about how blessed they are as poor in spirit or
[00:01:31.800 --> 00:01:35.720]   persecuted, like we read about in the Beatitudes.
[00:01:35.720 --> 00:01:42.880]   With that in mind, what is a biblical definition of what it means to be truly blessed?
[00:01:42.880 --> 00:01:49.380]   Jordan puts his finger on the nub of the issue, I think, by referring to the Beatitudes in
[00:01:49.380 --> 00:01:50.380]   Matthew 5.
[00:01:50.380 --> 00:01:55.800]   I'm going to circle back and probably end there and affirm what he sees and show why
[00:01:55.800 --> 00:01:59.180]   it is such a great answer to his own question.
[00:01:59.180 --> 00:02:09.000]   But first, let me lay down a principle that has helped me grasp why there is such a preponderance
[00:02:09.000 --> 00:02:18.340]   of earthly blessings promised in the Old Testament, like the inheritance of land, Psalm 37, 22,
[00:02:18.340 --> 00:02:24.420]   deliverance from our enemies, Psalm 41, 1, fruitfulness in our families and our fields,
[00:02:24.420 --> 00:02:27.660]   Genesis 17, 20, 48, 4.
[00:02:27.660 --> 00:02:36.100]   While in the New Testament, there are very few earthly blessings promised, but rather
[00:02:36.100 --> 00:02:45.140]   afflictions are promised with the material physical blessings largely postponed until
[00:02:45.140 --> 00:02:46.140]   the resurrection.
[00:02:46.140 --> 00:02:48.660]   So here's the principle.
[00:02:48.660 --> 00:02:55.820]   In God's wisdom, the Jewish religion of the Old Testament was largely a common sea
[00:02:55.820 --> 00:02:57.860]   religion.
[00:02:57.860 --> 00:03:03.020]   Israel was the showcase of God's blessings among the nation.
[00:03:03.020 --> 00:03:10.740]   So for example, in 1 Kings 10, it says, "When the queen of Sheba heard the fame of Solomon
[00:03:10.740 --> 00:03:16.520]   concerning the name of the Lord, she came to test him with hard questions.
[00:03:16.520 --> 00:03:24.180]   And when the queen of Sheba had seen all the wisdom of Solomon, the house that he built,
[00:03:24.180 --> 00:03:29.980]   the food of his table, the seating of his officials, the attendance of his servants
[00:03:29.980 --> 00:03:35.640]   and their clothing and his cupbearers and his burnt offerings that he offered the house
[00:03:35.640 --> 00:03:40.060]   of the Lord, there was no more breath in her."
[00:03:40.060 --> 00:03:47.220]   I call that the showcasing of the blessing of God on the people of God in the Old Testament.
[00:03:47.220 --> 00:03:50.140]   There's nothing like that in the New Testament.
[00:03:50.140 --> 00:03:57.620]   In God's wisdom, the church of Jesus Christ is not an ethnic or geographical or political
[00:03:57.620 --> 00:03:59.600]   or national entity.
[00:03:59.600 --> 00:04:05.900]   It cuts across all ethnicities, all geographies, all politics, nationalities.
[00:04:05.900 --> 00:04:09.300]   There is no geographic center for Christianity.
[00:04:09.300 --> 00:04:12.600]   There's no great temple like Edifice in Christianity.
[00:04:12.600 --> 00:04:15.980]   There are no places to do pilgrimages in Christianity.
[00:04:15.980 --> 00:04:21.300]   There are no priests or saints through whom we have to go to God, but only Jesus Christ.
[00:04:21.300 --> 00:04:27.020]   And instead of telling the world to come to us, "Come see how I bless my people."
[00:04:27.020 --> 00:04:28.020]   God never says that.
[00:04:28.020 --> 00:04:31.540]   He says, "Go, go to the world.
[00:04:31.540 --> 00:04:34.900]   And if it costs you your life, lay it down."
[00:04:34.900 --> 00:04:38.980]   But he says very plainly, "Whoever would be my disciple must renounce everything that
[00:04:38.980 --> 00:04:44.500]   he has," Luke 14, 33, "put it at the disposal of me and my mission."
[00:04:44.500 --> 00:04:50.060]   That's the kind of radical life we're called to live in the New Testament.
[00:04:50.060 --> 00:04:52.120]   So there's the principle.
[00:04:52.120 --> 00:04:58.500]   And the failure to recognize this distinction between God's plan for Israel in the Old Testament
[00:04:58.500 --> 00:05:04.020]   and God's plan for the church in the New Testament has caused a lot of people to put
[00:05:04.020 --> 00:05:10.100]   way too much emphasis on earthly blessings today.
[00:05:10.100 --> 00:05:17.340]   And I think one of the most illumining texts about how we are blessed as Christians, which
[00:05:17.340 --> 00:05:26.180]   we are, I would say infinitely blessed, is 1 Corinthians 3, 21 to 23.
[00:05:26.180 --> 00:05:27.380]   It goes like this.
