
[00:00:00.000 --> 00:00:21.120]   All right. Well, thank you for joining us. We are here to talk AI products and specifically
[00:00:21.120 --> 00:00:27.960]   dynamic products, which we'll unpack in the next 20 minutes or so. A little bit about us before we
[00:00:27.960 --> 00:00:34.840]   jump in. I am Aliza Cabrera. I'm a principal AI product manager at Workday. I'm currently building
[00:00:34.840 --> 00:00:41.080]   with an incredible team, our financial audit agent. I also led go to market for our policy agent,
[00:00:41.080 --> 00:00:46.440]   as well as early access for our assistant, which is more like a co-pilot, as well as some of our
[00:00:46.440 --> 00:00:52.620]   early days kind of Gen AI features as well. My name is Jeremy Silva. I come from a data science
[00:00:52.620 --> 00:00:57.180]   machine learning background. I've been building language models since the dark ages, pre-GPT3,
[00:00:57.180 --> 00:01:01.820]   that is. And now I lead a product at a company called FreePlay, which exists to help teams build
[00:01:01.820 --> 00:01:10.220]   great AI products. Awesome. Let's get into it. So if there's one thing that we want you to take away
[00:01:10.220 --> 00:01:16.620]   from this session, it's to stop the AI sideshow, which I know sounds a little bit counterintuitive.
[00:01:16.620 --> 00:01:23.180]   We're all at an AI conference. All of us are talking about agents and AI. It's all over the place,
[00:01:23.180 --> 00:01:31.340]   right? So what exactly are we talking about here? Having AI leading your products, your go-to-market,
[00:01:31.340 --> 00:01:36.700]   your strategy. This was a really great approach when we were all trying to communicate that we were at the
[00:01:36.700 --> 00:01:43.820]   forefront of this technological disruption, right? But now everyone is really kind of saying the same thing.
[00:01:45.660 --> 00:01:52.380]   And if we look at the different products that have resulted in hindsight, which hindsight's kind of 2020,
[00:01:52.380 --> 00:01:59.020]   right? We're able to see that what we've been doing is building product to try to figure out what these
[00:01:59.020 --> 00:02:05.980]   different technological breakthroughs can do for us. So let's unpack what we're talking about here a bit.
[00:02:08.140 --> 00:02:14.940]   So let's go back maybe post-chat GPT, maybe for some of us in the room pre-GPT, but whenever your
[00:02:14.940 --> 00:02:20.380]   sort of aha moment was with LLMs, trying to figure out what you can do with the tech, what you can't,
[00:02:20.380 --> 00:02:29.180]   what the boundaries are, we ended up using chat UIs, content UIs, existing applications, right? To be able to
[00:02:29.180 --> 00:02:35.980]   really test the boundaries of these LLMs. We were also using multimodal to see what different kinds of inputs
[00:02:35.980 --> 00:02:43.820]   and outputs we could use the technology for. Then we realized we could ground the models.
[00:02:43.820 --> 00:02:51.020]   We had vector databases and RAG. We were trying to get to accuracy and truth, if we can agree on that.
[00:02:51.020 --> 00:03:01.340]   We had larger context windows and increased memory. We also weren't super, I would say, comfortable with
[00:03:01.340 --> 00:03:07.980]   having AI do work for us. So everything was a co-pilot, right? A buddy next to us who can help us get
[00:03:07.980 --> 00:03:14.380]   things done, but we don't want to be taking anybody's jobs away. We don't want to be sort of automating work
[00:03:14.380 --> 00:03:23.500]   until we realized that might actually be kind of nice to be able to have agents that can do things for us,
[00:03:23.500 --> 00:03:31.100]   to reason, to be able to use tools and various APIs to orchestrate across different business problems.
[00:03:31.100 --> 00:03:37.420]   And this is the state and sort of space I would say that we're in right now. We're not saying that these
[00:03:37.420 --> 00:03:44.540]   different approaches are wrong, but they're an approach to understand the technology. And it's not going to
[00:03:44.540 --> 00:03:48.460]   build you a differentiated strategy because everyone is doing the same thing.
[00:03:48.460 --> 00:03:56.700]   So why do we see these kind of like bolt-on, non-differentiated AI products persist?
[00:03:56.700 --> 00:04:02.940]   By working across dozens of enterprise companies at Freeplay, we've noticed a common trend emerge,
[00:04:02.940 --> 00:04:07.660]   which is companies know they rightly need to prioritize AI, but the way they do that is by creating
[00:04:07.660 --> 00:04:13.500]   this sort of centralized AI strategy. And what happens is this centralized AI strategy starts
[00:04:13.500 --> 00:04:18.140]   running as this sort of sidecar to their core product strategy, rather than the two be deeply
[00:04:18.140 --> 00:04:23.180]   integrated. There's different initiatives, sometimes even different teams. And then naturally, these sort
[00:04:23.180 --> 00:04:29.340]   of like bolt-on non-integrated AI features and products start to proliferate. So what are some of the
[00:04:29.340 --> 00:04:35.180]   causes of this sort of AI sideshow that we're talking about here? The first is that companies seek to
[00:04:35.180 --> 00:04:41.020]   mitigate the risk associated with AI by quarantining into specific corners of the product, albeit there
[00:04:41.020 --> 00:04:45.180]   like is new risk here, right? There's this new reliability question you have to ask yourself,
[00:04:45.180 --> 00:04:50.140]   which is like, can I even get this feature to work reliably enough to drive value for customers?
[00:04:50.140 --> 00:04:59.100]   Second, we see teams prioritizing the technology over their customer needs. They become the hammer in
[00:04:59.100 --> 00:05:03.660]   search of the nail. Rather than trying to solve their customer problems by harnessing the technology,
[00:05:03.660 --> 00:05:08.460]   they're just trying to find any manifestation of that technology. And we see this manifest in a bunch
[00:05:08.460 --> 00:05:13.740]   of predictable ways. We see teams building chatbots because chatbots demonstrate AI capability,
[00:05:13.740 --> 00:05:18.060]   not because customers are actually struggling with support. We see companies building document
[00:05:18.060 --> 00:05:22.620]   summarization, again, because it demonstrates capability, not because their users are suffering
[00:05:22.620 --> 00:05:29.820]   with information overload. And finally, we see companies creating this kind of top-down,
[00:05:29.820 --> 00:05:34.620]   the pushing solutions out from the top-down rather than setting that top-level strategy and letting
[00:05:34.620 --> 00:05:38.540]   the bottoms-up discovery process be the manifestation of that priority.
[00:05:38.540 --> 00:05:47.580]   So how do you avoid the AI sideshow here? The key is to integrate and align your AI and your product,
[00:05:47.580 --> 00:05:55.180]   and integrating AI risk into planning is a critical part of that. There is this new risk we're talking about,
[00:05:55.180 --> 00:05:59.980]   but instead of being shying away from that risk and trying to quarantine AI to specific corners
[00:05:59.980 --> 00:06:04.700]   of the product or specific teams, you need to deeply integrate that into your product planning.
[00:06:04.700 --> 00:06:09.100]   And this will require like some new muscles here, right? Like you need to kind of build these systems
[00:06:09.100 --> 00:06:14.220]   for evaluation, for testing, because if you're doing good prototyping and testing, you can at least kind
[00:06:14.220 --> 00:06:20.220]   of wrap your arms around that risk and know how to handle it. And then second, start with the customer
[00:06:20.220 --> 00:06:24.700]   problem. If you're inventing new problems to go solve with the advent of AI, you're probably gone
[00:06:24.700 --> 00:06:31.260]   astray here. And finally, like we talked about, enable that bottoms-up discovery process for AI products.
[00:06:31.260 --> 00:06:36.540]   It's likely your product folks who are boots on the ground every day, who understand the right solutions
[00:06:36.540 --> 00:06:43.820]   here, give them the space to experiment, prototype, and importantly, fail fast, but set that top-line strategy,
[00:06:43.820 --> 00:06:49.820]   and then allow the bottoms-up discovery process to take place. This is how you ultimately manifest AI
[00:06:49.820 --> 00:06:55.420]   products that feel like a natural and cohesive part of the product experience, rather than feeling bolt
[00:06:55.420 --> 00:07:02.540]   on. And that's ultimately the like, the hallmark of good successful AI integration are AI products that
[00:07:02.540 --> 00:07:07.740]   need not announce themselves as AI, but rather just solve the customer problem better than what came before.
[00:07:08.940 --> 00:07:13.900]   So the north star that Aliza and I are talking about today are AI products that are deeply and
[00:07:13.900 --> 00:07:19.340]   dynamically integrated into your product ecosystem. But the only way you get there is by aligning your
[00:07:19.340 --> 00:07:25.900]   strategy, your teams, and your roadmaps accordingly. And importantly, avoiding the AI sideshow.
[00:07:25.900 --> 00:07:32.700]   This is admittedly like an audacious north star. And especially if you're kind of stuck in this sideshow
[00:07:32.700 --> 00:07:38.140]   model, like how do you find your way out? This is where we think this crawl, walk, run approach comes into play.
