
[00:00:00.000 --> 00:00:09.800]   here are my dudes dining there what we got going on pj's um okay so me and mike are having dinner
[00:00:09.800 --> 00:00:15.700]   last night and i introduced him to my boy steve will do it he looks at my wrist i think you look
[00:00:15.700 --> 00:00:21.100]   at my wrist no yeah he had a smooth little smooth little piece on yeah and you're like yo bro i like
[00:00:21.100 --> 00:00:25.480]   that piece that's sick and then your broski was sitting right across from us and you go we got to
[00:00:25.480 --> 00:00:32.240]   get you a piece steve will do it sits there and goes what do you want he goes yo just like a date
[00:00:32.240 --> 00:00:38.660]   just he says one second place one hand of baccarat gets 20 grand sends me the 20 grand went today
[00:00:38.660 --> 00:00:44.920]   bought bro rolex come on i mean it but that's not real life right that's crazy guys we're about to
[00:00:44.920 --> 00:00:51.940]   give it to him right now so i i had 50 000 in my account 49 000 and i went all in on baccarat i said
[00:00:51.940 --> 00:00:57.200]   if this wins i'll give you a 50 000 watch that motherfucker won
[00:00:57.200 --> 00:01:07.380]   and then look at the balance 49 000 to 99 000. so you just made 50 000. yes there you go
[00:01:07.380 --> 00:01:24.640]   let's go surprise him with it man all right so steve uh he's the man of his word bro
[00:01:24.640 --> 00:01:32.300]   dude got it hold up show you this little thing this is now yours mike with the assist said yo you don't
[00:01:32.300 --> 00:01:38.440]   got a piece okay that was my who assists that me or you because i brought steve that's y'all man that's
[00:01:38.440 --> 00:01:44.580]   some milk boy this is steve we'll do it bro that's like hard appreciate you boxed papers right there
[00:01:44.580 --> 00:01:49.140]   first little piece my dog there you go bro let me see let me get that on the camera
[00:01:49.140 --> 00:01:55.480]   appreciate how crazy was that shit bro that was insane i've never seen that in my life
[00:01:55.480 --> 00:02:05.020]   that's a nice piece that's crazy appreciate you congrats bro how do you feel about getting your
[00:02:05.020 --> 00:02:10.180]   furs rolling man feels good man i need to um i need to put this right on yeah yeah hold that shit on
[00:02:10.180 --> 00:02:19.580]   hold that shit up there we go baby let's go
[00:02:19.580 --> 00:02:45.500]   man i'm about to take my boy stondy's money last night i had to pick up the dinner tab you know
[00:02:45.500 --> 00:02:51.020]   how much this shit was how much 4 500 bro 4 500 yeah he's cap i know it was he's right
[00:02:51.020 --> 00:02:57.380]   i paid for a 500 dinner no it was 4 500 whenever it's 4 500 plus daddy picks it up 4 500 so i
[00:02:57.380 --> 00:03:03.740]   figured tonight i brought cash rock paper scissors to see who pays okay so i got what's this like
[00:03:03.740 --> 00:03:10.060]   some light like 20 and then this goes towards the dinner and whatever else okay all right all right
[00:03:10.060 --> 00:03:18.940]   yeah rock paper scissors shoot yes sir 20 easy thanks for paying boy thanks for paying no we're gonna have
[00:03:18.940 --> 00:03:25.820]   a night we're gonna have a night on mpj boy thank you boy thank you bro he took my bread jar so i guess
[00:03:25.820 --> 00:03:32.300]   once again i'm paying for stonnie's time once again if those are like linked frame rock like the
[00:03:32.300 --> 00:03:39.420]   oh why is real yes sir wait yo so what's it like to be the biggest creator on the internet right now my
[00:03:39.420 --> 00:03:47.180]   boy how you handling that fame listen somebody's got to do it this man this man tricked me into answering
[00:03:47.180 --> 00:03:51.580]   those questions y'all everything i said was cap i don't believe none of the record i gave him full
[00:03:51.580 --> 00:03:55.580]   review i said yo you said some crazy check this out tell them how much crazier it would have been
[00:03:55.580 --> 00:04:00.620]   if we didn't cut out oh my god this this whole internet would have lasted another at least three
[00:04:00.620 --> 00:04:06.380]   three four weeks if we didn't cut it out yeah maybe people i'm not gonna say what it was as bad as
[00:04:06.380 --> 00:04:13.420]   it was y'all could have been a lot worse do you have a message you would like to say i think my message is
[00:04:14.620 --> 00:04:18.540]   always put god first
[00:04:18.540 --> 00:04:22.140]   can we see what we got on your on our wrist tonight
[00:04:22.140 --> 00:04:33.580]   rm fake little rm no this is real this is real rm 11 uh took me six years to get this bro matty boy one
[00:04:33.580 --> 00:04:42.540]   of one okay okay okay that's it i got my pores and i got the represent pants let me see let me see give me
[00:04:42.540 --> 00:04:50.300]   this what do you got a little louie uh louie top you know what i'm saying within the mia's pants
[00:04:50.300 --> 00:04:52.380]   little louie kick
[00:04:52.380 --> 00:05:00.220]   what's on the wrist little rose gold joint you know what i'm saying hey let's get sean on this joint
[00:05:00.220 --> 00:05:05.740]   sean come over here real quick wait let me see the other wrist too oh chick van cleef
[00:05:06.380 --> 00:05:11.820]   little fake little fake fake fake bank leave get the cameraman's fit okay sean right here
[00:05:11.820 --> 00:05:20.060]   let's get the trauma to the fit let's get it okay black we got the black tea from where my fit yeah
[00:05:20.060 --> 00:05:26.780]   black tea keep it simple gray pants keep it simple puma shout out see that's how it should be
[00:05:26.780 --> 00:05:30.780]   you ain't got a dress like all look at that like look at how much you're trying to do with this pink custom
[00:05:30.780 --> 00:05:40.700]   louie one of one chrome necklace chocolate daytona four van cleefs one of one giving douchebag huh is it
[00:05:40.700 --> 00:05:47.100]   this is what your fit yo we're going through the we're going through the pit wait mike mike do you think
