
[00:00:00.000 --> 00:00:11.820]   Langchain team thank you so much for having me really excited to share a
[00:00:11.820 --> 00:00:15.840]   little bit more about how we made Devon so my name is Russell Kaplan I'm
[00:00:15.840 --> 00:00:20.040]   president at cognition we're the company behind Devon and as a quick show of
[00:00:20.040 --> 00:00:24.720]   hands how many of you have heard of Devon before all right almost everyone
[00:00:24.720 --> 00:00:31.760]   so Devon is an AI software engineer but we are really focused specifically on
[00:00:31.760 --> 00:00:36.420]   working within existing code bases there's lots of amazing AI tools out
[00:00:36.420 --> 00:00:40.480]   there for coding and what we found is that as the code bases get larger the
[00:00:40.480 --> 00:00:44.460]   problem gets harder and most of our customers and users around the world are
[00:00:44.460 --> 00:00:47.960]   teams they're teams of engineers or companies full of engineers they're
[00:00:47.960 --> 00:00:53.360]   trying to ship real-world products and so today I want to talk a little bit more
[00:00:53.360 --> 00:00:56.900]   about what Devon is but more importantly how we built it and I'm gonna share
[00:00:56.900 --> 00:01:00.380]   some new sort of technical information we're releasing on exactly how this works
[00:01:00.380 --> 00:01:05.600]   under the hood that I'm really excited to to present to you all first what are we
[00:01:05.600 --> 00:01:12.020]   seeing in AI for coding obviously this is a really fast-moving field and in many
[00:01:12.020 --> 00:01:16.040]   ways software engineering is one of the first large-scale successful applications
[00:01:16.040 --> 00:01:22.580]   of generative AI it started in many ways with co-pilots real-time text completion
[00:01:22.580 --> 00:01:29.000]   inside your editor that makes you as an engineer go a bit faster and now we also
[00:01:29.000 --> 00:01:33.620]   have AI IDEs again a development environment for you as an individual
[00:01:33.620 --> 00:01:38.240]   engineer to get even more leverage and for sometimes delegating entire tasks or
[00:01:38.240 --> 00:01:44.660]   snippets and really coding in flow with AI assistance we see Devon as part of a
[00:01:44.660 --> 00:01:50.440]   third wave of AI developer tools which is on the fully autonomous agent end of the
[00:01:50.440 --> 00:01:58.660]   spectrum more AI teammate than AI copilot companies around the world are using Devon like another
[00:01:58.660 --> 00:02:02.600]   member of their engineering team going directly from ticket to pull request
[00:02:02.600 --> 00:02:09.200]   collaborating with Devon in slack or Jira or linear and we see the large majority of
[00:02:09.200 --> 00:02:16.860]   Devon sessions and Devon PRs are started from within these other tools the same way you might interact with another human engineer
[00:02:16.860 --> 00:02:30.860]   architecturally this is really different from something that runs locally on your computer Devon is a cloud AI agent and what we've seen is that it's very complimentary to these local AI development tools
[00:02:30.860 --> 00:02:45.860]   when you are coding yourself and you want to stay in flow and get that speed up you use a local AI development tool where people use Devon is when they're really ready to delegate the task entirely and this is a very different set of
[00:02:45.860 --> 00:02:54.080]   technical trade-off you get large-scale parallelism asynchronousness and the ability to completely delegate individual units of work
[00:02:54.080 --> 00:03:06.080]   in the team setting this also means that Devon's run remotely not locally and so they share the same environment across different runs so you can try many different things in parallel combine them together
[00:03:06.080 --> 00:03:18.080]   and the teams of engineers who use Devon will break up large-scale engineering outcomes into small individual tasks delegated to a fleet of Devons and then coalesce together inside the code base
[00:03:18.080 --> 00:03:24.080]   and the main thing our users look for is for that code from Devon to get merged as pull requests
[00:03:24.080 --> 00:03:28.080]   it also changes the learning model for Devon
[00:03:28.080 --> 00:03:34.080]   in the cloud AI agent setting Devon is not just for you it's for your team and for your organization
[00:03:34.080 --> 00:03:40.080]   and so as Devon learns from your interactions those learnings are not kept only with you
[00:03:40.080 --> 00:03:45.080]   instead they're incorporated as part of your team and as part of your organization
