
[00:00:00.040 --> 00:00:09.300]   Til
[00:00:09.300 --> 00:00:10.820]   talk. I in noisy
[00:00:10.820 --> 00:00:25.920]  led por
[00:00:55.680 --> 00:00:55.680]   and I
[00:00:55.680 --> 00:00:55.680]   I in noisy
[00:01:23.520 --> 00:01:23.520]   I in noisy
[00:01:51.360 --> 00:01:51.360]   and I in noisy
[00:01:51.360 --> 00:01:51.360]   and I in noisy
[00:01:51.400 --> 00:02:01.500]  �
[00:02:01.500 --> 00:02:06.260]   all for cit
[00:02:06.260 --> 00:02:18.080]   R G Can And kind attend È that the. The. The. The. The. the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,ange ЗFun Le recoveringule discover плохо Mushb modify Remote regarder penal advise particle conductorработBoy remain 무슨 dzie Jerère like a kind of care of love of all de had make Wei the person that is a reass thick the reds. And I'm not bad is a стал被 well視 set of the guide of a end of aed a birds de
[00:02:18.080 --> 00:02:19.740]  .
[00:02:19.740 --> 00:02:21.000]   And I'm
[00:02:21.400 --> 00:02:28.920]   financi
[00:02:28.920 --> 00:02:31.660]   connect,
[00:02:31.660 --> 00:02:32.920]   19 � Muse. I have, continuing, Lee,
[00:02:32.920 --> 00:02:40.400]  ,
[00:02:51.400 --> 00:02:54.700]   19,
[00:02:54.700 --> 00:02:54.720]   20,
[00:02:54.720 --> 00:02:54.740]   21,
[00:02:54.740 --> 00:02:54.760]   22,
[00:02:54.760 --> 00:02:54.820]   23,
[00:02:54.820 --> 00:02:54.840]   24,
[00:02:54.840 --> 00:02:54.860]   25,
[00:02:54.860 --> 00:02:55.140]   26,
[00:02:55.140 --> 00:02:55.160]   27,
[00:02:55.160 --> 00:02:55.180]   28,
[00:02:55.180 --> 00:02:55.200]   29,
[00:02:55.200 --> 00:02:55.240]   30,
[00:02:55.240 --> 00:02:55.260]   31,
[00:02:55.260 --> 00:02:55.280]   31,
[00:02:55.280 --> 00:02:55.320]   32,
[00:02:55.320 --> 00:02:55.340]   34,
[00:02:55.340 --> 00:02:55.360]   35,
[00:02:55.360 --> 00:02:55.380]   36,
[00:02:55.380 --> 00:02:55.400]   37,
[00:02:55.400 --> 00:02:55.400]   38,
[00:02:55.400 --> 00:02:55.420]   39,
[00:02:55.420 --> 00:02:56.560]   40,
[00:02:56.560 --> 00:02:56.580]   41,
[00:02:56.580 --> 00:02:56.640]   42,
[00:02:56.640 --> 00:02:56.680]   42,
[00:02:56.680 --> 00:02:56.720]   43,
[00:02:56.720 --> 00:02:56.760]   44,
[00:02:56.760 --> 00:02:56.780]   45,
[00:02:56.780 --> 00:02:56.800]   46,
[00:02:56.800 --> 00:02:56.840]   46,
[00:02:56.840 --> 00:02:56.840]   47,
[00:02:56.840 --> 00:02:57.160]   47,
[00:02:57.160 --> 00:02:57.160]   48,
[00:02:57.160 --> 00:02:57.200]   49,
[00:02:57.200 --> 00:02:57.300]   50,
[00:02:57.300 --> 00:02:57.320]   51,
[00:02:57.320 --> 00:02:57.360]   52,
[00:02:57.360 --> 00:02:57.380]   52,
[00:02:57.380 --> 00:02:57.400]   53,
[00:02:57.400 --> 00:02:57.440]   53,
[00:02:57.440 --> 00:02:57.440]   54,
[00:02:57.440 --> 00:02:57.500]   54,
[00:02:57.500 --> 00:02:57.520]   55,
[00:02:57.520 --> 00:02:57.600]   56,
[00:02:57.600 --> 00:02:57.600]   56,
[00:02:57.600 --> 00:02:58.520]   57,
[00:02:58.520 --> 00:02:59.660]   58,
[00:02:59.660 --> 00:02:59.760]   59,
[00:02:59.760 --> 00:03:00.860]   59,
[00:03:00.860 --> 00:03:04.840]   60,
[00:03:04.840 --> 00:03:06.600]   60,
[00:03:06.600 --> 00:03:06.960]   61,
[00:03:06.960 --> 00:03:07.360]   62,
[00:03:07.360 --> 00:03:07.960]   63,
[00:03:07.960 --> 00:03:24.860]  ,
[00:03:24.860 --> 00:03:25.160]  ,
[00:03:25.160 --> 00:03:27.040]   63,
[00:03:27.040 --> 00:03:27.040]   64,
[00:03:27.040 --> 00:03:27.100]   65,
[00:03:27.100 --> 00:03:27.140]   67,
[00:03:27.140 --> 00:03:27.140]   68,
[00:03:27.140 --> 00:03:27.180]   68,
[00:03:27.180 --> 00:03:27.180]   69,
[00:03:27.180 --> 00:03:27.220]   69,
[00:03:27.220 --> 00:03:27.220]   70,
[00:03:27.220 --> 00:03:27.220]   70,
[00:03:27.220 --> 00:03:27.240]   71,
[00:03:27.240 --> 00:03:27.300]   71,
[00:03:27.300 --> 00:03:27.300]   72,
[00:03:27.300 --> 00:03:27.320]   72,
[00:03:27.320 --> 00:03:27.340]   73,
[00:03:27.340 --> 00:03:27.340]   73,
[00:03:27.340 --> 00:03:27.380]   74,
[00:03:27.380 --> 00:03:27.400]   74,
[00:03:27.400 --> 00:03:27.460]   74,
[00:03:27.460 --> 00:03:27.460]   75,
[00:03:27.460 --> 00:03:27.480]   75,
[00:03:27.480 --> 00:03:27.500]   75,
[00:03:27.500 --> 00:03:29.720]   75, I was incorrect in that assessment.
[00:03:29.740 --> 00:03:32.460]   I went back and researched it and I was wrong.
[00:03:32.460 --> 00:03:33.500]   It's much more complex.
[00:03:33.500 --> 00:03:35.800]   I don't want to go into a detail right now,
[00:03:35.800 --> 00:03:41.940]   but just know that I made a mistake in that show about being abroad.
[00:03:41.940 --> 00:03:45.200]   So with capital gains taxes in general,
[00:03:45.200 --> 00:03:48.480]   they're harder for US persons to avoid.
[00:03:48.480 --> 00:03:49.940]   Now, in some ways,
[00:03:49.940 --> 00:03:57.480]   there are better planning opportunities available for capital gains taxes in order to reduce them and minimize them, etc.
[00:03:57.480 --> 00:04:26.580]   in the future.
[00:04:26.580 --> 00:04:26.640]   So,
[00:04:26.640 --> 00:04:27.440]   if you're going to be in a situation where you're not going to be able to do that,
[00:04:27.440 --> 00:04:27.500]   then you're going to have to make a decision.
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to be able to do that,
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to be able to do that,
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to be able to do that,
[00:04:27.500 --> 00:04:27.500]   if you're going to be in a situation where you're not going to be able to do that,
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to be able to do that,
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to do that,
[00:04:27.500 --> 00:04:27.500]   If you're going to be in a situation where you're not going to do that, that, that's a very important thing.
[00:04:27.540 --> 00:04:31.380]   New
[00:04:31.380 --> 00:04:35.380]   audec фин
