
[00:00:00.000 --> 00:00:06.160]   in this chapter we're going to be taking a look at conversational memory in linechain we're going
[00:00:06.160 --> 00:00:13.760]   to be taking a look at the core like chat memory components that have already been in linechain
[00:00:13.760 --> 00:00:20.560]   since the start but are essentially no longer in the library and we'll be seeing how we actually
[00:00:20.560 --> 00:00:29.920]   implement those historic conversational memory utilities in the new versions of linechain so
[00:00:29.920 --> 00:00:37.360]   0.3 now as a pre-warning this chapter is fairly long but that is because conversational memory is
[00:00:37.360 --> 00:00:44.320]   just such a critical part of chatbots and agents conversational memory is what allows them to
[00:00:44.320 --> 00:00:51.200]   remember previous interactions and without it our chatbots and agents would just be responding to
[00:00:51.200 --> 00:00:57.360]   the most recent message without any understanding of previous interactions within a conversations
[00:00:57.360 --> 00:01:03.920]   so they would just not be conversational and depending on the type of conversation we might
[00:01:03.920 --> 00:01:12.960]   want to go with various approaches to how we remember those interactions within a conversation now throughout
[00:01:12.960 --> 00:01:19.200]   this chapter we're going to be focusing on these four memory types we'll be referring to these and i'll
[00:01:19.200 --> 00:01:25.600]   be showing you actually how each one of these works but what we're really focusing on is rewriting these
[00:01:25.600 --> 00:01:33.840]   for the latest version of langchain using the what's called the runnable with message
[00:01:33.840 --> 00:01:42.080]   history so we're going to be essentially taking a look at the original implementations for each
[00:01:42.080 --> 00:01:48.320]   of these four original memory types and then we'll be rewriting them with the the runnable memory history
[00:01:48.320 --> 00:01:56.560]   class so just taking a look at each of these four very quickly a constantial buffer memory is i think
[00:01:56.560 --> 00:02:05.520]   the simplest most intuitive of these memory types it is literally just you have your messages they come
[00:02:05.520 --> 00:02:12.640]   in to this object they are stored in this object as essentially a list and when you need them again
[00:02:12.640 --> 00:02:18.880]   it will return them to you there's nothing nothing else to it's super simple the conversation buffer
[00:02:18.880 --> 00:02:25.760]   window memory okay so new word in the middle of the window this works in pretty much the same way
[00:02:25.760 --> 00:02:31.680]   but those messages that it has stored it's not going to return all of them for you instead it's just going to
[00:02:31.680 --> 00:02:39.280]   return the most recent let's say the most recent three for example okay and that is defined by a parameter
[00:02:39.280 --> 00:02:47.680]   k conversational summary memory rather than keeping track of the entire interaction memory directly what
[00:02:47.680 --> 00:02:53.600]   it's doing is as those interactions come in it's actually going to take them and it's going to compress
[00:02:53.600 --> 00:03:01.200]   them into a smaller little summary of what has been within that conversation and as every a new interaction
[00:03:01.200 --> 00:03:06.400]   is coming in it's going to do that and i keep iterating on that summary and then that is going
[00:03:06.400 --> 00:03:14.000]   to return to us when we need it and finally we have the conversational summary buffer memory so this is it's
[00:03:14.000 --> 00:03:21.040]   taking so the buffer part of this is actually referring to a very similar thing to the buffer window memory but
[00:03:21.040 --> 00:03:27.360]   rather than it being a you know most k messages it's looking at the number of tokens within your memory
[00:03:27.360 --> 00:03:36.480]   and it's returning the most recent k tokens that's what the buffer part is there and then it's also
[00:03:36.480 --> 00:03:44.080]   merging that with the summary memory here so essentially what you're getting is almost like a list of the most
[00:03:44.080 --> 00:03:50.960]   recent messages based on the token length rather than the number of interactions plus a summary which would
[00:03:50.960 --> 00:03:57.760]   you know come at the the top here so you get kind of both the idea is that obviously this summary here
[00:03:57.760 --> 00:04:05.360]   would maintain all of your interactions in a very compressed form so you're you're losing less
[00:04:05.360 --> 00:04:10.240]   information and you're still maintaining you know maybe the very first interaction the user might have
[00:04:10.240 --> 00:04:16.560]   introduced themselves giving you their name hopefully that would be maintained within the summary and it
[00:04:16.560 --> 00:04:24.000]   would not be lost and then you have almost like a higher resolution on the most recent um k or k tokens
[00:04:24.000 --> 00:04:30.880]   from your memory okay so let's jump over to the code we're going into the zero four chat memory notebook
[00:04:30.880 --> 00:04:37.520]   okay open that in colab okay now here we are let's go ahead and install the prerequisites run all
[00:04:37.520 --> 00:04:47.360]   we again can or cannot use alignsmith it is up to you enter that and let's come down and start
[00:04:47.360 --> 00:04:54.960]   so first to just initialize our lm using 40 mini in this example again low temperature
[00:04:55.920 --> 00:05:03.760]   and we're going to start with conversation buffer memory okay so this is the original version of
[00:05:03.760 --> 00:05:12.320]   this memory type so let me uh where are we we're here so memory conversation buffer memory and we're
[00:05:12.320 --> 00:05:19.040]   returning messages that needs to be set to true so the reason that we set return messages true as it
[00:05:19.040 --> 00:05:27.280]   mentions up here is if you do not do this it's going to be returning your chat history as a string to an llm
[00:05:27.280 --> 00:05:37.440]   whereas well chat llms nowadays would expect message objects so yeah you just want to be returning these
[00:05:37.440 --> 00:05:43.200]   as messages rather than as strings okay otherwise yeah you're going to get some kind of strange
[00:05:43.200 --> 00:05:48.400]   behavior out from your lms if you return them strings so you do want to make sure that it's true i think
[00:05:48.400 --> 00:05:54.240]   by default it might not be true but this is coming this is deprecated right it does tell you here
[00:05:54.240 --> 00:06:00.000]   as deprecation warning this is coming from older blank chain but it's a good place to start just to
[00:06:00.000 --> 00:06:04.880]   understand this and then we're going to rewrite this with the runnables which is the recommended way of
[00:06:04.880 --> 00:06:13.040]   doing so nowadays okay so adding messages to our memory we're going to write this okay so it's just a
[00:06:13.040 --> 00:06:20.480]   just a conversation user ai user ai so on random chat main things to note here is i do provide my name
[00:06:20.480 --> 00:06:25.760]   we have the the model same right towards the start of those interactions okay so i'm just going to
[00:06:25.760 --> 00:06:37.840]   add all of those we do it like this okay then we can just see we can load our history like so so let's just
[00:06:37.840 --> 00:06:42.960]   see what we have there okay so we have a human message ai message human message right this is
[00:06:42.960 --> 00:06:50.640]   exactly what we i showed you just here it's just in that message format from line chain okay so we can
[00:06:50.640 --> 00:06:56.960]   do that alternatively we can actually do this so we can get our memory we initialize the constational
[00:06:56.960 --> 00:07:03.600]   buffer memory as we did before and we can actually add it directly each message into our memory like that
[00:07:03.600 --> 00:07:08.800]   so we can use this add user message add ai message so on and so on load again and it's going to give
[00:07:08.800 --> 00:07:15.920]   us the exact same thing again there's multiple ways to do the same thing cool so we have that to pass all
[00:07:15.920 --> 00:07:21.440]   of this into our lm again this is all deprecated stuff we're going to learn how to use properly in a moment
[00:07:21.440 --> 00:07:28.720]   but this is how long chain is doing in the past so to pass all of this into our lm we'd be using this
[00:07:28.720 --> 00:07:37.520]   conversation chain right again this is deprecated nowadays we would be using lcell for this so i just
[00:07:37.520 --> 00:07:42.240]   want to show you okay how this would all go together and then we would invoke okay what is my name again
[00:07:42.240 --> 00:07:49.120]   let's run that and we'll see what we get it's remembering everything remember so this conversation
[00:07:49.120 --> 00:07:56.960]   buffer memory it doesn't drop messages it just remembers everything right and honestly with the sort of high
[00:07:56.960 --> 00:08:02.160]   context windows of many lms that might be what you do it depends on how long you expect a conversation
[00:08:02.160 --> 00:08:09.360]   to go on for but you could you probably in most cases would get away with this okay so what let's
[00:08:09.360 --> 00:08:15.520]   see what we get um i say what is my name again okay let's see what it gives me says your name is james
[00:08:15.520 --> 00:08:22.240]   great thank you that works now as i mentioned all of this i just showed you is actually deprecated that's
[00:08:22.240 --> 00:08:28.080]   the old way of doing things let's see how we actually do this in modern or up-to-date line chain
[00:08:28.080 --> 00:08:34.720]   so we're going to be using this runnable with message history to implement that we will need to use lcell
[00:08:34.720 --> 00:08:41.520]   and for that we will need to just define prompt templates our lm as we usually would okay so we're
[00:08:41.520 --> 00:08:48.640]   going to set up our system prompt which is just your helpful system called zeta okay we're going to put in this
[00:08:48.640 --> 00:08:56.320]   messages placeholder okay so that's important essentially that is where our messages are coming
[00:08:56.320 --> 00:09:02.880]   from our conversation buffer memory is going to be inserted right so it's going to be that chat history
[00:09:02.880 --> 00:09:08.880]   is going to be inserted after our system prompt but before our most recent query which is going to be
[00:09:08.880 --> 00:09:16.160]   inserted last here okay so messages placeholder item that's important and we use that throughout the
[00:09:16.160 --> 00:09:21.120]   course as well so we use it both for chat history and we'll see later on we also use it for the
[00:09:21.120 --> 00:09:28.000]   intermediate thoughts that a agent would go through as well so important to remember that little thing
[00:09:28.000 --> 00:09:36.800]   we'll link our prompt template to our lm again if we would like we could also add in the i think we only
[00:09:36.800 --> 00:09:44.240]   have the query here oh we would probably also want our history as well but i'm not going to do that right
[00:09:44.240 --> 00:09:51.840]   now okay so we have our pipeline and we can go ahead and actually define our runnable with message history
[00:09:51.840 --> 00:09:57.440]   now this class or object when we are initializing it does require a few items we can see them here
[00:09:57.440 --> 00:10:03.520]   okay so we see that we have our pipeline with history so it's basically going to be uh you can
[00:10:03.520 --> 00:10:10.480]   you can see here right we have that history meshes key right this here has to align with what we provided
[00:10:10.480 --> 00:10:19.600]   as the meshes placeholder in our pipeline right so we have our pipeline prompt template here and here
[00:10:19.600 --> 00:10:24.240]   right so that's where it's coming from it's coming from meshes placeholder variable name is history right
[00:10:24.240 --> 00:10:34.960]   that's important that links to this then for the input meshes key here we have query that again links to this
[00:10:34.960 --> 00:10:42.240]   okay so both important to have that the other thing that is important is obviously we're passing in that
[00:10:42.240 --> 00:10:47.840]   pipeline from before but then we also have this get session history basically what this is doing
[00:10:47.840 --> 00:10:53.280]   is it's saying okay i need to get the list of messages that make up my chat history that are going to be
[00:10:53.280 --> 00:10:59.920]   inserted into this variable so that is a function that we define okay and with it within this function
[00:10:59.920 --> 00:11:08.240]   what we're trying to do here is actually replicate what we have with the previous conversation buffer
[00:11:08.240 --> 00:11:17.040]   memory okay so that's what we're doing here so it's very simple right so we have this in memory chat
[00:11:17.040 --> 00:11:22.320]   message history okay so that's just the object that we're going to be returning what this will do is
[00:11:22.320 --> 00:11:27.600]   it will set up a session id the session i use essentially like a unique identifier so that each
[00:11:28.240 --> 00:11:32.880]   conversational interaction within a single conversation is being mapped to a specific
[00:11:32.880 --> 00:11:37.520]   conversation so you don't have overlapping let's say of multiple users using the same system you want
[00:11:37.520 --> 00:11:43.120]   to have a unique session id for each one of those okay and what it's doing is saying okay if session id is
[00:11:43.120 --> 00:11:50.240]   not in the chat map which is this empty dictionary we're defined here we are going to initialize that
[00:11:50.240 --> 00:11:59.280]   session with an in memory chat message history okay and that's it and we return okay and all that's going
[00:11:59.280 --> 00:12:06.400]   to do is it's going to basically append our messages they will be appended within this chat map session id
[00:12:06.400 --> 00:12:12.160]   and they're going to get returned there's nothing really there's nothing else to it to be honest so
[00:12:12.960 --> 00:12:17.840]   we invoke our runnable let's see what we get oh i need to run this
[00:12:17.840 --> 00:12:26.560]   okay note that we do have this config so we have a session id that's to again as i mentioned keep
[00:12:26.560 --> 00:12:33.360]   different conversations separate okay so we've run that now let's run a few more so what is my name again
[00:12:33.360 --> 00:12:41.520]   let's see if it remembers your name is james how can i help you today james okay so it's what we've just
[00:12:41.520 --> 00:12:51.360]   done there is literally conversation buffer memory but for up-to-date line chain with l cell with runnables
[00:12:51.360 --> 00:12:59.520]   so you know the recommended way of doing it nowadays so that's a very simple example okay there's really
[00:12:59.520 --> 00:13:04.720]   and not that much to it it gets a little more complicated as we start thinking about the
[00:13:04.720 --> 00:13:09.760]   different types of memory although with that being said it's not massively complicated we're only really
[00:13:09.760 --> 00:13:17.440]   going to be changing the way that we're getting our interactions so let's uh let's dive into that and
[00:13:17.440 --> 00:13:22.480]   see how we will do something similar with the conversation buffer window memory but first let's
[00:13:22.480 --> 00:13:27.840]   actually just understand okay what is the conversation buffer window memory so as i mentioned near the start
[00:13:27.840 --> 00:13:34.240]   it's going to keep track of the last k messages so there's a few things to keep in mind here more
[00:13:34.240 --> 00:13:40.160]   messages does mean more tokens that send each request and if we have more tokens in each request
[00:13:40.160 --> 00:13:46.240]   it means that we're increasing the latency of our responses and also the cost so with the previous
[00:13:46.240 --> 00:13:50.960]   memory type we're just sending everything and because we're sending everything that is going to be
[00:13:50.960 --> 00:13:55.440]   increasing our costs going to be increasing our latency for every message especially as a conversation
[00:13:55.440 --> 00:14:01.360]   gets longer and longer and we don't we might not necessarily want to do that so with this conversation
