
[00:00:00.000 --> 00:00:05.500]   >> [APPLAUSE]
[00:00:05.500 --> 00:00:09.000]   >> I've been a Boglehead since 2004,
[00:00:09.000 --> 00:00:10.940]   when I was broke.
[00:00:10.940 --> 00:00:14.040]   Right at the beginning, I was just literally starting to earn money.
[00:00:14.040 --> 00:00:16.760]   And it's been 20 years, it's been a wonderful journey.
[00:00:16.760 --> 00:00:19.880]   This is probably my fifth or sixth time at the conference.
[00:00:19.880 --> 00:00:22.720]   It's a wonderful conference to be at.
[00:00:22.720 --> 00:00:27.480]   And as we talked about, what are we gonna put in the 501 course this year?
[00:00:27.480 --> 00:00:31.200]   I said, well, something I don't think we've ever covered before is something I
[00:00:31.200 --> 00:00:35.480]   talk about all the time to groups of doctors, which is asset protection.
[00:00:35.480 --> 00:00:38.000]   So that's gonna be our topic for the next half hour.
[00:00:38.000 --> 00:00:42.120]   And then we've got two more great presenters that we're gonna be
[00:00:42.120 --> 00:00:43.520]   bringing on to finish this up.
[00:00:43.520 --> 00:00:47.320]   But we'll have a five minute break after this presentation, and
[00:00:47.320 --> 00:00:49.600]   then we'll go into our last two.
[00:00:49.600 --> 00:00:53.680]   So a few disclosures and disclaimers.
[00:00:53.680 --> 00:00:57.460]   I'm not a lawyer, I'm not an accountant, I'm not a financial advisor,
[00:00:57.460 --> 00:00:58.560]   I'm an emergency physician.
[00:00:58.560 --> 00:01:02.440]   Right now, I'm even disabled from doing that, I'm a blogger.
[00:01:02.440 --> 00:01:05.600]   So this is for your entertainment and general education.
[00:01:05.600 --> 00:01:07.840]   This is not personalized, formal advice.
[00:01:07.840 --> 00:01:11.800]   And the only relevant financial relationship I have
[00:01:11.800 --> 00:01:16.520]   is I have a few advertisers on my blog that sell malpractice insurance.
[00:01:16.520 --> 00:01:17.920]   So I'm not gonna tell you who they are.
[00:01:17.920 --> 00:01:20.400]   So I don't think there's a real conflict there.
[00:01:20.400 --> 00:01:21.640]   Here's what we're gonna talk about, though.
[00:01:21.640 --> 00:01:24.280]   We're gonna talk about how to get sued less.
[00:01:24.280 --> 00:01:26.520]   And I'm gonna use a little bit of insight from my own profession of
[00:01:26.520 --> 00:01:27.820]   medicine with that.
[00:01:27.820 --> 00:01:31.700]   And then we're gonna talk about what people are really worried about,
[00:01:31.700 --> 00:01:34.380]   which is above policy limit judgments.
[00:01:34.380 --> 00:01:38.260]   We'll talk about the general principles of asset protection, and
[00:01:38.260 --> 00:01:41.660]   then I'm gonna tell you what a basic asset protection plan looks like that you
