
[00:00:00.000 --> 00:00:08.000]   >> All right.
[00:00:08.000 --> 00:00:09.920]   Let's take a look here.
[00:00:09.920 --> 00:00:13.760]   All right. Here is my subject matter today. Is this on?
[00:00:13.760 --> 00:00:19.960]   Okay. Real estate, it's really on now.
[00:00:19.960 --> 00:00:22.320]   Can it be added to a Boglehead portfolio?
[00:00:22.320 --> 00:00:24.640]   Should it be added? How should it be added?
[00:00:24.640 --> 00:00:27.480]   Let's talk about it. Something we don't talk about a lot.
[00:00:27.480 --> 00:00:32.600]   First, some disclosure. I am not a financial advisor.
[00:00:32.600 --> 00:00:34.920]   I'm not an accountant. I'm not an attorney.
[00:00:34.920 --> 00:00:37.320]   I'm not licensed to do anything in the great state of Maryland.
[00:00:37.320 --> 00:00:40.200]   So this is all for your entertainment and information only.
[00:00:40.200 --> 00:00:41.920]   I have conflicts of interest.
[00:00:41.920 --> 00:00:44.160]   I own a for-profit company called the White Coat Investor.
[00:00:44.160 --> 00:00:46.880]   Some of our advertisers are real estate investing companies.
[00:00:46.880 --> 00:00:48.600]   I'm not going to mention any of those today,
[00:00:48.600 --> 00:00:51.200]   but be aware I have that conflict of interest.
[00:00:51.200 --> 00:00:54.400]   The only company I'm probably going to mention today is Vanguard,
[00:00:54.400 --> 00:00:56.560]   which I have yet to get to advertise with me.
[00:00:56.560 --> 00:00:58.200]   So I don't have a conflict there.
[00:00:58.200 --> 00:00:59.720]   Okay. Here's what we're going to talk about.
[00:00:59.720 --> 00:01:02.440]   We're going to talk about the case for real estate in general.
[00:01:02.440 --> 00:01:05.960]   Then we're going to talk specifically about the case for private real estate,
[00:01:05.960 --> 00:01:07.480]   following which I'm going to present
[00:01:07.480 --> 00:01:09.440]   the most important slide in this presentation.
[00:01:09.440 --> 00:01:12.000]   I call the real estate continuum.
[00:01:12.000 --> 00:01:15.920]   All right. First, the case for real estate.
[00:01:15.920 --> 00:01:19.360]   The first reason why someone might want to
[00:01:19.360 --> 00:01:22.040]   invest in real estate is because the returns are high.
[00:01:22.040 --> 00:01:23.640]   When you're building a portfolio,
[00:01:23.640 --> 00:01:26.520]   you want multiple high-returning asset classes.
[00:01:26.520 --> 00:01:28.760]   Maybe you want some lower-returning ones as well.
[00:01:28.760 --> 00:01:30.560]   So what are we talking about? We're talking about stocks.
[00:01:30.560 --> 00:01:31.480]   We're talking about real estate.
[00:01:31.480 --> 00:01:32.760]   We're talking about small business.
[00:01:32.760 --> 00:01:36.480]   Maybe some speculative asset classes out there might have higher returns.
[00:01:36.480 --> 00:01:39.500]   But real estate returns in general are similar to stock returns,
[00:01:39.500 --> 00:01:41.880]   but are a little bit more easily leveraged.
[00:01:41.880 --> 00:01:44.720]   Once you leverage them, the returns tend to be higher.
[00:01:44.720 --> 00:01:47.520]   Second reason, low correlations.
[00:01:47.520 --> 00:01:49.220]   When building a portfolio, again,
[00:01:49.220 --> 00:01:51.720]   you want lower correlations between your asset class.
[00:01:51.720 --> 00:01:53.360]   If they're higher than about 0.8,
[00:01:53.360 --> 00:01:56.120]   you're not doing a lot of good adding that asset class at all.
[00:01:56.120 --> 00:01:59.760]   Correlations, of course, go from minus one up to one.
[00:01:59.760 --> 00:02:02.880]   The lower, the better when it comes to building a portfolio.
[00:02:02.880 --> 00:02:05.560]   For example, between US and international stocks,
[00:02:05.560 --> 00:02:08.120]   it's anywhere from 0.5 to 0.94.
[00:02:08.120 --> 00:02:10.120]   With bonds, it's almost zero.
[00:02:10.120 --> 00:02:12.440]   With commodities, it is zero.
[00:02:12.440 --> 00:02:15.880]   Bonds to commodities actually have negative correlation.
[00:02:15.880 --> 00:02:22.360]   In comparison, comparing US stocks to US publicly traded real estate investment trust,
[00:02:22.360 --> 00:02:24.920]   the correlation is about 0.45.
[00:02:24.920 --> 00:02:27.320]   If you compare that to private real estate,
[00:02:27.320 --> 00:02:29.880]   it's as low as 0.17.
[00:02:29.880 --> 00:02:33.320]   That's a good reason to invest in the asset class.
[00:02:33.320 --> 00:02:36.980]   The third reason, real estate tends to be very inflation resistant.
[00:02:36.980 --> 00:02:38.240]   These are real assets.
[00:02:38.240 --> 00:02:40.600]   They tend to go up in value with inflation.
[00:02:40.600 --> 00:02:42.600]   The value of income, of course,
[00:02:42.600 --> 00:02:46.520]   income property is highly dependent on the rents that you are charging and collecting.
[00:02:46.520 --> 00:02:49.360]   So as inflation rises and you can raise the rents,
[00:02:49.360 --> 00:02:51.440]   then that provides some inflation protection,
[00:02:51.440 --> 00:02:53.000]   at least in the long run.
[00:02:53.000 --> 00:02:57.880]   It's also easier to pay back fixed rate debt with inflated dollars.
[00:02:57.880 --> 00:03:00.880]   If you have a bunch of low interest rate fixed rate debt,
[00:03:00.880 --> 00:03:03.400]   like a lot of people do right now,
[00:03:03.400 --> 00:03:04.840]   and inflation goes up,
[00:03:04.840 --> 00:03:07.760]   that can be a really great place to be sitting in.
[00:03:07.760 --> 00:03:11.280]   Real estate also has relatively high cash flow.
[00:03:11.280 --> 00:03:15.800]   A higher percentage of your return tends to come from income than from capital gains.
[00:03:15.800 --> 00:03:17.360]   That's not always a good thing,
[00:03:17.360 --> 00:03:18.920]   especially if you don't need the income.
[00:03:18.920 --> 00:03:21.760]   But it can be useful for decumulation years,
[00:03:21.760 --> 00:03:25.280]   and also for replacing earned income during the working years.
[00:03:25.280 --> 00:03:29.920]   Another great thing about real estate is that it's a little bit easier to add value.
[00:03:29.920 --> 00:03:34.640]   You're extremely unlikely to add value to your portfolio by studying and picking stocks.
[00:03:34.640 --> 00:03:35.840]   If you have not learned that yet,
[00:03:35.840 --> 00:03:37.760]   you will learn it this weekend.
[00:03:37.760 --> 00:03:40.720]   But all real estate is local.
[00:03:40.720 --> 00:03:45.320]   An active management has the potential to work better with real estate than it does with stocks.
[00:03:45.320 --> 00:03:47.040]   You can also boost returns,
[00:03:47.040 --> 00:03:51.800]   aka earn money by doing the work yourself when something needs to be done.
[00:03:51.800 --> 00:03:54.120]   That introduces some aspects of a second job,
[00:03:54.120 --> 00:03:58.200]   which a lot of people find not very attractive about real estate investing.
[00:03:58.200 --> 00:04:00.720]   But it is an opportunity to add some value.
[00:04:00.720 --> 00:04:04.520]   Another awesome thing about real estate are some tax advantages,
[00:04:04.520 --> 00:04:06.360]   which frankly are unfair.
[00:04:06.360 --> 00:04:08.000]   They're unfair tax advantages.
[00:04:08.000 --> 00:04:09.720]   For example, if you sell your home,
[00:04:09.720 --> 00:04:13.640]   and it's appreciated less than $250,000 since you've been in it,
[00:04:13.640 --> 00:04:14.920]   all that capital gain,
[00:04:14.920 --> 00:04:16.680]   you don't have to pay capital gains taxes on.
[00:04:16.680 --> 00:04:18.640]   If you're married, it doubles.
[00:04:18.640 --> 00:04:24.160]   Depreciation. Basically, the government says your house is going to be worthless in 27.5 years.
[00:04:24.160 --> 00:04:27.880]   The truth is your house isn't going to be worthless in 27.5 years.
[00:04:27.880 --> 00:04:29.520]   It's overly generous.
[00:04:29.520 --> 00:04:31.880]   Even for businesses, it's like 39 years.
[00:04:31.880 --> 00:04:33.120]   Still overly generous.
[00:04:33.120 --> 00:04:36.720]   That warehouse is not going to wear out completely in 39 years.
[00:04:36.720 --> 00:04:39.280]   Then when that depreciation is recaptured at a sale,
[00:04:39.280 --> 00:04:41.240]   it's only recaptured at 25 percent.
[00:04:41.240 --> 00:04:44.280]   For those of us in the highest tax brackets, that's a great deal.
[00:04:44.280 --> 00:04:48.600]   Take the break at 37 percent, pay it back at 25 percent.
[00:04:48.600 --> 00:04:50.800]   If you get real estate professional status,
[00:04:50.800 --> 00:04:53.000]   which admittedly is not all that easy to get,
[00:04:53.000 --> 00:04:55.680]   or you take advantage if you're doing short-term rentals,
[00:04:55.680 --> 00:04:57.480]   the short-term rental loophole,
[00:04:57.480 --> 00:05:01.320]   you can use passive losses to offset your earned income.
[00:05:01.320 --> 00:05:04.840]   I know doctors, high-powered surgeons,
[00:05:04.840 --> 00:05:07.400]   whose spouse qualifies as a real estate professional,
[00:05:07.400 --> 00:05:13.320]   who pay no taxes on their clinical income because of depreciation from rental properties.
[00:05:13.320 --> 00:05:16.480]   Mutual funds, unfortunately, can't pass through their capital losses,
[00:05:16.480 --> 00:05:21.160]   but a partnership investing in a real estate property can do so.
[00:05:21.160 --> 00:05:24.640]   Those depreciation losses, they're really only losses on paper,
[00:05:24.640 --> 00:05:26.320]   but they can pass them through to you.
[00:05:26.320 --> 00:05:31.760]   Opportunity zone funds are another excellent way that real estate offers some tax advantages.
[00:05:31.760 --> 00:05:36.920]   Basically, allows you to pay less on capital gains that you get from that real estate.
[00:05:36.920 --> 00:05:40.480]   But the very most tax-efficient way to invest in real estate,
[00:05:40.480 --> 00:05:44.000]   is to invest directly in properties that you buy,
[00:05:44.000 --> 00:05:48.480]   depreciate, and exchange rather than sell into another property,
[00:05:48.480 --> 00:05:49.720]   a bigger property usually,
